,time
0,0.8333340000000007
1,1.0416670000000003
2,1.25
3,1.4583340000000007
4,1.6666670000000003
5,1.875
6,2.0833340000000007
7,2.2916670000000003
8,2.5
9,2.7083340000000007
10,2.9166670000000003
11,3.125
12,3.3333340000000007
13,3.5416670000000003
14,3.75
15,3.9583340000000007
16,4.166667
17,4.375
18,4.583334000000001
19,4.791667
20,5.0
21,5.208334000000001
22,5.416667
23,5.625
24,5.833334000000001
25,6.041667
26,6.25
27,6.458334000000001
28,6.666667
29,6.875
30,7.083334000000001
31,7.291667
32,7.5
33,7.708334000000001
34,7.916667
35,8.125
36,8.333334
37,8.541667
38,8.75
39,8.958334
40,9.166667
41,9.375
42,9.583334
43,9.791667
44,10.0
45,10.208334
46,10.416667
47,10.625
