,LP,LD1,LD2,RP,RD1,RD2
0,"[array([[-0.33214178, -0.94297272, -0.02200641, -0.11578634],
       [ 0.94090975, -0.33287001,  0.06234099,  0.08153123],
       [-0.06611112,  0.        ,  0.99781227,  0.08539889],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.34762133, -0.93762345,  0.00465551, -0.13369866],
       [ 0.93753938,  0.3476525 ,  0.01255597,  0.15023168],
       [-0.01339127, -0.        ,  0.99991033,  0.08206784],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.34762133, -0.93762345,  0.00465551, -0.13369866],
       [ 0.93753938,  0.3476525 ,  0.01255597,  0.15023168],
       [-0.01339127, -0.        ,  0.99991033,  0.08206784],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.39699466, -0.91779163,  0.00733287, -0.05737208],
       [ 0.9176351 ,  0.39706238,  0.0169496 ,  0.0895879 ],
       [-0.01846781,  0.        ,  0.99982946,  0.08577768],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.26467158, -0.96426875,  0.01160726, -0.03450614],
       [ 0.9633428 , -0.26492598, -0.0422477 ,  0.14396697],
       [ 0.0438132 , -0.        ,  0.99903974,  0.08318374],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.26467158, -0.96426875,  0.01160726, -0.03450614],
       [ 0.9633428 , -0.26492598, -0.0422477 ,  0.14396697],
       [ 0.0438132 , -0.        ,  0.99903974,  0.08318374],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
1,"[array([[-0.33268137, -0.94278349, -0.02196351, -0.1157651 ],
       [ 0.94073558, -0.33340559,  0.06210703,  0.08153203],
       [-0.06587624,  0.        ,  0.9978278 ,  0.08539163],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.34762674, -0.93762162,  0.00462144, -0.13369683],
       [ 0.93753877,  0.34765745,  0.01246388,  0.15023573],
       [-0.01329309, -0.        ,  0.99991164,  0.08206572],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.34762674, -0.93762162,  0.00462144, -0.13369683],
       [ 0.93753877,  0.34765745,  0.01246388,  0.15023573],
       [-0.01329309, -0.        ,  0.99991164,  0.08206572],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.40112958, -0.91599924,  0.00635998, -0.0575258 ],
       [ 0.91588413,  0.40118   ,  0.0145215 ,  0.08967167],
       [-0.01585318,  0.        ,  0.99987433,  0.08568211],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.26487341, -0.96421304,  0.01163164, -0.03449695],
       [ 0.96328467, -0.26512868, -0.04230165,  0.14397203],
       [ 0.04387168, -0.        ,  0.99903717,  0.08318088],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.26487341, -0.96421304,  0.01163164, -0.03449695],
       [ 0.96328467, -0.26512868, -0.04230165,  0.14397203],
       [ 0.04387168, -0.        ,  0.99903717,  0.08318088],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
2,"[array([[-0.33214202, -0.94297155, -0.0220531 , -0.11578332],
       [ 0.94089984, -0.33287334,  0.06247254,  0.08153341],
       [-0.06625072,  0.        ,  0.99780301,  0.08540102],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.34763814, -0.93761739,  0.00462108, -0.13369917],
       [ 0.93753456,  0.34766885,  0.01246244,  0.15023591],
       [-0.0132916 , -0.        ,  0.99991166,  0.08206467],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.34763814, -0.93761739,  0.00462108, -0.13369917],
       [ 0.93753456,  0.34766885,  0.01246244,  0.15023591],
       [-0.0132916 , -0.        ,  0.99991166,  0.08206467],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.39691927, -0.91782465,  0.00728102, -0.05737269],
       [ 0.91767026,  0.39698604,  0.0168336 ,  0.08958844],
       [-0.01834076,  0.        ,  0.99983179,  0.08577583],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.26495446, -0.96419106,  0.01160792, -0.03449508],
       [ 0.96326705, -0.26520861, -0.0422017 ,  0.14397149],
       [ 0.04376902, -0.        ,  0.99904168,  0.08318815],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.26495446, -0.96419106,  0.01160792, -0.03449508],
       [ 0.96326705, -0.26520861, -0.0422017 ,  0.14397149],
       [ 0.04376902, -0.        ,  0.99904168,  0.08318815],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
3,"[array([[-0.33254133, -0.94283174, -0.0220129 , -0.11576779],
       [ 0.94077281, -0.33326912,  0.06227538,  0.08152575],
       [-0.06605143,  0.        ,  0.99781622,  0.08539355],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.34773105, -0.93758284,  0.00464033, -0.13370097],
       [ 0.93749937,  0.34776201,  0.01251054,  0.15023645],
       [-0.0133434 , -0.        ,  0.99991097,  0.08206632],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.34773105, -0.93758284,  0.00464033, -0.13370097],
       [ 0.93749937,  0.34776201,  0.01251054,  0.15023645],
       [-0.0133434 , -0.        ,  0.99991097,  0.08206632],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.39685245, -0.91785455,  0.00715304, -0.05736945],
       [ 0.91770549,  0.39691691,  0.01654112,  0.08958203],
       [-0.0180215 ,  0.        ,  0.9998376 ,  0.08576968],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.26493722, -0.96419584,  0.01160422, -0.03449669],
       [ 0.96327229, -0.26519123, -0.04219123,  0.14396456],
       [ 0.04375795, -0.        ,  0.99904216,  0.0831875 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.26493722, -0.96419584,  0.01160422, -0.03449669],
       [ 0.96327229, -0.26519123, -0.04219123,  0.14396456],
       [ 0.04375795, -0.        ,  0.99904216,  0.0831875 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
4,"[array([[-0.33239634, -0.94288342, -0.0219893 , -0.11577162],
       [ 0.94082698, -0.33312288,  0.06223934,  0.0815342 ],
       [-0.06600958,  0.        ,  0.99781899,  0.08539761],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.34772702, -0.93758468,  0.00456977, -0.13368585],
       [ 0.93750373,  0.34775704,  0.01232052,  0.15023829],
       [-0.0131407 , -0.        ,  0.99991366,  0.08206187],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.34772702, -0.93758468,  0.00456977, -0.13368585],
       [ 0.93750373,  0.34775704,  0.01232052,  0.15023829],
       [-0.0131407 , -0.        ,  0.99991366,  0.08206187],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.40077922, -0.91615299,  0.00630224, -0.05752631],
       [ 0.91603974,  0.40082877,  0.01440469,  0.08966907],
       [-0.01572302,  0.        ,  0.99987639,  0.0856782 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.2733825 , -0.96186555,  0.00875611, -0.03422909],
       [ 0.96137257, -0.27352268, -0.03079158,  0.14391942],
       [ 0.03201235, -0.        ,  0.99948747,  0.08355101],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.2733825 , -0.96186555,  0.00875611, -0.03422909],
       [ 0.96137257, -0.27352268, -0.03079158,  0.14391942],
       [ 0.03201235, -0.        ,  0.99948747,  0.08355101],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
5,"[array([[-0.33569703, -0.94170738, -0.02224212, -0.11577131],
       [ 0.93964715, -0.33643307,  0.06225775,  0.08148798],
       [-0.06611157,  0.        ,  0.99781224,  0.0853869 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.34370429, -0.93906755,  0.00441525, -0.1339186 ],
       [ 0.93899008,  0.34373265,  0.01206233,  0.15012391],
       [-0.01284501, -0.        ,  0.9999175 ,  0.08204047],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.34370429, -0.93906755,  0.00441525, -0.1339186 ],
       [ 0.93899008,  0.34373265,  0.01206233,  0.15012391],
       [-0.01284501, -0.        ,  0.9999175 ,  0.08204047],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.39744789, -0.91760916,  0.00534929, -0.05767361],
       [ 0.91752606,  0.39748388,  0.01234908,  0.08960009],
       [-0.01345789,  0.        ,  0.99990944,  0.08557646],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.27871756, -0.96033237,  0.00884704, -0.03459835],
       [ 0.95984894, -0.27885793, -0.03046749,  0.14401751],
       [ 0.03172599, -0.        ,  0.9994966 ,  0.08355911],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.27871756, -0.96033237,  0.00884704, -0.03459835],
       [ 0.95984894, -0.27885793, -0.03046749,  0.14401751],
       [ 0.03172599, -0.        ,  0.9994966 ,  0.08355911],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
6,"[array([[-0.33343622, -0.94248263, -0.02338348, -0.11579777],
       [ 0.94017355, -0.33425514,  0.06593323,  0.08159096],
       [-0.06995697,  0.        ,  0.99755001,  0.08530204],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.34615487, -0.93815967,  0.00576621, -0.13377844],
       [ 0.93802953,  0.34620289,  0.01562558,  0.15026257],
       [-0.01665557, -0.        ,  0.99986129,  0.08161065],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.34615487, -0.93815967,  0.00576621, -0.13377844],
       [ 0.93802953,  0.34620289,  0.01562558,  0.15026257],
       [-0.01665557, -0.        ,  0.99986129,  0.08161065],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.4028987 , -0.91520688,  0.00830747, -0.05779339],
       [ 0.91501239,  0.40298433,  0.01886688,  0.08969521],
       [-0.02061488,  0.        ,  0.99978749,  0.08577077],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.27732432, -0.96073854,  0.00852473, -0.03448924],
       [ 0.96028496, -0.27745531, -0.02951841,  0.14401993],
       [ 0.03072471, -0.        ,  0.99952788,  0.08342195],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.27732432, -0.96073854,  0.00852473, -0.03448924],
       [ 0.96028496, -0.27745531, -0.02951841,  0.14401993],
       [ 0.03072471, -0.        ,  0.99952788,  0.08342195],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
7,"[array([[-0.33350388, -0.94237472, -0.02655278, -0.11586203],
       [ 0.93940201, -0.33455924,  0.07479293,  0.08170478],
       [-0.07936644,  0.        ,  0.99684551,  0.08530881],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.34558934, -0.93835853,  0.00716052, -0.13387935],
       [ 0.93815718,  0.34566351,  0.01943838,  0.15033309],
       [-0.0207153 , -0.        ,  0.99978542,  0.08105375],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.34558934, -0.93835853,  0.00716052, -0.13387935],
       [ 0.93815718,  0.34566351,  0.01943838,  0.15033309],
       [-0.0207153 , -0.        ,  0.99978542,  0.08105375],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.39304389, -0.91941626,  0.01379278, -0.057242  ],
       [ 0.91885067,  0.39328582,  0.03224451,  0.08980916],
       [-0.03507064,  0.        ,  0.99938484,  0.08559958],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.28007977, -0.95994383,  0.00794732, -0.03441569],
       [ 0.95955761, -0.2801925 , -0.02722763,  0.14421742],
       [ 0.02836378, -0.        ,  0.99959767,  0.08220103],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.28007977, -0.95994383,  0.00794732, -0.03441569],
       [ 0.95955761, -0.2801925 , -0.02722763,  0.14421742],
       [ 0.02836378, -0.        ,  0.99959767,  0.08220103],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
8,"[array([[-0.35961245, -0.93267938, -0.02807238, -0.11593391],
       [ 0.92985052, -0.36070649,  0.0725868 ,  0.08133531],
       [-0.0778261 ,  0.        ,  0.99696695,  0.0853313 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.31692573, -0.9484321 ,  0.00588411, -0.13587718],
       [ 0.94826868,  0.31698035,  0.01760575,  0.14939247],
       [-0.01856301, -0.        ,  0.99982769,  0.0811873 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.31692573, -0.9484321 ,  0.00588411, -0.13587718],
       [ 0.94826868,  0.31698035,  0.01760575,  0.14939247],
       [-0.01856301, -0.        ,  0.99982769,  0.0811873 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.36571635, -0.93056065,  0.01756213, -0.05732477],
       [ 0.92948955,  0.36613778,  0.04463519,  0.08964791],
       [-0.04796591,  0.        ,  0.99884897,  0.08561944],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.30716191, -0.95162308,  0.00806649, -0.03618307],
       [ 0.95129511, -0.30726781, -0.02498229,  0.14467088],
       [ 0.0262523 , -0.        ,  0.99965535,  0.08131518],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.30716191, -0.95162308,  0.00806649, -0.03618307],
       [ 0.95129511, -0.30726781, -0.02498229,  0.14467088],
       [ 0.0262523 , -0.        ,  0.99965535,  0.08131518],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
9,"[array([[-0.38804266, -0.92118415, -0.02902855, -0.11586631],
       [ 0.91861736, -0.38912693,  0.06871957,  0.08097065],
       [-0.07459917,  0.        ,  0.9972136 ,  0.08530302],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.29744251, -0.95472534,  0.00524194, -0.13778794],
       [ 0.95457711,  0.2974887 ,  0.01682288,  0.14847715],
       [-0.01762065, -0.        ,  0.99984474,  0.08138834],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.29744251, -0.95472534,  0.00524194, -0.13778794],
       [ 0.95457711,  0.2974887 ,  0.01682288,  0.14847715],
       [-0.01762065, -0.        ,  0.99984474,  0.08138834],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.33865115, -0.94074222,  0.01787375, -0.05746487],
       [ 0.93943467,  0.3391225 ,  0.04958265,  0.08958038],
       [-0.05270588,  0.        ,  0.99861008,  0.08559961],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.33210335, -0.94320571,  0.00838818, -0.03793619],
       [ 0.94290499, -0.33220927, -0.02381564,  0.14510774],
       [ 0.02524967, -0.        ,  0.99968118,  0.08103006],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.33210335, -0.94320571,  0.00838818, -0.03793619],
       [ 0.94290499, -0.33220927, -0.02381564,  0.14510774],
       [ 0.02524967, -0.        ,  0.99968118,  0.08103006],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
10,"[array([[-0.43853468, -0.89813575, -0.03224124, -0.11570912],
       [ 0.89571823, -0.43971828,  0.06585355,  0.08041312],
       [-0.07332249,  0.        ,  0.99730828,  0.08532342],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.27602991, -0.96113829,  0.00454694, -0.14112987],
       [ 0.96100791,  0.27606736,  0.01583034,  0.14672625],
       [-0.0164704 , -0.        ,  0.99986435,  0.08152276],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.27602991, -0.96113829,  0.00454694, -0.14112987],
       [ 0.96100791,  0.27606736,  0.01583034,  0.14672625],
       [-0.0164704 , -0.        ,  0.99986435,  0.08152276],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.29460907, -0.95546864,  0.01688677, -0.05779603],
       [ 0.95390291,  0.29509265,  0.05467699,  0.08919552],
       [-0.05722531,  0.        ,  0.99836129,  0.08559685],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.37288364, -0.92782897,  0.00954909, -0.04083295],
       [ 0.92752488, -0.37300589, -0.02375276,  0.14562988],
       [ 0.02560037, -0.        ,  0.99967226,  0.08073891],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.37288364, -0.92782897,  0.00954909, -0.04083295],
       [ 0.92752488, -0.37300589, -0.02375276,  0.14562988],
       [ 0.02560037, -0.        ,  0.99967226,  0.08073891],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
11,"[array([[-0.50733227, -0.86099896, -0.03598271, -0.11536462],
       [ 0.85884151, -0.50860671,  0.06091361,  0.07973255],
       [-0.0707476 ,  0.        ,  0.99749425,  0.08526275],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.26379803, -0.96456873,  0.00421567, -0.14548334],
       [ 0.96444558,  0.26383171,  0.01541248,  0.14423387],
       [-0.01597862, -0.        ,  0.99987233,  0.08160212],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.26379803, -0.96456873,  0.00421567, -0.14548334],
       [ 0.96444558,  0.26383171,  0.01541248,  0.14423387],
       [-0.01597862, -0.        ,  0.99987233,  0.08160212],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.23744532, -0.97129701,  0.01420672, -0.05812804],
       [ 0.96956314,  0.23786995,  0.05801046,  0.08861188],
       [-0.05972474,  0.        ,  0.99821488,  0.08560083],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.41430189, -0.91007449,  0.01087951, -0.04466772],
       [ 0.90976087, -0.41444472, -0.02389019,  0.14613399],
       [ 0.02625081, -0.        ,  0.99965539,  0.08063522],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.41430189, -0.91007449,  0.01087951, -0.04466772],
       [ 0.90976087, -0.41444472, -0.02389019,  0.14613399],
       [ 0.02625081, -0.        ,  0.99965539,  0.08063522],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
12,"[array([[-0.58593691, -0.80933841, -0.04061114, -0.11490624],
       [ 0.80740142, -0.5873426 ,  0.05596079,  0.07894819],
       [-0.06914387,  0.        ,  0.9976067 ,  0.08521682],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.25702485, -0.96639457,  0.00444451, -0.15053117],
       [ 0.96625012,  0.25706328,  0.01670855,  0.14088203],
       [-0.01728957, -0.        ,  0.99985052,  0.08169981],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.25702485, -0.96639457,  0.00444451, -0.15053117],
       [ 0.96625012,  0.25706328,  0.01670855,  0.14088203],
       [-0.01728957, -0.        ,  0.99985052,  0.08169981],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.16386146, -0.98643321,  0.00994761, -0.05845309],
       [ 0.98462051,  0.16416313,  0.05977382,  0.08780345],
       [-0.06059592,  0.        ,  0.99816238,  0.08557735],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.4436107 , -0.89614525,  0.01154319, -0.04953018],
       [ 0.89584201, -0.44376086, -0.02331071,  0.14673251],
       [ 0.0260122 , -0.        ,  0.99966163,  0.08060681],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.4436107 , -0.89614525,  0.01154319, -0.04953018],
       [ 0.89584201, -0.44376086, -0.02331071,  0.14673251],
       [ 0.0260122 , -0.        ,  0.99966163,  0.08060681],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
