,transforms
0,"[array([[ 0.13006265,  0.99517705,  0.00359507, -0.075022  ],
       [-0.99140948,  0.09796807,  0.01440823,  0.1516355 ],
       [ 0.0138184 , -0.00498983,  0.99988973,  0.1115595 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
1,"[array([[ 0.13006756,  0.99517373,  0.00357883, -0.0750235 ],
       [-0.99140656,  0.09800179,  0.01456967,  0.151638  ],
       [ 0.01398055, -0.00498997,  0.99988745,  0.1115565 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
2,"[array([[ 0.13011279,  0.99516161,  0.00371558, -0.0750265 ],
       [-0.99140289,  0.09811845,  0.01442536,  0.151638  ],
       [ 0.01381943, -0.00511356,  0.99988905,  0.1115595 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
3,"[array([[ 0.12996722,  0.99518095,  0.00363695, -0.075019  ],
       [-0.99141918,  0.09792526,  0.01461535,  0.151637  ],
       [ 0.01401884, -0.00505121,  0.99988658,  0.1115575 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
4,"[array([[ 0.12995389,  0.99517536,  0.00362474, -0.0750245 ],
       [-0.99142372,  0.09798364,  0.01441286,  0.151636  ],
       [ 0.01381972, -0.00502003,  0.99988956,  0.111562  ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
5,"[array([[ 0.13037868,  0.99512967,  0.003835  , -0.0753735 ],
       [-0.99138831,  0.09844327,  0.01288219,  0.1516155 ],
       [ 0.01227236, -0.00508494,  0.99990967,  0.111557  ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
6,"[array([[ 0.13052699,  0.99515172,  0.00325415, -0.0752055 ],
       [-0.99136526,  0.09824756,  0.01309122,  0.151625  ],
       [ 0.01255457, -0.00452497,  0.99990901,  0.111556  ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
7,"[array([[ 0.13241752,  0.99494788,  0.00396712, -0.075203  ],
       [-0.99110665,  0.10025117,  0.01380752,  0.151617  ],
       [ 0.01316076, -0.00533185,  0.9998968 ,  0.111508  ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
8,"[array([[ 0.13632772,  0.99454882,  0.00678127, -0.0774465 ],
       [-0.99055653,  0.10393539,  0.01564782,  0.151582  ],
       [ 0.0145777 , -0.00837188,  0.99985457,  0.111537  ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
9,"[array([[ 0.1433169 ,  0.9936867 ,  0.00880759, -0.079482  ],
       [-0.98956521,  0.1116913 ,  0.01629464,  0.151487  ],
       [ 0.01486489, -0.01057377,  0.99982844,  0.1115765 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
