,features,labels
0,"[9.689, 0.182, 0.091, 0.066, 0.077, 0.093, 9.773, -0.159, 0.123, 0.015, 0.005, -0.041, 9.737, 0.278, 0.081, 0.073, 0.069, 0.068, 9.802, -0.161, -0.02, 0.018, 0.002, -0.059, 9.756, 0.144, 0.079, 0.079, 0.065, 0.033, 9.849, -0.086, 0.112, 0.025, -0.004, -0.065, 9.62, 0.133, 0.06, 0.08, 0.066, -0.004, 9.753, -0.137, 0.086, 0.02, -0.009, -0.063, 9.792, 0.129, 0.01, 0.084, 0.053, -0.043, 9.793, -0.015, 0.316, 0.021, -0.009, -0.054]","[True, True, False, False]"
1,"[9.629, 0.141, 0.024, 0.064, 0.023, -0.088, 9.721, -0.119, 0.103, 0.013, -0.014, -0.04, 9.672, 0.131, -0.019, 0.062, 0.022, -0.086, 9.762, -0.103, 0.142, 0.011, -0.014, -0.037, 9.599, 0.193, 0.068, 0.063, 0.017, -0.076, 9.702, -0.12, 0.096, 0.007, -0.016, -0.03, 9.644, 0.171, -0.018, 0.06, 0.02, -0.067, 9.768, -0.163, 0.156, 0.012, -0.009, -0.037, 9.693, 0.151, 0.035, 0.06, 0.022, -0.052, 9.763, -0.093, 0.036, 0.01, -0.01, -0.041]","[True, True, False, False]"
2,"[9.714, 0.185, 0.032, 0.066, 0.033, -0.038, 9.776, -0.106, 0.152, 0.014, -0.007, -0.041, 9.587, 0.149, 0.09, 0.065, 0.029, -0.031, 9.78, -0.1, 0.098, 0.01, -0.007, -0.042, 9.695, 0.175, 0.127, 0.063, 0.031, -0.029, 9.759, -0.137, 0.045, 0.011, -0.01, -0.041, 9.665, 0.178, 0.003, 0.061, 0.031, -0.03, 9.799, -0.084, 0.138, 0.011, -0.008, -0.042, 9.647, 0.19, 0.032, 0.062, 0.032, -0.035, 9.766, -0.136, 0.192, 0.008, -0.008, -0.041]","[True, True, False, False]"
3,"[9.687, 0.17, 0.124, 0.064, 0.033, -0.034, 9.747, -0.104, 0.125, 0.009, -0.007, -0.041, 9.515, 0.159, 0.082, 0.061, 0.032, -0.028, 9.685, -0.111, 0.135, 0.012, -0.008, -0.038, 9.557, 0.176, -0.022, 0.065, 0.032, -0.036, 9.768, -0.096, 0.105, 0.013, -0.005, -0.04, 9.655, 0.196, -0.005, 0.068, 0.034, -0.031, 9.727, -0.081, 0.022, 0.009, -0.007, -0.044, 9.62, 0.176, 0.1, 0.062, 0.032, -0.031, 9.741, -0.104, 0.067, 0.011, -0.008, -0.042]","[True, True, False, False]"
4,"[9.701, 0.055, 0.093, 0.063, 0.027, -0.033, 9.757, -0.107, 0.057, 0.012, -0.008, -0.041, 9.743, 0.136, -0.026, 0.061, 0.031, -0.03, 9.826, -0.135, 0.142, 0.011, -0.009, -0.042, 9.679, 0.163, -0.121, 0.061, 0.032, -0.032, 9.703, -0.064, 0.15, 0.008, -0.007, -0.038, 9.687, 0.205, 0.118, 0.063, 0.033, -0.032, 9.824, -0.131, 0.161, 0.013, -0.007, -0.041, 9.646, 0.133, 0.103, 0.068, 0.033, -0.033, 9.793, -0.104, 0.049, 0.013, -0.007, -0.039]","[True, True, False, False]"
5,"[9.678, 0.05, -0.044, 0.069, 0.035, -0.032, 9.746, -0.062, -0.022, 0.015, 0.001, -0.039, 9.646, 0.047, -0.051, 0.066, 0.035, -0.032, 9.705, -0.095, -0.003, 0.009, -0.006, -0.041, 9.637, 0.114, -0.035, 0.066, 0.027, -0.035, 9.785, -0.028, 0.154, 0.009, -0.014, -0.041, 9.611, 0.17, 0.169, 0.069, 0.03, -0.032, 9.687, -0.099, -0.017, 0.006, -0.005, -0.04, 9.673, 0.193, 0.034, 0.065, 0.032, -0.033, 9.881, -0.199, 0.117, 0.004, -0.008, -0.039]","[True, True, False, False]"
6,"[9.741, 0.142, 0.216, 0.065, 0.035, -0.037, 9.763, -0.132, 0.093, 0.009, -0.007, -0.04, 9.671, 0.194, -0.029, 0.063, 0.032, -0.031, 9.832, -0.114, 0.066, 0.009, -0.008, -0.039, 9.781, 0.132, -0.005, 0.062, 0.032, -0.027, 9.722, -0.124, 0.202, 0.003, -0.006, -0.044, 10.935, 0.131, 1.422, 0.005, 0.022, -0.022, 10.805, 0.398, -1.046, -0.035, 0.003, -0.024, 10.146, -0.918, 0.577, 0.096, 0.034, -0.014, 9.584, -0.118, -0.482, -0.01, 0.005, -0.038]","[True, True, False, False]"
7,"[9.634, 0.154, 0.058, 0.071, 0.029, -0.033, 9.691, -0.078, 0.113, 0.013, -0.01, -0.041, 9.763, 0.157, -0.015, 0.063, 0.035, -0.031, 9.754, -0.064, -0.037, 0.01, -0.007, -0.043, 9.611, 0.061, -0.113, 0.068, 0.035, -0.031, 9.717, -0.033, -0.008, 0.006, -0.007, -0.04, 9.804, 0.126, 0.045, 0.059, 0.029, -0.028, 9.752, -0.084, 0.009, 0.01, -0.007, -0.038, 9.583, 0.155, 0.087, 0.063, 0.034, -0.034, 9.772, -0.066, -0.044, 0.01, -0.007, -0.076]","[True, True, False, False]"
8,"[9.568, 0.193, 0.093, 0.06, 0.032, -0.031, 9.866, -0.041, 0.154, 0.015, -0.009, -0.041, 9.795, 0.184, -0.005, 0.068, 0.032, -0.029, 9.765, -0.036, 0.032, 0.011, -0.005, -0.041, 9.751, 0.154, 0.14, 0.061, 0.032, -0.027, 9.804, -0.112, 0.089, 0.013, -0.006, -0.04, 9.677, 0.169, 0.05, 0.061, 0.031, -0.031, 9.87, -0.103, 0.065, 0.014, -0.005, -0.04, 9.672, 0.14, 0.098, 0.06, 0.031, -0.036, 9.73, -0.129, 0.129, 0.012, -0.007, -0.04]","[True, True, False, False]"
9,"[9.542, 0.124, 0.077, 0.06, 0.036, -0.033, 9.875, 0.134, -0.109, 0.014, -0.01, -0.04, 9.709, -0.056, -0.07, 0.057, 0.035, -0.039, 9.875, -0.156, -0.224, 0.003, -0.007, -0.041, 8.922, 0.008, -0.898, 0.066, 0.042, -0.053, 9.566, 0.067, -0.226, 0.002, -0.016, -0.041, 9.919, 0.103, -0.257, 0.027, 0.031, -0.04, 9.99, 0.098, -0.093, 0.033, -0.005, -0.04, 9.68, 0.053, -0.11, 0.075, 0.017, -0.029, 9.799, -0.01, -0.266, 0.031, -0.017, -0.046]","[True, True, False, False]"
10,"[9.565, -0.337, -1.252, 0.011, 0.023, -0.028, 9.76, 0.187, -0.803, -0.104, -0.022, -0.078, 9.343, 0.151, -0.47, -0.003, 0.02, -0.027, 10.22, 0.613, -0.762, -0.058, -0.031, -0.047, 9.863, 0.213, 0.319, -0.026, 0.017, 0.006, 9.58, 0.263, -0.83, -0.066, -0.029, -0.031, 9.398, -0.68, -0.266, 0.077, 0.032, -0.023, 9.596, -0.404, 0.391, -0.015, -0.001, -0.033, 8.736, 0.026, 0.317, 0.041, 0.036, -0.048, 9.722, -0.341, 0.701, 0.009, -0.01, -0.039]","[True, True, False, False]"
