,transforms
0,"[array([[ 0.66481947, -0.73450836, -0.02244633, -0.106175  ],
       [ 0.74697013,  0.67818982,  0.01044844,  0.296461  ],
       [ 0.00712027, -0.02358027,  0.99969345,  0.1113365 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
1,"[array([[ 0.66475815, -0.73441481, -0.02251628, -0.1061775 ],
       [ 0.7470247 ,  0.67828794,  0.01050897,  0.2964645 ],
       [ 0.00711962, -0.02367171,  0.99969124,  0.111335  ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
2,"[array([[ 0.66472232, -0.73459333, -0.0225208 , -0.106177  ],
       [ 0.74705617,  0.67809573,  0.01045335,  0.296465  ],
       [ 0.00716304, -0.02363929,  0.99969172,  0.1113355 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
3,"[array([[ 0.66481752, -0.73448888, -0.02243092, -0.106174  ],
       [ 0.74697303,  0.67820776,  0.01059932,  0.2964655 ],
       [ 0.00699721, -0.02367109,  0.99969221,  0.111335  ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
4,"[array([[ 0.6625834 , -0.73334667, -0.0257323 , -0.106132  ],
       [ 0.7489412 ,  0.67932867,  0.01157378,  0.2964565 ],
       [ 0.00838505, -0.02674375,  0.99960187,  0.1112855 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
5,"[array([[ 0.66462597, -0.73448924, -0.02231675, -0.106173  ],
       [ 0.74714347,  0.67821286,  0.01049052,  0.2964615 ],
       [ 0.0069965 , -0.02351337,  0.99969591,  0.1113355 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
6,"[array([[ 0.66485549, -0.73455408, -0.02230068, -0.1061745 ],
       [ 0.74693845,  0.67814576,  0.01037367,  0.296455  ],
       [ 0.00708038, -0.023423  ,  0.99969749,  0.111333  ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
7,"[array([[ 0.66468437, -0.73453127, -0.02246425, -0.106179  ],
       [ 0.74709074,  0.67816302,  0.01051271,  0.296458  ],
       [ 0.00707987, -0.02363729,  0.99969237,  0.1113315 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
8,"[array([[ 0.6801935 , -0.72092797, -0.02138225, -0.1137895 ],
       [ 0.73299128,  0.69266667,  0.00922578,  0.30209   ],
       [ 0.00778376, -0.02181137,  0.99972881,  0.111294  ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
9,"[array([[ 0.73271429, -0.66890719, -0.02006375, -0.1253805 ],
       [ 0.68048348,  0.74307101,  0.00913704,  0.31802   ],
       [ 0.00848545, -0.02021517,  0.99975695,  0.1112165 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
10,"[array([[ 0.79546916, -0.59346915, -0.01642354, -0.131513  ],
       [ 0.6059402 ,  0.80469025,  0.00822678,  0.337333  ],
       [ 0.00808085, -0.01636963,  0.99983128,  0.1112365 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
11,"[array([[ 0.84213836, -0.52421016, -0.01714899, -0.137681  ],
       [ 0.53919457,  0.85139047,  0.01102968,  0.353449  ],
       [ 0.00849645, -0.01838406,  0.99979211,  0.1111505 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
12,"[array([[ 0.84223457, -0.5241243 , -0.01705881, -0.137644  ],
       [ 0.53904497,  0.85144536,  0.01097571,  0.3534605 ],
       [ 0.00845286, -0.01828992,  0.99979424,  0.111159  ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
13,"[array([[ 0.84235425, -0.5242478 , -0.01714621, -0.1376435 ],
       [ 0.53885593,  0.85136997,  0.01088509,  0.3534635 ],
       [ 0.00857946, -0.01825986,  0.99979374,  0.1111575 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
14,"[array([[ 0.84222932, -0.52414596, -0.01710962, -0.1376445 ],
       [ 0.53905316,  0.85143002,  0.01105335,  0.3534635 ],
       [ 0.00845363, -0.0183829 ,  0.99979252,  0.1111585 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
15,"[array([[ 0.84224892, -0.52402825, -0.0169879 , -0.1376435 ],
       [ 0.53902446,  0.85150314,  0.01109345,  0.3534655 ],
       [ 0.00833012, -0.01835203,  0.99979415,  0.111159  ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
16,"[array([[ 0.84227288, -0.5240589 , -0.01701947, -0.1376435 ],
       [ 0.53898702,  0.85148296,  0.0111454 ,  0.353464  ],
       [ 0.00832954, -0.01841313,  0.99979304,  0.111157  ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
17,"[array([[ 0.84223962, -0.52424631, -0.01705857, -0.1376395 ],
       [ 0.53903831,  0.85136754,  0.01112168,  0.3534665 ],
       [ 0.00837413, -0.01841535,  0.99979264,  0.111156  ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
18,"[array([[ 0.84215561, -0.52404882, -0.01704834, -0.137637  ],
       [ 0.53916765,  0.85149378,  0.0108755 ,  0.353461  ],
       [ 0.00849538, -0.0181983 ,  0.99979552,  0.1111585 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
19,"[array([[ 0.84792294, -0.51446862, -0.01736371, -0.1365595 ],
       [ 0.53004464,  0.85731298,  0.01097259,  0.352916  ],
       [ 0.00890901, -0.0183439 ,  0.99978903,  0.111151  ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
20,"[array([[ 0.89006051, -0.44217022, -0.01490173, -0.128655  ],
       [ 0.45576681,  0.89678193,  0.01089301,  0.347177  ],
       [ 0.00830018, -0.01636055,  0.99982963,  0.111245  ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
21,"[array([[ 0.92409583, -0.3666674 , -0.01483805, -0.1255585 ],
       [ 0.38206184,  0.93018453,  0.01312932,  0.3396845 ],
       [ 0.00869728, -0.01765679,  0.99980371,  0.1112285 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
22,"[array([[ 0.95005245, -0.29490939, -0.01299289, -0.1211925 ],
       [ 0.31199386,  0.95535785,  0.01470499,  0.332296  ],
       [ 0.00775755, -0.0178837 ,  0.99980746,  0.1112655 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
23,"[array([[ 0.97574082, -0.20156139, -0.01190216, -0.1134695 ],
       [ 0.21877948,  0.9793068 ,  0.01613001,  0.329172  ],
       [ 0.00808614, -0.0181989 ,  0.99979906,  0.1113025 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
24,"[array([[ 0.98783627, -0.14019707, -0.00999999, -0.10481   ],
       [ 0.15531446,  0.98998969,  0.01503041,  0.332079  ],
       [ 0.00754514, -0.01628457,  0.99983703,  0.111405  ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
25,"[array([[ 0.99859407, -0.03573691, -0.0078635 , -0.088975  ],
       [ 0.05255542,  0.99919641,  0.01787949,  0.333113  ],
       [ 0.0069141 , -0.0181496 ,  0.99980923,  0.1114665 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
26,"[array([[ 0.99992973,  0.02614079, -0.00673341, -0.0613805 ],
       [-0.00962975,  0.99948809,  0.01862693,  0.3328075 ],
       [ 0.00691366, -0.01844499,  0.99980383,  0.111668  ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
27,"[array([[ 0.9986282 ,  0.06869503, -0.00470103, -0.0197305 ],
       [-0.05205221,  0.99746432,  0.01896654,  0.3335885 ],
       [ 0.00568292, -0.01859906,  0.99980907,  0.1120015 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
28,"[array([[ 0.99899959,  0.06133306, -0.00493397,  0.0057025 ],
       [-0.04435148,  0.99796273,  0.01790429,  0.344843  ],
       [ 0.0057241 , -0.01756823,  0.99982753,  0.112212  ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
29,"[array([[ 0.9993345 ,  0.05495681, -0.00874439,  0.0310965 ],
       [-0.03526286,  0.99835613,  0.01677719,  0.3618245 ],
       [ 0.00933186, -0.01627195,  0.99982101,  0.112418  ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
30,"[array([[ 0.99870336,  0.06716588, -0.00670629,  0.0573835 ],
       [-0.05034544,  0.99760815,  0.01681974,  0.381889  ],
       [ 0.00754563, -0.01633175,  0.99983605,  0.112634  ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
31,"[array([[ 0.99748204,  0.08862473, -0.00453623,  0.0808545 ],
       [-0.0706783 ,  0.99589894,  0.01866743,  0.402325  ],
       [ 0.00584526, -0.01819221,  0.99981546,  0.112829  ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
32,"[array([[ 0.99625824,  0.1051295 , -0.00432184,  0.101676  ],
       [-0.08622851,  0.99430835,  0.0178358 ,  0.422893  ],
       [ 0.00584461, -0.01728284,  0.99983159,  0.1130015 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
33,"[array([[ 0.99450385,  0.12268469, -0.0035264 ,  0.1209615 ],
       [-0.10455895,  0.99228522,  0.01841833,  0.4441965 ],
       [ 0.00543377, -0.01784674,  0.99982415,  0.1131515 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
34,"[array([[ 0.99363384,  0.13052952, -0.00275189,  0.136454  ],
       [-0.11255831,  0.99129431,  0.01776317,  0.4615095 ],
       [ 0.00473453, -0.01725211,  0.99983844,  0.1132965 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
35,"[array([[ 0.99202583,  0.14347947, -0.00283783,  0.145258  ],
       [-0.12593298,  0.98950284,  0.01784793,  0.472003  ],
       [ 0.00506367, -0.01725623,  0.99983669,  0.1133695 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
36,"[array([[ 0.99201871,  0.14388425, -0.0024925 ,  0.145274  ],
       [-0.12599873,  0.98943008,  0.01859203,  0.472038  ],
       [ 0.00481602, -0.01804006,  0.99982405,  0.1133375 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
37,"[array([[ 0.9920125 ,  0.1436609 , -0.00151108,  0.1431315 ],
       [-0.12608026,  0.98945624,  0.01879409,  0.468732  ],
       [ 0.00386926, -0.01838211,  0.99982223,  0.113311  ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
38,"[array([[ 0.99505293,  0.11735927, -0.00308275,  0.1243865 ],
       [-0.09922544,  0.99292738,  0.01843407,  0.4497895 ],
       [ 0.00489748, -0.01794503,  0.99982533,  0.113148  ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
