,time
0,0.8666659999999999
1,1.0749999999999997
2,1.2833329999999998
3,1.491666
4,1.7000000000000002
5,1.9083329999999998
6,2.1166659999999995
7,2.325
8,2.533333
9,2.7416659999999995
10,2.95
11,3.158333
12,3.3666659999999995
13,3.575
14,3.783333
15,3.9916659999999995
16,4.2
17,4.408333
18,4.6166659999999995
19,4.825
20,5.033333
21,5.2416659999999995
22,5.8666659999999995
23,6.075
24,6.283333
25,6.7
26,7.1166659999999995
27,7.7416659999999995
28,7.95
29,8.158332999999999
30,8.366665999999999
31,8.575
32,8.783332999999999
33,8.991665999999999
34,9.2
35,9.408332999999999
36,9.616665999999999
37,9.825
38,10.033332999999999
39,10.241665999999999
40,10.45
41,10.658332999999999
42,10.866665999999999
43,11.075
44,11.283332999999999
45,11.491665999999999
46,11.7
47,11.908332999999999
48,12.116665999999999
49,12.325
50,12.533332999999999
51,12.741665999999999
52,12.95
53,13.158332999999999
54,13.366665999999999
55,13.575
56,13.783332999999999
57,13.991665999999999
58,14.2
59,14.408332999999999
60,14.616665999999999
61,14.825
62,15.033332999999999
63,15.241665999999999
64,15.45
65,15.658332999999999
66,15.866665999999999
67,16.075
68,16.283333
69,16.491666
70,16.7
71,16.908333
72,17.116666
73,17.325
74,17.533333
75,17.741666
76,17.95
77,18.158333
78,18.366666
79,18.575
80,18.783333
81,18.991666
82,19.2
83,19.408333
84,19.616666
85,19.825
86,20.033333
87,20.241666
88,20.45
89,20.658333
90,20.866666
91,21.075
92,21.283333
93,21.491666
94,21.7
95,21.908333
96,22.116666
97,22.325
98,22.533333
99,22.741666
100,22.95
101,23.158333
102,23.366666
103,23.575
104,23.783333
105,23.991666
106,24.2
107,24.408333
108,24.616666
109,24.825
110,25.033333
111,25.241666
112,25.45
113,25.658333
114,25.866666
115,26.075
116,26.283333
117,26.491666
118,26.7
119,26.908333
120,27.116666
121,27.325
122,27.533333
123,27.741666
124,27.95
125,28.158333
126,28.366666
127,28.575
128,28.783333
129,28.991666
130,29.2
131,29.408333
132,29.616666000000002
133,29.824999999999996
134,30.033333
135,30.241666000000002
136,30.449999999999996
137,30.658333
138,30.866666000000002
139,31.074999999999996
140,31.283333
141,31.491666000000002
142,31.699999999999996
143,31.908333
144,32.116666
145,32.324999999999996
146,32.533333
147,32.741666
148,32.949999999999996
149,33.158333
150,33.366666
151,33.574999999999996
152,33.783333
153,33.991666
154,34.199999999999996
155,34.408333
156,34.616666
157,34.824999999999996
158,35.033333
159,35.241666
160,35.449999999999996
161,35.658333
162,35.866666
163,36.074999999999996
164,36.283333
165,36.491666
166,36.699999999999996
167,36.908333
168,37.116666
169,37.324999999999996
170,37.533333
171,37.741666
172,37.949999999999996
173,38.158333
174,38.366666
175,38.574999999999996
176,38.783333
177,38.991666
178,39.199999999999996
179,39.408333
180,39.616666
181,39.824999999999996
182,40.033333
183,40.241666
184,40.449999999999996
185,40.658333
186,40.866666
187,41.074999999999996
188,41.283333
189,41.491666
190,41.699999999999996
191,41.908333
192,42.116666
193,42.324999999999996
194,42.533333
195,42.741666
196,42.949999999999996
197,43.158333
198,43.366666
199,43.574999999999996
200,43.783333
201,43.991666
202,44.199999999999996
203,44.408333
204,44.616666
205,44.824999999999996
206,45.033333
207,45.241666
208,45.449999999999996
209,45.658333
210,45.866666
211,46.074999999999996
212,46.283333
213,46.491666
214,46.699999999999996
215,46.908333
216,47.116666
217,47.324999999999996
218,47.533333
219,47.741666
220,47.949999999999996
221,48.158333
222,48.366666
223,48.574999999999996
224,48.783333
225,48.991666
226,49.199999999999996
227,49.408333
228,49.616666
229,49.824999999999996
230,50.033333
231,50.241666
232,50.449999999999996
233,50.658333
234,50.866666
235,51.074999999999996
236,51.283333
237,51.491666
238,51.699999999999996
239,51.908333
240,52.116666
241,52.324999999999996
242,52.533333
243,52.741666
244,52.949999999999996
245,53.158333
246,53.366666
247,53.574999999999996
248,53.783333
249,53.991666
250,54.199999999999996
251,54.408333
252,54.616666
253,54.824999999999996
254,55.033333
255,55.241666
256,55.449999999999996
257,55.658333
258,55.866666
259,56.074999999999996
260,56.283333
261,56.491666
262,56.699999999999996
263,56.908333
264,57.116666
265,57.324999999999996
266,57.533333
267,57.741666
268,57.949999999999996
269,58.158333
270,58.366666
271,58.574999999999996
272,58.783333
273,58.991666
