,features,labels
0,"[9.688, 0.154, 0.029, 0.071, 0.081, 0.103, 9.781, -0.337, 0.505, 0.015, 0.015, -0.047, 9.59, 0.218, -0.023, 0.078, 0.076, 0.067, 9.744, -0.354, 0.459, 0.023, 0.005, -0.062, 9.59, 0.157, 0.03, 0.08, 0.069, 0.044, 9.73, -0.311, 0.453, 0.026, -0.0, -0.075, 9.592, 0.186, -0.067, 0.079, 0.066, 0.003, 9.701, -0.4, 0.437, 0.027, -0.007, -0.066, 9.59, 0.161, 0.062, 0.088, 0.059, -0.035, 9.748, -0.345, 0.419, 0.026, -0.01, -0.064]","[True, True, False, False]"
1,"[9.59, 0.161, 0.062, 0.088, 0.059, -0.035, 9.748, -0.345, 0.419, 0.026, -0.01, -0.064, 9.6, 0.144, 0.014, 0.079, 0.044, -0.064, 9.738, -0.398, 0.461, 0.025, -0.009, -0.059, 9.703, 0.134, -0.14, 0.073, 0.035, -0.079, 9.717, -0.343, 0.527, 0.02, -0.012, -0.053, 9.62, 0.215, 0.053, 0.072, 0.024, -0.081, 9.78, -0.382, 0.474, 0.021, -0.008, -0.049, 9.683, 0.203, -0.042, 0.067, 0.024, -0.082, 9.708, -0.415, 0.421, 0.014, -0.011, -0.038]","[True, True, False, False]"
2,"[9.683, 0.203, -0.042, 0.067, 0.024, -0.082, 9.708, -0.415, 0.421, 0.014, -0.011, -0.038, 9.725, 0.145, -0.028, 0.066, 0.023, -0.07, 9.795, -0.374, 0.339, 0.011, -0.006, -0.031, 9.654, 0.144, 0.028, 0.064, 0.024, -0.057, 9.699, -0.419, 0.371, 0.015, -0.006, -0.052, 9.669, 0.157, 0.025, 0.067, 0.025, -0.046, 9.718, -0.325, 0.428, 0.015, -0.005, -0.044, 9.496, 0.162, 0.087, 0.065, 0.029, -0.025, 9.773, -0.317, 0.375, 0.019, -0.003, -0.05]","[True, True, False, False]"
3,"[9.496, 0.162, 0.087, 0.065, 0.029, -0.025, 9.773, -0.317, 0.375, 0.019, -0.003, -0.05, 9.583, 0.161, 0.127, 0.069, 0.037, -0.026, 9.731, -0.333, 0.444, 0.016, -0.003, -0.046, 9.629, 0.303, 0.086, 0.075, 0.04, -0.029, 9.746, -0.322, 0.454, 0.016, -0.006, -0.046, 9.629, 0.18, 0.007, 0.069, 0.036, -0.031, 9.718, -0.378, 0.41, 0.015, -0.006, -0.047, 9.648, 0.138, 0.045, 0.07, 0.036, -0.023, 9.723, -0.406, 0.351, 0.016, -0.006, -0.048]","[True, True, False, False]"
4,"[9.629, 0.18, 0.007, 0.069, 0.036, -0.031, 9.718, -0.378, 0.41, 0.015, -0.006, -0.047, 9.648, 0.138, 0.045, 0.07, 0.036, -0.023, 9.723, -0.406, 0.351, 0.016, -0.006, -0.048, 9.626, 0.163, -0.079, 0.065, 0.034, -0.025, 9.739, -0.34, 0.354, 0.013, -0.006, -0.045, 9.689, 0.106, -0.032, 0.067, 0.035, -0.027, 9.71, -0.341, 0.474, 0.016, -0.004, -0.043, 9.644, 0.122, 0.149, 0.069, 0.038, -0.025, 9.735, -0.37, 0.387, 0.015, -0.003, -0.049]","[True, True, False, False]"
5,"[9.644, 0.122, 0.149, 0.069, 0.038, -0.025, 9.735, -0.37, 0.387, 0.015, -0.003, -0.049, 9.619, 0.142, 0.072, 0.07, 0.034, -0.023, 9.766, -0.361, 0.368, 0.015, -0.002, -0.045, 9.683, 0.166, 0.054, 0.072, 0.038, -0.023, 9.711, -0.394, 0.388, 0.013, -0.004, -0.049, 9.644, 0.163, 0.0, 0.067, 0.036, -0.026, 9.687, -0.376, 0.497, 0.017, -0.006, -0.049, 9.73, 0.127, -0.009, 0.069, 0.033, -0.024, 9.709, -0.343, 0.5, 0.015, -0.007, -0.049]","[True, True, False, False]"
6,"[9.73, 0.127, -0.009, 0.069, 0.033, -0.024, 9.709, -0.343, 0.5, 0.015, -0.007, -0.049, 9.627, 0.1, 0.002, 0.073, 0.036, -0.022, 9.774, -0.455, 0.616, 0.012, -0.005, -0.05, 9.65, 0.198, -0.063, 0.072, 0.037, -0.028, 9.665, -0.345, 0.428, 0.014, -0.006, -0.05, 9.705, 0.148, -0.026, 0.074, 0.033, -0.025, 9.748, -0.378, 0.49, 0.017, -0.004, -0.047, 9.666, 0.178, -0.018, 0.068, 0.038, -0.024, 9.701, -0.392, 0.449, 0.015, -0.003, -0.048]","[True, True, False, False]"
7,"[9.666, 0.178, -0.018, 0.068, 0.038, -0.024, 9.701, -0.392, 0.449, 0.015, -0.003, -0.048, 9.598, 0.197, 0.108, 0.073, 0.035, -0.024, 9.742, -0.343, 0.368, 0.015, -0.003, -0.049, 9.608, 0.156, 0.087, 0.072, 0.034, -0.027, 9.794, -0.32, 0.336, 0.015, -0.005, -0.044, 9.547, 0.172, 0.028, 0.072, 0.038, -0.022, 9.762, -0.324, 0.465, 0.013, -0.004, -0.045, 9.644, 0.154, -0.099, 0.069, 0.036, -0.028, 9.693, -0.36, 0.495, 0.012, -0.007, -0.044]","[True, True, False, False]"
8,"[9.644, 0.154, -0.099, 0.069, 0.036, -0.028, 9.693, -0.36, 0.495, 0.012, -0.007, -0.044, 9.662, 0.2, -0.053, 0.067, 0.038, -0.025, 9.739, -0.37, 0.347, 0.016, -0.005, -0.044, 9.675, 0.169, -0.01, 0.072, 0.036, -0.029, 9.707, -0.375, 0.491, 0.017, -0.006, -0.046, 9.693, 0.184, 0.093, 0.075, 0.036, -0.028, 9.739, -0.376, 0.338, 0.015, -0.002, -0.044, 9.657, 0.165, -0.008, 0.069, 0.035, -0.028, 9.681, -0.364, 0.506, 0.018, -0.007, -0.044]","[True, True, False, False]"
9,"[9.657, 0.165, -0.008, 0.069, 0.035, -0.028, 9.681, -0.364, 0.506, 0.018, -0.007, -0.044, 9.615, 0.191, 0.044, 0.075, 0.036, -0.029, 9.701, -0.369, 0.397, 0.019, -0.006, -0.049, 9.671, 0.163, 0.017, 0.064, 0.035, -0.024, 9.762, -0.377, 0.429, 0.017, -0.002, -0.045, 9.643, 0.176, 0.047, 0.072, 0.039, -0.024, 9.711, -0.367, 0.471, 0.012, -0.002, -0.046, 9.72, 0.173, -0.03, 0.067, 0.038, -0.027, 9.766, -0.357, 0.449, 0.018, -0.005, -0.046]","[True, True, False, False]"
