,LP,LD1,LD2,RP,RD1,RD2
0,"[array([[-0.85828554, -0.51216863, -0.03208149, -0.11205332],
       [ 0.51181122, -0.85888491,  0.01913077,  0.26562761],
       [-0.03735249,  0.        ,  0.99930215,  0.0852037 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.389971  , -0.92082229,  0.00298808, -0.16561978],
       [ 0.92079526,  0.38998245,  0.00705543,  0.31116963],
       [-0.0076621 , -0.        ,  0.99997065,  0.08306965],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.389971  , -0.92082229,  0.00298808, -0.16561978],
       [ 0.92079526,  0.38998245,  0.00705543,  0.31116963],
       [-0.0076621 , -0.        ,  0.99997065,  0.08306965],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.11639937, -0.9932018 , -0.00117113, -0.05827801],
       [ 0.99315153,  0.11640526, -0.00999238,  0.2763175 ],
       [ 0.01006078,  0.        ,  0.99994939,  0.08541164],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.73906572, -0.67363135,  0.00163183, -0.05141114],
       [ 0.6736297 , -0.73906753, -0.00148735,  0.3317544 ],
       [ 0.00220796, -0.        ,  0.99999756,  0.08398979],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.73906572, -0.67363135,  0.00163183, -0.05141114],
       [ 0.6736297 , -0.73906753, -0.00148735,  0.3317544 ],
       [ 0.00220796, -0.        ,  0.99999756,  0.08398979],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
1,"[array([[-0.85802856, -0.51260644, -0.03196304, -0.11206806],
       [ 0.51225114, -0.85862369,  0.01908224,  0.26561773],
       [-0.0372259 ,  0.        ,  0.99930688,  0.08520086],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.38980125, -0.92089441,  0.00291053, -0.1656107 ],
       [ 0.92086874,  0.38981211,  0.00687586,  0.31117153],
       [-0.0074665 , -0.        ,  0.99997213,  0.08305843],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.38980125, -0.92089441,  0.00291053, -0.1656107 ],
       [ 0.92086874,  0.38981211,  0.00687586,  0.31117153],
       [-0.0074665 , -0.        ,  0.99997213,  0.08305843],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.11603737, -0.99324419, -0.00114551, -0.05826428],
       [ 0.99319579,  0.11604302, -0.00980477,  0.2763153 ],
       [ 0.00987146,  0.        ,  0.99995128,  0.08541788],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.73909102, -0.67360394,  0.00148359, -0.05140896],
       [ 0.67360258, -0.73909251, -0.00135213,  0.33175692],
       [ 0.00200731, -0.        ,  0.99999799,  0.08399717],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.73909102, -0.67360394,  0.00148359, -0.05140896],
       [ 0.67360258, -0.73909251, -0.00135213,  0.33175692],
       [ 0.00200731, -0.        ,  0.99999799,  0.08399717],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
2,"[array([[-0.85803259, -0.51260644, -0.03185466, -0.11207097],
       [ 0.51225354, -0.85862369,  0.01901753,  0.26562068],
       [-0.03709967,  0.        ,  0.99931157,  0.08519803],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.38962737, -0.92096794,  0.00292807, -0.16560251],
       [ 0.92094193,  0.38963837,  0.00692093,  0.31117042],
       [-0.00751485, -0.        ,  0.99997176,  0.08306097],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.38962737, -0.92096794,  0.00292807, -0.16560251],
       [ 0.92094193,  0.38963837,  0.00692093,  0.31117042],
       [-0.00751485, -0.        ,  0.99997176,  0.08306097],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.11612201, -0.99323427, -0.00116875, -0.05826809],
       [ 0.99318396,  0.11612789, -0.00999624,  0.27632031],
       [ 0.01006433,  0.        ,  0.99994935,  0.08541256],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.73909727, -0.67359665,  0.0016694 , -0.05141166],
       [ 0.67359493, -0.73909915, -0.00152145,  0.33176107],
       [ 0.0022587 , -0.        ,  0.99999745,  0.08398617],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.73909727, -0.67359665,  0.0016694 , -0.05141166],
       [ 0.67359493, -0.73909915, -0.00152145,  0.33176107],
       [ 0.0022587 , -0.        ,  0.99999745,  0.08398617],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
3,"[array([[-0.85812249, -0.51243794, -0.03214259, -0.11206404],
       [ 0.51207884, -0.85872426,  0.01918088,  0.26562445],
       [-0.03743063,  0.        ,  0.99929923,  0.08520445],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.38955514, -0.92099885,  0.00281175, -0.16559835],
       [ 0.92097486,  0.38956529,  0.00664747,  0.31116604],
       [-0.00721767, -0.        ,  0.99997395,  0.08304652],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.38955514, -0.92099885,  0.00281175, -0.16559835],
       [ 0.92097486,  0.38956529,  0.00664747,  0.31116604],
       [-0.00721767, -0.        ,  0.99997395,  0.08304652],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.11635878, -0.99320657, -0.00115613, -0.05827515],
       [ 0.99315755,  0.11636453, -0.0098679 ,  0.27631901],
       [ 0.0099354 ,  0.        ,  0.99995064,  0.08541445],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.73909063, -0.67360394,  0.00166903, -0.05140997],
       [ 0.67360222, -0.73909251, -0.00152115,  0.33175693],
       [ 0.00225822, -0.        ,  0.99999745,  0.08398819],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.73909063, -0.67360394,  0.00166903, -0.05140997],
       [ 0.67360222, -0.73909251, -0.00152115,  0.33175693],
       [ 0.00225822, -0.        ,  0.99999745,  0.08398819],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
4,"[array([[-0.86186196, -0.50513377, -0.0450981 , -0.11166719],
       [ 0.50444365, -0.86304106,  0.0263957 ,  0.26576637],
       [-0.05225487,  0.        ,  0.99863378,  0.08578551],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.38983236, -0.92088137,  0.00287145, -0.16561264],
       [ 0.92085639,  0.38984293,  0.0067829 ,  0.31117306],
       [-0.00736566, -0.        ,  0.99997287,  0.08305423],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.38983236, -0.92088137,  0.00287145, -0.16561264],
       [ 0.92085639,  0.38984293,  0.0067829 ,  0.31117306],
       [-0.00736566, -0.        ,  0.99997287,  0.08305423],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.11584154, -0.99326705, -0.00114353, -0.0582641 ],
       [ 0.99321866,  0.11584719, -0.00980459,  0.27631205],
       [ 0.00987105,  0.        ,  0.99995128,  0.08541589],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.73894955, -0.67375869,  0.00166885, -0.05142159],
       [ 0.67375698, -0.73895143, -0.00152162,  0.33175295],
       [ 0.0022584 , -0.        ,  0.99999745,  0.08398518],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.73894955, -0.67375869,  0.00166885, -0.05142159],
       [ 0.67375698, -0.73895143, -0.00152162,  0.33175295],
       [ 0.0022584 , -0.        ,  0.99999745,  0.08398518],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
5,"[array([[-0.85816389, -0.51238304, -0.03191171, -0.11206449],
       [ 0.51202915, -0.85875702,  0.01904033,  0.26562619],
       [-0.03716035,  0.        ,  0.99930932,  0.08520039],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.38996498, -0.92082502,  0.00293015, -0.1656206 ],
       [ 0.92079903,  0.38997599,  0.00691878,  0.31117748],
       [-0.00751368, -0.        ,  0.99997177,  0.08306094],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.38996498, -0.92082502,  0.00293015, -0.1656206 ],
       [ 0.92079903,  0.38997599,  0.00691878,  0.31117748],
       [-0.00751368, -0.        ,  0.99997177,  0.08306094],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.11614106, -0.99323208, -0.00113891, -0.05827249],
       [ 0.99318432,  0.11614664, -0.0097394 ,  0.27631747],
       [ 0.00980577,  0.        ,  0.99995192,  0.08541735],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.7389728 , -0.67373371,  0.00144633, -0.0514205 ],
       [ 0.67373242, -0.73897422, -0.00131864,  0.33175341],
       [ 0.00195721, -0.        ,  0.99999808,  0.08399776],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.7389728 , -0.67373371,  0.00144633, -0.0514205 ],
       [ 0.67373242, -0.73897422, -0.00131864,  0.33175341],
       [ 0.00195721, -0.        ,  0.99999808,  0.08399776],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
6,"[array([[-0.85820985, -0.51229876, -0.03202856, -0.1120645 ],
       [ 0.51194237, -0.8588073 ,  0.01910579,  0.26562356],
       [-0.03729423,  0.        ,  0.99930433,  0.08520339],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.38962265, -0.92097   ,  0.00290787, -0.16560537],
       [ 0.92094435,  0.3896335 ,  0.00687327,  0.31116432],
       [-0.00746308, -0.        ,  0.99997215,  0.08306033],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.38962265, -0.92097   ,  0.00290787, -0.16560537],
       [ 0.92094435,  0.3896335 ,  0.00687327,  0.31116432],
       [-0.00746308, -0.        ,  0.99997215,  0.08306033],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.12558218, -0.99207904, -0.00288059, -0.05847574],
       [ 0.99181815,  0.12561521, -0.0227502 ,  0.27642811],
       [ 0.02293184,  0.        ,  0.99973703,  0.08512133],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.74262305, -0.66969708, -0.0041034 , -0.05124992],
       [ 0.66968685, -0.74263438,  0.00370039,  0.33182674],
       [-0.00552547, -0.        ,  0.99998473,  0.08423271],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.74262305, -0.66969708, -0.0041034 , -0.05124992],
       [ 0.66968685, -0.74263438,  0.00370039,  0.33182674],
       [-0.00552547, -0.        ,  0.99998473,  0.08423271],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
7,"[array([[-0.8582548 , -0.51223328, -0.03187117, -0.11206375],
       [ 0.51188046, -0.85884636,  0.01900861,  0.2656285 ],
       [-0.03710928,  0.        ,  0.99931121,  0.08519625],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.38999441, -0.92081262,  0.00291156, -0.16562048],
       [ 0.92078696,  0.39000528,  0.00687427,  0.311176  ],
       [-0.00746544, -0.        ,  0.99997213,  0.0830584 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.38999441, -0.92081262,  0.00291156, -0.16562048],
       [ 0.92078696,  0.39000528,  0.00687427,  0.311176  ],
       [-0.00746544, -0.        ,  0.99997213,  0.0830584 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.12546418, -0.99209385, -0.0029197 , -0.05846923],
       [ 0.99182533,  0.12549815, -0.02308095,  0.27642991],
       [ 0.02326488,  0.        ,  0.99972934,  0.08511687],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.73912004, -0.67357166,  0.00166939, -0.05141859],
       [ 0.67356994, -0.73912193, -0.00152134,  0.33175555],
       [ 0.00225862, -0.        ,  0.99999745,  0.08398518],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.73912004, -0.67357166,  0.00166939, -0.05141859],
       [ 0.67356994, -0.73912193, -0.00152134,  0.33175555],
       [ 0.00225862, -0.        ,  0.99999745,  0.08398518],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
8,"[array([[-0.85817099, -0.51236344, -0.03203511, -0.1120671 ],
       [ 0.51200683, -0.85876871,  0.01911297,  0.26562455],
       [-0.03730354,  0.        ,  0.99930398,  0.0852056 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.38970544, -0.92093496,  0.00290947, -0.16561084],
       [ 0.9209093 ,  0.3897163 ,  0.00687535,  0.31116781],
       [-0.00746562, -0.        ,  0.99997213,  0.08305841],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.38970544, -0.92093496,  0.00290947, -0.16561084],
       [ 0.9209093 ,  0.3897163 ,  0.00687535,  0.31116781],
       [-0.00746562, -0.        ,  0.99997213,  0.08305841],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.11625504, -0.99321871, -0.00117015, -0.05827093],
       [ 0.9931684 ,  0.11626093, -0.00999657,  0.27631784],
       [ 0.01006482,  0.        ,  0.99994935,  0.08541655],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.73917034, -0.67351681,  0.00152121, -0.05141624],
       [ 0.67351539, -0.7391719 , -0.00138609,  0.3317556 ],
       [ 0.00205799, -0.        ,  0.99999788,  0.08399756],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.73917034, -0.67351681,  0.00152121, -0.05141624],
       [ 0.67351539, -0.7391719 , -0.00138609,  0.3317556 ],
       [ 0.00205799, -0.        ,  0.99999788,  0.08399756],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
9,"[array([[-0.85805215, -0.51259739, -0.03147107, -0.11205643],
       [ 0.51225296, -0.85862909,  0.01878807,  0.26562463],
       [-0.03665269,  0.        ,  0.99932806,  0.08519502],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.39027691, -0.92069292,  0.00291392, -0.16559992],
       [ 0.92066725,  0.39028778,  0.00687397,  0.31119708],
       [-0.00746608, -0.        ,  0.99997213,  0.08308342],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.39027691, -0.92069292,  0.00291392, -0.16559992],
       [ 0.92066725,  0.39028778,  0.00687397,  0.31119708],
       [-0.00746608, -0.        ,  0.99997213,  0.08308342],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.12559018, -0.99207793, -0.00291456, -0.05846191],
       [ 0.99181089,  0.12562399, -0.02301683,  0.27642935],
       [ 0.02320063,  0.        ,  0.99973083,  0.08512031],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.73892481, -0.6737861 ,  0.00155749, -0.05140775],
       [ 0.6737846 , -0.73892645, -0.00142019,  0.33175241],
       [ 0.00210777, -0.        ,  0.99999778,  0.08399297],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.73892481, -0.6737861 ,  0.00155749, -0.05140775],
       [ 0.6737846 , -0.73892645, -0.00142019,  0.33175241],
       [ 0.00210777, -0.        ,  0.99999778,  0.08399297],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
