,features,labels
0,"[9.654, 0.082, 0.054, 0.073, 0.034, -0.069, 9.729, 0.12, -0.199, 0.02, -0.009, -0.031, 9.628, 0.08, 0.068, 0.071, 0.03, -0.067, 9.658, 0.129, -0.188, 0.012, -0.005, -0.027, 9.567, 0.072, 0.007, 0.07, 0.029, -0.053, 9.705, 0.101, -0.098, 0.009, -0.007, -0.022, 9.639, 0.089, -0.011, 0.068, 0.03, -0.04, 9.729, 0.136, -0.227, 0.02, -0.004, -0.037, 9.6, 0.097, 0.06, 0.067, 0.03, -0.029, 9.687, 0.111, -0.217, 0.018, 0.0, -0.031]","[False, False, False, False]"
1,"[9.619, 0.072, -0.018, 0.07, 0.038, -0.015, 9.662, 0.126, -0.266, 0.016, -0.005, -0.031, 9.614, 0.104, 0.048, 0.071, 0.042, -0.018, 9.705, 0.117, -0.197, 0.013, -0.001, -0.034, 9.626, 0.083, 0.047, 0.069, 0.038, -0.015, 9.718, 0.154, -0.198, 0.016, -0.005, -0.031, 9.605, 0.077, 0.073, 0.073, 0.044, -0.013, 9.688, 0.123, -0.158, 0.02, -0.003, -0.033, 9.551, 0.098, 0.002, 0.066, 0.038, -0.013, 9.688, 0.095, -0.254, 0.021, -0.002, -0.033]","[False, False, False, False]"
2,"[9.544, 0.089, 0.062, 0.07, 0.044, -0.013, 9.777, 0.123, -0.243, 0.017, -0.002, -0.035, 9.715, 0.048, 0.063, 0.07, 0.04, -0.01, 9.72, 0.156, -0.22, 0.016, -0.0, -0.032, 9.621, 0.074, 0.083, 0.071, 0.037, -0.018, 9.769, 0.096, -0.187, 0.018, -0.008, -0.031, 9.508, 0.104, 0.097, 0.068, 0.045, -0.015, 9.653, 0.135, -0.273, 0.015, -0.008, -0.034, 9.578, 0.078, -0.016, 0.073, 0.043, -0.014, 9.882, 0.387, -0.463, 0.016, 0.002, -0.032]","[False, False, False, False]"
3,"[9.639, -0.166, -0.264, 0.073, 0.042, -0.013, 10.514, 0.195, -0.43, 0.023, -0.001, -0.022, 10.067, -0.58, -0.597, 0.076, 0.046, -0.008, 10.397, 0.199, -0.205, 0.02, -0.002, -0.042, 9.481, -0.194, -0.333, 0.098, 0.043, -0.01, 10.137, 0.43, -0.678, 0.006, 0.001, -0.038, 9.617, -0.065, 0.03, 0.06, 0.04, -0.015, 9.846, 0.078, -0.23, 0.023, 0.004, -0.02, 9.651, 0.23, 0.121, 0.069, 0.043, -0.017, 9.712, -0.025, -0.217, 0.013, -0.004, -0.018]","[True, True, True, False]"
4,"[8.46, -0.196, -0.179, 0.073, 0.045, -0.018, 9.331, 0.298, -0.17, 0.011, -0.029, 0.006, 9.753, 0.055, 0.072, 0.07, 0.05, -0.005, 9.762, 0.236, -0.12, 0.022, -0.014, -0.037, 9.896, 0.068, 0.129, 0.06, 0.037, -0.004, 9.709, 0.293, -0.162, 0.038, -0.002, -0.03, 9.667, 0.014, -0.063, 0.059, 0.041, -0.005, 9.701, 0.348, -0.228, 0.031, -0.001, -0.025, 9.726, -0.014, -0.025, 0.074, 0.035, -0.013, 9.755, 0.354, -0.294, 0.037, -0.003, -0.026]","[True, True, True, True]"
5,"[9.854, -0.114, -0.033, 0.061, 0.052, 0.02, 9.732, 0.275, -0.147, -0.005, -0.002, -0.03, 9.556, 0.201, 0.144, 0.053, 0.043, -0.002, 9.758, 0.356, -0.355, 0.003, -0.007, -0.032, 9.41, 0.112, 0.079, 0.065, 0.043, -0.011, 9.68, 0.365, -0.385, 0.009, -0.004, -0.029, 9.656, 0.081, -0.015, 0.067, 0.04, -0.013, 9.769, 0.36, -0.258, 0.017, -0.005, -0.032, 9.745, -0.018, -0.106, 0.073, 0.042, -0.014, 9.745, 0.293, -0.106, 0.029, -0.005, -0.033]","[True, True, True, False]"
6,"[9.514, 0.17, 0.066, 0.067, 0.044, -0.01, 9.631, 0.159, -0.224, 0.022, -0.015, -0.049, 9.534, 0.346, 0.235, 0.084, 0.043, -0.016, 9.755, 0.162, -0.053, 0.105, 0.006, -0.033, 9.733, 0.26, 0.431, 0.139, 0.04, -0.033, 9.563, 0.28, -0.114, 0.088, -0.014, -0.049, 9.695, 0.215, 0.178, 0.05, 0.044, -0.01, 9.687, 0.276, -0.087, 0.049, -0.014, -0.038, 9.647, 0.109, 0.074, 0.068, 0.044, -0.012, 9.738, 0.33, -0.278, 0.036, -0.005, -0.027]","[False, False, False, False]"
7,"[9.605, 0.062, 0.081, 0.083, 0.04, -0.013, 9.433, 0.253, -0.202, 0.02, -0.014, -0.066, 9.644, 0.023, -0.107, 0.09, 0.049, -0.012, 9.747, 0.238, -0.115, 0.016, -0.017, -0.131, 9.727, 0.191, 0.076, 0.095, 0.058, -0.012, 9.48, 1.019, -1.06, 0.028, -0.005, -0.105, 9.766, -0.033, -0.089, 0.108, 0.054, -0.011, 9.681, 0.109, -0.108, 0.008, 0.011, -0.085, 9.845, 0.747, 0.687, 0.075, 0.047, -0.013, 9.342, 0.331, -0.109, 0.026, -0.018, -0.077]","[False, False, False, False]"
8,"[9.602, 0.074, -0.05, 0.071, 0.043, -0.011, 9.656, 0.178, -0.169, 0.018, -0.004, -0.03, 9.693, 0.057, -0.026, 0.073, 0.047, -0.018, 9.796, 0.188, -0.09, 0.015, -0.002, -0.035, 9.62, 0.085, 0.023, 0.077, 0.041, -0.015, 9.689, 0.166, -0.224, 0.014, -0.006, -0.031, 9.654, 0.074, 0.093, 0.068, 0.045, -0.017, 9.717, 0.215, -0.188, 0.017, -0.004, -0.032, 9.657, 0.064, 0.086, 0.074, 0.04, -0.013, 9.731, 0.188, -0.157, 0.017, -0.005, -0.034]","[False, False, False, False]"
9,"[9.555, 0.077, 0.132, 0.074, 0.041, -0.012, 9.675, 0.178, -0.18, 0.014, -0.004, -0.032, 9.612, 0.053, 0.061, 0.071, 0.046, -0.013, 9.708, 0.175, -0.299, 0.017, -0.005, -0.033, 9.669, 0.093, 0.06, 0.073, 0.043, -0.011, 9.699, 0.144, -0.27, 0.019, -0.005, -0.031, 9.634, 0.089, 0.033, 0.075, 0.045, -0.014, 9.727, 0.178, -0.187, 0.015, -0.005, -0.033, 9.689, 0.096, 0.014, 0.072, 0.044, -0.01, 9.693, 0.217, -0.031, 0.026, -0.008, -0.029]","[False, False, False, False]"
