,LP,LD1,LD2,RP,RD1,RD2
0,"[array([[-0.93442861, -0.35459602, -0.03323925, -0.16190633],
       [ 0.35437188, -0.93501961,  0.01260562,  0.11512122],
       [-0.03554925,  0.        ,  0.99936793,  0.0848033 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.06327669, -0.99799514,  0.00133071, -0.22382718],
       [ 0.99777452,  0.06329068,  0.02098317,  0.15043758],
       [-0.02102532, -0.        ,  0.99977894,  0.08268661],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.06327669, -0.99799514,  0.00133071, -0.22382718],
       [ 0.99777452,  0.06329068,  0.02098317,  0.15043758],
       [-0.02102532, -0.        ,  0.99977894,  0.08268661],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.08176878, -0.99664362,  0.0039182 , -0.10969183],
       [ 0.99550138,  0.0818626 ,  0.04770245,  0.1239113 ],
       [-0.04786309,  0.        ,  0.99885391,  0.08596613],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.8673643 , -0.49557084,  0.04570244, -0.10360691],
       [ 0.49488433, -0.86856752, -0.02607603,  0.17735387],
       [ 0.05261818, -0.        ,  0.9986147 ,  0.08212074],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.8673643 , -0.49557084,  0.04570244, -0.10360691],
       [ 0.49488433, -0.86856752, -0.02607603,  0.17735387],
       [ 0.05261818, -0.        ,  0.9986147 ,  0.08212074],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
1,"[array([[-0.93437935, -0.35468617, -0.03365943, -0.16192046],
       [ 0.35445626, -0.93498541,  0.01276868,  0.11512072],
       [-0.03599995,  0.        ,  0.99935179,  0.0848244 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.06307381, -0.998008  ,  0.00131689, -0.22382078],
       [ 0.99779054,  0.06308756,  0.02083249,  0.15043815],
       [-0.02087407, -0.        ,  0.99978211,  0.0826818 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.06307381, -0.998008  ,  0.00131689, -0.22382078],
       [ 0.99779054,  0.06308756,  0.02083249,  0.15043815],
       [-0.02087407, -0.        ,  0.99978211,  0.0826818 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.08225525, -0.99660354,  0.00393207, -0.10970837],
       [ 0.99546679,  0.08234918,  0.04758661,  0.12391739],
       [-0.04774879,  0.        ,  0.99885938,  0.08596757],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.86744178, -0.49542346,  0.04582955, -0.10359842],
       [ 0.49473346, -0.8686516 , -0.02613825,  0.17735852],
       [ 0.05275942, -0.        ,  0.99860725,  0.08211425],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.86744178, -0.49542346,  0.04582955, -0.10359842],
       [ 0.49473346, -0.8686516 , -0.02613825,  0.17735852],
       [ 0.05275942, -0.        ,  0.99860725,  0.08211425],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
2,"[array([[-0.93517227, -0.35268673, -0.03263265, -0.16187095],
       [ 0.3524722 , -0.93574145,  0.01229945,  0.11516356],
       [-0.03487357,  0.        ,  0.99939173,  0.08478717],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.06314579, -0.99800343,  0.0013252 , -0.22382505],
       [ 0.99778373,  0.06315969,  0.02093978,  0.1504437 ],
       [-0.02098167, -0.        ,  0.99977986,  0.08268722],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.06314579, -0.99800343,  0.0013252 , -0.22382505],
       [ 0.99778373,  0.06315969,  0.02093978,  0.1504437 ],
       [-0.02098167, -0.        ,  0.99977986,  0.08268722],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.08221085, -0.99660704,  0.0039729 , -0.10970941],
       [ 0.99544535,  0.08230679,  0.04810564,  0.1239165 ],
       [-0.04826942,  0.        ,  0.99883435,  0.08598424],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.86722719, -0.49578921,  0.04593535, -0.10362728],
       [ 0.49509518, -0.86844289, -0.02622423,  0.17734888],
       [ 0.05289392, -0.        ,  0.99860014,  0.08210297],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.86722719, -0.49578921,  0.04593535, -0.10362728],
       [ 0.49509518, -0.86844289, -0.02622423,  0.17734888],
       [ 0.05289392, -0.        ,  0.99860014,  0.08210297],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
3,"[array([[-0.93517112, -0.3526796 , -0.03274271, -0.1618649 ],
       [ 0.35246363, -0.93574414,  0.01234064,  0.11516273],
       [-0.03499109,  0.        ,  0.99938762,  0.0847868 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.06328296, -0.99799473,  0.00133415, -0.22382237],
       [ 0.99777302,  0.06329702,  0.02103533,  0.15044265],
       [-0.02107759, -0.        ,  0.99977784,  0.08269127],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.06328296, -0.99799473,  0.00133415, -0.22382237],
       [ 0.99777302,  0.06329702,  0.02103533,  0.15044265],
       [-0.02107759, -0.        ,  0.99977784,  0.08269127],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.08194804, -0.99662885,  0.00393145, -0.10969872],
       [ 0.99548391,  0.08204229,  0.0477583 ,  0.12391429],
       [-0.04791985,  0.        ,  0.99885118,  0.0859654 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.86738002, -0.49551076,  0.0460543 , -0.10360459],
       [ 0.49481376, -0.8686018 , -0.02627257,  0.17735665],
       [ 0.05302119, -0.        ,  0.99859339,  0.08210093],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.86738002, -0.49551076,  0.0460543 , -0.10360459],
       [ 0.49481376, -0.8686018 , -0.02627257,  0.17735665],
       [ 0.05302119, -0.        ,  0.99859339,  0.08210093],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
4,"[array([[-0.9359257 , -0.35080248, -0.03131626, -0.16183964],
       [ 0.35060627, -0.93644947,  0.01173136,  0.11507131],
       [-0.03344149,  0.        ,  0.99944068,  0.08486109],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 6.01450681e-02, -9.98189202e-01,  9.42217361e-04,
        -2.23890465e-01],
       [ 9.98066739e-01,  6.01524479e-02,  1.56354601e-02,
         1.50191164e-01],
       [-1.56638241e-02, -0.00000000e+00,  9.99877315e-01,
         8.29081096e-02],
       [ 0.00000000e+00,  0.00000000e+00,  0.00000000e+00,
         1.00000000e+00]])]","[array([[ 6.01450681e-02, -9.98189202e-01,  9.42217361e-04,
        -2.23890465e-01],
       [ 9.98066739e-01,  6.01524479e-02,  1.56354601e-02,
         1.50191164e-01],
       [-1.56638241e-02, -0.00000000e+00,  9.99877315e-01,
         8.29081096e-02],
       [ 0.00000000e+00,  0.00000000e+00,  0.00000000e+00,
         1.00000000e+00]])]","[array([[ 0.0792126 , -0.99685589,  0.00192385, -0.10949446],
       [ 0.99656201,  0.07923596,  0.02420363,  0.12370623],
       [-0.02427997,  0.        ,  0.9997052 ,  0.08542187],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.8674804 , -0.4944879 ,  0.05440107, -0.10347833],
       [ 0.49351841, -0.86918451, -0.03094932,  0.17715783],
       [ 0.06258863, -0.        ,  0.99803941,  0.08273868],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.8674804 , -0.4944879 ,  0.05440107, -0.10347833],
       [ 0.49351841, -0.86918451, -0.03094932,  0.17715783],
       [ 0.06258863, -0.        ,  0.99803941,  0.08273868],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
5,"[array([[-0.91997404, -0.39168958, -0.01506767, -0.16239905],
       [ 0.39163706, -0.92009742,  0.00641438,  0.11497722],
       [-0.01637617,  0.        ,  0.9998659 ,  0.08442183],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.10804629, -0.99414168,  0.00288336, -0.22290751],
       [ 0.99378788,  0.10808476,  0.02652059,  0.15259793],
       [-0.02667687, -0.        ,  0.99964411,  0.08374632],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.10804629, -0.99414168,  0.00288336, -0.22290751],
       [ 0.99378788,  0.10808476,  0.02652059,  0.15259793],
       [-0.02667687, -0.        ,  0.99964411,  0.08374632],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.09942456, -0.99504284,  0.0021237 , -0.10906212],
       [ 0.99481592,  0.09944724,  0.02124919,  0.12365272],
       [-0.02135505,  0.        ,  0.99977195,  0.08586235],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.86003751, -0.50645898,  0.06192557, -0.10154462],
       [ 0.5051512 , -0.86226405, -0.03637257,  0.17699306],
       [ 0.07181741, -0.        ,  0.9974178 ,  0.08328721],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.86003751, -0.50645898,  0.06192557, -0.10154462],
       [ 0.5051512 , -0.86226405, -0.03637257,  0.17699306],
       [ 0.07181741, -0.        ,  0.9974178 ,  0.08328721],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
6,"[array([[-0.91234748, -0.40864542, -0.02511972, -0.16228776],
       [ 0.40849061, -0.91269322,  0.011247  ,  0.11550692],
       [-0.02752264,  0.        ,  0.99962118,  0.08432651],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.13032952, -0.99146265,  0.00400353, -0.22216206],
       [ 0.9909952 ,  0.13039099,  0.03044194,  0.15440011],
       [-0.03070407, -0.        ,  0.99952852,  0.08251039],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.13032952, -0.99146265,  0.00400353, -0.22216206],
       [ 0.9909952 ,  0.13039099,  0.03044194,  0.15440011],
       [-0.03070407, -0.        ,  0.99952852,  0.08251039],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 1.28829153e-01, -9.91666615e-01,  6.11387684e-04,
        -1.09608814e-01],
       [ 9.91655448e-01,  1.28830604e-01,  4.70612367e-03,
         1.23944290e-01],
       [-4.74567117e-03,  0.00000000e+00,  9.99988739e-01,
         8.52333030e-02],
       [ 0.00000000e+00,  0.00000000e+00,  0.00000000e+00,
         1.00000000e+00]])]","[array([[-0.85346781, -0.5174997 ,  0.06153663, -0.10072134],
       [ 0.51615976, -0.85568339, -0.03721609,  0.17701547],
       [ 0.07191519, -0.        ,  0.99741075,  0.0833001 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.85346781, -0.5174997 ,  0.06153663, -0.10072134],
       [ 0.51615976, -0.85568339, -0.03721609,  0.17701547],
       [ 0.07191519, -0.        ,  0.99741075,  0.0833001 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
7,"[array([[-0.92132684, -0.38747736, -0.0319084 , -0.16214983],
       [ 0.38724519, -0.92187922,  0.0134115 ,  0.11555833],
       [-0.03461235,  0.        ,  0.99940081,  0.08454732],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.11507479, -0.99334582,  0.00467724, -0.22289643],
       [ 0.99252631,  0.11516981,  0.04034147,  0.15319293],
       [-0.04061171, -0.        ,  0.999175  ,  0.08285945],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.11507479, -0.99334582,  0.00467724, -0.22289643],
       [ 0.99252631,  0.11516981,  0.04034147,  0.15319293],
       [-0.04061171, -0.        ,  0.999175  ,  0.08285945],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.11693444, -0.99313109,  0.00412023, -0.10956237],
       [ 0.99251516,  0.11700701,  0.03497169,  0.1240791 ],
       [-0.03521357,  0.        ,  0.99937981,  0.08566278],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.86133264, -0.50573249,  0.04838106, -0.10123544],
       [ 0.50493656, -0.86269036, -0.02836229,  0.17711203],
       [ 0.05608161, -0.        ,  0.99842619,  0.0826456 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.86133264, -0.50573249,  0.04838106, -0.10123544],
       [ 0.50493656, -0.86269036, -0.02836229,  0.17711203],
       [ 0.05608161, -0.        ,  0.99842619,  0.0826456 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
8,"[array([[-0.92257125, -0.38470877, -0.02935048, -0.16221747],
       [ 0.38451423, -0.92303801,  0.01223285,  0.11516732],
       [-0.03179769,  0.        ,  0.99949433,  0.08467627],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.10177243, -0.99480488,  0.00237087, -0.22302599],
       [ 0.99453505,  0.10180005,  0.02316847,  0.15245089],
       [-0.02328946, -0.        ,  0.99972876,  0.0829626 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.10177243, -0.99480488,  0.00237087, -0.22302599],
       [ 0.99453505,  0.10180005,  0.02316847,  0.15245089],
       [-0.02328946, -0.        ,  0.99972876,  0.0829626 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.10498224, -0.99447015,  0.00280143, -0.10950752],
       [ 0.99411627,  0.10501961,  0.02652778,  0.12390784],
       [-0.02667529,  0.        ,  0.99964415,  0.08556153],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.87011836, -0.48984756,  0.05425327, -0.10154364],
       [ 0.48889813, -0.8718081 , -0.03048358,  0.17711968],
       [ 0.06223075, -0.        ,  0.99806179,  0.08298906],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.87011836, -0.48984756,  0.05425327, -0.10154364],
       [ 0.48889813, -0.8718081 , -0.03048358,  0.17711968],
       [ 0.06223075, -0.        ,  0.99806179,  0.08298906],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
9,"[array([[-0.92473717, -0.38000104, -0.02145652, -0.1620544 ],
       [ 0.37989879, -0.92498606,  0.00881473,  0.11517255],
       [-0.02319658,  0.        ,  0.99973092,  0.0845616 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.10236104, -0.99474578,  0.00174912, -0.22305744],
       [ 0.99460058,  0.10237598,  0.01699546,  0.15225439],
       [-0.01708522, -0.        ,  0.99985404,  0.08323531],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.10236104, -0.99474578,  0.00174912, -0.22305744],
       [ 0.99460058,  0.10237598,  0.01699546,  0.15225439],
       [-0.01708522, -0.        ,  0.99985404,  0.08323531],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.10626094, -0.99433313,  0.00320158, -0.10956095],
       [ 0.99388211,  0.10630916,  0.02994506,  0.12393853],
       [-0.03011572,  0.        ,  0.99954642,  0.08561259],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.87372951, -0.48371665,  0.05113654, -0.10144951],
       [ 0.48289032, -0.87522466, -0.02826199,  0.17715875],
       [ 0.05842675, -0.        ,  0.9982917 ,  0.08301703],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.87372951, -0.48371665,  0.05113654, -0.10144951],
       [ 0.48289032, -0.87522466, -0.02826199,  0.17715875],
       [ 0.05842675, -0.        ,  0.9982917 ,  0.08301703],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
