,LP,LD1,LD2,RP,RD1,RD2
0,"[array([[-0.4295979 , -0.90272083, -0.02325393, -0.11542946],
       [ 0.90140124, -0.4302268 ,  0.04879243,  0.07864078],
       [-0.05405041,  0.        ,  0.99853821,  0.08592373],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.48165125, -0.87635809,  0.00292956, -0.13847012],
       [ 0.87634188,  0.48166016,  0.0053302 ,  0.1464238 ],
       [-0.00608222, -0.        ,  0.9999815 ,  0.08333441],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.48165125, -0.87635809,  0.00292956, -0.13847012],
       [ 0.87634188,  0.48166016,  0.0053302 ,  0.1464238 ],
       [-0.00608222, -0.        ,  0.9999815 ,  0.08333441],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.50281197, -0.86425339,  0.01569109, -0.05641424],
       [ 0.86383286,  0.50305674,  0.02695735,  0.08882577],
       [-0.03119149,  0.        ,  0.99951343,  0.08586269],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.3060287 , -0.95196703,  0.01025678, -0.02776983],
       [ 0.95143281, -0.30620053, -0.03188797,  0.13833318],
       [ 0.03349692, -0.        ,  0.99943882,  0.0826948 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.3060287 , -0.95196703,  0.01025678, -0.02776983],
       [ 0.95143281, -0.30620053, -0.03188797,  0.13833318],
       [ 0.03349692, -0.        ,  0.99943882,  0.0826948 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
1,"[array([[-0.42944102, -0.90279357, -0.02332776, -0.1154338 ],
       [ 0.90146453, -0.43007415,  0.04896865,  0.0786391 ],
       [-0.05424124,  0.        ,  0.99852786,  0.08593   ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.48140201, -0.87649494,  0.00295287, -0.13846181],
       [ 0.87647846,  0.48141106,  0.00537624,  0.14642033],
       [-0.00613379, -0.        ,  0.99998119,  0.08333505],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.48140201, -0.87649494,  0.00295287, -0.13846181],
       [ 0.87647846,  0.48141106,  0.00537624,  0.14642033],
       [-0.00613379, -0.        ,  0.99998119,  0.08333505],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.50279109, -0.86426494,  0.01572376, -0.05641187],
       [ 0.86384262,  0.5030369 ,  0.02701491,  0.08882538],
       [-0.03125767,  0.        ,  0.99951136,  0.08586617],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.30596925, -0.95198633,  0.01023912, -0.02777399],
       [ 0.95145373, -0.30614053, -0.03183997,  0.13833234],
       [ 0.03344583, -0.        ,  0.99944053,  0.08269542],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.30596925, -0.95198633,  0.01023912, -0.02777399],
       [ 0.95145373, -0.30614053, -0.03183997,  0.13833234],
       [ 0.03344583, -0.        ,  0.99944053,  0.08269542],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
2,"[array([[-0.42887656, -0.90305778, -0.02348492, -0.11545445],
       [ 0.90170688, -0.42951908,  0.04937671,  0.07863499],
       [-0.05467724,  0.        ,  0.99850408,  0.08594477],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.48134217, -0.87652781,  0.00295245, -0.13845606],
       [ 0.87651132,  0.48135122,  0.00537633,  0.14641602],
       [-0.00613367, -0.        ,  0.99998119,  0.08333605],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.48134217, -0.87652781,  0.00295245, -0.13845606],
       [ 0.87651132,  0.48135122,  0.00537633,  0.14641602],
       [-0.00613367, -0.        ,  0.99998119,  0.08333605],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.50292534, -0.86418903,  0.01560216, -0.05641421],
       [ 0.86377347,  0.50316729,  0.02679669,  0.08882708],
       [-0.0310079 ,  0.        ,  0.99951914,  0.08585758],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.30580023, -0.95204003,  0.01029587, -0.0277791 ],
       [ 0.95150088, -0.3059735 , -0.03203571,  0.13833014],
       [ 0.03364954, -0.        ,  0.99943369,  0.08268594],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.30580023, -0.95204003,  0.01029587, -0.0277791 ],
       [ 0.95150088, -0.3059735 , -0.03203571,  0.13833014],
       [ 0.03364954, -0.        ,  0.99943369,  0.08268594],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
3,"[array([[-0.42934221, -0.90284205, -0.02327002, -0.11543856],
       [ 0.90151889, -0.42997236,  0.04886164,  0.07863804],
       [-0.05411981,  0.        ,  0.99853445,  0.08592728],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.48161189, -0.8763793 ,  0.00305044, -0.13846996],
       [ 0.87636172,  0.48162155,  0.00555072,  0.14642299],
       [-0.00633369, -0.        ,  0.99997994,  0.08334441],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.48161189, -0.8763793 ,  0.00305044, -0.13846996],
       [ 0.87636172,  0.48162155,  0.00555072,  0.14642299],
       [-0.00633369, -0.        ,  0.99997994,  0.08334441],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.50283756, -0.8642373 ,  0.01575667, -0.05641067],
       [ 0.86381331,  0.50308437,  0.02706803,  0.08882346],
       [-0.03132014,  0.        ,  0.9995094 ,  0.08586757],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.30603137, -0.95196652,  0.01022458, -0.02776974],
       [ 0.95143565, -0.30620212, -0.0317877 ,  0.13832707],
       [ 0.03339161, -0.        ,  0.99944234,  0.08269615],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.30603137, -0.95196652,  0.01022458, -0.02776974],
       [ 0.95143565, -0.30620212, -0.0317877 ,  0.13832707],
       [ 0.03339161, -0.        ,  0.99944234,  0.08269615],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
4,"[array([[-0.42941656, -0.90280397, -0.02337547, -0.11543446],
       [ 0.90146933, -0.43005231,  0.04907186,  0.07863824],
       [-0.05435495,  0.        ,  0.99852168,  0.08593055],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.48151376, -0.87643339,  0.00300142, -0.13846909],
       [ 0.87641637,  0.48152311,  0.00546297,  0.14642181],
       [-0.00623319, -0.        ,  0.99998057,  0.08334122],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.48151376, -0.87643339,  0.00300142, -0.13846909],
       [ 0.87641637,  0.48152311,  0.00546297,  0.14642181],
       [-0.00623319, -0.        ,  0.99998057,  0.08334122],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.50281396, -0.86425339,  0.01562724, -0.05641228],
       [ 0.86383628,  0.50305674,  0.02684765,  0.0888247 ],
       [-0.03106456,  0.        ,  0.99951738,  0.08586085],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.30592387, -0.95200093,  0.01023776, -0.02777663],
       [ 0.9514683 , -0.30609513, -0.03184095,  0.1383325 ],
       [ 0.03344634, -0.        ,  0.99944051,  0.08269741],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.30592387, -0.95200093,  0.01023776, -0.02777663],
       [ 0.9514683 , -0.30609513, -0.03184095,  0.1383325 ],
       [ 0.03344634, -0.        ,  0.99944051,  0.08269741],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
5,"[array([[-0.4293419 , -0.9028409 , -0.02332037, -0.11543756],
       [ 0.90151202, -0.42997478,  0.04896702,  0.07863717],
       [-0.0542366 ,  0.        ,  0.99852811,  0.0859309 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.48174922, -0.87630398,  0.00300279, -0.13847299],
       [ 0.87628696,  0.48175858,  0.00546199,  0.14642699],
       [-0.00623298, -0.        ,  0.99998057,  0.08333921],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.48174922, -0.87630398,  0.00300279, -0.13847299],
       [ 0.87628696,  0.48175858,  0.00546199,  0.14642699],
       [-0.00623298, -0.        ,  0.99998057,  0.08333921],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.50268744, -0.86432473,  0.01575125, -0.05641008],
       [ 0.86390073,  0.50293416,  0.02706953,  0.08881916],
       [-0.0313187 ,  0.        ,  0.99950945,  0.08587054],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.30592553, -0.95200041,  0.0102362 , -0.02777457],
       [ 0.95146795, -0.30609673, -0.03183589,  0.13832849],
       [ 0.03344105, -0.        ,  0.99944069,  0.08269657],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.30592553, -0.95200041,  0.0102362 , -0.02777457],
       [ 0.95146795, -0.30609673, -0.03183589,  0.13832849],
       [ 0.03344105, -0.        ,  0.99944069,  0.08269657],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
6,"[array([[-0.4293942 , -0.90281666, -0.02329578, -0.11543211],
       [ 0.90149094, -0.43002567,  0.04890828,  0.07863906],
       [-0.05417299,  0.        ,  0.99853157,  0.08592347],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.48174493, -0.87630609,  0.00307507, -0.13847387],
       [ 0.87628824,  0.48175474,  0.00559351,  0.14642893],
       [-0.00638306, -0.        ,  0.99997963,  0.08334698],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.48174493, -0.87630609,  0.00307507, -0.13847387],
       [ 0.87628824,  0.48175474,  0.00559351,  0.14642893],
       [-0.00638306, -0.        ,  0.99997963,  0.08334698],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.5027635 , -0.86428102,  0.01572204, -0.0564084 ],
       [ 0.86385874,  0.50300926,  0.02701393,  0.08882277],
       [-0.03125596,  0.        ,  0.99951141,  0.08586613],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.30589524, -0.95201032,  0.0102205 , -0.02777367],
       [ 0.95147938, -0.30606593, -0.03179062,  0.13833255],
       [ 0.03339315, -0.        ,  0.99944229,  0.0827001 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.30589524, -0.95201032,  0.0102205 , -0.02777367],
       [ 0.95147938, -0.30606593, -0.03179062,  0.13833255],
       [ 0.03339315, -0.        ,  0.99944229,  0.0827001 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
7,"[array([[-0.42961879, -0.90270814, -0.02336041, -0.11542584],
       [ 0.90137662, -0.43025342,  0.04901212,  0.07864003],
       [-0.05429454,  0.        ,  0.99852496,  0.0859312 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.48166849, -0.87634853,  0.00295368, -0.13847363],
       [ 0.87633205,  0.48167754,  0.00537382,  0.14642619],
       [-0.00613206, -0.        ,  0.9999812 ,  0.083337  ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.48166849, -0.87634853,  0.00295368, -0.13847363],
       [ 0.87633205,  0.48167754,  0.00537382,  0.14642619],
       [-0.00613206, -0.        ,  0.9999812 ,  0.083337  ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.50277618, -0.86427649,  0.01556486, -0.05640664],
       [ 0.86386263,  0.50301705,  0.02674331,  0.08882475],
       [-0.03094301,  0.        ,  0.99952115,  0.08585812],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.30601934, -0.95197122,  0.01014705, -0.02777019],
       [ 0.95144832, -0.30618752, -0.03154832,  0.13833087],
       [ 0.03314   , -0.        ,  0.99945072,  0.08271215],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.30601934, -0.95197122,  0.01014705, -0.02777019],
       [ 0.95144832, -0.30618752, -0.03154832,  0.13833087],
       [ 0.03314   , -0.        ,  0.99945072,  0.08271215],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
8,"[array([[-0.4289591 , -0.90302322, -0.02330589, -0.11544821],
       [ 0.90169335, -0.42959175,  0.04899015,  0.07863646],
       [-0.05425126,  0.        ,  0.99852732,  0.08593223],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.48208645, -0.87611824,  0.00307782, -0.13847688],
       [ 0.87610039,  0.48209628,  0.00559336,  0.14644344],
       [-0.00638425, -0.        ,  0.99997962,  0.08335502],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.48208645, -0.87611824,  0.00307782, -0.13847688],
       [ 0.87610039,  0.48209628,  0.00559336,  0.14644344],
       [-0.00638425, -0.        ,  0.99997962,  0.08335502],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.50266655, -0.86433628,  0.01578391, -0.05640372],
       [ 0.86391049,  0.5029143 ,  0.0271271 ,  0.08881777],
       [-0.03138489,  0.        ,  0.99950737,  0.08587102],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.30588857, -0.95201397,  0.0100787 , -0.02776294],
       [ 0.95149762, -0.30605457, -0.03135084,  0.13832013],
       [ 0.03293107, -0.        ,  0.99945763,  0.08271879],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.30588857, -0.95201397,  0.0100787 , -0.02776294],
       [ 0.95149762, -0.30605457, -0.03135084,  0.13832013],
       [ 0.03293107, -0.        ,  0.99945763,  0.08271879],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
9,"[array([[-0.42914137, -0.90293783, -0.02325839, -0.11543515],
       [ 0.90161462, -0.42977118,  0.04886526,  0.07864119],
       [-0.05411808,  0.        ,  0.99853454,  0.08592524],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.48190776, -0.87621697,  0.00295538, -0.13845064],
       [ 0.87620049,  0.48191682,  0.00537344,  0.14643645],
       [-0.00613255, -0.        ,  0.9999812 ,  0.08334202],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.48190776, -0.87621697,  0.00295538, -0.13845064],
       [ 0.87620049,  0.48191682,  0.00537344,  0.14643645],
       [-0.00613255, -0.        ,  0.9999812 ,  0.08334202],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.50290354, -0.86419357,  0.01604679, -0.05640476],
       [ 0.86375398,  0.50315948,  0.02756092,  0.08882245],
       [-0.03189206,  0.        ,  0.99949132,  0.08589138],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.30602035, -0.95197122,  0.01011643, -0.02774216],
       [ 0.95145147, -0.30618752, -0.03145312,  0.13832276],
       [ 0.03303999, -0.        ,  0.99945403,  0.08271433],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.30602035, -0.95197122,  0.01011643, -0.02774216],
       [ 0.95145147, -0.30618752, -0.03145312,  0.13832276],
       [ 0.03303999, -0.        ,  0.99945403,  0.08271433],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
