,transforms
0,"[array([[-0.2349965 ,  0.97093639, -0.00158082, -0.0705895 ],
       [-0.97193051, -0.2393349 , -0.01124494,  0.1497255 ],
       [-0.01130152, -0.00115651,  0.99993552,  0.2370445 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
1,"[array([[-0.23495721,  0.97092558, -0.00160167, -0.0705875 ],
       [-0.97194049, -0.2393789 , -0.01119707,  0.149724  ],
       [-0.01125993, -0.00112531,  0.99993603,  0.237045  ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
2,"[array([[-0.23502615,  0.97092   , -0.00154062, -0.070589  ],
       [-0.97192238, -0.23940108, -0.0113399 ,  0.1497265 ],
       [-0.01138434, -0.00121904,  0.99993451,  0.2370455 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
3,"[array([[-0.23502637,  0.97091273, -0.001521  , -0.070591  ],
       [-0.9719233 , -0.23943054, -0.01125886,  0.149726  ],
       [-0.01130095, -0.00121903,  0.99993546,  0.2370435 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
4,"[array([[-0.23505624,  0.97090915, -0.00152097, -0.07059   ],
       [-0.97191608, -0.23944508, -0.01125832,  0.149724  ],
       [-0.01130038, -0.00121911,  0.99993547,  0.2370425 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
5,"[array([[-0.23497615,  0.97092189, -0.00161212, -0.0705895 ],
       [-0.97193542, -0.23939384, -0.01123841,  0.1497235 ],
       [-0.01130254, -0.00112524,  0.99993555,  0.237043  ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
6,"[array([[-0.2351542 ,  0.97093108, -0.00163168, -0.070589  ],
       [-0.97189286, -0.23935671, -0.01118947,  0.1497265 ],
       [-0.01125938, -0.00109409,  0.99993606,  0.2370435 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
7,"[array([[-0.23488771,  0.97091996, -0.00150055, -0.07059   ],
       [-0.97195632, -0.23940107, -0.01130793,  0.1497275 ],
       [-0.01134401, -0.0012503 ,  0.99993494,  0.237043  ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
8,"[array([[-0.23489888,  0.97091095, -0.0015923 , -0.0705905 ],
       [-0.97195509, -0.23943823, -0.01115555,  0.1497265 ],
       [-0.01121743, -0.00112515,  0.99993651,  0.237042  ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
9,"[array([[-0.23507519,  0.97090199, -0.00162266, -0.070589  ],
       [-0.971911  , -0.23947457, -0.01127758,  0.1497235 ],
       [-0.01134299, -0.00112532,  0.99993509,  0.237044  ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
