,time
0,0.7899999999999991
1,0.9149999999999991
2,1.0399999999999991
3,1.1649999999999991
4,1.2899999999999991
5,1.4149999999999991
6,1.5399999999999991
7,1.6649999999999991
8,1.7899999999999991
9,1.9149999999999991
10,2.039999999999999
11,2.164999999999999
12,2.289999999999999
13,2.414999999999999
14,2.539999999999999
15,2.664999999999999
16,2.789999999999999
17,2.914999999999999
18,3.039999999999999
19,3.164999999999999
20,3.289999999999999
21,3.414999999999999
22,3.539999999999999
23,3.664999999999999
24,3.789999999999999
25,3.914999999999999
26,4.039999999999999
27,4.164999999999999
28,4.289999999999999
29,4.414999999999999
30,4.539999999999999
31,4.664999999999999
32,4.789999999999999
33,4.914999999999999
34,5.039999999999999
35,5.164999999999999
36,5.289999999999999
37,5.414999999999999
38,5.539999999999999
39,5.664999999999999
40,5.789999999999999
41,5.914999999999999
42,6.039999999999999
43,6.164999999999999
44,6.289999999999999
45,6.414999999999999
46,6.539999999999999
47,6.664999999999999
48,6.789999999999999
49,6.914999999999999
50,7.039999999999999
51,7.164999999999999
52,7.289999999999999
53,7.414999999999999
54,7.539999999999999
55,7.664999999999999
56,7.789999999999999
57,7.914999999999999
58,8.04
59,8.165
60,8.29
61,8.415
62,8.54
63,8.665
64,8.79
65,8.915
66,9.04
67,9.165
68,9.29
69,9.415
70,9.54
71,9.665
72,9.79
73,9.915
74,10.04
75,10.165
76,10.29
77,10.415
78,10.54
79,10.665
80,10.79
81,10.915
82,11.04
83,11.165
84,11.29
85,11.415
86,11.54
87,11.665
88,11.79
89,11.915
90,12.04
91,12.165
92,12.29
93,12.415
94,12.54
95,12.665
96,12.79
97,12.915
98,13.04
99,13.165
100,13.29
101,13.415
102,13.54
103,13.665
104,13.79
105,13.915
106,14.04
107,14.165
108,14.29
109,14.415
110,14.54
111,14.665
112,14.79
113,14.915
114,15.04
115,15.165
116,15.29
117,15.415
118,15.54
119,15.665
120,15.79
121,15.915
122,16.04
123,16.165
124,16.29
125,16.415
126,16.54
127,16.665
128,16.79
129,16.915
130,17.04
131,17.165
132,17.29
133,17.415
134,17.54
135,17.665
136,17.79
137,17.915
138,18.04
139,18.165
140,18.29
141,18.415
142,18.54
143,18.665
144,18.79
145,18.915
146,19.04
147,19.165
148,19.29
149,19.415
150,19.54
151,19.665
152,19.79
153,19.915
154,20.04
155,20.165
156,20.29
157,20.415
158,20.54
159,20.665
160,20.79
161,20.915
162,21.04
163,21.165
164,21.29
165,21.415
166,21.54
167,21.665
168,21.79
169,21.915
170,22.04
171,22.165
172,22.29
173,22.415
174,22.54
175,22.665
176,22.79
177,22.915
178,23.04
179,23.165
180,23.29
181,23.415
182,23.54
183,23.665
184,23.79
185,23.915
186,24.04
187,24.165
188,24.29
189,24.415
190,24.54
191,24.665
192,24.79
193,24.915
194,25.04
195,25.165
196,25.29
197,25.415
198,25.54
199,25.665
200,25.79
201,25.915
202,26.04
203,26.165
204,26.29
205,26.415
206,26.54
207,26.665
208,26.79
209,26.915
210,27.04
211,27.165
212,27.29
213,27.415
214,27.54
215,27.665
216,27.79
217,27.915
218,28.04
219,28.165
220,28.29
221,28.415
222,28.54
223,28.665
224,28.79
225,28.915
226,29.04
227,29.165
228,29.29
229,29.415
230,29.54
231,29.665
232,29.79
233,29.915
234,30.04
235,30.165
236,30.29
237,30.415
238,30.54
239,30.665
240,30.79
241,30.915
242,31.04
243,31.165
244,31.29
245,31.415
246,31.54
247,31.665
248,31.79
249,31.915
250,32.04
251,32.165
252,32.29
253,32.415
254,32.54
255,32.665
256,32.79
257,32.915
258,33.04
259,33.165
260,33.29
261,33.415
262,33.54
263,33.665
264,33.79
265,33.915
266,34.04
267,34.165
268,34.29
269,34.415
270,34.54
271,34.665
272,34.79
273,34.915
274,35.04
275,35.165
276,35.29
277,35.415
278,35.54
279,35.665
280,35.79
281,35.915
282,36.04
283,36.165
284,36.29
285,36.415
286,36.54
287,36.665
288,36.79
289,36.915
290,37.04
291,37.165
292,37.29
293,37.415
294,37.54
295,37.665
296,37.79
297,37.915
298,38.04
299,38.165
300,38.29
301,38.415
302,38.54
303,38.665
304,38.79
305,38.915
306,39.04
307,39.165
308,39.29
309,39.415
310,39.54
311,39.665
312,39.79
313,39.915
314,40.04
315,40.165
316,40.29
317,40.415
318,40.54
319,40.665
320,40.79
321,40.915
322,41.04
323,41.165
324,41.29
325,41.415
326,41.54
327,41.665
328,41.79
329,41.915
330,42.04
331,42.165
332,42.29
333,42.415
334,42.54
335,42.665
336,42.79
337,42.915
338,43.04
339,43.165
340,43.29
341,43.415
342,43.54
343,43.665
344,43.79
345,43.915
346,44.04
347,44.165
348,44.29
349,44.415
350,44.54
351,44.665
352,44.79
353,44.915
354,45.04
355,45.165
356,45.29
357,45.415
358,45.54
359,45.665
360,45.79
361,45.915
362,46.04
363,46.165
364,46.29
365,46.415
366,46.54
367,46.665
368,46.79
369,46.915
370,47.04
371,47.165
372,47.29
373,47.415
374,47.54
375,47.665
376,47.79
377,47.915
378,48.04
379,48.165
380,48.29
381,48.415
382,48.54
383,48.665
384,48.79
385,48.915
386,49.04
387,49.165
388,49.29
389,49.415
390,49.54
391,49.665
392,49.79
393,49.915
394,50.04
395,50.165
396,50.29
397,50.415
398,50.54
399,50.665
400,50.79
401,50.915
402,51.04
403,51.165
404,51.29
405,51.415
406,51.54
407,51.665
408,51.79
409,51.915
410,52.04
411,52.165
412,52.29
413,52.415
414,52.54
415,52.665
416,52.79
417,52.915
418,53.04
419,53.165
420,53.29
421,53.415
422,53.54
423,53.665
424,53.79
425,53.915
426,54.04
427,54.165
428,54.29
429,54.415
430,54.54
431,54.665
432,54.79
433,54.915
434,55.04
435,55.165
436,55.29
437,55.415
438,55.54
439,55.665
440,55.79
441,55.915
442,56.04
443,56.165
444,56.29
445,56.415
446,56.54
447,56.665
448,56.79
449,56.915
450,57.04
451,57.165
452,57.29
453,57.415
454,57.54
455,57.665
456,57.79
457,57.915
458,58.04
459,58.165
460,58.29
461,58.415
462,58.54
463,58.665
464,58.79
465,58.915
466,59.04
