,features,labels
0,"[9.725, 0.316, -0.079, 0.093, 0.095, 0.079, 9.671, 0.022, -0.291, 0.007, 0.019, -0.032, 9.513, 0.247, -0.089, 0.068, 0.074, 0.093, 9.703, -0.115, -0.304, 0.009, 0.018, -0.049, 9.71, 0.156, 0.072, 0.082, 0.072, 0.066, 9.722, -0.086, -0.181, 0.021, 0.013, -0.061, 9.74, 0.16, -0.004, 0.081, 0.065, 0.038, 9.691, -0.045, -0.18, 0.026, 0.006, -0.074, 9.695, 0.134, 0.141, 0.079, 0.065, 0.006, 9.76, -0.013, -0.193, 0.024, -0.001, -0.067]","[False, False, False, False]"
1,"[9.695, 0.134, 0.141, 0.079, 0.065, 0.006, 9.76, -0.013, -0.193, 0.024, -0.001, -0.067, 9.574, 0.173, -0.003, 0.084, 0.054, -0.042, 9.765, -0.056, -0.234, 0.023, -0.007, -0.063, 9.602, 0.127, 0.101, 0.078, 0.043, -0.068, 9.744, -0.065, -0.203, 0.021, -0.008, -0.059, 9.631, 0.013, 0.1, 0.073, 0.033, -0.078, 9.812, -0.05, -0.194, 0.019, -0.009, -0.053, 9.615, 0.163, 0.096, 0.075, 0.024, -0.084, 9.718, -0.048, -0.259, 0.016, -0.005, -0.045]","[False, False, False, False]"
2,"[9.623, 0.138, -0.014, 0.067, 0.027, -0.081, 9.742, -0.012, -0.212, 0.013, -0.006, -0.042, 9.648, 0.152, 0.019, 0.065, 0.024, -0.07, 9.944, -0.01, -0.245, 0.006, -0.002, -0.034, 9.62, 0.135, 0.053, 0.064, 0.024, -0.064, 9.772, -0.026, -0.249, 0.015, -0.0, -0.051, 9.696, 0.161, 0.005, 0.058, 0.026, -0.048, 9.737, -0.056, -0.238, 0.012, -0.0, -0.049, 9.669, 0.152, -0.001, 0.058, 0.031, -0.033, 9.803, 0.005, -0.266, 0.013, 0.001, -0.045]","[False, False, False, False]"
3,"[9.519, 0.152, 0.021, 0.065, 0.034, -0.025, 9.705, -0.059, -0.211, 0.015, -0.002, -0.047, 9.674, 0.143, 0.044, 0.07, 0.035, -0.027, 9.726, -0.045, -0.217, 0.018, -0.004, -0.043, 9.656, 0.136, 0.008, 0.07, 0.031, -0.027, 9.778, -0.08, -0.238, 0.011, 0.0, -0.047, 9.616, 0.163, -0.031, 0.063, 0.035, -0.026, 9.751, -0.041, -0.2, 0.014, -0.002, -0.047, 9.609, 0.157, 0.021, 0.072, 0.034, -0.027, 9.788, -0.032, -0.29, 0.014, -0.002, -0.049]","[False, False, False, False]"
4,"[9.609, 0.157, 0.021, 0.072, 0.034, -0.027, 9.788, -0.032, -0.29, 0.014, -0.002, -0.049, 9.614, 0.169, 0.106, 0.064, 0.035, -0.028, 9.832, -0.022, -0.257, 0.012, 0.001, -0.048, 9.656, 0.014, -0.047, 0.068, 0.033, -0.028, 9.758, 0.102, -0.241, 0.015, -0.001, -0.044, 9.667, 0.173, 0.001, 0.074, 0.039, -0.034, 9.754, -0.013, -0.114, 0.014, -0.003, -0.046, 9.671, 0.284, 0.085, 0.068, 0.033, -0.028, 9.742, -0.05, -0.228, 0.016, -0.001, -0.047]","[False, False, False, False]"
5,"[9.651, 0.296, 0.011, 0.067, 0.035, -0.031, 9.75, -0.048, -0.251, 0.017, -0.002, -0.046, 9.72, 0.145, 0.01, 0.068, 0.031, -0.031, 9.885, -0.026, -0.181, 0.016, -0.001, -0.05, 9.629, 0.134, 0.013, 0.066, 0.033, -0.028, 9.791, -0.036, -0.207, 0.013, -0.002, -0.044, 9.634, 0.153, 0.054, 0.071, 0.036, -0.03, 9.714, -0.043, -0.257, 0.013, 0.003, -0.045, 9.636, 0.132, 0.072, 0.069, 0.033, -0.029, 9.775, 0.01, -0.235, 0.015, -0.0, -0.046]","[False, False, False, False]"
6,"[9.636, 0.132, 0.072, 0.069, 0.033, -0.029, 9.775, 0.01, -0.235, 0.015, -0.0, -0.046, 9.628, 0.155, 0.103, 0.067, 0.037, -0.029, 9.789, -0.008, -0.217, 0.011, -0.003, -0.045, 9.672, 0.138, 0.008, 0.066, 0.035, -0.031, 9.718, -0.029, -0.212, 0.011, 0.001, -0.047, 9.645, 0.185, 0.035, 0.064, 0.036, -0.029, 9.693, -0.019, -0.239, 0.016, -0.001, -0.051, 9.581, 0.166, -0.066, 0.07, 0.036, -0.031, 9.757, -0.036, -0.228, 0.017, -0.002, -0.046]","[False, False, False, False]"
7,"[9.595, 0.126, 0.133, 0.068, 0.036, -0.031, 9.756, -0.034, -0.267, 0.014, -0.001, -0.05, 9.573, 0.151, 0.143, 0.072, 0.04, -0.029, 9.809, 0.002, -0.206, 0.011, -0.003, -0.046, 9.621, 0.162, 0.089, 0.067, 0.032, -0.029, 9.751, -0.046, -0.25, 0.013, 0.001, -0.048, 9.705, 0.177, 0.033, 0.068, 0.034, -0.027, 9.748, -0.055, -0.175, 0.016, -0.004, -0.046, 9.647, 0.139, -0.026, 0.074, 0.034, -0.035, 9.764, -0.029, -0.203, 0.017, -0.0, -0.051]","[False, False, False, False]"
8,"[9.647, 0.139, -0.026, 0.074, 0.034, -0.035, 9.764, -0.029, -0.203, 0.017, -0.0, -0.051, 9.645, 0.196, 0.026, 0.069, 0.032, -0.031, 9.82, -0.026, -0.192, 0.018, -0.004, -0.044, 9.627, 0.132, 0.02, 0.069, 0.037, -0.027, 9.791, 0.008, -0.188, 0.011, 0.0, -0.045, 9.642, 0.178, 0.057, 0.07, 0.037, -0.03, 9.775, 0.028, -0.212, 0.016, -0.003, -0.053, 9.638, 0.154, 0.124, 0.069, 0.035, -0.029, 9.788, -0.056, -0.162, 0.015, -0.003, -0.049]","[False, False, False, False]"
9,"[9.695, 0.174, -0.01, 0.065, 0.037, -0.026, 9.763, -0.044, -0.163, 0.015, 0.001, -0.048, 9.651, 0.139, 0.016, 0.068, 0.036, -0.035, 9.738, -0.036, -0.212, 0.011, -0.003, -0.046, 9.648, 0.203, 0.032, 0.071, 0.033, -0.031, 9.805, -0.019, -0.251, 0.017, 0.0, -0.047, 9.685, 0.155, 0.062, 0.069, 0.038, -0.031, 9.738, 0.031, -0.211, 0.018, -0.002, -0.045, 9.663, 0.137, -0.013, 0.066, 0.034, -0.032, 9.786, 0.0, -0.205, 0.016, -0.002, -0.047]","[False, False, False, False]"
