,transforms
0,"[array([[-1.99565965e-01, -9.78086679e-01, -1.21231952e-02,
        -3.14260000e-02],
       [ 9.79884159e-01, -2.07838716e-01, -1.77636539e-03,
         2.58657500e-01],
       [-6.78795798e-04, -1.22276511e-02,  9.99924934e-01,
         2.36529000e-01],
       [ 0.00000000e+00,  0.00000000e+00,  0.00000000e+00,
         1.00000000e+00]])]"
1,"[array([[-1.99704762e-01, -9.78069146e-01, -1.22229015e-02,
        -3.14260000e-02],
       [ 9.79855850e-01, -2.07915718e-01, -1.75511988e-03,
         2.58656000e-01],
       [-7.21262154e-04, -1.23206992e-02,  9.99923757e-01,
         2.36530500e-01],
       [ 0.00000000e+00,  0.00000000e+00,  0.00000000e+00,
         1.00000000e+00]])]"
2,"[array([[-1.99688953e-01, -9.78063287e-01, -1.20344079e-02,
        -3.14285000e-02],
       [ 9.79859183e-01, -2.07952488e-01, -1.88961061e-03,
         2.58659500e-01],
       [-5.51626943e-04, -1.21642644e-02,  9.99925798e-01,
         2.36528000e-01],
       [ 0.00000000e+00,  0.00000000e+00,  0.00000000e+00,
         1.00000000e+00]])]"
3,"[array([[-1.99630851e-01, -9.78100408e-01, -1.21270260e-02,
        -3.14295000e-02],
       [ 9.79871022e-01, -2.07772267e-01, -1.90790788e-03,
         2.58656500e-01],
       [-5.51466439e-04, -1.22587832e-02,  9.99924645e-01,
         2.36529500e-01],
       [ 0.00000000e+00,  0.00000000e+00,  0.00000000e+00,
         1.00000000e+00]])]"
4,"[array([[-1.99599160e-01, -9.78061410e-01, -1.22058683e-02,
        -3.14315000e-02],
       [ 9.79877426e-01, -2.07952089e-01, -1.83681406e-03,
         2.58657500e-01],
       [-6.36476915e-04, -1.23209967e-02,  9.99923819e-01,
         2.36528500e-01],
       [ 0.00000000e+00,  0.00000000e+00,  0.00000000e+00,
         1.00000000e+00]])]"
5,"[array([[-1.99313940e-01, -9.78064834e-01, -1.21244626e-02,
        -3.14320000e-02],
       [ 9.79935453e-01, -2.07941463e-01, -1.77325605e-03,
         2.58656000e-01],
       [-6.78948913e-04, -1.22281620e-02,  9.99924924e-01,
         2.36530000e-01],
       [ 0.00000000e+00,  0.00000000e+00,  0.00000000e+00,
         1.00000000e+00]])]"
6,"[array([[-1.99509380e-01, -9.78072995e-01, -1.21128874e-02,
        -3.14260000e-02],
       [ 9.79895710e-01, -2.07903208e-01, -1.81674556e-03,
         2.58657000e-01],
       [-6.36461230e-04, -1.22259124e-02,  9.99924986e-01,
         2.36530000e-01],
       [ 0.00000000e+00,  0.00000000e+00,  0.00000000e+00,
         1.00000000e+00]])]"
7,"[array([[-1.99460350e-01, -9.78071585e-01, -1.20757566e-02,
        -3.14280000e-02],
       [ 9.79905718e-01, -2.07911543e-01, -1.85188034e-03,
         2.58656500e-01],
       [-5.94010827e-04, -1.21968919e-02,  9.99925371e-01,
         2.36530500e-01],
       [ 0.00000000e+00,  0.00000000e+00,  0.00000000e+00,
         1.00000000e+00]])]"
8,"[array([[-1.99630856e-01, -9.78112764e-01, -1.19923939e-02,
        -3.14295000e-02],
       [ 9.79871044e-01, -2.07721624e-01, -1.92376686e-03,
         2.58654500e-01],
       [-5.09045955e-04, -1.21304163e-02,  9.99926238e-01,
         2.36527500e-01],
       [ 0.00000000e+00,  0.00000000e+00,  0.00000000e+00,
         1.00000000e+00]])]"
9,"[array([[-1.99737205e-01, -9.78086531e-01, -1.22364286e-02,
        -3.14285000e-02],
       [ 9.79849297e-01, -2.07832023e-01, -1.84491922e-03,
         2.58656500e-01],
       [-6.36375972e-04, -1.23526651e-02,  9.99923430e-01,
         2.36529000e-01],
       [ 0.00000000e+00,  0.00000000e+00,  0.00000000e+00,
         1.00000000e+00]])]"
10,"[array([[-1.99615022e-01, -9.78080117e-01, -1.20159493e-02,
        -3.14280000e-02],
       [ 9.79874291e-01, -2.07873374e-01, -1.97159061e-03,
         2.58657500e-01],
       [-4.66687617e-04, -1.21633040e-02,  9.99925862e-01,
         2.36528000e-01],
       [ 0.00000000e+00,  0.00000000e+00,  0.00000000e+00,
         1.00000000e+00]])]"
11,"[array([[-1.99606719e-01, -9.78107947e-01, -1.20549972e-02,
        -3.14270000e-02],
       [ 9.79875961e-01, -2.07740573e-01, -1.93616731e-03,
         2.58657500e-01],
       [-5.09092589e-04, -1.21942180e-02,  9.99925461e-01,
         2.36527500e-01],
       [ 0.00000000e+00,  0.00000000e+00,  0.00000000e+00,
         1.00000000e+00]])]"
12,"[array([[-1.99704774e-01, -9.78080680e-01, -1.20832517e-02,
        -3.14290000e-02],
       [ 9.79855907e-01, -2.07868794e-01, -1.81324900e-03,
         2.58655000e-01],
       [-6.36407820e-04, -1.21962234e-02,  9.99925351e-01,
         2.36527500e-01],
       [ 0.00000000e+00,  0.00000000e+00,  0.00000000e+00,
         1.00000000e+00]])]"
13,"[array([[-1.99696477e-01, -9.78103874e-01, -1.20735071e-02,
        -3.14275000e-02],
       [ 9.79857624e-01, -2.07759684e-01, -1.85447879e-03,
         2.58653500e-01],
       [-5.93955955e-04, -1.21953398e-02,  9.99925393e-01,
         2.36527500e-01],
       [ 0.00000000e+00,  0.00000000e+00,  0.00000000e+00,
         1.00000000e+00]])]"
14,"[array([[-1.99525235e-01, -9.78091694e-01, -1.21149126e-02,
        -3.14295000e-02],
       [ 9.79892482e-01, -2.07815090e-01, -1.81744641e-03,
         2.58652000e-01],
       [-6.36376466e-04, -1.22281058e-02,  9.99924960e-01,
         2.36529000e-01],
       [ 0.00000000e+00,  0.00000000e+00,  0.00000000e+00,
         1.00000000e+00]])]"
15,"[array([[-1.92327043e-01, -9.79496694e-01, -1.23080979e-02,
        -3.10975000e-02],
       [ 9.81330589e-01, -2.01079173e-01, -1.63369433e-03,
         2.58767500e-01],
       [-7.64044751e-04, -1.23851978e-02,  9.99922918e-01,
         2.36533500e-01],
       [ 0.00000000e+00,  0.00000000e+00,  0.00000000e+00,
         1.00000000e+00]])]"
16,"[array([[-1.34545676e-01, -9.89756671e-01, -1.29836320e-02,
        -3.16270000e-02],
       [ 9.90907283e-01, -1.42168240e-01, -1.29239324e-03,
         2.59537500e-01],
       [-4.66289361e-04, -1.30354833e-02,  9.99914874e-01,
         2.36538000e-01],
       [ 0.00000000e+00,  0.00000000e+00,  0.00000000e+00,
         1.00000000e+00]])]"
17,"[array([[-1.19049826e-01, -9.91795874e-01, -1.27175799e-02,
        -3.76440000e-02],
       [ 9.92888278e-01, -1.27189509e-01, -1.43938511e-03,
         2.60454500e-01],
       [-8.48840111e-05, -1.27973661e-02,  9.99918092e-01,
         2.36487000e-01],
       [ 0.00000000e+00,  0.00000000e+00,  0.00000000e+00,
         1.00000000e+00]])]"
18,"[array([[-1.25366560e-01, -9.90983688e-01, -1.25991654e-02,
        -5.79215000e-02],
       [ 9.92110381e-01, -1.33385370e-01, -1.12156456e-03,
         2.50517000e-01],
       [-4.66835530e-04, -1.26361787e-02,  9.99919998e-01,
         2.36331500e-01],
       [ 0.00000000e+00,  0.00000000e+00,  0.00000000e+00,
         1.00000000e+00]])]"
19,"[array([[-1.26504825e-01, -9.90780217e-01, -1.30751219e-02,
        -9.36385000e-02],
       [ 9.91965882e-01, -1.34842511e-01, -1.19691494e-03,
         2.37829500e-01],
       [-4.66807474e-04, -1.31170979e-02,  9.99913801e-01,
         2.36065000e-01],
       [ 0.00000000e+00,  0.00000000e+00,  0.00000000e+00,
         1.00000000e+00]])]"
20,"[array([[-0.13872526, -0.98938586, -0.01439369, -0.1278885 ],
       [ 0.99033008, -0.14456464, -0.00330362,  0.228856  ],
       [ 0.00127505, -0.01472011,  0.99989095,  0.2358375 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
21,"[array([[-1.24981971e-01, -9.91109943e-01, -1.48573663e-02,
        -1.41402500e-01],
       [ 9.92158684e-01, -1.32187792e-01, -2.68585289e-03,
         2.23999500e-01],
       [ 8.07981441e-04, -1.50820395e-02,  9.99886016e-01,
         2.35735000e-01],
       [ 0.00000000e+00,  0.00000000e+00,  0.00000000e+00,
         1.00000000e+00]])]"
22,"[array([[-1.05391738e-01, -9.93085640e-01, -1.70736947e-02,
        -1.37490500e-01],
       [ 9.94429601e-01, -1.16156255e-01, -2.68172962e-04,
         2.34123000e-01],
       [-1.53297074e-03, -1.69892680e-02,  9.99854198e-01,
         2.35802000e-01],
       [ 0.00000000e+00,  0.00000000e+00,  0.00000000e+00,
         1.00000000e+00]])]"
23,"[array([[-0.09226672, -0.99509195, -0.0143983 , -0.1217425 ],
       [ 0.99573288, -0.09786761, -0.00304048,  0.268301  ],
       [ 0.0016992 , -0.01462678,  0.99989172,  0.235899  ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
24,"[array([[-0.0938884 , -0.99483569, -0.01103535, -0.097598  ],
       [ 0.99558174, -0.10087582, -0.00244623,  0.3119255 ],
       [ 0.00139942, -0.01122585,  0.99993612,  0.236055  ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
25,"[array([[-0.06158711, -0.9975704 , -0.01169316, -0.0687855 ],
       [ 0.99810079, -0.06865755, -0.00207943,  0.356266  ],
       [ 0.00135542, -0.01180835,  0.99992947,  0.2362855 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
26,"[array([[-0.06585434, -0.99754033, -0.01023245, -0.0454055 ],
       [ 0.99782258, -0.06930274, -0.00432985,  0.401751  ],
       [ 0.0036468 , -0.010508  ,  0.99993827,  0.236519  ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
27,"[array([[-0.06647336, -0.99747821, -0.01009266, -0.0259405 ],
       [ 0.99777918, -0.0702053 , -0.00492364,  0.4412515 ],
       [ 0.00424208, -0.01041353,  0.99993695,  0.2366715 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
28,"[array([[-0.12145617, -0.99196138, -0.01043605, -0.02157   ],
       [ 0.99259157, -0.12606867, -0.00452269,  0.46222   ],
       [ 0.00322187, -0.01092303,  0.99993532,  0.2367225 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
29,"[array([[-0.23046334, -0.9722886 , -0.00946756, -0.01733   ],
       [ 0.97307686, -0.23355186, -0.00516177,  0.452397  ],
       [ 0.00284104, -0.01041135,  0.99994186,  0.2367375 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
30,"[array([[-0.36052558, -0.93162561, -0.00942397, -0.0013015 ],
       [ 0.93274873, -0.36326732, -0.00477797,  0.4260365 ],
       [ 0.00105912, -0.01051588,  0.99994418,  0.236862  ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
31,"[array([[-4.77756453e-01, -8.77546893e-01, -8.84637131e-03,
         2.28285000e-02],
       [ 8.78492312e-01, -4.79387006e-01, -4.61809069e-03,
         3.87878500e-01],
       [-1.69462252e-04, -9.97745514e-03,  9.99950206e-01,
         2.37034500e-01],
       [ 0.00000000e+00,  0.00000000e+00,  0.00000000e+00,
         1.00000000e+00]])]"
32,"[array([[-0.48429276, -0.87380632, -0.00885426,  0.0605595 ],
       [ 0.87490475, -0.48618525, -0.00320624,  0.3428315 ],
       [-0.00148296, -0.00929614,  0.99995566,  0.2373325 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
33,"[array([[-4.63472790e-01, -8.85223811e-01, -1.27881289e-02,
         9.27805000e-02],
       [ 8.86110785e-01, -4.64954355e-01, -5.77959131e-03,
         2.95483500e-01],
       [-8.05670906e-04, -1.40089819e-02,  9.99901525e-01,
         2.37564000e-01],
       [ 0.00000000e+00,  0.00000000e+00,  0.00000000e+00,
         1.00000000e+00]])]"
34,"[array([[-4.36517744e-01, -8.97249632e-01, -1.02027355e-02,
         1.18291000e-01],
       [ 8.99695325e-01, -4.41387416e-01, -4.10227831e-03,
         2.48689000e-01],
       [-7.62920613e-04, -1.09657578e-02,  9.99939536e-01,
         2.37681000e-01],
       [ 0.00000000e+00,  0.00000000e+00,  0.00000000e+00,
         1.00000000e+00]])]"
35,"[array([[-4.12447070e-01, -9.08949599e-01, -1.03187010e-02,
         1.30004000e-01],
       [ 9.10981091e-01, -4.16740322e-01, -5.69384004e-03,
         2.18245500e-01],
       [ 9.31127300e-04, -1.17528481e-02,  9.99930550e-01,
         2.37694500e-01],
       [ 0.00000000e+00,  0.00000000e+00,  0.00000000e+00,
         1.00000000e+00]])]"
36,"[array([[-0.3269639 , -0.9429448 , -0.00710255,  0.131176  ],
       [ 0.94502403, -0.33282064, -0.00766122,  0.2100405 ],
       [ 0.00491803, -0.00924763,  0.99994543,  0.2376655 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
37,"[array([[-0.22084972, -0.97345172, -0.00738592,  0.1204325 ],
       [ 0.97528868, -0.22871518, -0.00794173,  0.212068  ],
       [ 0.00611466, -0.00900676,  0.99994119,  0.2375895 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
38,"[array([[-0.13861275, -0.98917887, -0.01272755,  0.0919215 ],
       [ 0.99034604, -0.14613618, -0.0028969 ,  0.231187  ],
       [ 0.00110482, -0.01301427,  0.99991481,  0.2374495 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
39,"[array([[-1.14306706e-01, -9.92248879e-01, -1.28666308e-02,
         4.59305000e-02],
       [ 9.93445398e-01, -1.23595858e-01, -1.01050002e-03,
         2.61557000e-01],
       [-4.66904481e-04, -1.28928674e-02,  9.99916711e-01,
         2.37118500e-01],
       [ 0.00000000e+00,  0.00000000e+00,  0.00000000e+00,
         1.00000000e+00]])]"
40,"[array([[-1.62576484e-01, -9.85235372e-01, -1.22510337e-02,
        -1.74705000e-02],
       [ 9.86695930e-01, -1.70752396e-01, -2.19047460e-03,
         2.96828500e-01],
       [ 1.69615528e-04, -1.24451444e-02,  9.99922554e-01,
         2.36653500e-01],
       [ 0.00000000e+00,  0.00000000e+00,  0.00000000e+00,
         1.00000000e+00]])]"
41,"[array([[-2.09291470e-01, -9.75803698e-01, -1.14716785e-02,
        -7.91565000e-02],
       [ 9.77853191e-01, -2.18339094e-01, -1.97806905e-03,
         3.17456500e-01],
       [-4.66694945e-04, -1.16267840e-02,  9.99932242e-01,
         2.36216500e-01],
       [ 0.00000000e+00,  0.00000000e+00,  0.00000000e+00,
         1.00000000e+00]])]"
42,"[array([[-0.24628974, -0.96776314, -0.01321639, -0.133311  ],
       [ 0.96919535, -0.25147393, -0.00471637,  0.32881   ],
       [ 0.00131615, -0.01397775,  0.99990154,  0.2358305 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
43,"[array([[-0.2958477 , -0.95378542, -0.01126625, -0.18111   ],
       [ 0.95523453, -0.30024373, -0.00459993,  0.3331055 ],
       [ 0.00106099, -0.01212758,  0.99992595,  0.2354905 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
44,"[array([[-3.03934578e-01, -9.48776731e-01, -1.58563238e-02,
        -1.99753500e-01],
       [ 9.52677107e-01, -3.15599318e-01,  6.99783942e-04,
         3.35922000e-01],
       [-5.48664435e-03, -1.48251272e-02,  9.99874036e-01,
         2.35396000e-01],
       [ 0.00000000e+00,  0.00000000e+00,  0.00000000e+00,
         1.00000000e+00]])]"
45,"[array([[-0.31437733, -0.94629218, -0.0142062 , -0.191294  ],
       [ 0.94929543, -0.32300081, -0.00233173,  0.3375865 ],
       [-0.00225284, -0.01419784,  0.99989637,  0.235465  ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
46,"[array([[-0.31297837, -0.94809612, -0.01298579, -0.146849  ],
       [ 0.94975966, -0.31767433, -0.00539652,  0.3435185 ],
       [ 0.00106123, -0.0140275 ,  0.99990112,  0.2357245 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
47,"[array([[-2.60384276e-01, -9.63605428e-01, -1.11442887e-02,
        -7.82760000e-02],
       [ 9.65505063e-01, -2.67079816e-01, -2.96152955e-03,
         3.47795000e-01],
       [-4.24285930e-05, -1.15304285e-02,  9.99933515e-01,
         2.36212000e-01],
       [ 0.00000000e+00,  0.00000000e+00,  0.00000000e+00,
         1.00000000e+00]])]"
48,"[array([[-0.24476656, -0.96709739, -0.01245206, -0.0088555 ],
       [ 0.96958015, -0.25410698, -0.00116934,  0.3458875 ],
       [-0.00191423, -0.01234046,  0.99992179,  0.236824  ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
49,"[array([[-2.17262394e-01, -9.74952651e-01, -9.57510125e-03,
         6.11600000e-02],
       [ 9.76113163e-01, -2.22192248e-01, -2.52184027e-03,
         3.43847500e-01],
       [ 3.81310754e-04, -9.89608884e-03,  9.99950978e-01,
         2.37341000e-01],
       [ 0.00000000e+00,  0.00000000e+00,  0.00000000e+00,
         1.00000000e+00]])]"
50,"[array([[-1.68470354e-01, -9.84567777e-01, -1.13251559e-02,
         1.19955500e-01],
       [ 9.85706425e-01, -1.74617198e-01, -2.71029413e-03,
         3.41244500e-01],
       [ 7.63653080e-04, -1.16244358e-02,  9.99932195e-01,
         2.37738500e-01],
       [ 0.00000000e+00,  0.00000000e+00,  0.00000000e+00,
         1.00000000e+00]])]"
