,LP,LD1,LD2,RP,RD1,RD2
0,"[array([[ 0.11260086, -0.9936243 ,  0.00563904,  0.05728326],
       [ 0.99238064,  0.11274197,  0.04969828,  0.32087311],
       [-0.05001718, -0.        ,  0.99874836,  0.08659638],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.73921357, -0.67342495,  0.00788228,  0.0717806 ],
       [ 0.67338667,  0.73925559,  0.00718036,  0.39075395],
       [-0.01066246, -0.        ,  0.99994315,  0.08376607],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.73921357, -0.67342495,  0.00788228,  0.0717806 ],
       [ 0.67338667,  0.73925559,  0.00718036,  0.39075395],
       [-0.01066246, -0.        ,  0.99994315,  0.08376607],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.83909092, -0.54348084,  0.02355854,  0.12055697],
       [ 0.54326676,  0.83942157,  0.0152529 ,  0.32262069],
       [-0.0280652 ,  0.        ,  0.99960609,  0.08679966],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.42893021, -0.9032081 , -0.01529737,  0.17076391],
       [ 0.90263424,  0.42920291, -0.03219155,  0.35642377],
       [ 0.03564134,  0.        ,  0.99936465,  0.08356861],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.42893021, -0.9032081 , -0.01529737,  0.17076391],
       [ 0.90263424,  0.42920291, -0.03219155,  0.35642377],
       [ 0.03564134,  0.        ,  0.99936465,  0.08356861],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
1,"[array([[ 0.11160261, -0.99373858,  0.00533806,  0.05731633],
       [ 0.99260379,  0.1117302 ,  0.04747722,  0.32085461],
       [-0.04777637, -0.        ,  0.99885806,  0.08651019],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.73923888, -0.67339759,  0.00784581,  0.07177791],
       [ 0.67335967,  0.73928052,  0.00714661,  0.39075392],
       [-0.01061276, -0.        ,  0.99994368,  0.08376649],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.73923888, -0.67339759,  0.00784581,  0.07177791],
       [ 0.67335967,  0.73928052,  0.00714661,  0.39075392],
       [-0.01061276, -0.        ,  0.99994368,  0.08376649],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.83900033, -0.54361591,  0.02366835,  0.1205548 ],
       [ 0.54339973,  0.83933411,  0.0153294 ,  0.32261594],
       [-0.02819896,  0.        ,  0.99960233,  0.08680066],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.42899781, -0.90317606, -0.01529338,  0.1707562 ],
       [ 0.9026027 ,  0.42927032, -0.03217696,  0.3564237 ],
       [ 0.03562646,  0.        ,  0.99936518,  0.08356508],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.42899781, -0.90317606, -0.01529338,  0.1707562 ],
       [ 0.9026027 ,  0.42927032, -0.03217696,  0.3564237 ],
       [ 0.03562646,  0.        ,  0.99936518,  0.08356508],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
2,"[array([[ 0.11180204, -0.99371626,  0.0053203 ,  0.05731211],
       [ 0.99259303,  0.11192855,  0.04723429,  0.3208561 ],
       [-0.04753297, -0.        ,  0.99886967,  0.08649774],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.73918644, -0.67345474,  0.00788117,  0.07177932],
       [ 0.67341647,  0.73922846,  0.00717993,  0.39075088],
       [-0.01066134, -0.        ,  0.99994317,  0.08376803],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.73918644, -0.67345474,  0.00788117,  0.07177932],
       [ 0.67341647,  0.73922846,  0.00717993,  0.39075088],
       [-0.01066134, -0.        ,  0.99994317,  0.08376803],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.8390092 , -0.54360236,  0.02366517,  0.12055372],
       [ 0.54338625,  0.83934288,  0.0153268 ,  0.32261632],
       [-0.02819488,  0.        ,  0.99960245,  0.08680057],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.42887308, -0.90323634, -0.01523142,  0.17076434],
       [ 0.90266725,  0.42914346, -0.03205821,  0.3564239 ],
       [ 0.0354926 ,  0.        ,  0.99936994,  0.08357534],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.42887308, -0.90323634, -0.01523142,  0.17076434],
       [ 0.90266725,  0.42914346, -0.03205821,  0.3564239 ],
       [ 0.0354926 ,  0.        ,  0.99936994,  0.08357534],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
3,"[array([[ 0.11281333, -0.99360017,  0.00564393,  0.05728078],
       [ 0.99235906,  0.11295442,  0.04964663,  0.32087701],
       [-0.04996641, -0.        ,  0.9987509 ,  0.08658925],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.73921721, -0.67342008,  0.00795746,  0.0717835 ],
       [ 0.67338106,  0.73926003,  0.00724875,  0.39075515],
       [-0.01076408, -0.        ,  0.99994207,  0.0837693 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.73921721, -0.67342008,  0.00795746,  0.0717835 ],
       [ 0.67338106,  0.73926003,  0.00724875,  0.39075515],
       [-0.01076408, -0.        ,  0.99994207,  0.0837693 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.83899102, -0.54361591,  0.02399605,  0.12056001],
       [ 0.5433937 ,  0.83933411,  0.01554165,  0.32261607],
       [-0.02858939,  0.        ,  0.99959124,  0.0868144 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.42883486, -0.90325453, -0.0152287 ,  0.1707693 ],
       [ 0.90268553,  0.42910517, -0.032056  ,  0.3564218 ],
       [ 0.03548944,  0.        ,  0.99937005,  0.08357344],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.42883486, -0.90325453, -0.0152287 ,  0.1707693 ],
       [ 0.90268553,  0.42910517, -0.032056  ,  0.3564218 ],
       [ 0.03548944,  0.        ,  0.99937005,  0.08357344],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
4,"[array([[ 0.11311525, -0.99356596,  0.00562325,  0.05726641],
       [ 0.99234051,  0.11325493,  0.04933179,  0.32088485],
       [-0.04965125, -0.        ,  0.99876662,  0.08658119],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.73925898, -0.67337511,  0.00788218,  0.07177738],
       [ 0.67333684,  0.739301  ,  0.0071793 ,  0.39075774],
       [-0.01066167, -0.        ,  0.99994316,  0.08376904],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.73925898, -0.67337511,  0.00788218,  0.07177738],
       [ 0.67333684,  0.739301  ,  0.0071793 ,  0.39075774],
       [-0.01066167, -0.        ,  0.99994316,  0.08376904],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.83898258, -0.54364564,  0.02361448,  0.12055994],
       [ 0.54343042,  0.83931485,  0.0152957 ,  0.32261808],
       [-0.02813542,  0.        ,  0.99960412,  0.08680023],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.42915099, -0.90310135, -0.01540688,  0.17075435],
       [ 0.90251993,  0.42942746, -0.03240123,  0.35643449],
       [ 0.03587773,  0.        ,  0.99935619,  0.08355709],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.42915099, -0.90310135, -0.01540688,  0.17075435],
       [ 0.90251993,  0.42942746, -0.03240123,  0.35643449],
       [ 0.03587773,  0.        ,  0.99935619,  0.08355709],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
5,"[array([[ 0.11285526, -0.99359556,  0.00561682,  0.05727589],
       [ 0.99236725,  0.11299494,  0.04939022,  0.32087929],
       [-0.04970857, -0.        ,  0.99876376,  0.08658347],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.73921357, -0.67342495,  0.00788228,  0.0717816 ],
       [ 0.67338667,  0.73925559,  0.00718036,  0.39075595],
       [-0.01066246, -0.        ,  0.99994315,  0.08376707],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.73921357, -0.67342495,  0.00788228,  0.0717816 ],
       [ 0.67338667,  0.73925559,  0.00718036,  0.39075595],
       [-0.01066246, -0.        ,  0.99994315,  0.08376707],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.83899299, -0.54362947,  0.0236169 ,  0.12055685],
       [ 0.54341422,  0.83932532,  0.01529662,  0.32261953],
       [-0.02813795,  0.        ,  0.99960405,  0.08679829],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.4289922 , -0.90317795, -0.01533893,  0.17075835],
       [ 0.90260116,  0.42926634, -0.03227317,  0.3564277 ],
       [ 0.0357329 ,  0.        ,  0.99936138,  0.08355969],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.4289922 , -0.90317795, -0.01533893,  0.17075835],
       [ 0.90260116,  0.42926634, -0.03227317,  0.3564277 ],
       [ 0.0357329 ,  0.        ,  0.99936138,  0.08355969],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
6,"[array([[ 0.111849  , -0.99371089,  0.00533577,  0.05731512],
       [ 0.99258208,  0.1119762 ,  0.04735123,  0.32085389],
       [-0.04765091, -0.        ,  0.99886405,  0.08650438],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.73912114, -0.67352465,  0.00803049,  0.07178709],
       [ 0.6734849 ,  0.73916476,  0.00731736,  0.39074942],
       [-0.01086427, -0.        ,  0.99994098,  0.08377548],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.73912114, -0.67352465,  0.00803049,  0.07178709],
       [ 0.6734849 ,  0.73916476,  0.00731736,  0.39074942],
       [-0.01086427, -0.        ,  0.99994098,  0.08377548],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.83912217, -0.54343228,  0.02356578,  0.1205557 ],
       [ 0.54321811,  0.83945301,  0.01525566,  0.32262406],
       [-0.02807278,  0.        ,  0.99960588,  0.08679983],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.42901108, -0.90316791, -0.01540215,  0.17075889],
       [ 0.90258641,  0.42928747, -0.03240423,  0.35642545],
       [ 0.03587841,  0.        ,  0.99935616,  0.08355807],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.42901108, -0.90316791, -0.01540215,  0.17075889],
       [ 0.90258641,  0.42928747, -0.03240423,  0.35642545],
       [ 0.03587841,  0.        ,  0.99935616,  0.08355807],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
7,"[array([[ 0.11174783, -0.9937224 ,  0.00531112,  0.05731626],
       [ 0.99260195,  0.11187397,  0.04717614,  0.32085528],
       [-0.04747416, -0.        ,  0.99887247,  0.08649842],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.73919308, -0.67344744,  0.00788291,  0.07178315],
       [ 0.67340915,  0.73923511,  0.00718138,  0.39075515],
       [-0.0106636 , -0.        ,  0.99994314,  0.0837661 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.73919308, -0.67344744,  0.00788291,  0.07178315],
       [ 0.67340915,  0.73923511,  0.00718138,  0.39075515],
       [-0.0106636 , -0.        ,  0.99994314,  0.0837661 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.83894979, -0.54368894,  0.02378228,  0.12055929],
       [ 0.54347062,  0.8392868 ,  0.01540613,  0.32261693],
       [-0.0283363 ,  0.        ,  0.99959845,  0.08680673],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.42907145, -0.9031406 , -0.01532162,  0.17075534],
       [ 0.90256534,  0.42934492, -0.0322295 ,  0.35642891],
       [ 0.03568603,  0.        ,  0.99936305,  0.08356418],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.42907145, -0.9031406 , -0.01532162,  0.17075534],
       [ 0.90256534,  0.42934492, -0.0322295 ,  0.35642891],
       [ 0.03568603,  0.        ,  0.99936305,  0.08356418],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
8,"[array([[ 0.11214284, -0.99367765,  0.00535894,  0.05730392],
       [ 0.99254502,  0.11227081,  0.04743049,  0.32086607],
       [-0.04773227, -0.        ,  0.99886017,  0.0865082 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.73927524, -0.67335507,  0.00806595,  0.07177795],
       [ 0.673315  ,  0.73931925,  0.00734628,  0.39075852],
       [-0.01090997, -0.        ,  0.99994048,  0.08377794],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.73927524, -0.67335507,  0.00806595,  0.07177795],
       [ 0.673315  ,  0.73931925,  0.00734628,  0.39075852],
       [-0.01090997, -0.        ,  0.99994048,  0.08377794],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.83910136, -0.54346201,  0.02362116,  0.1205559 ],
       [ 0.5432468 ,  0.83943376,  0.0152927 ,  0.32262525],
       [-0.0281394 ,  0.        ,  0.99960401,  0.08680132],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.42893302, -0.90320715, -0.01527459,  0.17076383],
       [ 0.902635  ,  0.42920491, -0.03214344,  0.35642477],
       [ 0.03558811,  0.        ,  0.99936654,  0.0835703 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.42893302, -0.90320715, -0.01527459,  0.17076383],
       [ 0.902635  ,  0.42920491, -0.03214344,  0.35642477],
       [ 0.03558811,  0.        ,  0.99936654,  0.0835703 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
9,"[array([[ 0.1119384 , -0.99370083,  0.00533434,  0.05731123],
       [ 0.99257443,  0.11206543,  0.04730042,  0.32085708],
       [-0.04760027, -0.        ,  0.99886646,  0.08650225],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.73919126, -0.67344987,  0.00784533,  0.07178219],
       [ 0.67341195,  0.73923289,  0.00714719,  0.39075205],
       [-0.0106128 , -0.        ,  0.99994368,  0.08376349],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.73919126, -0.67344987,  0.00784533,  0.07178219],
       [ 0.67341195,  0.73923289,  0.00714719,  0.39075205],
       [-0.0106128 , -0.        ,  0.99994368,  0.08376349],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.83892897, -0.54372126,  0.0237774 ,  0.12056046],
       [ 0.54350301,  0.83926586,  0.01540427,  0.32261202],
       [-0.02833119,  0.        ,  0.99959859,  0.08680462],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.42909033, -0.90313055, -0.01538486,  0.17075988],
       [ 0.9025506 ,  0.42936605, -0.03236058,  0.35642567],
       [ 0.03583156,  0.        ,  0.99935784,  0.08356056],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.42909033, -0.90313055, -0.01538486,  0.17075988],
       [ 0.9025506 ,  0.42936605, -0.03236058,  0.35642567],
       [ 0.03583156,  0.        ,  0.99935784,  0.08356056],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
