,features,labels
0,"[9.45, 0.382, 0.051, 0.068, 0.076, 0.102, 9.8, 0.154, -0.038, 0.016, 0.007, -0.049, 9.665, 0.042, 0.108, 0.082, 0.078, 0.071, 9.583, 0.179, 0.301, 0.022, 0.005, -0.063, 9.637, 0.412, 0.228, 0.08, 0.076, 0.044, 9.648, 0.343, -0.056, 0.026, -0.001, -0.077, 9.65, 0.376, -0.017, 0.083, 0.069, 0.002, 9.746, -0.437, -0.022, 0.022, -0.006, -0.072, 9.656, 0.036, -0.02, 0.088, 0.062, -0.042, 9.657, -0.032, 0.014, 0.025, -0.008, -0.067]","[False, False, False, False]"
1,"[9.565, 0.211, -0.129, 0.075, 0.025, -0.09, 9.778, -0.19, -0.144, 0.016, -0.012, -0.05, 9.628, 0.139, -0.078, 0.067, 0.025, -0.082, 9.66, -0.223, 0.033, 0.013, -0.014, -0.042, 9.789, 0.09, 0.034, 0.067, 0.022, -0.075, 9.697, -0.156, 0.007, 0.011, -0.009, -0.033, 9.75, 0.161, 0.087, 0.067, 0.027, -0.064, 9.671, -0.132, 0.01, 0.018, -0.007, -0.051, 9.756, 0.198, -0.001, 0.064, 0.027, -0.037, 9.729, -0.168, 0.037, 0.013, -0.006, -0.045]","[True, False, False, False]"
2,"[9.55, 0.169, 0.045, 0.07, 0.035, -0.031, 9.784, -0.147, 0.026, 0.013, -0.005, -0.047, 9.697, 0.175, 0.071, 0.071, 0.038, -0.027, 9.73, -0.126, 0.017, 0.016, -0.005, -0.049, 9.541, 0.124, 0.075, 0.068, 0.03, -0.028, 9.677, -0.156, -0.078, 0.017, -0.009, -0.047, 9.658, 0.176, -0.069, 0.07, 0.035, -0.029, 9.734, -0.185, 0.111, 0.011, -0.005, -0.05, 9.654, 0.135, -0.099, 0.067, 0.034, -0.027, 9.765, -0.153, -0.117, 0.019, -0.005, -0.047]","[False, False, False, False]"
3,"[9.631, 0.169, -0.024, 0.07, 0.031, -0.027, 9.66, -0.137, 0.026, 0.013, -0.009, -0.051, 9.626, 0.179, -0.01, 0.069, 0.033, -0.027, 9.677, -0.121, 0.021, 0.015, -0.005, -0.05, 9.643, 0.156, -0.072, 0.067, 0.03, -0.027, 9.657, -0.144, 0.031, 0.015, -0.007, -0.054, 9.663, 0.13, 0.036, 0.071, 0.033, -0.024, 9.694, -0.156, 0.03, 0.014, -0.005, -0.046, 9.686, 0.157, 0.057, 0.071, 0.033, -0.029, 9.744, -0.157, -0.083, 0.015, -0.006, -0.049]","[False, False, False, False]"
4,"[9.645, 0.12, 0.043, 0.069, 0.034, -0.03, 9.724, -0.169, 0.008, 0.015, -0.006, -0.05, 9.695, 0.194, -0.068, 0.065, 0.034, -0.023, 9.746, -0.193, -0.007, 0.02, -0.006, -0.05, 9.704, 0.167, -0.103, 0.065, 0.036, -0.027, 9.639, -0.2, -0.041, 0.017, -0.007, -0.05, 9.611, 0.181, 0.011, 0.062, 0.038, -0.027, 9.678, -0.142, -0.092, 0.013, -0.005, -0.047, 9.666, 0.183, 0.016, 0.071, 0.036, -0.026, 9.785, -0.129, 0.065, 0.012, -0.006, -0.049]","[False, False, False, False]"
5,"[9.666, 0.162, -0.01, 0.07, 0.038, -0.028, 9.666, -0.166, 0.059, 0.018, -0.01, -0.049, 9.603, 0.164, 0.078, 0.066, 0.037, -0.025, 9.814, -0.182, 0.023, 0.016, -0.006, -0.05, 9.645, 0.156, 0.095, 0.07, 0.036, -0.024, 9.775, -0.169, -0.001, 0.018, -0.005, -0.045, 9.68, 0.183, 0.025, 0.069, 0.036, -0.027, 9.897, -0.147, 0.012, 0.014, -0.007, -0.049, 9.613, 0.097, -0.041, 0.072, 0.036, -0.027, 9.902, 0.071, -0.155, 0.007, -0.002, -0.049]","[False, False, False, False]"
6,"[9.601, 0.046, 0.006, 0.072, 0.037, -0.031, 9.609, -0.111, -0.026, 0.012, -0.006, -0.049, 9.649, 0.197, 0.035, 0.067, 0.035, -0.024, 9.631, -0.189, 0.063, 0.015, -0.008, -0.049, 9.624, 0.161, 0.095, 0.065, 0.039, -0.028, 9.646, -0.154, -0.111, 0.017, -0.007, -0.048, 9.62, 0.157, -0.012, 0.069, 0.036, -0.025, 9.711, -0.169, 0.072, 0.012, -0.003, -0.047, 9.647, 0.172, -0.01, 0.071, 0.036, -0.028, 9.784, -0.138, 0.083, 0.011, -0.004, -0.049]","[False, False, False, False]"
7,"[9.641, 0.166, 0.06, 0.066, 0.034, -0.022, 9.642, -0.141, -0.063, 0.016, -0.009, -0.048, 9.679, 0.178, 0.009, 0.067, 0.037, -0.03, 9.709, -0.152, -0.003, 0.015, -0.005, -0.049, 9.695, 0.132, 0.055, 0.067, 0.036, -0.028, 9.526, -0.153, -0.038, 0.013, -0.008, -0.051, 9.617, 0.193, -0.005, 0.069, 0.037, -0.026, 9.617, -0.162, 0.007, 0.013, -0.008, -0.046, 9.613, 0.159, -0.058, 0.069, 0.038, -0.023, 9.668, -0.112, 0.005, 0.015, -0.008, -0.047]","[True, False, False, False]"
8,"[9.692, 0.184, -0.004, 0.07, 0.037, -0.025, 9.738, -0.161, 0.023, 0.014, -0.011, -0.048, 9.62, 0.132, 0.031, 0.066, 0.036, -0.026, 9.695, -0.217, 0.139, 0.014, -0.005, -0.047, 9.582, 0.535, -0.033, 0.073, 0.038, -0.029, 9.444, 0.156, 0.251, 0.131, -0.011, -0.043, 9.597, 0.19, -0.41, 0.253, 0.036, -0.028, 9.983, -0.258, 0.621, 0.215, -0.008, -0.052, 9.629, -0.145, -0.483, 0.265, 0.035, -0.025, 9.622, -0.423, 0.893, 0.179, -0.008, -0.05]","[False, False, False, False]"
9,"[9.805, -0.222, -1.048, -0.062, 0.037, -0.03, 9.588, -0.476, 0.979, -0.157, -0.002, -0.042, 8.923, -0.062, -1.7, -0.119, 0.042, -0.026, 10.009, -0.337, 0.475, -0.208, -0.007, -0.046, 9.681, 0.117, -0.41, -0.165, 0.036, -0.027, 10.141, -0.182, 0.435, -0.211, 0.039, -0.046, 9.726, 0.193, -0.1, -0.15, 0.032, -0.025, 9.361, -0.197, 0.403, -0.207, -0.003, -0.047, 9.415, 0.122, 0.053, -0.156, 0.034, -0.03, 9.527, -0.191, 0.09, -0.206, -0.0, -0.047]","[True, True, False, False]"
