,features,labels
0,"[9.622, 0.098, -0.075, 0.085, 0.064, -0.0, 9.625, -0.17, 0.385, 0.03, -0.011, -0.065, 9.656, 0.12, -0.02, 0.086, 0.058, -0.038, 9.649, -0.122, 0.368, 0.03, -0.011, -0.06, 9.608, 0.107, -0.036, 0.077, 0.039, -0.07, 9.652, -0.141, 0.41, 0.026, -0.009, -0.055, 9.625, 0.139, -0.077, 0.073, 0.03, -0.088, 9.631, -0.1, 0.357, 0.028, -0.014, -0.049, 9.663, 0.135, -0.085, 0.069, 0.024, -0.091, 9.595, -0.157, 0.339, 0.017, -0.016, -0.045]","[False, False, False, False]"
1,"[9.678, 0.121, -0.041, 0.067, 0.025, -0.049, 9.617, -0.175, 0.406, 0.018, -0.007, -0.043, 9.508, 0.139, -0.017, 0.06, 0.025, -0.038, 9.635, -0.166, 0.415, 0.019, -0.013, -0.044, 9.628, 0.133, 0.066, 0.07, 0.03, -0.027, 9.605, -0.159, 0.35, 0.024, -0.008, -0.044, 9.649, 0.047, -0.1, 0.067, 0.035, -0.026, 9.674, -0.217, 0.344, 0.016, -0.007, -0.046, 9.669, 0.144, 0.051, 0.065, 0.033, -0.025, 9.673, -0.154, 0.368, 0.02, -0.007, -0.042]","[False, False, False, False]"
2,"[9.727, 0.142, 0.038, 0.069, 0.03, -0.028, 9.628, -0.124, 0.35, 0.021, -0.006, -0.043, 9.686, 0.13, 0.018, 0.066, 0.035, -0.027, 9.663, -0.151, 0.416, 0.021, -0.009, -0.044, 9.611, 0.131, -0.004, 0.067, 0.033, -0.03, 9.664, -0.123, 0.467, 0.017, -0.009, -0.045, 9.638, 0.113, 0.021, 0.064, 0.036, -0.027, 9.625, -0.138, 0.333, 0.022, -0.008, -0.043, 9.696, 0.008, -0.102, 0.062, 0.035, -0.033, 9.691, -0.004, 0.389, 0.025, -0.009, -0.042]","[False, False, False, False]"
3,"[9.683, 0.107, 0.002, 0.067, 0.033, -0.024, 9.629, -0.004, 0.368, 0.023, -0.009, -0.042, 9.661, 0.128, -0.022, 0.072, 0.032, -0.033, 9.666, -0.007, 0.342, 0.017, -0.01, -0.044, 9.646, 0.167, 0.041, 0.068, 0.034, -0.032, 9.681, -0.13, 0.456, 0.023, -0.012, -0.042, 9.711, 0.146, -0.08, 0.065, 0.034, -0.033, 9.624, -0.151, 0.434, 0.021, -0.008, -0.045, 9.576, 0.145, 0.015, 0.07, 0.032, -0.029, 9.625, -0.108, 0.447, 0.018, -0.005, -0.04]","[False, False, False, False]"
4,"[9.624, 0.107, -0.042, 0.066, 0.034, -0.033, 9.658, -0.27, 0.398, 0.021, -0.01, -0.045, 9.691, 0.183, -0.08, 0.066, 0.034, -0.033, 9.595, -0.094, 0.419, 0.02, -0.007, -0.042, 9.639, 0.12, -0.084, 0.066, 0.033, -0.031, 9.595, -0.101, 0.4, 0.021, -0.008, -0.043, 9.622, 0.148, 0.041, 0.068, 0.032, -0.031, 9.616, -0.178, 0.405, 0.021, -0.008, -0.043, 9.688, 0.098, -0.072, 0.067, 0.031, -0.031, 9.72, -0.099, 0.398, 0.019, -0.006, -0.043]","[False, False, False, False]"
5,"[9.639, 0.144, -0.145, 0.066, 0.033, -0.036, 9.662, -0.138, 0.329, 0.017, -0.009, -0.078, 9.628, 0.141, -0.086, 0.067, 0.031, -0.029, 9.644, -0.163, 0.412, 0.022, -0.009, -0.042, 9.615, 0.151, -0.047, 0.062, 0.033, -0.034, 9.642, -0.254, 0.33, 0.024, -0.004, -0.041, 9.644, 0.134, -0.021, 0.067, 0.036, -0.028, 9.652, -0.109, 0.343, 0.025, -0.008, -0.042, 9.635, 0.109, 0.033, 0.069, 0.035, -0.031, 9.637, -0.123, 0.326, 0.018, -0.009, -0.045]","[False, False, False, False]"
6,"[9.683, 0.112, 0.051, 0.067, 0.038, -0.03, 9.68, -0.084, 0.391, 0.019, -0.008, -0.041, 9.65, 0.017, -0.042, 0.069, 0.034, -0.032, 9.674, -0.22, 0.309, 0.019, -0.01, -0.044, 9.635, 0.004, 0.072, 0.061, 0.031, -0.029, 9.625, -0.187, 0.58, 0.022, -0.008, -0.044, 9.497, 0.091, -0.004, 0.066, 0.032, -0.033, 9.683, -0.127, 0.276, 0.016, -0.008, -0.043, 9.688, 0.267, -0.043, 0.068, 0.037, -0.03, 9.623, -0.156, 0.364, 0.017, -0.006, -0.044]","[True, False, False, False]"
7,"[9.651, 0.095, 0.053, 0.069, 0.035, -0.027, 9.643, -0.099, 0.325, 0.017, -0.007, -0.046, 9.643, 0.114, -0.047, 0.07, 0.033, -0.031, 9.605, -0.139, 0.438, 0.02, -0.008, -0.046, 9.634, 0.183, -0.017, 0.076, 0.033, -0.032, 8.523, 0.873, -0.811, 0.098, 0.011, -0.077, 11.195, -0.401, 0.094, 0.235, -0.0, -0.007, 10.332, -0.507, 1.779, 0.071, 0.016, -0.049, 9.607, 0.57, 0.29, -0.092, 0.034, -0.02, 9.642, 0.672, -0.924, 0.028, -0.011, -0.044]","[False, False, False, False]"
8,"[9.663, 0.092, -0.047, 0.055, 0.031, -0.038, 9.757, -0.005, 0.191, 0.022, -0.012, -0.043, 9.743, 0.023, -0.142, 0.074, 0.035, -0.03, 9.668, -0.132, 0.429, 0.007, -0.008, -0.043, 9.6, 0.199, 0.037, 0.072, 0.034, -0.029, 9.596, -0.233, 0.52, 0.028, -0.007, -0.044, 9.612, 0.304, -0.009, 0.058, 0.034, -0.033, 9.671, -0.135, 0.27, 0.026, -0.009, -0.046, 9.769, 0.085, -0.01, 0.079, 0.034, -0.026, 9.708, -0.179, 0.385, 0.015, -0.011, -0.047]","[False, False, False, False]"
9,"[9.646, 0.17, 0.057, 0.068, 0.035, -0.03, 9.63, -0.219, 0.459, 0.016, -0.01, -0.044, 9.615, 0.112, -0.025, 0.066, 0.031, -0.034, 9.656, -0.078, 0.204, 0.019, -0.007, -0.043, 9.648, 0.078, 0.042, 0.069, 0.033, -0.03, 9.623, -0.124, 0.38, 0.017, -0.005, -0.042, 9.599, 0.156, 0.099, 0.071, 0.035, -0.029, 9.607, -0.258, 0.388, 0.023, -0.007, -0.043, 9.58, 0.135, -0.047, 0.044, 0.032, -0.02, 9.75, -0.032, 0.178, 0.006, -0.011, -0.043]","[True, False, False, False]"
