,transforms
0,"[array([[-0.49817375,  0.86405503, -0.00601342, -0.094633  ],
       [-0.8669259 , -0.5033913 , -0.01522681,  0.348397  ],
       [-0.01619841, -0.00246944,  0.99986598,  0.2364645 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
1,"[array([[-0.49810319,  0.86409483, -0.0060301 , -0.0946375 ],
       [-0.8669688 , -0.50332344, -0.01507104,  0.3484    ],
       [-0.01607185, -0.00237535,  0.99986824,  0.236463  ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
2,"[array([[-0.49809856,  0.86405985, -0.00608452, -0.094637  ],
       [-0.86697149, -0.50338378, -0.01503805,  0.348399  ],
       [-0.01607037, -0.00231283,  0.99986841,  0.236464  ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
3,"[array([[-0.49804419,  0.86406639, -0.00608864, -0.094633  ],
       [-0.86699957, -0.50337211, -0.01523078,  0.3483935 ],
       [-0.01623967, -0.00240609,  0.99986547,  0.2364635 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
4,"[array([[-0.49815223,  0.86409028, -0.00600302, -0.0946305 ],
       [-0.86694062, -0.5033311 , -0.01508703,  0.348396  ],
       [-0.0160721 , -0.00240694,  0.99986816,  0.2364625 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
5,"[array([[-0.49806275,  0.86411403, -0.00604536, -0.094632  ],
       [-0.86699045, -0.50329032, -0.01516083,  0.348397  ],
       [-0.01615742, -0.00240674,  0.99986679,  0.2364625 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
6,"[array([[-0.49887373,  0.86374551, -0.00798823, -0.0947035 ],
       [-0.86649325, -0.50392708, -0.0158624 ,  0.348297  ],
       [-0.01773258, -0.00109386,  0.99984227,  0.2364925 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
7,"[array([[-0.4983493 ,  0.86377469, -0.00659637, -0.0946185 ],
       [-0.86683856, -0.50387638, -0.0140354 ,  0.348603  ],
       [-0.01545558, -0.00137449,  0.99987974,  0.236457  ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
8,"[array([[-0.49817587,  0.86388196, -0.00600951, -0.0945695 ],
       [-0.86689893, -0.50368383, -0.01675647,  0.3481955 ],
       [-0.01752273, -0.00324897,  0.99984154,  0.236506  ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
9,"[array([[-0.50039503,  0.86305674, -0.00528814, -0.094628  ],
       [-0.86578454, -0.50509571, -0.0023536 ,  0.350667  ],
       [-0.00468395,  0.00337522,  0.99998325,  0.236035  ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
10,"[array([[-0.50433436,  0.86029636, -0.00411963, -0.0947055 ],
       [-0.86349599, -0.5097902 , -0.00296758,  0.3512925 ],
       [-0.00464022,  0.00203129,  0.99998711,  0.2360245 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
11,"[array([[-0.50721284,  0.8588156 , -0.00390982, -0.0952815 ],
       [-0.861806  , -0.51228255, -0.00356504,  0.352874  ],
       [-0.00505555,  0.00153153,  0.999986  ,  0.2360175 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
12,"[array([[-5.14338725e-01,  8.54228567e-01, -1.68955528e-03,
        -9.56760000e-02],
       [-8.57576698e-01, -5.19897301e-01, -3.91773985e-03,
         3.55377000e-01],
       [-4.22880460e-03, -5.93561394e-04,  9.99990898e-01,
         2.35978500e-01],
       [ 0.00000000e+00,  0.00000000e+00,  0.00000000e+00,
         1.00000000e+00]])]"
13,"[array([[-5.13647915e-01,  8.54640590e-01, -1.77311766e-03,
        -9.60920000e-02],
       [-8.57986403e-01, -5.19219148e-01, -4.78354564e-03,
         3.58635000e-01],
       [-5.01504057e-03, -9.68342774e-04,  9.99986987e-01,
         2.35981500e-01],
       [ 0.00000000e+00,  0.00000000e+00,  0.00000000e+00,
         1.00000000e+00]])]"
14,"[array([[-0.51492144,  0.85406467, -0.00168143, -0.096568  ],
       [-0.85722198, -0.52016555, -0.00498227,  0.3616905 ],
       [-0.00513679, -0.00115558,  0.99998617,  0.2359795 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
15,"[array([[-0.50729982,  0.85851841, -0.00159276, -0.0974895 ],
       [-0.86175453, -0.51278136, -0.00498087,  0.36792   ],
       [-0.00510037, -0.0011867 ,  0.99998633,  0.235974  ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
16,"[array([[-0.52746197,  0.84675677, -0.0032936 , -0.1017655 ],
       [-0.84956729, -0.53197905, -0.00312607,  0.389036  ],
       [-0.0043931 ,  0.00112588,  0.99998969,  0.235992  ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
17,"[array([[-0.55275888,  0.83054043, -0.00372963, -0.1033625 ],
       [-0.83332589, -0.55695727, -0.00359595,  0.4067905 ],
       [-0.00505825,  0.00109483,  0.99998658,  0.2359935 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
18,"[array([[-0.52018006,  0.85155468, -0.00321727, -0.1043625 ],
       [-0.85404552, -0.52426465, -0.00313747,  0.416775  ],
       [-0.00435314,  0.00109482,  0.9999899 ,  0.2359905 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
19,"[array([[-5.45847247e-01,  8.35035635e-01, -3.44590720e-03,
        -1.04620000e-01],
       [-8.37869926e-01, -5.50195215e-01, -3.69502444e-03,
         4.24700500e-01],
       [-4.97695234e-03,  8.44481315e-04,  9.99987236e-01,
         2.35988500e-01],
       [ 0.00000000e+00,  0.00000000e+00,  0.00000000e+00,
         1.00000000e+00]])]"
20,"[array([[-0.54894159,  0.83302045, -0.00326434, -0.1045945 ],
       [-0.83585064, -0.55324093, -0.00276682,  0.426024  ],
       [-0.00410462,  0.00118855,  0.99999084,  0.235984  ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
21,"[array([[-0.54899857,  0.83308283, -0.00328708, -0.1045935 ],
       [-0.835813  , -0.55314698, -0.00280191,  0.4260105 ],
       [-0.00414651,  0.00118855,  0.99999067,  0.235984  ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
22,"[array([[-0.54902695,  0.83306358, -0.00342469, -0.104594  ],
       [-0.83579309, -0.55317598, -0.00300901,  0.4260095 ],
       [-0.0043952 ,  0.00118848,  0.99998961,  0.235987  ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
23,"[array([[-0.54896003,  0.83308762, -0.00334924, -0.1045935 ],
       [-0.83583726, -0.5531399 , -0.00300883,  0.426011  ],
       [-0.00435354,  0.00112592,  0.99998986,  0.235988  ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
24,"[array([[-0.54902705,  0.83298213, -0.00332391, -0.104596  ],
       [-0.83579324, -0.55329881, -0.0030256 ,  0.426008  ],
       [-0.00435374,  0.00109471,  0.9999899 ,  0.2359875 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
25,"[array([[-0.54906644,  0.83305882, -0.00331309, -0.104595  ],
       [-0.83576842, -0.55318308, -0.00278419,  0.42601   ],
       [-0.00414609,  0.00121984,  0.99999064,  0.2359885 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
26,"[array([[-0.54895105,  0.83305406, -0.00332635, -0.1045955 ],
       [-0.83584338, -0.55319044, -0.0029738 ,  0.4260105 ],
       [-0.00431168,  0.00112596,  0.99999005,  0.235989  ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
27,"[array([[-0.54908527,  0.83304919, -0.00330672, -0.104594  ],
       [-0.83575563, -0.55319771, -0.00288773,  0.426011  ],
       [-0.00422915,  0.00115719,  0.99999036,  0.2359905 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
28,"[array([[-0.54903728,  0.83301568, -0.00335938, -0.1045965 ],
       [-0.83578716, -0.55324803, -0.00285317,  0.4260155 ],
       [-0.0042291 ,  0.00121992,  0.99999029,  0.2359895 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
