,time
0,0.733333
1,0.9416660000000001
2,1.15
3,1.358333
4,1.5666660000000001
5,1.775
6,1.983333
7,2.191666
8,2.4000000000000004
9,2.608333
10,2.8166659999999997
11,3.0250000000000004
12,3.233333
13,3.4416659999999997
14,3.6500000000000004
15,3.858333
16,4.066666
17,4.275
18,4.483333
19,4.691666
20,4.9
21,5.108333
22,5.316666
23,5.525
24,5.733333
25,5.941666
26,6.15
27,6.358333
28,6.566666
29,6.775
30,6.983333
31,7.191666
32,7.4
33,7.608333
34,7.816666
35,8.025
36,8.233333
37,8.441666
38,8.65
39,8.858333
40,9.066666
41,9.275
42,9.483333
43,9.691666
44,9.9
45,10.108333
46,10.316666
47,10.525
48,10.733333
49,10.941666
50,11.15
51,11.358333
52,11.566666
53,11.775
54,11.983333
55,12.191666
56,12.4
57,12.608333
58,12.816666
59,13.025
60,13.233333
61,13.441666
62,13.65
63,13.858333
64,14.066666
