,features,labels
0,"[9.58, 0.143, 0.068, 0.078, 0.083, 0.084, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 9.48, 0.074, -0.033, 0.085, 0.082, 0.052, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 9.598, 0.156, 0.084, 0.089, 0.075, 0.016, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 9.77, 0.172, 0.009, 0.067, 0.058, -0.022, 0.153, 0.0, 0.0, 0.0, 0.0, 0.0, 9.431, 0.211, 0.087, 0.085, 0.051, -0.054, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[False, False, False, False]"
1,"[9.64, 0.23, 0.104, 0.069, 0.046, -0.015, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 9.652, 0.21, 0.054, 0.076, 0.045, -0.018, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 9.628, 0.186, 0.095, 0.071, 0.046, -0.023, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 9.607, 0.203, 0.125, 0.07, 0.042, -0.016, 0.153, 0.0, 0.0, 0.0, 0.0, 0.0, 9.629, 0.209, 0.138, 0.073, 0.045, -0.018, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[False, False, False, False]"
2,"[9.599, 0.215, 0.105, 0.07, 0.05, -0.015, 0.0, 0.0, 0.0, 0.0, 0.0, 0.039, 9.62, 0.2, 0.081, 0.071, 0.048, -0.018, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 9.618, 0.221, 0.037, 0.071, 0.044, -0.013, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 9.666, 0.185, 0.127, 0.072, 0.046, -0.016, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 9.72, 0.194, 0.127, 0.074, 0.046, -0.018, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[False, False, False, False]"
3,"[9.678, 0.223, 0.12, 0.075, 0.045, -0.018, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 9.596, 0.218, 0.138, 0.072, 0.049, -0.017, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 9.631, 0.217, 0.112, 0.076, 0.043, -0.016, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 9.681, 0.244, 0.121, 0.069, 0.044, -0.014, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 9.654, 0.231, 0.062, 0.069, 0.048, -0.013, 0.153, 0.0, 0.0, 0.0, 0.0, 0.0]","[True, False, False, False]"
4,"[9.645, 0.221, 0.112, 0.067, 0.042, -0.017, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 9.614, 0.226, 0.042, 0.074, 0.047, -0.012, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 9.596, 0.208, 0.059, 0.072, 0.048, -0.016, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 9.65, 0.187, 0.015, 0.073, 0.05, -0.017, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 9.605, 0.2, 0.068, 0.071, 0.046, -0.014, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[True, True, True, True]"
5,"[9.629, 0.215, 0.053, 0.076, 0.046, -0.016, 0.0, 0.0, 0.0, 0.039, 0.0, 0.0, 9.712, 0.103, -0.124, 0.086, 0.049, -0.009, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 9.577, 0.329, 0.2, 0.073, 0.043, -0.016, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 9.684, 0.026, -0.202, 0.082, 0.044, -0.011, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 9.672, 0.199, 0.036, 0.05, 0.049, -0.024, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[True, False, False, False]"
6,"[9.593, 0.516, 0.233, 0.055, 0.048, -0.03, 0.153, 0.0, 0.0, 0.0, 0.0, 0.0, 9.91, -0.144, -0.456, 0.035, 0.039, -0.046, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 8.968, 0.499, 0.007, -0.056, 0.072, -0.309, 0.0, 0.0, 0.0, 0.0, 0.039, 0.0, 9.178, 0.09, 0.348, -0.113, 0.036, -0.156, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 9.661, 0.205, 0.338, -0.021, 0.044, -0.077, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[True, True, True, True]"
7,"[9.204, 0.052, 0.168, 0.084, 0.041, -0.022, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 9.989, 0.287, 0.475, 0.056, 0.048, -0.027, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 9.843, -0.036, -0.139, 0.091, 0.041, -0.017, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 9.812, 0.056, -0.039, 0.086, 0.045, -0.022, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 9.518, 0.145, 0.191, 0.089, 0.035, -0.016, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[True, False, False, False]"
8,"[15.784, 0.001, -0.156, -0.003, 0.049, -0.032, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 15.092, -0.431, -0.169, -0.033, 0.062, 0.006, 0.153, 0.0, 0.0, 0.0, 0.0, 0.0, 9.58, 0.618, 0.923, -0.057, 0.07, -0.018, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 5.721, 0.339, 1.159, 0.04, 0.049, -0.131, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.38, -0.685, -0.681, -0.154, 0.083, -0.13, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[True, True, True, True]"
9,"[13.695, -0.205, -0.026, 0.019, 0.095, 0.053, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 11.704, -0.045, -0.111, 0.059, 0.062, 0.026, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 12.428, 0.26, 0.483, 0.057, 0.042, 0.008, 0.0, 0.0, 0.153, 0.0, 0.0, -0.039, 10.867, 0.158, 0.008, -0.013, 0.085, 0.015, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 8.246, -1.025, -1.885, -0.098, 0.084, 0.142, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[True, False, False, False]"
