,time
0,0.8799999999999999
1,1.38
2,1.88
3,2.38
4,2.88
5,3.38
6,3.88
7,4.38
8,4.88
9,5.38
10,5.88
11,6.38
12,6.88
13,7.38
14,7.88
15,8.379999999999999
16,8.879999999999999
17,9.379999999999999
18,9.879999999999999
19,10.379999999999999
20,10.879999999999999
21,11.379999999999999
22,11.879999999999999
23,12.879999999999999
24,13.379999999999999
25,13.879999999999999
26,14.379999999999999
27,14.879999999999999
28,15.379999999999999
29,15.879999999999999
30,16.38
31,16.88
32,17.38
33,17.88
34,18.38
35,18.88
