,LP,LD1,LD2,RP,RD1,RD2
0,"[array([[-0.63365946, -0.77330623, -0.02175253, -0.11404839],
       [ 0.77285098, -0.63403271,  0.02653076,  0.11555302],
       [-0.03430821,  0.        ,  0.9994113 ,  0.0854015 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.79862601, -0.60177312,  0.00809964, -0.14697129],
       [ 0.60174217,  0.79866709,  0.00610285,  0.1774976 ],
       [-0.01014144, -0.        ,  0.99994857,  0.0830915 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.79862601, -0.60177312,  0.00809964, -0.14697129],
       [ 0.60174217,  0.79866709,  0.00610285,  0.1774976 ],
       [-0.01014144, -0.        ,  0.99994857,  0.0830915 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.60206057, -0.79833495,  0.01357865, -0.05577938],
       [ 0.79813199,  0.60221367,  0.01800077,  0.12845749],
       [-0.0225479 ,  0.        ,  0.99974576,  0.08518007],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.83368973, -0.55093263,  0.03787709, -0.02007799],
       [ 0.5503649 , -0.83454972, -0.02500477,  0.16489834],
       [ 0.04538626, -0.        ,  0.99896951,  0.08243672],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.83368973, -0.55093263,  0.03787709, -0.02007799],
       [ 0.5503649 , -0.83454972, -0.02500477,  0.16489834],
       [ 0.04538626, -0.        ,  0.99896951,  0.08243672],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
1,"[array([[-0.63330681, -0.77360828, -0.02127702, -0.11405072],
       [ 0.77317205, -0.63366412,  0.02597603,  0.11553502],
       [-0.03357776,  0.        ,  0.99943611,  0.08538014],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.79854303, -0.60188534,  0.00794135, -0.14696215],
       [ 0.60185558,  0.79858251,  0.00598533,  0.17749761],
       [-0.00994431, -0.        ,  0.99995055,  0.08308823],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.79854303, -0.60188534,  0.00794135, -0.14696215],
       [ 0.60185558,  0.79858251,  0.00598533,  0.17749761],
       [-0.00994431, -0.        ,  0.99995055,  0.08308823],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.60207651, -0.79831888,  0.01381483, -0.05577659],
       [ 0.79810881,  0.60223498,  0.01831286,  0.1284642 ],
       [-0.02293927,  0.        ,  0.99973686,  0.08519684],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.83346893, -0.55125852,  0.03799451, -0.02009449],
       [ 0.55068663, -0.83433449, -0.0251036 ,  0.16488807],
       [ 0.04553871, -0.        ,  0.99896257,  0.08243387],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.83346893, -0.55125852,  0.03799451, -0.02009449],
       [ 0.55068663, -0.83433449, -0.0251036 ,  0.16488807],
       [ 0.04553871, -0.        ,  0.99896257,  0.08243387],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
2,"[array([[-0.63354127, -0.77342814, -0.02084164, -0.11403942],
       [ 0.77300997, -0.63388399,  0.02542975,  0.11553815],
       [-0.03287927,  0.        ,  0.99945933,  0.0853575 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.79863193, -0.60176526,  0.00810026, -0.14695944],
       [ 0.60173431,  0.79867301,  0.00610319,  0.17750088],
       [-0.01014215, -0.        ,  0.99994857,  0.08309152],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.79863193, -0.60176526,  0.00810026, -0.14695944],
       [ 0.60173431,  0.79867301,  0.00610319,  0.17750088],
       [-0.01014215, -0.        ,  0.99994857,  0.08309152],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.60223616, -0.79820357,  0.0135157 , -0.05578315],
       [ 0.79800263,  0.6023878 ,  0.01790919,  0.12847093],
       [-0.02243687,  0.        ,  0.99974826,  0.08517559],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.83353232, -0.55117657,  0.03779244, -0.02008535],
       [ 0.55061091, -0.83438863, -0.02496475,  0.16489073],
       [ 0.04529357, -0.        ,  0.99897372,  0.08243266],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.83353232, -0.55117657,  0.03779244, -0.02008535],
       [ 0.55061091, -0.83438863, -0.02496475,  0.16489073],
       [ 0.04529357, -0.        ,  0.99897372,  0.08243266],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
3,"[array([[-0.63351826, -0.77343931, -0.02112465, -0.11404006],
       [ 0.77300968, -0.63387036,  0.02577599,  0.11553531],
       [-0.03332646,  0.        ,  0.99944452,  0.08536751],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.7985926 , -0.60182114,  0.00782063, -0.14696844],
       [ 0.60179229,  0.7986309 ,  0.00589336,  0.17749784],
       [-0.00979255, -0.        ,  0.99995205,  0.0830934 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.7985926 , -0.60182114,  0.00782063, -0.14696844],
       [ 0.60179229,  0.7986309 ,  0.00589336,  0.17749784],
       [-0.00979255, -0.        ,  0.99995205,  0.0830934 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.60160399, -0.79867848,  0.01361351, -0.0557692 ],
       [ 0.79847408,  0.60175799,  0.01806843,  0.12843678],
       [-0.0226229 ,  0.        ,  0.99974407,  0.08519275],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.83381664, -0.55072232,  0.03814091, -0.02008506],
       [ 0.55014706, -0.83468852, -0.02516514,  0.16488536],
       [ 0.04569478, -0.        ,  0.99895545,  0.08246291],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.83381664, -0.55072232,  0.03814091, -0.02008506],
       [ 0.55014706, -0.83468852, -0.02516514,  0.16488536],
       [ 0.04569478, -0.        ,  0.99895545,  0.08246291],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
4,"[array([[-0.62737332, -0.77854295, -0.01654046, -0.11405376],
       [ 0.77827252, -0.62759132,  0.02051886,  0.11541284],
       [-0.02635547,  0.        ,  0.99965263,  0.08529536],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.80379785, -0.59489531,  0.00293187, -0.1464998 ],
       [ 0.59489135,  0.80380319,  0.00216988,  0.17769457],
       [-0.00364749, -0.        ,  0.99999335,  0.08341799],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.80379785, -0.59489531,  0.00293187, -0.1464998 ],
       [ 0.59489135,  0.80380319,  0.00216988,  0.17769457],
       [-0.00364749, -0.        ,  0.99999335,  0.08341799],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.6048318 , -0.7962835 ,  0.01053935, -0.05573425],
       [ 0.79616264,  0.60492362,  0.01387334,  0.12827765],
       [-0.01742261,  0.        ,  0.99984821,  0.08527427],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.8319218 , -0.55304916,  0.04519675, -0.01991831],
       [ 0.55223479, -0.83314862, -0.03000188,  0.16459114],
       [ 0.05424812, -0.        ,  0.99852749,  0.08293691],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.8319218 , -0.55304916,  0.04519675, -0.01991831],
       [ 0.55223479, -0.83314862, -0.03000188,  0.16459114],
       [ 0.05424812, -0.        ,  0.99852749,  0.08293691],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
5,"[array([[-0.61534068, -0.78814486, -0.01354708, -0.11413852],
       [ 0.78795393, -0.61548979,  0.01734726,  0.11544164],
       [-0.02201024,  0.        ,  0.99975775,  0.08539503],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 8.13608535e-01, -5.81413064e-01,  4.06533715e-05,
        -1.45562110e-01],
       [ 5.81413063e-01,  8.13608536e-01,  2.90513192e-05,
         1.78203303e-01],
       [-4.99667466e-05, -0.00000000e+00,  9.99999999e-01,
         8.38335889e-02],
       [ 0.00000000e+00,  0.00000000e+00,  0.00000000e+00,
         1.00000000e+00]])]","[array([[ 8.13608535e-01, -5.81413064e-01,  4.06533715e-05,
        -1.45562110e-01],
       [ 5.81413063e-01,  8.13608536e-01,  2.90513192e-05,
         1.78203303e-01],
       [-4.99667466e-05, -0.00000000e+00,  9.99999999e-01,
         8.38335889e-02],
       [ 0.00000000e+00,  0.00000000e+00,  0.00000000e+00,
         1.00000000e+00]])]","[array([[ 0.60828187, -0.79368818,  0.00722826, -0.0557385 ],
       [ 0.79363215,  0.60832481,  0.0094308 ,  0.12820152],
       [-0.01188224,  0.        ,  0.9999294 ,  0.08531416],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.83035089, -0.55506005,  0.04925177, -0.01975892],
       [ 0.55408621, -0.83181028, -0.03286529,  0.16440167],
       [ 0.05921034, -0.        ,  0.99824553,  0.08337011],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.83035089, -0.55506005,  0.04925177, -0.01975892],
       [ 0.55408621, -0.83181028, -0.03286529,  0.16440167],
       [ 0.05921034, -0.        ,  0.99824553,  0.08337011],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
6,"[array([[-0.61695147, -0.78691391, -0.01172094, -0.11409043],
       [ 0.78677194, -0.6170628 ,  0.01494722,  0.11536522],
       [-0.01899473,  0.        ,  0.99981958,  0.08533248],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.815922  , -0.57815163,  0.00346079, -0.145746  ],
       [ 0.57814643,  0.81592934,  0.00245225,  0.17825563],
       [-0.00424154, -0.        ,  0.999991  ,  0.08411388],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.815922  , -0.57815163,  0.00346079, -0.145746  ],
       [ 0.57814643,  0.81592934,  0.00245225,  0.17825563],
       [-0.00424154, -0.        ,  0.999991  ,  0.08411388],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.56693216, -0.82347498,  0.0218376 , -0.05451362],
       [ 0.82286476,  0.56735258,  0.03169584,  0.12642508],
       [-0.03849035,  0.        ,  0.99925897,  0.08652818],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.82878872, -0.55692933,  0.05421231, -0.0197453 ],
       [ 0.55574168, -0.83055989, -0.0363519 ,  0.16423822],
       [ 0.06527201, -0.        ,  0.99786751,  0.08367335],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.82878872, -0.55692933,  0.05421231, -0.0197453 ],
       [ 0.55574168, -0.83055989, -0.0363519 ,  0.16423822],
       [ 0.06527201, -0.        ,  0.99786751,  0.08367335],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
7,"[array([[-0.61435305, -0.78894885, -0.01140409, -0.11411278],
       [ 0.78881295, -0.61445888,  0.01464255,  0.11538512],
       [-0.01855956,  0.        ,  0.99982776,  0.08533773],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 8.18500442e-01, -5.74505059e-01,  9.81781946e-04,
        -1.45362587e-01],
       [ 5.74504646e-01,  8.18501031e-01,  6.89111771e-04,
         1.78253007e-01],
       [-1.19948773e-03, -0.00000000e+00,  9.99999281e-01,
         8.39231437e-02],
       [ 0.00000000e+00,  0.00000000e+00,  0.00000000e+00,
         1.00000000e+00]])]","[array([[ 8.18500442e-01, -5.74505059e-01,  9.81781946e-04,
        -1.45362587e-01],
       [ 5.74504646e-01,  8.18501031e-01,  6.89111771e-04,
         1.78253007e-01],
       [-1.19948773e-03, -0.00000000e+00,  9.99999281e-01,
         8.39231437e-02],
       [ 0.00000000e+00,  0.00000000e+00,  0.00000000e+00,
         1.00000000e+00]])]","[array([[ 0.61352821, -0.78966356,  0.00382157, -0.0557193 ],
       [ 0.78964824,  0.61354011,  0.00491859,  0.12811305],
       [-0.00622871,  0.        ,  0.9999806 ,  0.08535152],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.82577235, -0.56122673,  0.05589794, -0.01953431],
       [ 0.55994531, -0.8276621 , -0.03790366,  0.16405039],
       [ 0.06753715, -0.        ,  0.99771676,  0.08373032],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.82577235, -0.56122673,  0.05589794, -0.01953431],
       [ 0.55994531, -0.8276621 , -0.03790366,  0.16405039],
       [ 0.06753715, -0.        ,  0.99771676,  0.08373032],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
8,"[array([[-0.61471291, -0.78867384, -0.01102804, -0.1141156 ],
       [ 0.78854695, -0.61481183,  0.01414664,  0.11536406],
       [-0.01793726,  0.        ,  0.99983911,  0.08534479],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.82208335, -0.56935268,  0.00406113, -0.14545634],
       [ 0.56934574,  0.82209338,  0.00281259,  0.17835223],
       [-0.00493998, -0.        ,  0.9999878 ,  0.08419609],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.82208335, -0.56935268,  0.00406113, -0.14545634],
       [ 0.56934574,  0.82209338,  0.00281259,  0.17835223],
       [-0.00493998, -0.        ,  0.9999878 ,  0.08419609],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.61337336, -0.78978345,  0.00390042, -0.05573189],
       [ 0.78976749,  0.61338576,  0.0050221 ,  0.12811901],
       [-0.00635884,  0.        ,  0.99997978,  0.08538344],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.82541706, -0.56186223,  0.05474955, -0.01956834],
       [ 0.5606303 , -0.82723082, -0.03718636,  0.16406453],
       [ 0.06618413, -0.        ,  0.99780743,  0.08377434],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.82541706, -0.56186223,  0.05474955, -0.01956834],
       [ 0.5606303 , -0.82723082, -0.03718636,  0.16406453],
       [ 0.06618413, -0.        ,  0.99780743,  0.08377434],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
9,"[array([[-0.62102286, -0.78372566, -0.01023176, -0.11402297],
       [ 0.78361931, -0.62110715,  0.01291064,  0.11528583],
       [-0.01647342,  0.        ,  0.9998643 ,  0.085341  ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.81714372, -0.57639135,  0.00701091, -0.14589293],
       [ 0.57637014,  0.81717379,  0.00494513,  0.17804271],
       [-0.00857946, -0.        ,  0.9999632 ,  0.08429583],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.81714372, -0.57639135,  0.00701091, -0.14589293],
       [ 0.57637014,  0.81717379,  0.00494513,  0.17804271],
       [-0.00857946, -0.        ,  0.9999632 ,  0.08429583],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.57476091, -0.81819724,  0.01425379, -0.05468814],
       [ 0.81794576,  0.57493763,  0.02028466,  0.12640259],
       [-0.0247919 ,  0.        ,  0.99969263,  0.08614034],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.82391812, -0.5640412 ,  0.05492228, -0.01953097],
       [ 0.56279219, -0.82574665, -0.03751566,  0.16402419],
       [ 0.06651226, -0.        ,  0.99778561,  0.08381391],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.82391812, -0.5640412 ,  0.05492228, -0.01953097],
       [ 0.56279219, -0.82574665, -0.03751566,  0.16402419],
       [ 0.06651226, -0.        ,  0.99778561,  0.08381391],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
