,transforms
0,"[array([[ 0.00177392, -0.99979616, -0.00881807, -0.04204   ],
       [ 0.99999766,  0.01815228,  0.00125322,  0.3894565 ],
       [-0.00123762, -0.00883937,  0.99996033,  0.236965  ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
1,"[array([[ 0.0015672 , -0.99979523, -0.00885357, -0.042037  ],
       [ 0.99999815,  0.01818728,  0.00112737,  0.389456  ],
       [-0.00111354, -0.00887261,  0.99996017,  0.2369595 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
2,"[array([[ 0.00177407, -0.99979638, -0.0089153 , -0.042041  ],
       [ 0.99999771,  0.01809258,  0.00121224,  0.3894565 ],
       [-0.00119647, -0.00893577,  0.99995952,  0.2369615 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
3,"[array([[ 0.00160891, -0.99979645, -0.00885195, -0.042042  ],
       [ 0.99999809,  0.01812072,  0.00112806,  0.389456  ],
       [-0.00111386, -0.00887094,  0.99996018,  0.2369615 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
4,"[array([[ 0.00209997, -0.99966314, -0.01504636, -0.043228  ],
       [ 0.99995564,  0.02101034,  0.00921279,  0.390483  ],
       [-0.00918222, -0.01523723,  0.99984435,  0.2372295 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
5,"[array([[ 0.06648093, -0.9961915 , -0.01792783, -0.0433115 ],
       [ 0.99589585,  0.08405415,  0.06273301,  0.3968105 ],
       [-0.06141454, -0.02318191,  0.99786931,  0.2535775 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
6,"[array([[ 0.07723365, -0.99506952,  0.03342271, -0.0324015 ],
       [ 0.99513535,  0.09522468,  0.05872501,  0.392087  ],
       [-0.06116048,  0.02772922,  0.99771454,  0.314036  ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
7,"[array([[ 0.21134439, -0.96563921,  0.13232976,  0.075502  ],
       [ 0.97728745,  0.21965591, -0.04440502,  0.351641  ],
       [ 0.01558186,  0.13889634,  0.9902106 ,  0.41813   ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
8,"[array([[ 0.48288017, -0.87142229,  0.03824246,  0.2658475 ],
       [ 0.87567876,  0.48839863, -0.02527208,  0.271154  ],
       [ 0.00366755,  0.04571624,  0.99894887,  0.380187  ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
9,"[array([[ 4.59090406e-01, -8.80992525e-01, -1.62171349e-02,
         2.57159500e-01],
       [ 8.88389519e-01,  4.72783039e-01,  8.10261972e-03,
         2.33561000e-01],
       [ 2.46889167e-04, -1.81209337e-02,  9.99835663e-01,
         2.47350500e-01],
       [ 0.00000000e+00,  0.00000000e+00,  0.00000000e+00,
         1.00000000e+00]])]"
