,features,labels
0,"[9.649, -0.124, 0.142, 0.046, 0.048, 0.144, 9.606, -0.104, -0.08, 0.008, 0.011, -0.034, 9.809, 0.794, -0.075, 0.078, 0.08, 0.109, 9.565, -0.642, -0.255, 0.015, 0.009, -0.047, 9.677, -0.057, 0.124, 0.084, 0.08, 0.072, 9.831, 1.077, -0.086, 0.018, 0.005, -0.068, 9.745, 0.522, 0.1, 0.082, 0.077, 0.048, 9.554, -1.254, -0.071, 0.029, -0.001, -0.074, 9.815, -0.42, 0.023, 0.088, 0.07, 0.006, 9.766, 0.686, 0.011, 0.028, -0.007, -0.073]","[True, False, False, False]"
1,"[9.335, -0.106, 0.075, 0.079, 0.031, -0.078, 9.877, 0.123, -0.034, 0.02, -0.014, -0.055, 9.585, 0.13, 0.153, 0.075, 0.03, -0.087, 9.694, -0.213, -0.104, 0.013, -0.011, -0.049, 9.74, 0.611, 0.163, 0.066, 0.028, -0.08, 9.757, -0.9, -0.098, 0.014, -0.01, -0.039, 9.546, -0.421, 0.084, 0.069, 0.027, -0.075, 9.982, -0.741, 0.005, 0.013, -0.012, -0.037, 9.775, -0.145, 0.062, 0.066, 0.025, -0.061, 9.692, 0.134, -0.261, 0.017, -0.005, -0.05]","[True, False, False, False]"
2,"[9.638, 0.142, 0.014, 0.07, 0.042, -0.025, 9.754, -0.064, -0.025, 0.016, -0.007, -0.051, 9.666, 0.117, 0.148, 0.071, 0.037, -0.027, 9.706, -0.032, -0.077, 0.013, -0.006, -0.047, 9.664, 0.067, 0.034, 0.073, 0.038, -0.023, 9.754, -0.012, -0.115, 0.019, -0.008, -0.053, 9.658, 0.053, 0.056, 0.072, 0.037, -0.027, 9.744, -0.084, -0.072, 0.017, -0.007, -0.051, 9.711, 0.134, 0.026, 0.073, 0.039, -0.022, 9.681, -0.096, -0.185, 0.015, -0.005, -0.049]","[True, False, False, False]"
3,"[9.656, 0.13, 0.104, 0.07, 0.039, -0.025, 9.728, -0.049, -0.078, 0.014, -0.006, -0.046, 9.625, 0.092, 0.041, 0.073, 0.038, -0.028, 9.719, -0.023, -0.072, 0.016, -0.007, -0.049, 9.617, 0.098, 0.146, 0.07, 0.04, -0.026, 9.719, -0.056, -0.099, 0.018, -0.005, -0.049, 9.677, 0.066, 0.033, 0.071, 0.037, -0.022, 9.699, -0.102, -0.106, 0.017, -0.007, -0.049, 9.589, 0.061, 0.127, 0.07, 0.04, -0.023, 9.652, -0.08, -0.042, 0.016, -0.007, -0.051]","[True, False, False, False]"
4,"[9.657, 0.117, 0.115, 0.075, 0.038, -0.025, 9.713, -0.135, -0.094, 0.016, -0.006, -0.046, 9.612, 0.093, 0.154, 0.073, 0.04, -0.021, 9.674, -0.105, -0.081, 0.018, -0.006, -0.044, 9.602, 0.078, 0.09, 0.072, 0.038, -0.023, 9.695, -0.023, -0.135, 0.015, -0.01, -0.047, 9.656, 0.112, 0.153, 0.039, 0.038, -0.026, 9.686, -0.055, -0.13, 0.018, -0.007, -0.05, 9.648, 0.084, 0.058, 0.067, 0.037, -0.024, 9.672, -0.082, -0.078, 0.015, -0.008, -0.05]","[True, False, False, False]"
5,"[9.674, 0.079, 0.041, 0.07, 0.036, -0.023, 9.681, -0.069, -0.043, 0.016, -0.008, -0.05, 9.601, 0.078, 0.135, 0.069, 0.037, -0.022, 9.653, -0.117, 0.018, 0.016, -0.006, -0.049, 9.634, 0.099, 0.069, 0.07, 0.036, -0.025, 9.674, -0.067, -0.039, 0.015, -0.007, -0.048, 9.669, 0.114, 0.087, 0.072, 0.04, -0.022, 9.666, -0.053, -0.056, 0.012, -0.007, -0.049, 9.72, 0.078, 0.047, 0.068, 0.041, -0.024, 9.7, -0.061, -0.089, 0.016, -0.005, -0.045]","[True, False, False, False]"
6,"[9.645, 0.113, 0.147, 0.065, 0.038, -0.026, 9.679, -0.103, -0.109, 0.017, -0.006, -0.048, 9.57, 0.1, 0.029, 0.072, 0.039, -0.024, 9.637, -0.069, 0.012, 0.019, -0.005, -0.049, 9.563, 0.077, 0.148, 0.077, 0.035, -0.028, 9.696, -0.102, -0.077, 0.015, -0.004, -0.048, 9.659, 0.095, 0.065, 0.072, 0.037, -0.024, 9.628, -0.073, -0.112, 0.021, -0.005, -0.047, 9.672, 0.093, 0.028, 0.068, 0.035, -0.022, 9.686, -0.096, -0.117, 0.018, -0.005, -0.048]","[True, False, False, False]"
7,"[9.694, 0.12, 0.099, 0.069, 0.039, -0.025, 9.701, -0.09, -0.118, 0.015, -0.007, -0.05, 9.574, 0.081, 0.115, 0.07, 0.041, -0.025, 9.658, -0.086, -0.127, 0.015, -0.005, -0.052, 9.674, 0.102, 0.159, 0.074, 0.038, -0.031, 9.816, -0.063, -0.029, 0.015, -0.005, -0.048, 9.636, 0.057, 0.21, 0.07, 0.035, -0.026, 9.641, -0.046, -0.047, 0.016, -0.007, -0.048, 9.586, 0.111, 0.139, 0.074, 0.039, -0.024, 9.698, -0.114, -0.044, 0.018, -0.004, -0.048]","[True, False, False, False]"
8,"[9.598, 0.157, 0.282, -0.085, 0.036, -0.027, 9.549, -0.048, -0.631, -0.195, -0.008, -0.042, 9.591, 0.065, 0.534, -0.134, 0.041, -0.028, 9.628, 0.163, -0.731, -0.2, 0.001, -0.04, 15.773, 0.31, 1.031, -0.168, -0.043, 0.055, 9.858, 0.284, -2.021, -0.162, 0.006, -0.038, 8.359, 0.894, 1.237, -0.044, 0.079, -0.055, 9.235, 0.122, -0.575, -0.07, -0.007, -0.049, 10.169, 0.363, 0.858, -0.005, 0.033, -0.015, 10.275, -0.204, -0.349, -0.069, -0.007, -0.05]","[True, True, False, False]"
9,"[9.718, 0.527, 0.744, 0.027, 0.036, -0.024, 9.549, -0.074, -0.794, -0.029, -0.004, -0.045, 9.613, 0.278, 0.709, 0.025, 0.034, -0.023, 9.89, -0.022, -0.459, -0.027, -0.005, -0.052, 9.558, 0.387, 0.523, 0.035, 0.041, -0.023, 9.663, -0.198, -0.246, -0.001, -0.007, -0.047, 9.644, 0.396, 0.572, 0.062, 0.038, -0.026, 9.894, -0.092, -0.178, 0.033, -0.008, -0.043, 9.618, 0.472, 0.61, 0.127, 0.034, -0.021, 9.717, -0.184, -0.256, 0.088, -0.004, -0.077]","[True, True, False, False]"
