,LP,LD1,LD2,RP,RD1,RD2
0,"[array([[-0.54366218, -0.83896515, -0.02385197, -0.0205822 ],
       [ 0.83815888, -0.54418515,  0.03677236,  0.27398913],
       [-0.04383061,  0.        ,  0.99903898,  0.08591781],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.17088878, -0.98528408,  0.00350886, -0.05383204],
       [ 0.98507644,  0.1709248 ,  0.02022659,  0.33719973],
       [-0.02052868, -0.        ,  0.99978926,  0.08392881],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.17088878, -0.98528408,  0.00350886, -0.05383204],
       [ 0.98507644,  0.1709248 ,  0.02022659,  0.33719973],
       [-0.02052868, -0.        ,  0.99978926,  0.08392881],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.6315542 , -0.77506184,  0.02045585,  0.03878451],
       [ 0.7746556 ,  0.63188539,  0.02509086,  0.2816157 ],
       [-0.03237272,  0.        ,  0.99947587,  0.08665815],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 2.59889052e-02, -9.99661781e-01, -9.49348573e-04,
         7.59562033e-02],
       [ 9.98995489e-01,  2.60062388e-02, -3.64923006e-02,
         3.27888529e-01],
       [ 3.65046472e-02,  0.00000000e+00,  9.99333483e-01,
         8.36101522e-02],
       [ 0.00000000e+00,  0.00000000e+00,  0.00000000e+00,
         1.00000000e+00]])]","[array([[ 2.59889052e-02, -9.99661781e-01, -9.49348573e-04,
         7.59562033e-02],
       [ 9.98995489e-01,  2.60062388e-02, -3.64923006e-02,
         3.27888529e-01],
       [ 3.65046472e-02,  0.00000000e+00,  9.99333483e-01,
         8.36101522e-02],
       [ 0.00000000e+00,  0.00000000e+00,  0.00000000e+00,
         1.00000000e+00]])]"
1,"[array([[-0.54382467, -0.83886241, -0.02376117, -0.02057639],
       [ 0.83806283, -0.54434352,  0.03661723,  0.27398949],
       [-0.04365106,  0.        ,  0.99904684,  0.08591078],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.17076015, -0.98530645,  0.00348955, -0.05382805],
       [ 0.98510078,  0.1707958 ,  0.02013092,  0.33719838],
       [-0.02043113, -0.        ,  0.99979126,  0.08392371],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.17076015, -0.98530645,  0.00348955, -0.05382805],
       [ 0.98510078,  0.1707958 ,  0.02013092,  0.33719838],
       [-0.02043113, -0.        ,  0.99979126,  0.08392371],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.6308326 , -0.77568214,  0.01916879,  0.03882617],
       [ 0.77532428,  0.63112377,  0.02355939,  0.28160496],
       [-0.03037248,  0.        ,  0.99953865,  0.08656034],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 2.59876052e-02, -9.99661814e-01, -9.49253535e-04,
         7.59572442e-02],
       [ 9.98995590e-01,  2.60049362e-02, -3.64904764e-02,
         3.27888508e-01],
       [ 3.65028212e-02,  0.00000000e+00,  9.99333550e-01,
         8.36102103e-02],
       [ 0.00000000e+00,  0.00000000e+00,  0.00000000e+00,
         1.00000000e+00]])]","[array([[ 2.59876052e-02, -9.99661814e-01, -9.49253535e-04,
         7.59572442e-02],
       [ 9.98995590e-01,  2.60049362e-02, -3.64904764e-02,
         3.27888508e-01],
       [ 3.65028212e-02,  0.00000000e+00,  9.99333550e-01,
         8.36102103e-02],
       [ 0.00000000e+00,  0.00000000e+00,  0.00000000e+00,
         1.00000000e+00]])]"
2,"[array([[-0.54367958, -0.83895665, -0.02375396, -0.02058171],
       [ 0.83815705, -0.54419825,  0.03662   ,  0.27398703],
       [-0.04364945,  0.        ,  0.99904691,  0.08590975],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.17097059, -0.98526978,  0.0035369 , -0.05383258],
       [ 0.98505902,  0.17100717,  0.02037807,  0.33719966],
       [-0.02068273, -0.        ,  0.99978609,  0.08393371],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.17097059, -0.98526978,  0.0035369 , -0.05383258],
       [ 0.98505902,  0.17100717,  0.02037807,  0.33719966],
       [-0.02068273, -0.        ,  0.99978609,  0.08393371],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.6316871 , -0.77493454,  0.02116307,  0.03878366],
       [ 0.7745    ,  0.63204151,  0.02594765,  0.28162257],
       [-0.03348367,  0.        ,  0.99943926,  0.08668003],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 2.59349244e-02, -9.99663183e-01, -9.48534958e-04,
         7.59589006e-02],
       [ 9.98995262e-01,  2.59522643e-02, -3.65369074e-02,
         3.27887794e-01],
       [ 3.65492177e-02,  0.00000000e+00,  9.99331854e-01,
         8.36087349e-02],
       [ 0.00000000e+00,  0.00000000e+00,  0.00000000e+00,
         1.00000000e+00]])]","[array([[ 2.59349244e-02, -9.99663183e-01, -9.48534958e-04,
         7.59589006e-02],
       [ 9.98995262e-01,  2.59522643e-02, -3.65369074e-02,
         3.27887794e-01],
       [ 3.65492177e-02,  0.00000000e+00,  9.99331854e-01,
         8.36087349e-02],
       [ 0.00000000e+00,  0.00000000e+00,  0.00000000e+00,
         1.00000000e+00]])]"
3,"[array([[-0.54353744, -0.83905087, -0.02367883, -0.02058696],
       [ 0.8382558 , -0.54405298,  0.03651802,  0.27398747],
       [-0.04352302,  0.        ,  0.99905242,  0.08590692],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.17006144, -0.98542888,  0.00300579, -0.05380538],
       [ 0.98527499,  0.170088  ,  0.01741447,  0.33718865],
       [-0.01767197, -0.        ,  0.99984384,  0.08383397],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.17006144, -0.98542888,  0.00300579, -0.05380538],
       [ 0.98527499,  0.170088  ,  0.01741447,  0.33718865],
       [-0.01767197, -0.        ,  0.99984384,  0.08383397],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.63158554, -0.77501391,  0.0212873 ,  0.03878524],
       [ 0.77457407,  0.63194418,  0.02610666,  0.28162005],
       [-0.03368541,  0.        ,  0.99943249,  0.08668955],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 2.59398281e-02, -9.99663048e-01, -9.56703618e-04,
         7.59587466e-02],
       [ 9.98983842e-01,  2.59574645e-02, -3.68441708e-02,
         3.27889229e-01],
       [ 3.68565897e-02,  0.00000000e+00,  9.99320565e-01,
         8.35959604e-02],
       [ 0.00000000e+00,  0.00000000e+00,  0.00000000e+00,
         1.00000000e+00]])]","[array([[ 2.59398281e-02, -9.99663048e-01, -9.56703618e-04,
         7.59587466e-02],
       [ 9.98983842e-01,  2.59574645e-02, -3.68441708e-02,
         3.27889229e-01],
       [ 3.68565897e-02,  0.00000000e+00,  9.99320565e-01,
         8.35959604e-02],
       [ 0.00000000e+00,  0.00000000e+00,  0.00000000e+00,
         1.00000000e+00]])]"
4,"[array([[-0.54372511, -0.83892807, -0.0237211 , -0.02058036],
       [ 0.83813084, -0.5442423 ,  0.03656515,  0.27398611],
       [-0.04358556,  0.        ,  0.9990497 ,  0.08590632],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.17024734, -0.98539674,  0.00301735, -0.05381215],
       [ 0.98524201,  0.17027407,  0.01746176,  0.33718854],
       [-0.01772054, -0.        ,  0.99984298,  0.08383851],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.17024734, -0.98539674,  0.00301735, -0.05381215],
       [ 0.98524201,  0.17027407,  0.01746176,  0.33718854],
       [-0.01772054, -0.        ,  0.99984298,  0.08383851],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.63145762, -0.77514381,  0.02033098,  0.03879095],
       [ 0.77474235,  0.63178484,  0.02494431,  0.28160886],
       [-0.03218024,  0.        ,  0.99948208,  0.08665084],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 2.62364836e-02, -9.99655305e-01, -9.58290083e-04,
         7.59454194e-02],
       [ 9.98989160e-01,  2.62539785e-02, -3.64881751e-02,
         3.27888137e-01],
       [ 3.65007567e-02,  0.00000000e+00,  9.99333625e-01,
         8.36082759e-02],
       [ 0.00000000e+00,  0.00000000e+00,  0.00000000e+00,
         1.00000000e+00]])]","[array([[ 2.62364836e-02, -9.99655305e-01, -9.58290083e-04,
         7.59454194e-02],
       [ 9.98989160e-01,  2.62539785e-02, -3.64881751e-02,
         3.27888137e-01],
       [ 3.65007567e-02,  0.00000000e+00,  9.99333625e-01,
         8.36082759e-02],
       [ 0.00000000e+00,  0.00000000e+00,  0.00000000e+00,
         1.00000000e+00]])]"
5,"[array([[-0.5437847 , -0.83888946, -0.02372084, -0.02057859],
       [ 0.83809245, -0.54430182,  0.03655906,  0.2739853 ],
       [-0.04358031,  0.        ,  0.99904993,  0.0859052 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.17085685, -0.98528958,  0.00351714, -0.05382905],
       [ 0.98508089,  0.17089305,  0.02027819,  0.33719445],
       [-0.02058094, -0.        ,  0.99978819,  0.08392747],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.17085685, -0.98528958,  0.00351714, -0.05382905],
       [ 0.98508089,  0.17089305,  0.02027819,  0.33719445],
       [-0.02058094, -0.        ,  0.99978819,  0.08392747],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.63160802, -0.77501677,  0.02050164,  0.03878571],
       [ 0.77460881,  0.63194067,  0.02514337,  0.28161424],
       [-0.03244235,  0.        ,  0.99947361,  0.08665771],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 2.61903784e-02, -9.99656515e-01, -9.56751102e-04,
         7.59468689e-02],
       [ 9.98990168e-01,  2.62078479e-02, -3.64937433e-02,
         3.27888471e-01],
       [ 3.65062826e-02,  0.00000000e+00,  9.99333424e-01,
         8.36061002e-02],
       [ 0.00000000e+00,  0.00000000e+00,  0.00000000e+00,
         1.00000000e+00]])]","[array([[ 2.61903784e-02, -9.99656515e-01, -9.56751102e-04,
         7.59468689e-02],
       [ 9.98990168e-01,  2.62078479e-02, -3.64937433e-02,
         3.27888471e-01],
       [ 3.65062826e-02,  0.00000000e+00,  9.99333424e-01,
         8.36061002e-02],
       [ 0.00000000e+00,  0.00000000e+00,  0.00000000e+00,
         1.00000000e+00]])]"
6,"[array([[-0.54377914, -0.83889099, -0.02379403, -0.02055773],
       [ 0.83808905, -0.54429947,  0.03667209,  0.2740074 ],
       [-0.04371496,  0.        ,  0.99904404,  0.08590922],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.16986637, -0.98546243,  0.00303647, -0.05378833],
       [ 0.98530502,  0.1698935 ,  0.01761294,  0.33720382],
       [-0.01787277, -0.        ,  0.99984027,  0.08383635],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.16986637, -0.98546243,  0.00303647, -0.05378833],
       [ 0.98530502,  0.1698935 ,  0.01761294,  0.33720382],
       [-0.01787277, -0.        ,  0.99984027,  0.08383635],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.63136527, -0.775197  ,  0.02115425,  0.03880654],
       [ 0.77476224,  0.63171956,  0.02595885,  0.28159584],
       [-0.03348678,  0.        ,  0.99943916,  0.0866841 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 2.55911771e-02, -9.99672056e-01, -9.33640825e-04,
         7.59777098e-02],
       [ 9.99007436e-01,  2.56082024e-02, -3.64467068e-02,
         3.27870676e-01],
       [ 3.64586632e-02,  0.00000000e+00,  9.99335162e-01,
         8.36106145e-02],
       [ 0.00000000e+00,  0.00000000e+00,  0.00000000e+00,
         1.00000000e+00]])]","[array([[ 2.55911771e-02, -9.99672056e-01, -9.33640825e-04,
         7.59777098e-02],
       [ 9.99007436e-01,  2.56082024e-02, -3.64467068e-02,
         3.27870676e-01],
       [ 3.64586632e-02,  0.00000000e+00,  9.99335162e-01,
         8.36106145e-02],
       [ 0.00000000e+00,  0.00000000e+00,  0.00000000e+00,
         1.00000000e+00]])]"
7,"[array([[-0.5426371 , -0.83963903, -0.02347923, -0.02053882],
       [ 0.83885415, -0.54314482,  0.03629616,  0.27415239],
       [-0.0432283 ,  0.        ,  0.99906522,  0.08589731],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.17390004, -0.98475789,  0.00326802, -0.05367843],
       [ 0.98458405,  0.17393074,  0.01850281,  0.33744992],
       [-0.0187892 , -0.        ,  0.99982347,  0.0838715 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.17390004, -0.98475789,  0.00326802, -0.05367843],
       [ 0.98458405,  0.17393074,  0.01850281,  0.33744992],
       [-0.0187892 , -0.        ,  0.99982347,  0.0838715 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.63182649, -0.77485605,  0.01983411,  0.03882624],
       [ 0.77447454,  0.63213773,  0.02431207,  0.28143299],
       [-0.03137625,  0.        ,  0.99950764,  0.08658583],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.02797464, -0.9996081 , -0.00103107,  0.0761148 ],
       [ 0.99892982,  0.02799363, -0.03681801,  0.32770494],
       [ 0.03683244,  0.        ,  0.99932146,  0.08359073],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.02797464, -0.9996081 , -0.00103107,  0.0761148 ],
       [ 0.99892982,  0.02799363, -0.03681801,  0.32770494],
       [ 0.03683244,  0.        ,  0.99932146,  0.08359073],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
8,"[array([[-0.56241353, -0.82650135, -0.02421862, -0.01841239],
       [ 0.82573611, -0.56293473,  0.0355578 ,  0.27764713],
       [-0.04302207,  0.        ,  0.99907412,  0.08591369],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.1510525 , -0.98852201,  0.00271763, -0.05303382],
       [ 0.98836206,  0.15107695,  0.01778192,  0.34013893],
       [-0.01798839, -0.        ,  0.9998382 ,  0.08383103],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.1510525 , -0.98852201,  0.00271763, -0.05303382],
       [ 0.98836206,  0.15107695,  0.01778192,  0.34013893],
       [-0.01798839, -0.        ,  0.9998382 ,  0.08383103],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.61496708, -0.78837825,  0.01658999,  0.04081688],
       [ 0.78809153,  0.61519081,  0.02126037,  0.28639257],
       [-0.02696722,  0.        ,  0.99963632,  0.08641407],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 6.25759497e-03, -9.99980387e-01, -2.60858648e-04,
         7.68782782e-02],
       [ 9.99112643e-01,  6.26302978e-03, -4.16497352e-02,
         3.33464335e-01],
       [ 4.16505521e-02,  0.00000000e+00,  9.99132239e-01,
         8.33445124e-02],
       [ 0.00000000e+00,  0.00000000e+00,  0.00000000e+00,
         1.00000000e+00]])]","[array([[ 6.25759497e-03, -9.99980387e-01, -2.60858648e-04,
         7.68782782e-02],
       [ 9.99112643e-01,  6.26302978e-03, -4.16497352e-02,
         3.33464335e-01],
       [ 4.16505521e-02,  0.00000000e+00,  9.99132239e-01,
         8.33445124e-02],
       [ 0.00000000e+00,  0.00000000e+00,  0.00000000e+00,
         1.00000000e+00]])]"
9,"[array([[-0.54580138, -0.83775071, -0.01657081, -0.00501146],
       [ 0.83736488, -0.54605287,  0.02542283,  0.29149468],
       [-0.03034653,  0.        ,  0.99953944,  0.08554576],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.17048937, -0.98535406,  0.00327944, -0.03847566],
       [ 0.98517182,  0.17052091,  0.01895021,  0.35468888],
       [-0.01923188, -0.        ,  0.99981505,  0.08399057],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.17048937, -0.98535406,  0.00327944, -0.03847566],
       [ 0.98517182,  0.17052091,  0.01895021,  0.35468888],
       [-0.01923188, -0.        ,  0.99981505,  0.08399057],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.62994005, -0.77643592,  0.01796625,  0.05436547],
       [ 0.77612033,  0.6301962 ,  0.0221354 ,  0.2991619 ],
       [-0.02850898,  0.        ,  0.99959354,  0.0865446 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.02582937, -0.99966578, -0.00108444,  0.09129022],
       [ 0.99878588,  0.02585213, -0.04193369,  0.34550408],
       [ 0.04194771,  0.        ,  0.99911981,  0.08344706],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.02582937, -0.99966578, -0.00108444,  0.09129022],
       [ 0.99878588,  0.02585213, -0.04193369,  0.34550408],
       [ 0.04194771,  0.        ,  0.99911981,  0.08344706],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
