,time
0,0.7250000000000001
1,0.9333339999999999
2,1.141667
3,1.35
4,1.5583339999999999
5,1.766667
6,1.975
7,2.183334
8,2.391667
9,2.6
10,2.8083340000000003
11,3.016667
12,3.2249999999999996
13,3.4333340000000003
14,3.641667
15,3.8499999999999996
16,4.058334
17,4.266667
18,4.475
19,4.683334
20,4.891667
21,5.1
22,5.308334
23,5.516667
24,5.725
25,5.933334
26,6.141667
27,6.35
28,6.558334
29,6.766667
30,6.975
31,7.183334
32,7.391667
33,7.6
34,7.808334
35,8.016667
36,8.225
37,8.433334
38,8.641667
39,8.85
40,9.058334
41,9.266667
42,9.475
43,9.683334
44,9.891667
45,10.1
46,10.308334
47,10.516667
48,10.725
49,10.933334
50,11.141667
51,11.35
52,11.558334
53,11.766667
54,11.975
55,12.183334
56,12.391667
57,12.6
58,12.808334
59,13.016667
60,13.225
61,13.433334
62,13.641667
63,13.85
64,14.058334
65,14.266667
66,14.475
67,14.683334
68,14.891667
69,15.1
70,15.308334
71,15.516667
72,15.725
73,15.933334
74,16.141666999999998
75,16.35
76,16.558334000000002
77,16.766666999999998
78,16.975
79,17.183334000000002
80,17.391666999999998
81,17.6
82,17.808334000000002
83,18.016666999999998
84,18.225
85,18.433334000000002
86,18.641666999999998
87,18.85
