,transforms
0,"[array([[-9.99920231e-01, -9.35549397e-03, -1.25986358e-02,
        -3.58620000e-02],
       [-8.70432965e-04, -9.99953609e-01, -2.17445286e-03,
         2.29880500e-01],
       [-1.26005534e-02, -2.29240581e-03,  9.99918270e-01,
         9.40770000e-02],
       [ 0.00000000e+00,  0.00000000e+00,  0.00000000e+00,
         1.00000000e+00]])]"
1,"[array([[-9.99918710e-01, -9.20004360e-03, -1.27268774e-02,
        -3.58605000e-02],
       [-7.46300816e-04, -9.99954907e-01, -2.23703640e-03,
         2.29878500e-01],
       [-1.27285750e-02, -2.35421991e-03,  9.99916508e-01,
         9.40730000e-02],
       [ 0.00000000e+00,  0.00000000e+00,  0.00000000e+00,
         1.00000000e+00]])]"
2,"[array([[-9.99919825e-01, -9.44842108e-03, -1.26414878e-02,
        -3.58615000e-02],
       [-7.04694347e-04, -9.99952735e-01, -2.17287581e-03,
         2.29882500e-01],
       [-1.26430456e-02, -2.29240380e-03,  9.99917732e-01,
         9.40750000e-02],
       [ 0.00000000e+00,  0.00000000e+00,  0.00000000e+00,
         1.00000000e+00]])]"
3,"[array([[-9.99919832e-01, -9.23102017e-03, -1.26410073e-02,
        -3.58590000e-02],
       [-7.04665139e-04, -9.99954906e-01, -2.11353633e-03,
         2.29883500e-01],
       [-1.26425216e-02, -2.23031360e-03,  9.99917866e-01,
         9.40760000e-02],
       [ 0.00000000e+00,  0.00000000e+00,  0.00000000e+00,
         1.00000000e+00]])]"
4,"[array([[-9.99921451e-01, -9.47969106e-03, -1.25168307e-02,
        -3.58620000e-02],
       [-6.21764365e-04, -9.99952509e-01, -2.14275864e-03,
         2.29882000e-01],
       [-1.25181892e-02, -2.26149492e-03,  9.99919366e-01,
         9.40735000e-02],
       [ 0.00000000e+00,  0.00000000e+00,  0.00000000e+00,
         1.00000000e+00]])]"
5,"[array([[-9.99919708e-01, -9.47939606e-03, -1.26400523e-02,
        -3.58600000e-02],
       [-8.70432510e-04, -9.99952370e-01, -2.20347502e-03,
         2.29882500e-01],
       [-1.26419960e-02, -2.32338139e-03,  9.99917684e-01,
         9.40755000e-02],
       [ 0.00000000e+00,  0.00000000e+00,  0.00000000e+00,
         1.00000000e+00]])]"
6,"[array([[-9.99919681e-01, -9.32423003e-03, -1.26422021e-02,
        -3.58595000e-02],
       [-8.70576837e-04, -9.99953971e-01, -2.14339206e-03,
         2.29881000e-01],
       [-1.26440922e-02, -2.26135811e-03,  9.99917787e-01,
         9.40745000e-02],
       [ 0.00000000e+00,  0.00000000e+00,  0.00000000e+00,
         1.00000000e+00]])]"
7,"[array([[-9.99920325e-01, -9.38617827e-03, -1.25994048e-02,
        -3.58605000e-02],
       [-7.46116397e-04, -9.99953250e-01, -2.20496421e-03,
         2.29882000e-01],
       [-1.26010769e-02, -2.32331145e-03,  9.99918193e-01,
         9.40735000e-02],
       [ 0.00000000e+00,  0.00000000e+00,  0.00000000e+00,
         1.00000000e+00]])]"
8,"[array([[-9.99872784e-01, -5.26331841e-04, -1.22967404e-02,
        -4.19495000e-02],
       [-1.01499413e-02, -9.99999537e-01, -7.98445194e-04,
         2.33674500e-01],
       [-1.23042145e-02, -8.04978110e-04,  9.99924073e-01,
         9.40270000e-02],
       [ 0.00000000e+00,  0.00000000e+00,  0.00000000e+00,
         1.00000000e+00]])]"
9,"[array([[-9.98822400e-01,  3.38458026e-02, -1.50283934e-02,
        -6.55895000e-02],
       [-4.61129170e-02, -9.99426606e-01, -1.46932609e-03,
         2.46474500e-01],
       [-1.50801702e-02, -9.59944997e-04,  9.99885988e-01,
         9.38585000e-02],
       [ 0.00000000e+00,  0.00000000e+00,  0.00000000e+00,
         1.00000000e+00]])]"
10,"[array([[-0.99994466, -0.00851335, -0.00755312, -0.0833105 ],
       [-0.00731425, -0.99996287, -0.00126688,  0.2557385 ],
       [-0.00756219, -0.00133118,  0.99997067,  0.0937275 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
11,"[array([[-9.96745705e-01, -9.12474191e-02, -1.56931503e-02,
        -9.81905000e-02],
       [ 7.90876614e-02, -9.95826092e-01, -6.44985434e-04,
         2.63267000e-01],
       [-1.55929932e-02, -2.07450868e-03,  9.99876647e-01,
         9.36175000e-02],
       [ 0.00000000e+00,  0.00000000e+00,  0.00000000e+00,
         1.00000000e+00]])]"
12,"[array([[-0.98218116, -0.2031537 , -0.00684199, -0.103499  ],
       [ 0.18782336, -0.97914388, -0.00104661,  0.2684805 ],
       [-0.00652365, -0.00241481,  0.99997605,  0.093584  ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
