,LP,LD1,LD2,RP,RD1,RD2
0,"[array([[-0.6315659 , -0.77472626, -0.03039294, -0.11455144],
       [ 0.77383075, -0.63229678,  0.03723917,  0.02292082],
       [-0.04806752,  0.        ,  0.99884409,  0.08500071],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.15145674, -0.98845567, -0.00403087, -0.15581173],
       [ 0.98810579, -0.15151037,  0.02629744,  0.08046144],
       [-0.02660457,  0.        ,  0.99964604,  0.08279803],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.15145674, -0.98845567, -0.00403087, -0.15581173],
       [ 0.98810579, -0.15151037,  0.02629744,  0.08046144],
       [-0.02660457,  0.        ,  0.99964604,  0.08279803],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.3893197 , -0.9210596 ,  0.00890945, -0.05730717],
       [ 0.92081852,  0.38942163,  0.02107262,  0.03390878],
       [-0.02287867,  0.        ,  0.99973825,  0.08546048],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 2.05796093e-02, -9.99787996e-01, -6.65584621e-04,
        -3.33115165e-02],
       [ 9.99265516e-01,  2.05903696e-02, -3.23181918e-02,
         9.19194742e-02],
       [ 3.23250448e-02,  0.00000000e+00,  9.99477409e-01,
         8.29880636e-02],
       [ 0.00000000e+00,  0.00000000e+00,  0.00000000e+00,
         1.00000000e+00]])]","[array([[ 2.05796093e-02, -9.99787996e-01, -6.65584621e-04,
        -3.33115165e-02],
       [ 9.99265516e-01,  2.05903696e-02, -3.23181918e-02,
         9.19194742e-02],
       [ 3.23250448e-02,  0.00000000e+00,  9.99477409e-01,
         8.29880636e-02],
       [ 0.00000000e+00,  0.00000000e+00,  0.00000000e+00,
         1.00000000e+00]])]"
1,"[array([[-0.63142829, -0.77484324, -0.0302699 , -0.11455985],
       [ 0.77395443, -0.63215343,  0.03710242,  0.02292268],
       [-0.04788378,  0.        ,  0.99885291,  0.0849966 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.15142922, -0.9884597 , -0.00407605, -0.15581162],
       [ 0.98810181, -0.15148407,  0.02659694,  0.08046668],
       [-0.02690746,  0.        ,  0.99963793,  0.08281266],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.15142922, -0.9884597 , -0.00407605, -0.15581162],
       [ 0.98810181, -0.15148407,  0.02659694,  0.08046668],
       [-0.02690746,  0.        ,  0.99963793,  0.08281266],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.38951982, -0.92097517,  0.00889084, -0.0573119 ],
       [ 0.92073536,  0.38962127,  0.02101591,  0.03391542],
       [-0.02281919,  0.        ,  0.99973961,  0.08545815],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 1.60575595e-02, -9.99871021e-01, -3.11084155e-04,
        -3.30818569e-02],
       [ 9.99683440e-01,  1.60605726e-02, -1.93669329e-02,
         9.18298995e-02],
       [ 1.93694312e-02,  0.00000000e+00,  9.99812395e-01,
         8.36580521e-02],
       [ 0.00000000e+00,  0.00000000e+00,  0.00000000e+00,
         1.00000000e+00]])]","[array([[ 1.60575595e-02, -9.99871021e-01, -3.11084155e-04,
        -3.30818569e-02],
       [ 9.99683440e-01,  1.60605726e-02, -1.93669329e-02,
         9.18298995e-02],
       [ 1.93694312e-02,  0.00000000e+00,  9.99812395e-01,
         8.36580521e-02],
       [ 0.00000000e+00,  0.00000000e+00,  0.00000000e+00,
         1.00000000e+00]])]"
2,"[array([[-0.63152453, -0.77475692, -0.03047119, -0.11455571],
       [ 0.77385664, -0.63225922,  0.03733874,  0.02292366],
       [-0.04819414,  0.        ,  0.99883799,  0.08500755],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.15149675, -0.98844935, -0.004077  , -0.15580643],
       [ 0.98809161, -0.1515516 ,  0.02659103,  0.0804627 ],
       [-0.02690176,  0.        ,  0.99963808,  0.08281548],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.15149675, -0.98844935, -0.004077  , -0.15580643],
       [ 0.98809161, -0.1515516 ,  0.02659103,  0.0804627 ],
       [-0.02690176,  0.        ,  0.99963808,  0.08281548],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.38930576, -0.92106667,  0.00878755, -0.05730692],
       [ 0.92083211,  0.38940492,  0.02078534,  0.03391233],
       [-0.0225666 ,  0.        ,  0.99974534,  0.08545349],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 2.06789511e-02, -9.99785945e-01, -6.67724113e-04,
        -3.33156474e-02],
       [ 9.99265140e-01,  2.06897287e-02, -3.22663091e-02,
         9.19218523e-02],
       [ 3.22732174e-02,  0.00000000e+00,  9.99479084e-01,
         8.29927117e-02],
       [ 0.00000000e+00,  0.00000000e+00,  0.00000000e+00,
         1.00000000e+00]])]","[array([[ 2.06789511e-02, -9.99785945e-01, -6.67724113e-04,
        -3.33156474e-02],
       [ 9.99265140e-01,  2.06897287e-02, -3.22663091e-02,
         9.19218523e-02],
       [ 3.22732174e-02,  0.00000000e+00,  9.99479084e-01,
         8.29927117e-02],
       [ 0.00000000e+00,  0.00000000e+00,  0.00000000e+00,
         1.00000000e+00]])]"
3,"[array([[-0.63142829, -0.77484324, -0.0302699 , -0.11455985],
       [ 0.77395443, -0.63215343,  0.03710242,  0.02292068],
       [-0.04788378,  0.        ,  0.99885291,  0.0849966 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.15166435, -0.9884235 , -0.00411226, -0.15579998],
       [ 0.98806036, -0.15172009,  0.0267905 ,  0.08046394],
       [-0.02710427,  0.        ,  0.99963261,  0.08281992],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.15166435, -0.9884235 , -0.00411226, -0.15579998],
       [ 0.98806036, -0.15172009,  0.0267905 ,  0.08046394],
       [-0.02710427,  0.        ,  0.99963261,  0.08281992],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.38959618, -0.92094261,  0.00891773, -0.05731432],
       [ 0.92070145,  0.38969823,  0.02107455,  0.03391886],
       [-0.02288368,  0.        ,  0.99973813,  0.08546359],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 2.05838722e-02, -9.99787911e-01, -6.61720469e-04,
        -3.33116509e-02],
       [ 9.99271689e-01,  2.05945058e-02, -3.21241078e-02,
         9.19223348e-02],
       [ 3.21309225e-02,  0.00000000e+00,  9.99483669e-01,
         8.29962367e-02],
       [ 0.00000000e+00,  0.00000000e+00,  0.00000000e+00,
         1.00000000e+00]])]","[array([[ 2.05838722e-02, -9.99787911e-01, -6.61720469e-04,
        -3.33116509e-02],
       [ 9.99271689e-01,  2.05945058e-02, -3.21241078e-02,
         9.19223348e-02],
       [ 3.21309225e-02,  0.00000000e+00,  9.99483669e-01,
         8.29962367e-02],
       [ 0.00000000e+00,  0.00000000e+00,  0.00000000e+00,
         1.00000000e+00]])]"
4,"[array([[-0.6313775 , -0.77488196, -0.0303382 , -0.11456043],
       [ 0.77398895, -0.63210597,  0.0371908 ,  0.02291944],
       [-0.04799544,  0.        ,  0.99884755,  0.0849981 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.15019693, -0.98864873, -0.00381616, -0.15585366],
       [ 0.98832978, -0.1502454 ,  0.02511116,  0.08046101],
       [-0.02539948,  0.        ,  0.99967738,  0.0827647 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.15019693, -0.98864873, -0.00381616, -0.15585366],
       [ 0.98832978, -0.1502454 ,  0.02511116,  0.08046101],
       [-0.02539948,  0.        ,  0.99967738,  0.0827647 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.38943622, -0.92101125,  0.0088154 , -0.05730935],
       [ 0.92077537,  0.38953598,  0.02084297,  0.03391276],
       [-0.02263052,  0.        ,  0.9997439 ,  0.08545592],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 1.61553670e-02, -9.99869443e-01, -3.17795586e-04,
        -3.30839455e-02],
       [ 9.99676046e-01,  1.61584924e-02, -1.96648356e-02,
         9.18264810e-02],
       [ 1.96674033e-02,  0.00000000e+00,  9.99806578e-01,
         8.36435766e-02],
       [ 0.00000000e+00,  0.00000000e+00,  0.00000000e+00,
         1.00000000e+00]])]","[array([[ 1.61553670e-02, -9.99869443e-01, -3.17795586e-04,
        -3.30839455e-02],
       [ 9.99676046e-01,  1.61584924e-02, -1.96648356e-02,
         9.18264810e-02],
       [ 1.96674033e-02,  0.00000000e+00,  9.99806578e-01,
         8.36435766e-02],
       [ 0.00000000e+00,  0.00000000e+00,  0.00000000e+00,
         1.00000000e+00]])]"
5,"[array([[-0.63172507, -0.77459802, -0.03035358, -0.11454541],
       [ 0.77370542, -0.63245387,  0.03717556,  0.02292384],
       [-0.04799336,  0.        ,  0.99884765,  0.08499905],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.15142881, -0.9884597 , -0.00409114, -0.15581063],
       [ 0.98809915, -0.15148407,  0.02669538,  0.08046377],
       [-0.02700705,  0.        ,  0.99963524,  0.08281582],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.15142881, -0.9884597 , -0.00409114, -0.15581063],
       [ 0.98809915, -0.15148407,  0.02669538,  0.08046377],
       [-0.02700705,  0.        ,  0.99963524,  0.08281582],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.38927284, -0.92107987,  0.00886201, -0.0573063 ],
       [ 0.92084128,  0.3893737 ,  0.02096345,  0.03390885],
       [-0.02275965,  0.        ,  0.99974097,  0.08545682],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 1.62071675e-02, -9.99868605e-01, -3.18032919e-04,
        -3.30875812e-02],
       [ 9.99676155e-01,  1.62102876e-02, -1.96166249e-02,
         9.18301897e-02],
       [ 1.96192028e-02,  0.00000000e+00,  9.99807525e-01,
         8.36431094e-02],
       [ 0.00000000e+00,  0.00000000e+00,  0.00000000e+00,
         1.00000000e+00]])]","[array([[ 1.62071675e-02, -9.99868605e-01, -3.18032919e-04,
        -3.30875812e-02],
       [ 9.99676155e-01,  1.62102876e-02, -1.96166249e-02,
         9.18301897e-02],
       [ 1.96192028e-02,  0.00000000e+00,  9.99807525e-01,
         8.36431094e-02],
       [ 0.00000000e+00,  0.00000000e+00,  0.00000000e+00,
         1.00000000e+00]])]"
6,"[array([[-0.63150101, -0.77477629, -0.0304659 , -0.11455446],
       [ 0.77387624, -0.63223548,  0.03733459,  0.02292149],
       [-0.04818758,  0.        ,  0.9988383 ,  0.0850064 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.15139215, -0.98846542, -0.00406651, -0.15581182],
       [ 0.98810902, -0.15144676,  0.02654134,  0.08046162],
       [-0.02685106,  0.        ,  0.99963945,  0.08281086],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.15139215, -0.98846542, -0.00406651, -0.15581182],
       [ 0.98810902, -0.15144676,  0.02654134,  0.08046162],
       [-0.02685106,  0.        ,  0.99963945,  0.08281086],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.38925781, -0.921086  ,  0.0088847 , -0.05730401],
       [ 0.92084617,  0.38935919,  0.02101806,  0.03390861],
       [-0.02281878,  0.        ,  0.99973962,  0.08545914],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 2.05818403e-02, -9.99787953e-01, -6.60554965e-04,
        -3.33095869e-02],
       [ 9.99273445e-01,  2.05924375e-02, -3.20707491e-02,
         9.19212505e-02],
       [ 3.20775511e-02,  0.00000000e+00,  9.99485383e-01,
         8.29989339e-02],
       [ 0.00000000e+00,  0.00000000e+00,  0.00000000e+00,
         1.00000000e+00]])]","[array([[ 2.05818403e-02, -9.99787953e-01, -6.60554965e-04,
        -3.33095869e-02],
       [ 9.99273445e-01,  2.05924375e-02, -3.20707491e-02,
         9.19212505e-02],
       [ 3.20775511e-02,  0.00000000e+00,  9.99485383e-01,
         8.29989339e-02],
       [ 0.00000000e+00,  0.00000000e+00,  0.00000000e+00,
         1.00000000e+00]])]"
7,"[array([[-0.63168239, -0.7746343 , -0.03031588, -0.11454578],
       [ 0.77374375, -0.63240944,  0.03713373,  0.02292248],
       [-0.04793711,  0.        ,  0.99885036,  0.08499679],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.15169205, -0.98841947, -0.00405946, -0.15579908],
       [ 0.98806572, -0.15174636,  0.02644181,  0.08046265],
       [-0.0267516 ,  0.        ,  0.99964211,  0.0828047 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.15169205, -0.98841947, -0.00405946, -0.15579908],
       [ 0.98806572, -0.15174636,  0.02644181,  0.08046265],
       [-0.0267516 ,  0.        ,  0.99964211,  0.0828047 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.38922266, -0.92110274,  0.00868734, -0.05730537],
       [ 0.92087339,  0.38931959,  0.02055363,  0.03391065],
       [-0.02231416,  0.        ,  0.99975101,  0.08544584],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 1.60016479e-02, -9.99871915e-01, -3.16315006e-04,
        -3.30900912e-02],
       [ 9.99676618e-01,  1.60047740e-02, -1.97612594e-02,
         9.18263492e-02],
       [ 1.97637908e-02,  0.00000000e+00,  9.99804677e-01,
         8.36385115e-02],
       [ 0.00000000e+00,  0.00000000e+00,  0.00000000e+00,
         1.00000000e+00]])]","[array([[ 1.60016479e-02, -9.99871915e-01, -3.16315006e-04,
        -3.30900912e-02],
       [ 9.99676618e-01,  1.60047740e-02, -1.97612594e-02,
         9.18263492e-02],
       [ 1.97637908e-02,  0.00000000e+00,  9.99804677e-01,
         8.36385115e-02],
       [ 0.00000000e+00,  0.00000000e+00,  0.00000000e+00,
         1.00000000e+00]])]"
8,"[array([[-0.6313755 , -0.77487389, -0.03058468, -0.11456438],
       [ 0.77396635, -0.63211585,  0.03749198,  0.02292184],
       [-0.04838462,  0.        ,  0.99882878,  0.08501182],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.15143378, -0.9884591 , -0.0040523 , -0.15581147],
       [ 0.98810538, -0.15148798,  0.02644126,  0.08046055],
       [-0.02674998,  0.        ,  0.99964216,  0.08280265],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.15143378, -0.9884591 , -0.0040523 , -0.15581147],
       [ 0.98810538, -0.15148798,  0.02644126,  0.08046055],
       [-0.02674998,  0.        ,  0.99964216,  0.08280265],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.38933643, -0.92105347,  0.00881233, -0.05730949],
       [ 0.92081763,  0.38943615,  0.02084199,  0.03391193],
       [-0.02262843,  0.        ,  0.99974394,  0.08545788],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 2.03832034e-02, -9.99792028e-01, -6.53224438e-04,
        -3.33123262e-02],
       [ 9.99279018e-01,  2.03936678e-02, -3.20240868e-02,
         9.19203402e-02],
       [ 3.20307483e-02,  0.00000000e+00,  9.99486884e-01,
         8.30024222e-02],
       [ 0.00000000e+00,  0.00000000e+00,  0.00000000e+00,
         1.00000000e+00]])]","[array([[ 2.03832034e-02, -9.99792028e-01, -6.53224438e-04,
        -3.33123262e-02],
       [ 9.99279018e-01,  2.03936678e-02, -3.20240868e-02,
         9.19203402e-02],
       [ 3.20307483e-02,  0.00000000e+00,  9.99486884e-01,
         8.30024222e-02],
       [ 0.00000000e+00,  0.00000000e+00,  0.00000000e+00,
         1.00000000e+00]])]"
9,"[array([[-0.63015675, -0.77588613, -0.0300528 , -0.11456419],
       [ 0.77500529, -0.63087297,  0.03696077,  0.0229327 ],
       [-0.04763685,  0.        ,  0.99886472,  0.08500807],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.14754834, -0.98904796, -0.00368982, -0.15577868],
       [ 0.98873884, -0.14759446,  0.02472592,  0.08055093],
       [-0.02499972,  0.        ,  0.99968746,  0.08283799],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.14754834, -0.98904796, -0.00368982, -0.15577868],
       [ 0.98873884, -0.14759446,  0.02472592,  0.08055093],
       [-0.02499972,  0.        ,  0.99968746,  0.08283799],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.38949582, -0.92098485,  0.00893944, -0.05730445],
       [ 0.92074237,  0.38959839,  0.02113224,  0.03391506],
       [-0.02294526,  0.        ,  0.99973672,  0.08546097],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 1.63083449e-02, -9.99866959e-01, -3.18396857e-04,
        -3.30717761e-02],
       [ 9.99676455e-01,  1.63114528e-02, -1.95172375e-02,
         9.18315712e-02],
       [ 1.95198344e-02,  0.00000000e+00,  9.99809470e-01,
         8.36362693e-02],
       [ 0.00000000e+00,  0.00000000e+00,  0.00000000e+00,
         1.00000000e+00]])]","[array([[ 1.63083449e-02, -9.99866959e-01, -3.18396857e-04,
        -3.30717761e-02],
       [ 9.99676455e-01,  1.63114528e-02, -1.95172375e-02,
         9.18315712e-02],
       [ 1.95198344e-02,  0.00000000e+00,  9.99809470e-01,
         8.36362693e-02],
       [ 0.00000000e+00,  0.00000000e+00,  0.00000000e+00,
         1.00000000e+00]])]"
