,features,labels
0,"[9.709, 0.12, -0.034, 0.087, 0.076, 0.047, 9.744, -0.105, -0.065, 0.029, -0.003, -0.074, 9.627, 0.148, -0.011, 0.086, 0.072, 0.011, 9.742, -0.071, -0.071, 0.027, -0.008, -0.067, 9.77, 0.112, -0.108, 0.093, 0.064, -0.037, 9.644, -0.072, -0.106, 0.026, -0.013, -0.063, 9.668, 0.128, 0.056, 0.09, 0.044, -0.065, 9.763, -0.01, 0.131, 0.028, -0.009, -0.057, 9.535, 0.126, 0.074, 0.082, 0.036, -0.083, 9.711, 0.002, -0.077, 0.021, -0.013, -0.054]","[False, False, False, False]"
1,"[9.638, 0.124, 0.191, 0.07, 0.028, -0.065, 9.678, -0.055, -0.084, 0.014, -0.008, -0.031, 9.651, 0.156, 0.008, 0.066, 0.024, -0.056, 9.766, -0.059, 0.028, 0.02, -0.007, -0.048, 9.654, 0.179, 0.071, 0.073, 0.028, -0.043, 9.757, -0.054, -0.078, 0.02, -0.006, -0.042, 9.637, 0.135, 0.071, 0.07, 0.03, -0.027, 9.696, -0.074, -0.005, 0.017, -0.002, -0.046, 9.59, 0.187, 0.065, 0.074, 0.039, -0.024, 9.733, -0.024, -0.066, 0.013, -0.007, -0.044]","[False, False, False, False]"
2,"[9.589, 0.148, 0.071, 0.08, 0.037, -0.029, 9.631, -0.043, -0.019, 0.015, -0.007, -0.042, 9.625, 0.146, 0.069, 0.069, 0.037, -0.024, 9.7, -0.044, -0.016, 0.016, -0.01, -0.048, 9.671, 0.168, 0.066, 0.075, 0.043, -0.024, 9.739, -0.086, 0.022, 0.017, -0.004, -0.045, 9.772, 0.115, -0.013, 0.076, 0.04, -0.028, 9.751, -0.016, -0.024, 0.017, -0.01, -0.046, 9.674, 0.139, -0.103, 0.074, 0.041, -0.023, 9.716, -0.004, -0.077, 0.018, -0.007, -0.044]","[False, False, False, False]"
3,"[9.76, 0.003, 0.029, 0.074, 0.044, -0.027, 9.702, -0.093, -0.08, 0.023, -0.004, -0.046, 9.727, 0.096, 0.017, 0.072, 0.038, -0.023, 9.924, -0.041, 0.123, 0.022, -0.004, -0.049, 9.753, 0.245, -0.101, 0.075, 0.036, -0.023, 9.866, -0.107, -0.014, 0.021, -0.005, -0.043, 9.708, 0.179, 0.001, 0.071, 0.039, -0.024, 9.793, -0.114, 0.047, 0.02, -0.007, -0.04, 9.692, 0.15, 0.028, 0.072, 0.04, -0.025, 9.701, -0.056, -0.037, 0.016, -0.003, -0.042]","[False, False, False, False]"
4,"[9.572, 0.151, 0.013, 0.075, 0.039, -0.026, 9.733, -0.118, -0.065, 0.022, -0.004, -0.044, 9.672, 0.096, 0.023, 0.075, 0.04, -0.022, 9.696, -0.064, 0.024, 0.016, -0.006, -0.047, 9.664, 0.167, 0.044, 0.077, 0.039, -0.023, 9.679, -0.115, -0.1, 0.016, -0.007, -0.046, 9.645, 0.178, -0.04, 0.073, 0.039, -0.02, 9.716, -0.049, -0.007, 0.019, -0.003, -0.041, 9.66, 0.198, 0.013, 0.072, 0.038, -0.023, 9.726, -0.071, -0.009, 0.019, -0.01, -0.045]","[False, False, False, False]"
5,"[9.577, 0.185, 0.066, 0.074, 0.04, -0.025, 9.781, 0.001, 0.05, 0.019, -0.006, -0.044, 9.552, 0.156, 0.072, 0.072, 0.034, -0.019, 9.516, 0.004, -0.012, 0.017, -0.008, -0.043, 9.686, 0.239, 0.01, 0.075, 0.039, -0.026, 9.668, -0.102, 0.098, 0.022, -0.006, -0.043, 9.642, 0.159, 0.054, 0.072, 0.04, -0.025, 9.628, -0.045, -0.061, 0.017, -0.005, -0.039, 9.631, 0.27, 0.074, 0.07, 0.038, -0.026, 9.394, -0.107, -0.051, 0.017, -0.004, -0.041]","[False, False, False, False]"
6,"[9.605, 0.203, -0.12, 0.078, 0.041, -0.023, 9.943, -0.108, -0.178, 0.015, -0.003, -0.042, 9.567, 0.12, 0.074, 0.071, 0.036, -0.027, 9.645, -0.048, -0.059, 0.01, -0.009, -0.045, 9.639, 0.054, 0.026, 0.077, 0.035, -0.022, 9.522, -0.079, 0.089, 0.022, -0.009, -0.041, 9.636, 0.227, 0.117, 0.074, 0.036, -0.024, 9.741, -0.053, 0.071, 0.017, -0.006, -0.047, 9.691, 0.151, 0.058, 0.071, 0.041, -0.023, 9.657, -0.025, -0.121, 0.017, -0.006, -0.043]","[False, False, False, False]"
7,"[9.953, 0.315, 0.448, 0.091, 0.045, -0.018, 9.966, -0.236, 0.802, 0.042, -0.012, -0.046, 9.632, 0.048, 0.118, 0.054, 0.041, -0.02, 9.541, -0.064, 0.33, 0.035, -0.012, -0.045, 9.576, 0.145, -0.209, 0.082, 0.039, -0.023, 9.744, -0.162, 0.229, 0.018, -0.011, -0.044, 9.565, 0.246, 0.273, 0.074, 0.038, -0.025, 9.689, -0.214, 0.324, 0.023, -0.006, -0.046, 9.477, 0.148, 0.001, 0.061, 0.036, -0.023, 9.91, -0.154, 0.319, 0.025, -0.008, -0.043]","[False, False, False, False]"
8,"[9.606, 0.131, 0.013, 0.073, 0.04, -0.022, 9.598, -0.175, 0.327, 0.024, -0.007, -0.042, 9.68, 0.089, 0.086, 0.073, 0.036, -0.024, 9.729, -0.118, 0.196, 0.018, -0.004, -0.041, 9.748, 0.108, -0.118, 0.075, 0.037, -0.022, 9.738, -0.069, -0.141, 0.015, -0.006, -0.045, 9.726, 0.233, 0.043, 0.077, 0.038, -0.021, 9.712, -0.168, -0.016, 0.017, -0.008, -0.043, 9.607, 0.164, 0.072, 0.076, 0.036, -0.021, 9.712, -0.11, 0.193, 0.017, -0.002, -0.045]","[False, False, False, False]"
9,"[9.672, 0.031, 0.087, 0.074, 0.04, -0.024, 9.519, -0.089, 0.06, 0.01, -0.007, -0.042, 9.773, 0.01, 0.033, 0.073, 0.033, -0.025, 9.603, -0.054, -0.045, 0.009, -0.007, -0.038, 9.615, 0.138, 0.099, 0.073, 0.035, -0.025, 9.644, -0.068, 0.071, 0.016, -0.007, -0.039, 9.659, 0.162, -0.14, 0.075, 0.035, -0.024, 9.701, -0.096, 0.005, 0.018, -0.005, -0.043, 9.698, 0.03, 0.013, 0.071, 0.039, -0.023, 9.659, -0.011, -0.157, 0.021, -0.009, -0.047]","[False, False, False, False]"
