,transforms
0,"[array([[ 0.05816305, -0.99796895, -0.03587019, -0.0804755 ],
       [ 0.99826355,  0.05293528, -0.0072445 ,  0.164666  ],
       [ 0.00932449, -0.03543758,  0.9993302 ,  0.09457   ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
1,"[array([[ 0.05821696, -0.99797776, -0.03583443, -0.080472  ],
       [ 0.99826194,  0.05278618, -0.00707915,  0.1646685 ],
       [ 0.00915913, -0.03541191,  0.99933267,  0.0945715 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
2,"[array([[ 0.058087  , -0.99798006, -0.03583534, -0.0804685 ],
       [ 0.99826836,  0.05274636, -0.00720859,  0.164669  ],
       [ 0.00928388, -0.03540639,  0.99933171,  0.0945715 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
3,"[array([[ 0.0580846 , -0.99798341, -0.03573866, -0.0804725 ],
       [ 0.99826889,  0.05274654, -0.00717209,  0.164668  ],
       [ 0.00924168, -0.03531175,  0.99933543,  0.094571  ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
4,"[array([[ 0.05786409, -0.99797905, -0.03573841, -0.08047   ],
       [ 0.99828093,  0.0528327 , -0.00726179,  0.1646645 ],
       [ 0.00932348, -0.03530601,  0.99933479,  0.094571  ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
5,"[array([[ 0.05782973, -0.99797501, -0.03589029, -0.0804725 ],
       [ 0.99828408,  0.05280258, -0.00712978,  0.164665  ],
       [ 0.00919923, -0.03546489,  0.9993303 ,  0.0945705 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
6,"[array([[ 0.05791301, -0.99797623, -0.03584277, -0.0804665 ],
       [ 0.99827808,  0.05281601, -0.00725511,  0.164664  ],
       [ 0.00932462, -0.03541073,  0.99933111,  0.0945645 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
7,"[array([[ 0.05799878, -0.99797644, -0.0358046 , -0.0804715 ],
       [ 0.9982731 ,  0.05283758, -0.00725465,  0.1646645 ],
       [ 0.00932497, -0.03537244,  0.99933248,  0.094566  ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
8,"[array([[ 0.05796201, -0.99797591, -0.03589666, -0.0804675 ],
       [ 0.99827639,  0.05278107, -0.0071258 ,  0.1646645 ],
       [ 0.00920032, -0.03547166,  0.9993301 ,  0.0945675 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
9,"[array([[ 0.05805266, -0.99797825, -0.03592427, -0.080473  ],
       [ 0.9982715 ,  0.05271635, -0.0070802 ,  0.1646665 ],
       [ 0.00915961, -0.0355022 ,  0.99932943,  0.094566  ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
