,LP,LD1,LD2,RP,RD1,RD2
0,"[array([[-0.72324448, -0.68992065, -0.03044555, -0.11362217],
       [ 0.68931017, -0.72388501,  0.02901706,  0.02206726],
       [-0.04205854,  0.        ,  0.99911515,  0.08491511],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.23137166, -0.97283951,  0.00710168, -0.1592924 ],
       [ 0.97238158,  0.23148063,  0.02984612,  0.07773193],
       [-0.03067939, -0.        ,  0.99952928,  0.0832826 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.23137166, -0.97283951,  0.00710168, -0.1592924 ],
       [ 0.97238158,  0.23148063,  0.02984612,  0.07773193],
       [-0.03067939, -0.        ,  0.99952928,  0.0832826 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.72606819, -0.68740229,  0.01740888, -0.05414762],
       [ 0.68720478,  0.72627687,  0.01647705,  0.03765032],
       [-0.02397003,  0.        ,  0.99971268,  0.08551793],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.35916032, -0.93321396,  0.01075   , -0.01353939],
       [ 0.93279623, -0.35932116, -0.02791945,  0.07287441],
       [ 0.02991752, -0.        ,  0.99955237,  0.08325162],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.35916032, -0.93321396,  0.01075   , -0.01353939],
       [ 0.93279623, -0.35932116, -0.02791945,  0.07287441],
       [ 0.02991752, -0.        ,  0.99955237,  0.08325162],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
1,"[array([[-0.72303554, -0.69014391, -0.03034787, -0.11363139],
       [ 0.68953679, -0.72367215,  0.02894183,  0.02206661],
       [-0.04193594,  0.        ,  0.9991203 ,  0.08491136],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.23137343, -0.97283951,  0.00704381, -0.15929045],
       [ 0.97238901,  0.23148063,  0.02960291,  0.07773669],
       [-0.03042938, -0.        ,  0.99953692,  0.08327265],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.23137343, -0.97283951,  0.00704381, -0.15929045],
       [ 0.97238901,  0.23148063,  0.02960291,  0.07773669],
       [-0.03042938, -0.        ,  0.99953692,  0.08327265],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.72610671, -0.68736856,  0.017132  , -0.05415219],
       [ 0.68717732,  0.72630879,  0.01621349,  0.03765422],
       [-0.02358776,  0.        ,  0.99972177,  0.08550637],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.35913458, -0.93322429,  0.01071397, -0.01354335],
       [ 0.93280928, -0.35929435, -0.02782826,  0.07287737],
       [ 0.02981948, -0.        ,  0.9995553 ,  0.08325474],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.35913458, -0.93322429,  0.01071397, -0.01354335],
       [ 0.93280928, -0.35929435, -0.02782826,  0.07287737],
       [ 0.02981948, -0.        ,  0.9995553 ,  0.08325474],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
2,"[array([[-0.72321792, -0.68995035, -0.03040326, -0.1136261 ],
       [ 0.68934149, -0.7238567 ,  0.02897913,  0.02207088],
       [-0.04200177,  0.        ,  0.99911754,  0.08491584],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.23147837, -0.97281427,  0.00708196, -0.15929468],
       [ 0.9723593 ,  0.23158668,  0.02974883,  0.07774111],
       [-0.03058017, -0.        ,  0.99953232,  0.08327645],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.23147837, -0.97281427,  0.00708196, -0.15929468],
       [ 0.9723593 ,  0.23158668,  0.02974883,  0.07774111],
       [-0.03058017, -0.        ,  0.99953232,  0.08327645],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.72594504, -0.68752999,  0.01750201, -0.054146  ],
       [ 0.68733026,  0.72615599,  0.01657103,  0.03765044],
       [-0.02410227,  0.        ,  0.9997095 ,  0.08552389],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.3592055 , -0.93319718,  0.01069722, -0.01353873],
       [ 0.93278365, -0.35936475, -0.02777851,  0.07287821],
       [ 0.02976703, -0.        ,  0.99955686,  0.08326041],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.3592055 , -0.93319718,  0.01069722, -0.01353873],
       [ 0.93278365, -0.35936475, -0.02777851,  0.07287821],
       [ 0.02976703, -0.        ,  0.99955686,  0.08326041],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
3,"[array([[-0.72319568, -0.68998159, -0.03022273, -0.11362496],
       [ 0.68937987, -0.72382691,  0.02880955,  0.02206536],
       [-0.04175408,  0.        ,  0.99912792,  0.08490529],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.23142922, -0.97282555,  0.00713848, -0.15929216],
       [ 0.9723631 ,  0.23153929,  0.02999273,  0.07773478],
       [-0.03083054, -0.        ,  0.99952463,  0.08328541],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.23142922, -0.97282555,  0.00713848, -0.15929216],
       [ 0.9723631 ,  0.23153929,  0.02999273,  0.07773478],
       [-0.03083054, -0.        ,  0.99952463,  0.08328541],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.72595665, -0.68752819,  0.01708601, -0.05414124],
       [ 0.68733785,  0.72615768,  0.01617708,  0.03764928],
       [-0.02352933,  0.        ,  0.99972315,  0.08550806],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.35931577, -0.93315714,  0.01048481, -0.01353167],
       [ 0.93276012, -0.35946871, -0.02721787,  0.07287553],
       [ 0.02916751, -0.        ,  0.99957454,  0.08329047],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.35931577, -0.93315714,  0.01048481, -0.01353167],
       [ 0.93276012, -0.35946871, -0.02721787,  0.07287553],
       [ 0.02916751, -0.        ,  0.99957454,  0.08329047],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
4,"[array([[-0.72312823, -0.69004867, -0.03030509, -0.11362223],
       [ 0.68944349, -0.72376297,  0.02889342,  0.02206366],
       [-0.04187157,  0.        ,  0.999123  ,  0.08490492],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.23134928, -0.97284542,  0.00702068, -0.15928671],
       [ 0.97239778,  0.23145579,  0.02950901,  0.0777323 ],
       [-0.03033268, -0.        ,  0.99953986,  0.08326258],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.23134928, -0.97284542,  0.00702068, -0.15928671],
       [ 0.97239778,  0.23145579,  0.02950901,  0.0777323 ],
       [-0.03033268, -0.        ,  0.99953986,  0.08326258],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.72603852, -0.68743241,  0.01745698, -0.05414723],
       [ 0.68723379,  0.72624836,  0.01652395,  0.03764942],
       [-0.0240372 ,  0.        ,  0.99971106,  0.08552343],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.35928432, -0.93317007,  0.01041099, -0.01353485],
       [ 0.93277854, -0.35943513, -0.02702914,  0.07287041],
       [ 0.02896486, -0.        ,  0.99958043,  0.08329492],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.35928432, -0.93317007,  0.01041099, -0.01353485],
       [ 0.93277854, -0.35943513, -0.02702914,  0.07287041],
       [ 0.02896486, -0.        ,  0.99958043,  0.08329492],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
5,"[array([[-0.72325287, -0.68991757, -0.03031555, -0.11362095],
       [ 0.6893123 , -0.72388794,  0.02889291,  0.02206618],
       [-0.04187879,  0.        ,  0.9991227 ,  0.08491308],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.23132358, -0.97285079,  0.00712346, -0.15928892],
       [ 0.97238984,  0.23143324,  0.0299441 ,  0.07773145],
       [-0.03077975, -0.        ,  0.99952619,  0.0832818 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.23132358, -0.97285079,  0.00712346, -0.15928892],
       [ 0.97238984,  0.23143324,  0.0299441 ,  0.07773145],
       [-0.03077975, -0.        ,  0.99952619,  0.0832818 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.72607481, -0.68740229,  0.01713049, -0.05414877],
       [ 0.68721105,  0.72627687,  0.01621357,  0.03765018],
       [-0.02358672,  0.        ,  0.99972179,  0.08550534],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.35944542, -0.93310677,  0.01052401, -0.01352785],
       [ 0.93270708, -0.35959945, -0.02730822,  0.07287042],
       [ 0.02926591, -0.        ,  0.99957166,  0.08327534],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.35944542, -0.93310677,  0.01052401, -0.01352785],
       [ 0.93270708, -0.35959945, -0.02730822,  0.07287042],
       [ 0.02926591, -0.        ,  0.99957166,  0.08327534],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
6,"[array([[-0.72319055, -0.68998313, -0.03031032, -0.11362209],
       [ 0.68937791, -0.72382545,  0.02889317,  0.02206642],
       [-0.04187518,  0.        ,  0.99912285,  0.084906  ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.2314058 , -0.97283146,  0.00709218, -0.15929445],
       [ 0.97237489,  0.23151446,  0.02980159,  0.07773329],
       [-0.03063386, -0.        ,  0.99953067,  0.08327416],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.2314058 , -0.97283146,  0.00709218, -0.15929445],
       [ 0.97237489,  0.23151446,  0.02980159,  0.07773329],
       [-0.03063386, -0.        ,  0.99953067,  0.08327416],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.72604793, -0.68743061,  0.01713375, -0.05414642],
       [ 0.68723927,  0.72625007,  0.01621792,  0.03765231],
       [-0.02359208,  0.        ,  0.99972167,  0.08550846],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.35945795, -0.93310029,  0.01066879, -0.01352637],
       [ 0.93268957, -0.35961624, -0.02768244,  0.07287175],
       [ 0.02966716, -0.        ,  0.99955983,  0.08325658],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.35945795, -0.93310029,  0.01066879, -0.01352637],
       [ 0.93268957, -0.35961624, -0.02768244,  0.07287175],
       [ 0.02966716, -0.        ,  0.99955983,  0.08325658],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
7,"[array([[-0.72315884, -0.69001437, -0.0303556 , -0.11362216],
       [ 0.68940726, -0.72379567,  0.02893883,  0.0220641 ],
       [-0.04193946,  0.        ,  0.99912015,  0.08490544],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.23136933, -0.97284006,  0.00710308, -0.15929333],
       [ 0.97238193,  0.23147834,  0.0298523 ,  0.07773391],
       [-0.03068572, -0.        ,  0.99952908,  0.08327881],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.23136933, -0.97284006,  0.00710308, -0.15929333],
       [ 0.97238193,  0.23147834,  0.0298523 ,  0.07773391],
       [-0.03068572, -0.        ,  0.99952908,  0.08327881],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.72601217, -0.68746614,  0.01722345, -0.05414593],
       [ 0.68727277,  0.72621644,  0.01630443,  0.03764826],
       [-0.0237167 ,  0.        ,  0.99971872,  0.08550725],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.35960067, -0.9330499 ,  0.01025851, -0.01351713],
       [ 0.93267047, -0.35974697, -0.02660677,  0.07287556],
       [ 0.02851591, -0.        ,  0.99959334,  0.08331719],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.35960067, -0.9330499 ,  0.01025851, -0.01351713],
       [ 0.93267047, -0.35974697, -0.02660677,  0.07287556],
       [ 0.02851591, -0.        ,  0.99959334,  0.08331719],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
8,"[array([[-0.72495435, -0.68812452, -0.03042762, -0.11361244],
       [ 0.68751921, -0.72559262,  0.0288564 ,  0.02203995],
       [-0.04193486,  0.        ,  0.99912035,  0.08490734],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.23491596, -0.97195822,  0.01056913, -0.15975514],
       [ 0.97097599,  0.2351536 ,  0.0436853 ,  0.07768015],
       [-0.04494566, -0.        ,  0.99898943,  0.08402227],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.23491596, -0.97195822,  0.01056913, -0.15975514],
       [ 0.97097599,  0.2351536 ,  0.0436853 ,  0.07768015],
       [-0.04494566, -0.        ,  0.99898943,  0.08402227],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.72423863, -0.68933413,  0.01722963, -0.05418679],
       [ 0.68913914,  0.72444355,  0.01639461,  0.03764872],
       [-0.02378326,  0.        ,  0.99971714,  0.08551275],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.36252276, -0.93192008,  0.01011058, -0.01365968],
       [ 0.93155785, -0.36266372, -0.02598069,  0.07297683],
       [ 0.02787867, -0.        ,  0.99961131,  0.08332646],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.36252276, -0.93192008,  0.01011058, -0.01365968],
       [ 0.93155785, -0.36266372, -0.02598069,  0.07297683],
       [ 0.02787867, -0.        ,  0.99961131,  0.08332646],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
9,"[array([[-0.72583454, -0.6871945 , -0.03046216, -0.11360614],
       [ 0.6865901 , -0.72647348,  0.02881513,  0.02202975],
       [-0.04193155,  0.        ,  0.99912049,  0.08490827],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.23381158, -0.97222469,  0.01054981, -0.15983822],
       [ 0.97123652,  0.23404947,  0.04382314,  0.0776109 ],
       [-0.04507512, -0.        ,  0.9989836 ,  0.08402839],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.23381158, -0.97222469,  0.01054981, -0.15983822],
       [ 0.97123652,  0.23404947,  0.04382314,  0.0776109 ],
       [-0.04507512, -0.        ,  0.9989836 ,  0.08402839],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.72324091, -0.69038143,  0.01720649, -0.05419973],
       [ 0.69018614,  0.72344556,  0.01642009,  0.03763441],
       [-0.02378409,  0.        ,  0.99971712,  0.08550976],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.3635862 , -0.931504  ,  0.0102653 , -0.01373914],
       [ 0.93113296, -0.36373109, -0.02628911,  0.07301367],
       [ 0.02822222, -0.        ,  0.99960167,  0.08331353],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.3635862 , -0.931504  ,  0.0102653 , -0.01373914],
       [ 0.93113296, -0.36373109, -0.02628911,  0.07301367],
       [ 0.02822222, -0.        ,  0.99960167,  0.08331353],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
