,transforms
0,"[array([[-0.99834843, -0.04794087, -0.01741955, -0.0801465 ],
       [ 0.05451775, -0.99877334,  0.01323759,  0.1081315 ],
       [-0.0181168 ,  0.01238921,  0.99976063,  0.0941805 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
1,"[array([[-0.99833689, -0.04790781, -0.01755041, -0.080149  ],
       [ 0.05468677, -0.99877649,  0.01311602,  0.108133  ],
       [-0.01824287,  0.01226212,  0.99975995,  0.0941795 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
2,"[array([[-0.99834616, -0.04793635, -0.01754841, -0.0801485 ],
       [ 0.05451762, -0.99877435,  0.01317907,  0.108134  ],
       [-0.01824228,  0.01232468,  0.99975915,  0.0941805 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
3,"[array([[-0.99833842, -0.0477844 , -0.01759455, -0.080145  ],
       [ 0.05464501, -0.99878278,  0.01308502,  0.108131  ],
       [-0.01828474,  0.01223129,  0.99975958,  0.094181  ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
4,"[array([[-0.9983409 , -0.04780845, -0.01743043, -0.0801465 ],
       [ 0.05465431, -0.99878166,  0.01307568,  0.1081275 ],
       [-0.01812046,  0.01222933,  0.99976258,  0.094175  ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
5,"[array([[-0.9983337 , -0.04782052, -0.01746472, -0.0801445 ],
       [ 0.05477257, -0.99878026,  0.01314407,  0.1081285 ],
       [-0.01815989,  0.0122958 ,  0.99976108,  0.094176  ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
6,"[array([[-0.99833599, -0.04794081, -0.01745479, -0.0801495 ],
       [ 0.05473086, -0.99877216,  0.01333441,  0.1081315 ],
       [-0.01815993,  0.01248426,  0.99975873,  0.094176  ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
7,"[array([[-0.99833141, -0.04782194, -0.01745543, -0.0801445 ],
       [ 0.05481429, -0.99877823,  0.01330263,  0.108129  ],
       [-0.01815985,  0.01245462,  0.99975915,  0.0941765 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
8,"[array([[-0.99842897, -0.04612257, -0.01736292, -0.08041   ],
       [ 0.0530469 , -0.99885781,  0.01329399,  0.108127  ],
       [-0.01804516,  0.01248097,  0.99976087,  0.094168  ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
9,"[array([[-0.99846239, -0.04558352, -0.01693477, -0.0805495 ],
       [ 0.05255506, -0.99887774,  0.01364517,  0.1081315 ],
       [-0.01763002,  0.01286095,  0.99976348,  0.094157  ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
10,"[array([[-0.99879015, -0.03687141, -0.01234983, -0.082397  ],
       [ 0.04740788, -0.99920873,  0.01537819,  0.108051  ],
       [-0.01306648,  0.01491356,  0.99980548,  0.09409   ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
11,"[array([[-0.99950251, -0.02012365, -0.01365623, -0.0851795 ],
       [ 0.02829294, -0.99974923,  0.01010007,  0.1079175 ],
       [-0.0139372 ,  0.00982414,  0.99985574,  0.094063  ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
12,"[array([[-0.99980352, -0.00703505, -0.01340008, -0.087616  ],
       [ 0.01452996, -0.99995898,  0.00579799,  0.1079915 ],
       [-0.01348313,  0.00570409,  0.9998934 ,  0.094023  ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
13,"[array([[-0.99937421,  0.04288531, -0.01134755, -0.091218  ],
       [-0.03358608, -0.99905002,  0.00725921,  0.109606  ],
       [-0.01109764,  0.00773966,  0.99990926,  0.093969  ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
14,"[array([[-0.99845607,  0.06345098, -0.01141106, -0.0924325 ],
       [-0.05442775, -0.9979656 ,  0.00550174,  0.110907  ],
       [-0.01109489,  0.00621509,  0.99991976,  0.093955  ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
15,"[array([[-0.99737578,  0.0789051 , -0.0103812 , -0.0940215 ],
       [-0.07161462, -0.99687778, -0.00377662,  0.1121555 ],
       [-0.01062507, -0.00294588,  0.99993898,  0.0940135 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
16,"[array([[-0.99590281,  0.09838747, -0.00735866, -0.09601   ],
       [-0.09006884, -0.99511987, -0.00827125,  0.1135445 ],
       [-0.00807398, -0.00750735,  0.99993872,  0.0940325 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
17,"[array([[-0.99211495,  0.13298527, -0.00576356, -0.0988695 ],
       [-0.12513388, -0.99107125, -0.01048731,  0.1150655 ],
       [-0.00703093, -0.00962789,  0.9999284 ,  0.094041  ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
18,"[array([[-0.98910121,  0.15488797, -0.00378231, -0.10082   ],
       [-0.1471207 , -0.98783823, -0.01437358,  0.1165    ],
       [-0.00585638, -0.01361444,  0.99988954,  0.094056  ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
19,"[array([[-0.98601702,  0.17346854, -0.00411203, -0.102194  ],
       [-0.16648941, -0.98467791, -0.01883325,  0.118445  ],
       [-0.00719141, -0.0178347 ,  0.99981418,  0.0940835 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
20,"[array([[-0.98479809,  0.18098448, -0.00151916, -0.1026755 ],
       [-0.17362555, -0.98326985, -0.02124173,  0.1200745 ],
       [-0.00518535, -0.02061608,  0.99977321,  0.0940925 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
21,"[array([[-9.82485955e-01,  1.93726985e-01, -7.62913074e-04,
        -1.02763500e-01],
       [-1.86267929e-01, -9.80796303e-01, -2.31352630e-02,
         1.21942500e-01],
       [-5.06026479e-03, -2.25492256e-02,  9.99732053e-01,
         9.40610000e-02],
       [ 0.00000000e+00,  0.00000000e+00,  0.00000000e+00,
         1.00000000e+00]])]"
22,"[array([[-0.97959607,  0.2077208 , -0.0023787 , -0.102983  ],
       [-0.20082911, -0.97785247, -0.02670086,  0.124689  ],
       [-0.00769524, -0.0256246 ,  0.99964064,  0.0940345 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
23,"[array([[-0.97295507,  0.23774862, -0.00258197, -0.103384  ],
       [-0.23082607, -0.97098109, -0.02730623,  0.1286295 ],
       [-0.00881845, -0.02590972,  0.99962378,  0.093988  ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
24,"[array([[-0.98951853,  0.15267786, -0.01284773, -0.11336   ],
       [-0.14389496, -0.98825827,  0.00400587,  0.146776  ],
       [-0.01213774,  0.00592094,  0.99990944,  0.0937285 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
25,"[array([[-0.98651361,  0.17049126, -0.01767065, -0.134704  ],
       [-0.16286446, -0.98531033,  0.0068998 ,  0.1663715 ],
       [-0.01631154,  0.0098129 ,  0.99982005,  0.093653  ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
26,"[array([[-0.98250903,  0.19453682, -0.016054  , -0.140816  ],
       [-0.18563805, -0.98085312,  0.00607922,  0.172015  ],
       [-0.01464683,  0.00908725,  0.99985265,  0.0936595 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
27,"[array([[-0.98243018,  0.19466006, -0.01619276, -0.140816  ],
       [-0.18603145, -0.98083595,  0.00521045,  0.171904  ],
       [-0.01494111,  0.00826387,  0.99985531,  0.0936725 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
