,time
0,0.7916669999999999
1,1.0
2,1.2083339999999998
3,1.416667
4,1.625
5,1.8333339999999998
6,2.041667
7,2.25
8,2.4583340000000002
9,2.666667
10,2.8749999999999996
11,3.0833340000000002
12,3.291667
13,3.4999999999999996
14,3.7083340000000002
15,3.916667
16,4.125
17,4.333334000000001
18,4.541667
19,4.75
20,4.958334000000001
21,5.166667
22,5.375
23,5.583334000000001
24,5.791667
25,6.0
26,6.208334000000001
27,6.416667
28,6.625
29,6.833334000000001
30,7.041667
31,7.25
32,7.458334000000001
33,7.666667
34,7.875
35,8.083334
36,8.291667
37,8.5
38,8.708334
39,8.916667
40,9.125
41,9.333334
42,9.541667
43,9.75
44,9.958334
45,10.166667
46,10.375
47,10.583334
48,10.791667
49,11.0
50,11.208334
51,11.416667
52,11.625
53,11.833334
54,12.041667
55,12.25
56,12.458334
57,12.666667
58,12.875
59,13.083334
60,13.291667
61,13.5
62,13.708334
63,13.916667
64,14.125
65,14.333334
66,14.541667
67,14.75
68,14.958334
69,15.166667
70,15.375
71,15.583334
72,15.791667
73,16.0
74,16.208334
75,16.416667
76,16.625
77,16.833334
78,17.041667
79,17.25
80,17.458334
81,17.666667
82,17.875
83,18.083334
84,18.291667
85,18.5
86,18.708334
87,18.916667
