,features,labels
0,"[9.474, 0.299, -0.064, 0.097, 0.098, 0.093, 9.546, -0.233, -0.072, 0.012, 0.008, -0.032, 9.632, 0.212, 0.096, 0.075, 0.077, 0.104, 9.519, -0.049, 0.033, 0.018, 0.009, -0.048, 9.628, 0.096, 0.059, 0.083, 0.076, 0.074, 9.605, -0.096, 0.102, 0.03, 0.006, -0.065, 9.651, 0.153, -0.045, 0.088, 0.078, 0.041, 9.654, -0.103, 0.068, 0.035, -0.002, -0.071, 9.602, 0.162, 0.038, 0.092, 0.07, 0.007, 9.622, -0.108, 0.03, 0.034, -0.008, -0.068]","[False, False, False, False]"
1,"[9.639, 0.171, 0.08, 0.081, 0.038, -0.082, 9.599, -0.086, 0.042, 0.025, -0.014, -0.049, 9.7, 0.155, 0.09, 0.075, 0.031, -0.086, 9.688, -0.107, 0.029, 0.024, -0.012, -0.044, 9.649, 0.151, 0.096, 0.07, 0.027, -0.08, 9.605, -0.103, 0.12, 0.022, -0.01, -0.038, 9.683, 0.188, 0.136, 0.074, 0.023, -0.069, 9.611, -0.088, 0.023, 0.014, -0.005, -0.034, 9.583, 0.19, 0.184, 0.07, 0.028, -0.056, 9.602, -0.102, 0.074, 0.024, -0.005, -0.046]","[False, False, False, False]"
2,"[9.61, 0.17, 0.159, 0.082, 0.039, -0.026, 9.638, -0.088, 0.025, 0.024, -0.008, -0.043, 9.681, 0.145, 0.103, 0.079, 0.041, -0.026, 9.652, -0.123, 0.037, 0.02, -0.009, -0.045, 9.622, 0.166, 0.055, 0.075, 0.04, -0.023, 9.638, -0.112, 0.112, 0.02, -0.008, -0.046, 9.517, 0.101, 0.117, 0.073, 0.037, -0.022, 9.689, -0.126, 0.079, 0.021, -0.011, -0.047, 9.653, 0.126, 0.052, 0.073, 0.04, -0.027, 9.599, -0.08, -0.005, 0.027, -0.007, -0.046]","[False, False, False, False]"
3,"[9.648, 0.13, 0.135, 0.077, 0.038, -0.024, 9.579, -0.066, 0.178, 0.022, -0.008, -0.042, 9.634, 0.129, 0.081, 0.077, 0.038, -0.025, 9.659, -0.071, 0.087, 0.021, -0.01, -0.046, 9.657, 0.17, 0.103, 0.074, 0.039, -0.023, 9.532, -0.127, 0.067, 0.022, -0.007, -0.046, 9.672, 0.004, 0.089, 0.069, 0.039, -0.026, 9.676, -0.017, 0.033, 0.017, -0.004, -0.044, 9.631, 0.162, 0.114, 0.075, 0.041, -0.024, 9.603, -0.074, 0.093, 0.015, -0.011, -0.046]","[False, False, False, False]"
4,"[9.62, 0.123, -0.13, 0.07, 0.038, -0.018, 9.648, -0.074, 0.066, 0.018, -0.012, -0.041, 9.635, 0.104, 0.046, 0.072, 0.041, -0.026, 9.625, -0.078, 0.092, 0.021, -0.004, -0.043, 9.643, 0.172, 0.082, 0.076, 0.039, -0.027, 9.609, -0.072, 0.078, 0.019, -0.009, -0.043, 9.704, 0.178, -0.028, 0.071, 0.037, -0.028, 9.599, -0.091, 0.028, 0.017, -0.011, -0.043, 9.634, 0.161, 0.098, 0.075, 0.038, -0.023, 9.592, -0.086, 0.093, 0.021, -0.01, -0.042]","[False, False, False, False]"
5,"[9.601, 0.148, 0.078, 0.073, 0.042, -0.022, 9.664, -0.087, 0.12, 0.021, -0.011, -0.045, 9.782, 0.168, 0.017, 0.071, 0.043, -0.026, 9.622, -0.068, 0.083, 0.022, -0.006, -0.046, 9.7, 0.181, 0.068, 0.074, 0.041, -0.023, 9.638, -0.123, 0.075, 0.021, -0.007, -0.041, 9.703, 0.156, 0.034, 0.07, 0.04, -0.021, 9.658, -0.099, 0.045, 0.02, -0.009, -0.042, 9.624, 0.092, 0.069, 0.072, 0.041, -0.02, 9.619, -0.074, 0.014, 0.021, -0.009, -0.041]","[False, False, False, False]"
6,"[9.648, 0.087, 0.061, 0.075, 0.039, -0.025, 9.559, -0.125, -0.017, 0.02, -0.008, -0.042, 9.641, 0.169, 0.212, 0.067, 0.036, -0.023, 9.563, -0.096, 0.025, 0.022, -0.008, -0.046, 9.657, 0.157, 0.069, 0.076, 0.039, -0.023, 9.608, -0.05, 0.168, 0.022, -0.01, -0.048, 9.645, 0.134, -0.028, 0.074, 0.039, -0.024, 9.59, -0.051, 0.106, 0.016, -0.01, -0.044, 9.645, 0.139, 0.016, 0.072, 0.038, -0.023, 9.662, -0.069, 0.052, 0.029, -0.007, -0.042]","[False, False, False, False]"
7,"[9.641, 0.156, 0.126, 0.077, 0.035, -0.028, 9.642, -0.041, 0.128, 0.023, -0.009, -0.044, 9.643, 0.117, 0.072, 0.071, 0.041, -0.025, 9.666, -0.114, 0.121, 0.015, -0.009, -0.048, 9.601, 0.147, 0.075, 0.071, 0.043, -0.017, 9.681, -0.069, 0.055, 0.021, -0.007, -0.044, 9.635, 0.138, 0.13, 0.078, 0.035, -0.026, 9.611, -0.068, 0.117, 0.025, -0.009, -0.046, 9.621, 0.139, 0.053, 0.077, 0.04, -0.026, 9.628, -0.064, 0.002, 0.021, -0.01, -0.044]","[False, False, False, False]"
8,"[9.62, 0.199, 0.089, 0.071, 0.039, -0.025, 9.736, 0.041, -0.082, 0.021, -0.013, -0.042, 9.61, 0.136, 0.048, 0.076, 0.04, -0.023, 9.613, -0.114, 0.085, 0.022, -0.01, -0.042, 9.601, 0.112, 0.139, 0.071, 0.039, -0.023, 9.625, -0.147, 0.084, 0.02, -0.009, -0.046, 9.621, 0.171, 0.087, 0.073, 0.04, -0.022, 9.651, -0.075, 0.162, 0.018, -0.008, -0.047, 9.663, 0.118, -0.005, 0.075, 0.044, -0.025, 9.641, -0.034, 0.022, 0.018, -0.008, -0.045]","[False, False, False, False]"
9,"[9.65, 0.162, 0.167, 0.072, 0.0, -0.02, 9.654, -0.08, 0.112, 0.019, -0.01, -0.045, 9.629, 0.187, 0.045, 0.072, 0.035, -0.024, 9.639, -0.059, 0.132, 0.021, -0.007, -0.045, 9.699, 0.118, 0.035, 0.072, 0.041, -0.024, 9.625, -0.071, 0.036, 0.023, -0.006, -0.042, 9.642, 0.3, 0.134, 0.073, 0.041, -0.023, 9.621, -0.106, 0.109, 0.024, -0.008, -0.044, 9.627, 0.179, -0.038, 0.071, 0.041, -0.027, 9.609, -0.092, 0.121, 0.021, -0.007, -0.042]","[False, False, False, False]"
