,features,labels
0,"[9.589, -0.204, -0.126, 0.05, 0.066, 0.096, 9.77, -0.02, -0.287, 0.021, 0.01, -0.058, 9.655, 0.156, 0.211, 0.077, 0.081, 0.053, 9.568, 0.043, -0.38, 0.028, 0.0, -0.066, 9.503, 0.273, -0.146, 0.085, 0.073, 0.013, 9.665, 0.075, -0.313, 0.027, -0.003, -0.06, 9.641, 0.012, 0.02, 0.084, 0.068, -0.028, 9.793, 0.141, -0.361, 0.027, -0.012, -0.054, 9.601, 0.139, 0.146, 0.081, 0.048, -0.058, 9.826, 0.083, -0.299, 0.019, -0.014, -0.049]","[False, False, False, False]"
1,"[9.734, 0.132, -0.012, 0.066, 0.045, -0.012, 9.709, 0.032, -0.443, 0.015, -0.007, -0.034, 9.697, 0.2, 0.019, 0.074, 0.042, -0.017, 9.632, 0.068, -0.227, 0.016, -0.005, -0.033, 9.64, 0.179, 0.041, 0.064, 0.042, -0.007, 9.793, 0.092, -0.517, 0.015, -0.008, -0.038, 9.672, 0.09, 0.036, 0.074, 0.049, -0.016, 9.745, 0.099, -0.421, 0.011, -0.005, -0.036, 9.775, 0.202, 0.016, 0.072, 0.043, -0.018, 9.725, 0.074, -0.397, 0.015, -0.004, -0.036]","[False, False, False, False]"
2,"[9.619, 0.1, 0.089, 0.071, 0.04, -0.017, 9.677, 0.022, -0.368, 0.014, -0.006, -0.034, 9.766, 0.124, 0.142, 0.068, 0.041, -0.017, 9.705, 0.073, -0.371, 0.013, -0.005, -0.035, 9.663, 0.156, -0.009, 0.071, 0.042, -0.014, 9.681, 0.135, -0.267, 0.015, -0.007, -0.035, 9.613, 0.148, 0.094, 0.066, 0.039, -0.009, 9.687, 0.045, -0.331, 0.014, -0.007, -0.039, 9.603, 0.178, 0.08, 0.069, 0.04, -0.018, 9.723, 0.101, -0.322, 0.01, -0.005, -0.037]","[False, False, False, False]"
3,"[9.583, 0.199, 0.164, 0.068, 0.042, -0.02, 9.686, 0.109, -0.368, 0.015, -0.004, -0.036, 9.634, 0.139, 0.027, 0.07, 0.043, -0.016, 9.794, 0.071, -0.407, 0.014, -0.007, -0.035, 9.676, 0.079, 0.069, 0.066, 0.04, -0.012, 9.662, 0.095, -0.444, 0.011, -0.004, -0.036, 9.726, 0.11, -0.028, 0.067, 0.042, -0.016, 9.682, 0.016, -0.233, 0.013, -0.005, -0.037, 9.645, 0.151, 0.062, 0.066, 0.043, -0.016, 9.669, 0.085, -0.394, 0.016, -0.006, -0.036]","[False, False, False, False]"
4,"[9.506, 0.238, 0.093, 0.067, 0.039, -0.019, 9.656, 0.023, -0.308, 0.017, -0.005, -0.038, 9.613, 0.181, 0.025, 0.066, 0.042, -0.02, 9.781, 0.082, -0.479, 0.015, -0.007, -0.037, 9.558, 0.209, 0.074, 0.067, 0.043, -0.013, 9.805, 0.126, -0.337, 0.013, -0.005, -0.041, 9.636, 0.179, 0.045, 0.068, 0.04, -0.014, 9.818, 0.083, -0.433, 0.01, -0.005, -0.038, 9.689, 0.187, 0.02, 0.07, 0.043, -0.016, 9.893, 0.132, -0.565, 0.013, -0.005, -0.038]","[False, False, False, False]"
5,"[9.631, 0.182, -0.017, 0.068, 0.041, -0.005, 9.78, 0.153, -0.489, 0.017, -0.007, -0.04, 9.509, 0.071, 0.048, 0.069, 0.043, -0.016, 9.663, 0.018, -0.267, 0.012, -0.004, -0.035, 9.61, 0.14, 0.012, 0.068, 0.04, -0.016, 9.704, 0.05, -0.41, 0.011, -0.004, -0.036, 9.76, 0.179, -0.174, 0.07, 0.044, -0.016, 9.784, 0.063, -0.242, 0.016, -0.007, -0.039, 9.602, 0.177, 0.062, 0.069, 0.044, -0.011, 9.789, 0.172, -0.549, 0.013, -0.007, -0.036]","[False, False, False, False]"
6,"[9.582, 0.391, 0.305, 0.067, 0.042, -0.015, 9.744, 0.016, -0.187, 0.017, -0.001, -0.037, 9.668, 0.005, 0.01, 0.067, 0.039, -0.004, 9.62, 0.148, -0.547, 0.015, -0.006, -0.035, 9.613, 0.038, -0.014, 0.071, 0.041, -0.015, 9.658, 0.189, -0.421, 0.013, -0.004, -0.033, 9.556, 0.123, 0.061, 0.072, 0.042, -0.014, 9.688, 0.062, -0.456, 0.016, -0.003, -0.039, 9.684, 0.163, 0.013, 0.068, 0.04, -0.014, 9.803, 0.065, -0.312, 0.016, -0.004, -0.042]","[False, False, False, False]"
7,"[9.655, 0.174, 0.118, 0.067, 0.042, -0.019, 9.674, 0.121, -0.369, 0.013, -0.007, -0.038, 9.69, 0.207, 0.096, 0.068, 0.041, -0.017, 9.745, 0.103, -0.371, 0.013, -0.003, -0.036, 9.723, 0.217, 0.124, 0.068, 0.038, -0.02, 9.659, 0.119, -0.272, 0.014, -0.007, -0.033, 9.702, 0.128, -0.085, 0.077, 0.039, -0.013, 9.803, 0.041, -0.347, 0.016, -0.003, -0.036, 9.603, 0.136, 0.044, 0.072, 0.041, -0.015, 9.77, 0.098, -0.34, 0.011, -0.003, -0.033]","[False, False, False, False]"
8,"[9.698, 0.186, -0.025, 0.076, 0.042, -0.008, 9.804, 0.09, -0.436, 0.014, -0.006, -0.037, 9.686, 0.135, 0.015, 0.069, 0.042, -0.016, 9.743, 0.05, -0.482, 0.016, -0.003, -0.038, 9.688, 0.194, 0.138, 0.072, 0.039, -0.017, 9.614, 0.072, -0.371, 0.008, -0.003, -0.04, 9.656, 0.114, 0.173, 0.061, 0.043, -0.019, 9.99, 0.178, -0.518, 0.017, -0.003, -0.037, 9.581, 0.297, 0.166, 0.056, 0.042, -0.019, 9.733, 0.171, -0.384, 0.006, -0.003, -0.038]","[True, True, True, True]"
9,"[9.885, 0.053, 0.094, 0.015, 0.066, -0.048, 9.886, 0.2, -0.438, -0.012, -0.006, -0.028, 9.813, 0.096, -0.136, -0.002, 0.031, -0.119, 9.539, 0.175, -0.263, -0.044, -0.006, 0.004, 10.341, -0.427, -0.098, -0.022, 0.061, -0.07, 8.681, -0.386, 0.259, -0.075, -0.005, 0.004, 9.401, 0.263, 0.517, 0.001, 0.055, -0.022, 9.791, 1.537, -2.289, 0.019, -0.009, -0.018, 12.107, -0.772, -0.814, -0.019, 0.074, -0.059, 8.306, 0.951, -1.036, -0.04, 0.005, -0.014]","[True, True, True, True]"
