,LP,LD1,LD2,RP,RD1,RD2
0,"[array([[-0.86458121, -0.50142804, -0.03269951, -0.16338512],
       [ 0.50106979, -0.86519936,  0.01895107,  0.11575839],
       [-0.03779419,  0.        ,  0.99928554,  0.08469759],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.31062576, -0.95045989,  0.01173139, -0.21936797],
       [ 0.94978278,  0.31084721,  0.0358704 ,  0.16116272],
       [-0.03774004, -0.        ,  0.99928759,  0.08359013],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.31062576, -0.95045989,  0.01173139, -0.21936797],
       [ 0.94978278,  0.31084721,  0.0358704 ,  0.16116272],
       [-0.03774004, -0.        ,  0.99928759,  0.08359013],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.57383675, -0.81885854,  0.01349319, -0.10710431],
       [ 0.81863226,  0.57399537,  0.0192493 ,  0.12952785],
       [-0.02350748,  0.        ,  0.99972366,  0.08515857],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.31457723, -0.94912904,  0.01397273, -0.07458097],
       [ 0.94819414, -0.3148874 , -0.04211641,  0.17498972],
       [ 0.04437374, -0.        ,  0.999015  ,  0.08244292],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.31457723, -0.94912904,  0.01397273, -0.07458097],
       [ 0.94819414, -0.3148874 , -0.04211641,  0.17498972],
       [ 0.04437374, -0.        ,  0.999015  ,  0.08244292],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
1,"[array([[-0.86477613, -0.50107324, -0.03298264, -0.16337872],
       [ 0.50070919, -0.86540488,  0.01909709,  0.11576713],
       [-0.03811238,  0.        ,  0.99927346,  0.08470372],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.31223046, -0.94989193,  0.01474681, -0.21941444],
       [ 0.94883422,  0.31257851,  0.04481396,  0.16119868],
       [-0.04717795, -0.        ,  0.9988865 ,  0.08389326],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.31223046, -0.94989193,  0.01474681, -0.21941444],
       [ 0.94883422,  0.31257851,  0.04481396,  0.16119868],
       [-0.04717795, -0.        ,  0.9988865 ,  0.08389326],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.5716688 , -0.82042357,  0.00999758, -0.10707064],
       [ 0.82029814,  0.57175621,  0.01434571,  0.12947066],
       [-0.01748574,  0.        ,  0.99984711,  0.08502768],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.31433497, -0.94920898,  0.01399396, -0.07459477],
       [ 0.94826973, -0.31464632, -0.04221627,  0.17498964],
       [ 0.04447521, -0.        ,  0.99901049,  0.08243969],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.31433497, -0.94920898,  0.01399396, -0.07459477],
       [ 0.94826973, -0.31464632, -0.04221627,  0.17498964],
       [ 0.04447521, -0.        ,  0.99901049,  0.08243969],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
2,"[array([[-0.86473424, -0.50106828, -0.03413611, -0.1632916 ],
       [ 0.50067832, -0.86540775,  0.01976469,  0.11580179],
       [-0.03944511,  0.        ,  0.99922174,  0.08471257],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.30649928, -0.95179994,  0.01162224, -0.21906978],
       [ 0.95111639,  0.30671955,  0.03606568,  0.16121174],
       [-0.03789208, -0.        ,  0.99928184,  0.08339997],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.30649928, -0.95179994,  0.01162224, -0.21906978],
       [ 0.95111639,  0.30671955,  0.03606568,  0.16121174],
       [-0.03789208, -0.        ,  0.99928184,  0.08339997],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.58013419, -0.81449035, -0.00705573, -0.10748361],
       [ 0.81443012,  0.5801771 , -0.0099053 ,  0.12948284],
       [ 0.01216135,  0.        ,  0.99992605,  0.08403159],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.31504636, -0.94900117,  0.01194007, -0.07456829],
       [ 0.94832035, -0.31527254, -0.03594078,  0.17501542],
       [ 0.03787222, -0.        ,  0.99928259,  0.08267066],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.31504636, -0.94900117,  0.01194007, -0.07456829],
       [ 0.94832035, -0.31527254, -0.03594078,  0.17501542],
       [ 0.03787222, -0.        ,  0.99928259,  0.08267066],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
3,"[array([[-0.86729215, -0.49665971, -0.03366674, -0.16325916],
       [ 0.49628594, -0.86794535,  0.01926494,  0.11593732],
       [-0.03878901,  0.        ,  0.99924742,  0.08475387],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.29297936, -0.95609958,  0.00605691, -0.21841519],
       [ 0.95589533,  0.29304196,  0.01976171,  0.16085022],
       [-0.02066909, -0.        ,  0.99978637,  0.08258328],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.29297936, -0.95609958,  0.00605691, -0.21841519],
       [ 0.95589533,  0.29304196,  0.01976171,  0.16085022],
       [-0.02066909, -0.        ,  0.99978637,  0.08258328],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.57885106, -0.8153588 ,  0.01102206, -0.10735857],
       [ 0.81521102,  0.57895599,  0.01552266,  0.12966451],
       [-0.01903782,  0.        ,  0.99981876,  0.08498845],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.31176212, -0.95004795,  0.01460396, -0.07469012],
       [ 0.94900732, -0.31210398, -0.04445461,  0.17503614],
       [ 0.04679196, -0.        ,  0.99890466,  0.08238802],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.31176212, -0.95004795,  0.01460396, -0.07469012],
       [ 0.94900732, -0.31210398, -0.04445461,  0.17503614],
       [ 0.04679196, -0.        ,  0.99890466,  0.08238802],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
4,"[array([[-0.86676806, -0.49774572, -0.03102139, -0.16320925],
       [ 0.49742724, -0.86732301,  0.01780278,  0.11587283],
       [-0.03576682,  0.        ,  0.99936016,  0.08461818],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.29191815, -0.95642128,  0.00649022, -0.21840689],
       [ 0.95618499,  0.29199029,  0.02125888,  0.16086727],
       [-0.02222753, -0.        ,  0.99975294,  0.08255884],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.29191815, -0.95642128,  0.00649022, -0.21840689],
       [ 0.95618499,  0.29199029,  0.02125888,  0.16086727],
       [-0.02222753, -0.        ,  0.99975294,  0.08255884],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.57720091, -0.81657698,  0.00641438, -0.10736042],
       [ 0.81652656,  0.57723655,  0.00907399,  0.12964578],
       [-0.01111223,  0.        ,  0.99993826,  0.08479891],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.31459513, -0.94912967,  0.01351916, -0.07463541],
       [ 0.94825451, -0.31488548, -0.04074953,  0.17505083],
       [ 0.04293357, -0.        ,  0.99907793,  0.08246771],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.31459513, -0.94912967,  0.01351916, -0.07463541],
       [ 0.94825451, -0.31488548, -0.04074953,  0.17505083],
       [ 0.04293357, -0.        ,  0.99907793,  0.08246771],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
5,"[array([[-0.86832354, -0.4953656 , -0.02504299, -0.16302034],
       [ 0.49515971, -0.8686846 ,  0.01428072,  0.11585214],
       [-0.02882864,  0.        ,  0.99958437,  0.08436076],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.29139648, -0.95658081,  0.00642187, -0.21843102],
       [ 0.9563486 ,  0.29146724,  0.02107626,  0.16082172],
       [-0.02203291, -0.        ,  0.99975725,  0.08255165],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.29139648, -0.95658081,  0.00642187, -0.21843102],
       [ 0.9563486 ,  0.29146724,  0.02107626,  0.16082172],
       [-0.02203291, -0.        ,  0.99975725,  0.08255165],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.57806421, -0.81596112,  0.00701543, -0.10737229],
       [ 0.81590104,  0.57810678,  0.00990183,  0.12964851],
       [-0.01213518,  0.        ,  0.99992637,  0.08483583],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.32187574, -0.94671561,  0.01120503, -0.07425669],
       [ 0.9461425 , -0.32207072, -0.03293678,  0.1750762 ],
       [ 0.03479057, -0.        ,  0.99939462,  0.08295566],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.32187574, -0.94671561,  0.01120503, -0.07425669],
       [ 0.9461425 , -0.32207072, -0.03293678,  0.1750762 ],
       [ 0.03479057, -0.        ,  0.99939462,  0.08295566],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
6,"[array([[-0.86948398, -0.49325301, -0.02644015, -0.16316731],
       [ 0.49302511, -0.86988589,  0.01499241,  0.11564829],
       [-0.03039496,  0.        ,  0.99953797,  0.08477285],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.28584819, -0.95827234,  0.00222198, -0.2186672 ],
       [ 0.95824339,  0.28585683,  0.00744871,  0.16027222],
       [-0.00777306, -0.        ,  0.99996979,  0.08325018],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.28584819, -0.95827234,  0.00222198, -0.2186672 ],
       [ 0.95824339,  0.28585683,  0.00744871,  0.16027222],
       [-0.00777306, -0.        ,  0.99996979,  0.08325018],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.58158174, -0.8133635 ,  0.01423007, -0.10672303],
       [ 0.81312014,  0.5817558 ,  0.01989532,  0.12939719],
       [-0.02446055,  0.        ,  0.9997008 ,  0.08560892],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.32687321, -0.94492556,  0.01641931, -0.07329916],
       [ 0.94373569, -0.32728533, -0.04740521,  0.17407203],
       [ 0.05016819, -0.        ,  0.99874078,  0.08357565],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.32687321, -0.94492556,  0.01641931, -0.07329916],
       [ 0.94373569, -0.32728533, -0.04740521,  0.17407203],
       [ 0.05016819, -0.        ,  0.99874078,  0.08357565],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
7,"[array([[-0.87872791, -0.47693025, -0.01935963, -0.16289758],
       [ 0.47681455, -0.87894114,  0.0105049 ,  0.1153804 ],
       [-0.02202608,  0.        ,  0.9997574 ,  0.08479838],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.29556083, -0.95532263, -0.00157054, -0.21934579],
       [ 0.95530914,  0.295565  , -0.00507628,  0.15918221],
       [ 0.00531368, -0.        ,  0.99998588,  0.08380903],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.29556083, -0.95532263, -0.00157054, -0.21934579],
       [ 0.95530914,  0.295565  , -0.00507628,  0.15918221],
       [ 0.00531368, -0.        ,  0.99998588,  0.08380903],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.59849681, -0.80111891,  0.00317128, -0.10735626],
       [ 0.80110766,  0.59850521,  0.00424486,  0.12965392],
       [-0.00529866,  0.        ,  0.99998596,  0.08494069],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.31565436, -0.9486682 ,  0.01977284, -0.07357138],
       [ 0.94681244, -0.31627305, -0.05930907,  0.17395261],
       [ 0.06251824, -0.        ,  0.99804382,  0.08315992],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.31565436, -0.9486682 ,  0.01977284, -0.07357138],
       [ 0.94681244, -0.31627305, -0.05930907,  0.17395261],
       [ 0.06251824, -0.        ,  0.99804382,  0.08315992],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
8,"[array([[-0.88028818, -0.47423788, -0.01382557, -0.16278   ],
       [ 0.4741794 , -0.88039675,  0.00744733,  0.11517987],
       [-0.01570379,  0.        ,  0.99987669,  0.08500276],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.29477129, -0.95555308, -0.0053095 , -0.21929772],
       [ 0.95539811,  0.29481911, -0.01720888,  0.15876603],
       [ 0.01800934, -0.        ,  0.99983782,  0.0846133 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.29477129, -0.95555308, -0.0053095 , -0.21929772],
       [ 0.95539811,  0.29481911, -0.01720888,  0.15876603],
       [ 0.01800934, -0.        ,  0.99983782,  0.0846133 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 6.01566253e-01, -7.98822888e-01, -1.90104000e-04,
        -1.07382637e-01],
       [ 7.98822849e-01,  6.01566283e-01, -2.52440057e-04,
         1.29717269e-01],
       [ 3.16015052e-04,  0.00000000e+00,  9.99999950e-01,
         8.48199213e-02],
       [ 0.00000000e+00,  0.00000000e+00,  0.00000000e+00,
         1.00000000e+00]])]","[array([[-0.31685711, -0.94827976,  0.0191592 , -0.07350879],
       [ 0.94655095, -0.31743583, -0.0572345 ,  0.17391494],
       [ 0.06035613, -0.        ,  0.99817691,  0.08322368],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.31685711, -0.94827976,  0.0191592 , -0.07350879],
       [ 0.94655095, -0.31743583, -0.0572345 ,  0.17391494],
       [ 0.06035613, -0.        ,  0.99817691,  0.08322368],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
9,"[array([[-0.89311923, -0.44917255, -0.02412599, -0.16253247],
       [ 0.44900875, -0.89344503,  0.01212915,  0.11493427],
       [-0.02700332,  0.        ,  0.99963534,  0.08544687],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.29819368, -0.95449426, -0.00460809, -0.22007878],
       [ 0.95438031,  0.29822928, -0.01474836,  0.15702374],
       [ 0.01545149, -0.        ,  0.99988062,  0.08475264],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.29819368, -0.95449426, -0.00460809, -0.22007878],
       [ 0.95438031,  0.29822928, -0.01474836,  0.15702374],
       [ 0.01545149, -0.        ,  0.99988062,  0.08475264],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 5.88586004e-01, -8.08434605e-01,  7.45820210e-05,
        -1.07244184e-01],
       [ 8.08434598e-01,  5.88586009e-01,  1.02439891e-04,
         1.29396766e-01],
       [-1.26713887e-04,  0.00000000e+00,  9.99999992e-01,
         8.48668384e-02],
       [ 0.00000000e+00,  0.00000000e+00,  0.00000000e+00,
         1.00000000e+00]])]","[array([[-0.33050197, -0.94362566,  0.01841386, -0.07366389],
       [ 0.94216448, -0.33101453, -0.05249252,  0.17403872],
       [ 0.05562855, -0.        ,  0.99845153,  0.08338501],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.33050197, -0.94362566,  0.01841386, -0.07366389],
       [ 0.94216448, -0.33101453, -0.05249252,  0.17403872],
       [ 0.05562855, -0.        ,  0.99845153,  0.08338501],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
