,transforms
0,"[array([[ 9.93614191e-01,  1.12895631e-01,  1.72696878e-03,
        -1.32295500e-01],
       [-1.12827985e-01,  9.93574469e-01,  7.87732712e-03,
         1.76314500e-01],
       [-8.27184642e-04, -8.02193919e-03,  9.99967482e-01,
         9.35295000e-02],
       [ 0.00000000e+00,  0.00000000e+00,  0.00000000e+00,
         1.00000000e+00]])]"
1,"[array([[ 0.99423078,  0.10453286, -0.00962614, -0.1323115 ],
       [-0.10669372,  0.99444213,  0.01363913,  0.1761855 ],
       [ 0.01102735, -0.01255883,  0.99986065,  0.0931405 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
2,"[array([[ 0.99384237,  0.11841685, -0.0102417 , -0.1320795 ],
       [-0.11022615,  0.99292478,  0.01010526,  0.176502  ],
       [ 0.01129366, -0.00882189,  0.99989649,  0.093178  ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
3,"[array([[ 0.99427709,  0.10477088, -0.01473094, -0.1321475 ],
       [-0.10589666,  0.99447423, -0.00512301,  0.176588  ],
       [ 0.01410585,  0.00663889,  0.99987837,  0.0945835 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
4,"[array([[ 0.99415546,  0.08119918, -0.06671505, -0.1353545 ],
       [-0.08620297,  0.99644012, -0.01725704,  0.1756915 ],
       [ 0.06499202,  0.02266669,  0.99762282,  0.1001205 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
5,"[array([[ 0.99458041,  0.08937358, -0.04998029, -0.134813  ],
       [-0.09252867,  0.99554636, -0.02559668,  0.1742925 ],
       [ 0.0474158 ,  0.02999693,  0.99842215,  0.114022  ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
6,"[array([[ 0.99492241,  0.08587627, -0.05051112, -0.136119  ],
       [-0.08929318,  0.99513989, -0.04395356,  0.172296  ],
       [ 0.0464341 ,  0.04818579,  0.99775584,  0.1316345 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
7,"[array([[ 0.99361135,  0.08803656, -0.06738455, -0.1378165 ],
       [-0.094567  ,  0.99398304, -0.05933261,  0.170671  ],
       [ 0.0615919 ,  0.06517112,  0.99596133,  0.145904  ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
8,"[array([[ 0.99186373,  0.08846677, -0.09115698, -0.1399695 ],
       [-0.09296923,  0.99482751, -0.04181881,  0.1718605 ],
       [ 0.08696591,  0.04991856,  0.99495809,  0.167219  ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
9,"[array([[ 0.99342451,  0.07021428, -0.09204563, -0.134269  ],
       [-0.07305865,  0.99582224, -0.0518053 ,  0.171992  ],
       [ 0.08814864,  0.05837834,  0.99440626,  0.22004   ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
10,"[array([[ 0.98638776,  0.13890435, -0.08842704, -0.0839445 ],
       [-0.14512248,  0.98677326, -0.07169307,  0.1762915 ],
       [ 0.07732172,  0.08357098,  0.99349925,  0.234945  ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
11,"[array([[ 0.93818793,  0.29607887, -0.18728998,  0.090796  ],
       [-0.3081597 ,  0.94716853, -0.06903799,  0.150547  ],
       [ 0.15761029,  0.12332506,  0.97987561,  0.2311935 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
12,"[array([[ 0.92787143,  0.25711428, -0.26057844,  0.209041  ],
       [-0.27918696,  0.96301325, -0.01123552,  0.098951  ],
       [ 0.24720284,  0.08060847,  0.9653873 ,  0.166195  ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
13,"[array([[ 0.9244329 ,  0.30454858, -0.24036975,  0.2436525 ],
       [-0.29880366,  0.95117497,  0.02578814,  0.079376  ],
       [ 0.2369392 ,  0.05016313,  0.97033878,  0.111372  ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
