,transforms
0,"[array([[ 0.08361338, -0.995776  ,  0.06471655, -0.065382  ],
       [ 0.99630174,  0.06619119,  0.0143884 ,  0.164805  ],
       [-0.0197899 ,  0.06363079,  0.99779995,  0.0977905 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
1,"[array([[ 0.08405505, -0.99566607,  0.06608951, -0.065401  ],
       [ 0.99623282,  0.06660968,  0.01578366,  0.164784  ],
       [-0.02132865,  0.06490174,  0.99768886,  0.097776  ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
2,"[array([[ 0.08344306, -0.99578636,  0.06458652, -0.0653795 ],
       [ 0.99631687,  0.06615817,  0.0143677 ,  0.1648025 ],
       [-0.01974735,  0.06350299,  0.99780867,  0.0977885 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
3,"[array([[ 0.0837703 , -0.99566571,  0.06598145, -0.0653965 ],
       [ 0.99625766,  0.06672133,  0.01577168,  0.164787  ],
       [-0.02128899,  0.06479242,  0.9976962 ,  0.0977715 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
4,"[array([[ 0.08331091, -0.99577806,  0.06457299, -0.0653775 ],
       [ 0.99632795,  0.06629883,  0.0143758 ,  0.164806  ],
       [-0.01974591,  0.06348634,  0.99780943,  0.0977905 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
5,"[array([[ 0.08386025, -0.99567699,  0.06603588, -0.065398  ],
       [ 0.99624464,  0.0665113 ,  0.01601503,  0.1647875 ],
       [-0.02154247,  0.06483507,  0.99768872,  0.097776  ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
6,"[array([[ 0.0834467 , -0.99573305,  0.0649549 , -0.0653815 ],
       [ 0.99632088,  0.06659713,  0.01411677,  0.1647985 ],
       [-0.01952829,  0.06387888,  0.99778834,  0.0977875 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
7,"[array([[ 0.08436408, -0.99561329,  0.06636464, -0.065406  ],
       [ 0.99621771,  0.06710187,  0.01521833,  0.1647765 ],
       [-0.02080785,  0.06520365,  0.99767938,  0.0977685 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
8,"[array([[ 0.08327596, -0.99578262,  0.06465612, -0.06538   ],
       [ 0.99632834,  0.06615582,  0.01449888,  0.1648015 ],
       [-0.01987363,  0.06356396,  0.99780227,  0.0977885 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
9,"[array([[ 0.08384644, -0.99567052,  0.06593635, -0.065395  ],
       [ 0.99624859,  0.06670063,  0.01589475,  0.1647845 ],
       [-0.02141296,  0.06473977,  0.99769723,  0.0977735 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
10,"[array([[ 0.08356802, -0.9957749 ,  0.06468355, -0.06538   ],
       [ 0.99630389,  0.06624593,  0.01447747,  0.164804  ],
       [-0.01987314,  0.06359103,  0.9978008 ,  0.097788  ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
11,"[array([[ 0.08426355, -0.99561657,  0.06639584, -0.065402  ],
       [ 0.99622345,  0.0670303 ,  0.01535455,  0.1647795 ],
       [-0.02094   ,  0.06522721,  0.99767521,  0.097768  ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
12,"[array([[ 0.08353336, -0.99578244,  0.06468536, -0.0653735 ],
       [ 0.9963076 ,  0.0661263 ,  0.01443919,  0.164802  ],
       [-0.01983287,  0.06359757,  0.99780124,  0.097783  ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
13,"[array([[ 0.08416618, -0.99566163,  0.06596076, -0.065402  ],
       [ 0.99622531,  0.06679915,  0.01569966,  0.164782  ],
       [-0.02124094,  0.06477494,  0.9976987 ,  0.097765  ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
14,"[array([[ 0.08370047, -0.99576455,  0.06470533, -0.065374  ],
       [ 0.99629608,  0.06637166,  0.01430037,  0.164803  ],
       [-0.01970659,  0.06362198,  0.99780194,  0.0977765 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
