,time
0,0.908334
1,1.116667
2,1.3250000000000002
3,1.533334
4,1.741667
5,1.9500000000000002
6,2.1583340000000004
7,2.366667
8,2.5749999999999997
9,2.7833340000000004
10,2.991667
11,3.1999999999999997
12,3.4083340000000004
13,3.616667
14,3.8249999999999997
15,4.033334
16,4.241667
17,4.449999999999999
18,4.658334
19,4.866667
20,5.074999999999999
21,5.283334
22,5.491667
23,5.699999999999999
24,5.908334
25,6.116667
26,6.324999999999999
27,6.533334
28,6.741667
29,6.949999999999999
30,7.158334
31,7.366667
32,7.574999999999999
33,7.783334
34,7.991667
35,8.2
36,8.408334
37,8.616667
38,8.825
39,9.033334
40,9.241667
41,9.45
42,9.658334
43,9.866667
44,10.075
45,10.283334
46,10.491667
47,10.7
48,10.908334
49,11.116667
50,11.325
51,11.533334
52,11.741667
53,11.95
54,12.158334
55,12.366667
56,12.575
57,12.783334
58,12.991667
59,13.2
60,13.408334
61,13.616667
62,13.825
63,14.033334
64,14.241667
65,14.45
66,14.658334
67,14.866667
68,15.075
69,15.283334
70,15.491667
71,15.7
72,15.908334
73,16.116667
74,16.325
75,16.533334
76,16.741667
77,16.95
78,17.158334
79,17.366667
80,17.575
81,17.783334
82,17.991667
83,18.2
84,18.408334
85,18.616667
86,18.825
87,19.033334
88,19.241667
89,19.45
90,19.658334
91,19.866667
92,20.075
93,20.283334
94,20.491667
95,20.7
96,20.908334
97,21.116667
98,21.325
99,21.533334
100,21.741667
101,21.95
102,22.158334
103,22.366667
104,22.575
105,22.783334
106,22.991667
107,23.2
108,23.408334
109,23.616667
110,23.825
111,24.033334
112,24.241667
113,24.45
114,24.658334
115,24.866667
116,25.075
117,25.283334
118,25.491667
119,25.7
120,25.908334
121,26.116667
122,26.325
123,26.533334
124,26.741667
125,26.95
126,27.158334
127,27.366667
128,27.575
129,27.783334
130,27.991667
131,28.2
132,28.408334
133,28.616667
134,28.825
135,29.033334
136,29.241667
137,29.45
138,29.658334
139,29.866667
140,30.075000000000003
141,30.283333999999996
142,30.491667
143,30.700000000000003
144,30.908333999999996
145,31.116667
146,31.325000000000003
147,31.533333999999996
148,31.741667
149,31.950000000000003
150,32.158333999999996
151,32.366667
152,32.575
153,32.783333999999996
154,32.991667
155,33.2
156,33.408333999999996
157,33.616667
158,33.825
159,34.033333999999996
160,34.241667
161,34.45
162,34.658333999999996
163,34.866667
164,35.075
165,35.283333999999996
166,35.491667
167,35.7
168,35.908333999999996
169,36.116667
170,36.325
171,36.533333999999996
172,36.741667
173,36.95
174,37.158333999999996
175,37.366667
176,37.575
177,37.783333999999996
178,37.991667
179,38.2
180,38.408333999999996
181,38.616667
182,38.825
183,39.033333999999996
184,39.241667
185,39.45
186,39.658333999999996
187,39.866667
188,40.075
189,40.283333999999996
190,40.491667
191,40.7
192,40.908333999999996
193,41.116667
194,41.325
195,41.533333999999996
196,41.741667
197,41.95
198,42.158333999999996
199,42.366667
200,42.575
201,42.783333999999996
202,42.991667
203,43.2
204,43.408333999999996
205,43.616667
206,43.825
207,44.033333999999996
208,44.241667
209,44.45
210,44.658333999999996
211,44.866667
212,45.075
213,45.283333999999996
214,45.491667
215,45.7
216,45.908333999999996
217,46.116667
218,46.325
219,46.533333999999996
220,46.741667
221,46.95
222,47.158333999999996
223,47.366667
224,47.575
225,47.783333999999996
226,47.991667
227,48.2
228,48.408333999999996
229,48.616667
230,48.825
231,49.033333999999996
232,49.241667
233,49.45
234,49.658333999999996
235,49.866667
236,50.075
237,50.283333999999996
238,50.491667
239,50.7
240,50.908333999999996
241,51.116667
242,51.325
243,51.533333999999996
244,51.741667
245,51.95
246,52.158333999999996
247,52.366667
248,52.575
249,52.783333999999996
250,52.991667
251,53.2
252,53.408333999999996
253,53.616667
254,53.825
255,54.033333999999996
256,54.241667
257,54.45
258,54.658333999999996
259,54.866667
260,55.075
261,55.283333999999996
262,55.491667
263,55.7
264,55.908333999999996
265,56.116667
266,56.325
267,56.533333999999996
268,56.741667
269,56.95
270,57.158333999999996
271,57.366667
272,57.575
273,57.783333999999996
274,57.991667
275,58.2
276,58.408333999999996
277,58.616667
278,58.825
279,59.033333999999996
