,LP,LD1,LD2,RP,RD1,RD2
0,"[array([[-0.29460076, -0.9554669 , -0.01712883, -0.11562838],
       [ 0.95385598, -0.2950983 ,  0.05545958,  0.08004088],
       [-0.05804448,  0.        ,  0.998314  ,  0.0849662 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.74077634, -0.67072083,  0.03720193, -0.12811993],
       [ 0.66987663,  0.74170989,  0.03364134,  0.15141362],
       [-0.05015699, -0.        ,  0.99874135,  0.08309399],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.74077634, -0.67072083,  0.03720193, -0.12811993],
       [ 0.66987663,  0.74170989,  0.03364134,  0.15141362],
       [-0.05015699, -0.        ,  0.99874135,  0.08309399],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.63003747, -0.77655186,  0.0044707 , -0.05577674],
       [ 0.77653231,  0.63005333,  0.00551021,  0.0902614 ],
       [-0.00709574,  0.        ,  0.99997482,  0.08500594],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.29624808, -0.95510755,  0.00257657, -0.02022204],
       [ 0.95507143, -0.29625929, -0.00830658,  0.13294816],
       [ 0.00869701, -0.        ,  0.99996218,  0.08267744],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.29624808, -0.95510755,  0.00257657, -0.02022204],
       [ 0.95507143, -0.29625929, -0.00830658,  0.13294816],
       [ 0.00869701, -0.        ,  0.99996218,  0.08267744],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
1,"[array([[-0.29471393, -0.95543156, -0.01715324, -0.11562544],
       [ 0.95381736, -0.29521269,  0.05551504,  0.08003745],
       [-0.05810468,  0.        ,  0.9983105 ,  0.08496554],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.74078038, -0.67071823,  0.03716818, -0.12812005],
       [ 0.66987557,  0.74171224,  0.03361058,  0.15141466],
       [-0.05011132, -0.        ,  0.99874364,  0.08308954],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.74078038, -0.67071823,  0.03716818, -0.12812005],
       [ 0.66987557,  0.74171224,  0.03361058,  0.15141466],
       [-0.05011132, -0.        ,  0.99874364,  0.08308954],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.63002955, -0.77655782,  0.00455234, -0.05578061],
       [ 0.77653755,  0.630046  ,  0.00561095,  0.09025922],
       [-0.00722541,  0.        ,  0.9999739 ,  0.08500985],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.29614275, -0.95514022,  0.00257561, -0.02023084],
       [ 0.9551041 , -0.29615395, -0.00830671,  0.13294557],
       [ 0.00869685, -0.        ,  0.99996218,  0.08267344],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.29614275, -0.95514022,  0.00257561, -0.02023084],
       [ 0.9551041 , -0.29615395, -0.00830671,  0.13294557],
       [ 0.00869685, -0.        ,  0.99996218,  0.08267344],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
2,"[array([[-0.29494444, -0.95536213, -0.0170579 , -0.11561449],
       [ 0.95376838, -0.2954373 ,  0.05516051,  0.08003799],
       [-0.0577378 ,  0.        ,  0.99833178,  0.08495733],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.74078038, -0.67071823,  0.03716818, -0.12812105],
       [ 0.66987557,  0.74171224,  0.03361058,  0.15141166],
       [-0.05011132, -0.        ,  0.99874364,  0.08309054],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.74078038, -0.67071823,  0.03716818, -0.12812105],
       [ 0.66987557,  0.74171224,  0.03361058,  0.15141166],
       [-0.05011132, -0.        ,  0.99874364,  0.08309054],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.63013862, -0.77646907,  0.00459364, -0.05577827],
       [ 0.77644844,  0.63015536,  0.00566022,  0.09026318],
       [-0.00728969,  0.        ,  0.99997343,  0.08501129],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.29609395, -0.95515535,  0.00257563, -0.0202306 ],
       [ 0.95511921, -0.29610516, -0.00830828,  0.13294376],
       [ 0.00869835, -0.        ,  0.99996217,  0.08267539],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.29609395, -0.95515535,  0.00257563, -0.0202306 ],
       [ 0.95511921, -0.29610516, -0.00830828,  0.13294376],
       [ 0.00869835, -0.        ,  0.99996217,  0.08267539],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
3,"[array([[-0.29460503, -0.9554669 , -0.01705524, -0.11562228],
       [ 0.9538698 , -0.2950983 ,  0.05522133,  0.08003957],
       [-0.05779513,  0.        ,  0.99832846,  0.08495561],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.74090042, -0.6705851 ,  0.03717777, -0.12811727],
       [ 0.66974244,  0.74183261,  0.03360712,  0.15142144],
       [-0.05011611, -0.        ,  0.9987434 ,  0.08308669],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.74090042, -0.6705851 ,  0.03717777, -0.12811727],
       [ 0.66974244,  0.74183261,  0.03360712,  0.15142144],
       [-0.05011611, -0.        ,  0.9987434 ,  0.08308669],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.63015552, -0.77645535,  0.00459482, -0.05577752],
       [ 0.77643471,  0.63017227,  0.00566143,  0.09026764],
       [-0.00729138,  0.        ,  0.99997342,  0.08500933],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.29645901, -0.95504218,  0.00254886, -0.02020943],
       [ 0.95500688, -0.29646997, -0.00821084,  0.13294832],
       [ 0.00859736, -0.        ,  0.99996304,  0.0826796 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.29645901, -0.95504218,  0.00254886, -0.02020943],
       [ 0.95500688, -0.29646997, -0.00821084,  0.13294832],
       [ 0.00859736, -0.        ,  0.99996304,  0.0826796 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
4,"[array([[-0.29357776, -0.95578307, -0.01705324, -0.11562689],
       [ 0.95417465, -0.29407264,  0.05542576,  0.08005341],
       [-0.0579899 ,  0.        ,  0.99831717,  0.08496497],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.74163947, -0.66975757,  0.0373591 , -0.12803904],
       [ 0.66890942,  0.74257983,  0.03369542,  0.15144729],
       [-0.05030987, -0.        ,  0.99873366,  0.08311585],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.74163947, -0.66975757,  0.0373591 , -0.12803904],
       [ 0.66890942,  0.74257983,  0.03369542,  0.15144729],
       [-0.05030987, -0.        ,  0.99873366,  0.08311585],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.62560271, -0.78002979,  0.0132201 , -0.05574627],
       [ 0.77985569,  0.62574238,  0.01647973,  0.0901777 ],
       [-0.02112706,  0.        ,  0.9997768 ,  0.08533025],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.29716036, -0.95482433,  0.00249464, -0.02030613],
       [ 0.95479068, -0.29717083, -0.00801541,  0.13299356],
       [ 0.00839464, -0.        ,  0.99996476,  0.08270205],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.29716036, -0.95482433,  0.00249464, -0.02030613],
       [ 0.95479068, -0.29717083, -0.00801541,  0.13299356],
       [ 0.00839464, -0.        ,  0.99996476,  0.08270205],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
5,"[array([[-0.2998617 , -0.95383596, -0.01673075, -0.11565898],
       [ 0.95235474, -0.30032808,  0.05313653,  0.07994802],
       [-0.05570825,  0.        ,  0.99844709,  0.08494086],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.73641352, -0.67558156,  0.03584263, -0.12852707],
       [ 0.67478277,  0.73728526,  0.03284295,  0.15123369],
       [-0.04861434, -0.        ,  0.99881762,  0.08323594],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.73641352, -0.67558156,  0.03584263, -0.12852707],
       [ 0.67478277,  0.73728526,  0.03284295,  0.15123369],
       [-0.04861434, -0.        ,  0.99881762,  0.08323594],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.61313457, -0.78985268,  0.01409783, -0.05593616],
       [ 0.78964397,  0.61329662,  0.01815632,  0.09014698],
       [-0.02298697,  0.        ,  0.99973576,  0.08528491],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.3090472 , -0.9510359 ,  0.00453244, -0.02130804],
       [ 0.95093364, -0.30908043, -0.01394626,  0.13350545],
       [ 0.01466428, -0.        ,  0.99989247,  0.08203468],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.3090472 , -0.9510359 ,  0.00453244, -0.02130804],
       [ 0.95093364, -0.30908043, -0.01394626,  0.13350545],
       [ 0.01466428, -0.        ,  0.99989247,  0.08203468],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
6,"[array([[-0.30066642, -0.95357983, -0.01688852, -0.11566704],
       [ 0.95207906, -0.30114036,  0.05347855,  0.07994996],
       [-0.05608188,  0.        ,  0.99842617,  0.08493223],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.73620857, -0.67616419,  0.02826532, -0.12855117],
       [ 0.6756664 ,  0.73675096,  0.02594092,  0.15127719],
       [-0.03836482, -0.        ,  0.9992638 ,  0.082678  ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.73620857, -0.67616419,  0.02826532, -0.12855117],
       [ 0.6756664 ,  0.73675096,  0.02594092,  0.15127719],
       [-0.03836482, -0.        ,  0.9992638 ,  0.082678  ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.60995598, -0.79224498,  0.01736661, -0.05586319],
       [ 0.79192406,  0.61020316,  0.02254758,  0.09009945],
       [-0.02846037,  0.        ,  0.99959492,  0.08529051],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.30907595, -0.9510216 ,  0.00547413, -0.02135593],
       [ 0.95087247, -0.30912443, -0.01684118,  0.13363779],
       [ 0.01770852, -0.        ,  0.99984319,  0.08167887],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.30907595, -0.9510216 ,  0.00547413, -0.02135593],
       [ 0.95087247, -0.30912443, -0.01684118,  0.13363779],
       [ 0.01770852, -0.        ,  0.99984319,  0.08167887],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
7,"[array([[-0.32101329, -0.94689455, -0.01847094, -0.11576023],
       [ 0.94533095, -0.32154425,  0.05439387,  0.07969202],
       [-0.05744448,  0.        ,  0.9983487 ,  0.08501376],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.72290764, -0.69042865,  0.02669874, -0.13027939],
       [ 0.68995825,  0.7234005 ,  0.02548184,  0.15081063],
       [-0.03690727, -0.        ,  0.99931869,  0.08276765],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.72290764, -0.69042865,  0.02669874, -0.13027939],
       [ 0.68995825,  0.7234005 ,  0.02548184,  0.15081063],
       [-0.03690727, -0.        ,  0.99931869,  0.08276765],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.58633125, -0.80979193,  0.0212767 , -0.05600372],
       [ 0.80925928,  0.58671717,  0.02936628,  0.08990471],
       [-0.03626398,  0.        ,  0.99934225,  0.08528131],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.32537799, -0.94556199,  0.00645701, -0.02274646],
       [ 0.94537586, -0.32544205, -0.01876064,  0.13458922],
       [ 0.01984073, -0.        ,  0.99980315,  0.08120706],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.32537799, -0.94556199,  0.00645701, -0.02274646],
       [ 0.94537586, -0.32544205, -0.01876064,  0.13458922],
       [ 0.01984073, -0.        ,  0.99980315,  0.08120706],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
8,"[array([[-0.37356703, -0.92737979, -0.02035671, -0.11576904],
       [ 0.92600594, -0.37412127,  0.05046066,  0.07898384],
       [-0.05441207,  0.        ,  0.99851857,  0.08508483],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.68924984, -0.72386351,  0.03092356, -0.13417053],
       [ 0.72313607,  0.6899432 ,  0.03244389,  0.14909402],
       [-0.04482045, -0.        ,  0.99899506,  0.08361829],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.68924984, -0.72386351,  0.03092356, -0.13417053],
       [ 0.72313607,  0.6899432 ,  0.03244389,  0.14909402],
       [-0.04482045, -0.        ,  0.99899506,  0.08361829],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.51715278, -0.85579923,  0.01267569, -0.05663544],
       [ 0.85554228,  0.5173081 ,  0.0209698 ,  0.08919196],
       [-0.02450318,  0.        ,  0.99969975,  0.08493587],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.33575451, -0.94192571,  0.00669856, -0.02720848],
       [ 0.9417383 , -0.33582133, -0.0187884 ,  0.13743418],
       [ 0.0199468 , -0.        ,  0.99980104,  0.08106469],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.33575451, -0.94192571,  0.00669856, -0.02720848],
       [ 0.9417383 , -0.33582133, -0.0187884 ,  0.13743418],
       [ 0.0199468 , -0.        ,  0.99980104,  0.08106469],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
9,"[array([[-0.42205986, -0.90627909, -0.02288418, -0.11563278],
       [ 0.90494986, -0.4226798 ,  0.04906658,  0.07848114],
       [-0.0541407 ,  0.        ,  0.99853332,  0.08513475],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.67315956, -0.73888224,  0.03015363, -0.13749144],
       [ 0.73814206,  0.67383458,  0.03306447,  0.14756334],
       [-0.04474931, -0.        ,  0.99899825,  0.08373603],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.67315956, -0.73888224,  0.03015363, -0.13749144],
       [ 0.73814206,  0.67383458,  0.03306447,  0.14756334],
       [-0.04474931, -0.        ,  0.99899825,  0.08373603],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.46387432, -0.8857764 ,  0.0148591 , -0.05705605],
       [ 0.8853223 ,  0.46411224,  0.02835916,  0.08862878],
       [-0.03201617,  0.        ,  0.99948735,  0.08508216],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.35377024, -0.93532421,  0.003903  , -0.03032181],
       [ 0.93526729, -0.35379177, -0.01031842,  0.13914586],
       [ 0.01103192, -0.        ,  0.99993915,  0.08147918],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.35377024, -0.93532421,  0.003903  , -0.03032181],
       [ 0.93526729, -0.35379177, -0.01031842,  0.13914586],
       [ 0.01103192, -0.        ,  0.99993915,  0.08147918],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
