,features,labels
0,"[9.59, 0.221, -0.045, 0.069, 0.076, 0.104, 9.702, -0.01, -0.254, 0.018, 0.011, -0.044, 9.707, 0.137, -0.01, 0.08, 0.077, 0.075, 9.658, -0.021, -0.253, 0.024, 0.01, -0.055, 9.764, 0.077, -0.038, 0.086, 0.074, 0.044, 9.829, -0.039, -0.159, 0.033, 0.002, -0.071, 9.765, 0.135, 0.063, 0.088, 0.063, 0.001, 9.623, -0.141, -0.303, 0.026, -0.005, -0.062, 9.686, 0.099, -0.085, 0.09, 0.062, -0.075, 9.634, -0.156, -0.104, 0.026, -0.008, -0.062]","[True, False, False, False]"
1,"[9.694, 0.115, -0.013, 0.076, 0.025, -0.078, 9.805, -0.069, -0.33, 0.013, -0.009, -0.037, 9.676, 0.15, -0.058, 0.072, 0.023, -0.066, 9.771, -0.078, -0.229, 0.012, -0.007, -0.031, 9.665, 0.145, -0.048, 0.069, 0.022, -0.057, 9.759, -0.06, -0.179, 0.02, -0.005, -0.045, 9.665, 0.14, 0.026, 0.071, 0.03, -0.044, 9.747, -0.081, -0.19, 0.013, -0.005, -0.043, 9.665, 0.093, -0.075, 0.068, 0.027, -0.023, 9.696, -0.111, -0.26, 0.018, -0.003, -0.042]","[True, False, False, False]"
2,"[9.593, 0.112, -0.125, 0.071, 0.036, -0.02, 9.778, -0.05, -0.193, 0.022, -0.004, -0.043, 9.631, 0.126, -0.07, 0.073, 0.04, -0.024, 9.745, -0.093, -0.294, 0.02, -0.001, -0.047, 9.601, 0.118, -0.152, 0.075, 0.04, -0.027, 9.741, -0.106, -0.355, 0.014, -0.004, -0.043, 9.633, 0.152, -0.001, 0.075, 0.038, -0.025, 9.706, -0.059, -0.047, 0.014, -0.003, -0.043, 9.641, 0.133, 0.014, 0.069, 0.038, -0.03, 9.775, -0.059, -0.263, 0.019, -0.007, -0.042]","[True, False, False, False]"
3,"[9.724, 0.127, -0.095, 0.074, 0.038, -0.025, 9.686, -0.057, -0.167, 0.022, -0.004, -0.042, 9.656, 0.151, -0.127, 0.075, 0.042, -0.026, 9.809, -0.065, -0.202, 0.01, -0.007, -0.041, 9.703, 0.151, -0.13, 0.072, 0.037, -0.023, 9.685, -0.063, -0.316, 0.016, -0.005, -0.044, 9.78, 0.151, -0.041, 0.071, 0.038, -0.023, 9.663, -0.035, -0.221, 0.019, -0.005, -0.044, 9.722, 0.154, -0.069, 0.076, 0.036, -0.027, 9.733, -0.078, -0.226, 0.016, -0.006, -0.045]","[True, False, False, False]"
4,"[9.657, 0.129, -0.075, 0.071, 0.037, -0.029, 9.66, -0.07, -0.154, 0.016, -0.003, -0.036, 9.654, 0.17, -0.296, 0.072, 0.037, -0.026, 9.72, -0.021, -0.181, 0.017, -0.008, -0.044, 9.648, 0.139, -0.052, 0.071, 0.038, -0.023, 9.695, -0.057, -0.022, 0.019, -0.002, -0.043, 9.506, 0.132, -0.117, 0.071, 0.038, -0.023, 9.68, -0.091, -0.217, 0.019, -0.007, -0.042, 9.606, 0.072, 0.017, 0.073, 0.038, -0.021, 9.674, -0.101, -0.191, 0.013, -0.009, -0.04]","[True, False, False, False]"
5,"[9.596, 0.013, -0.151, 0.073, 0.036, -0.021, 9.732, -0.124, -0.371, 0.018, -0.007, -0.042, 9.561, 0.252, -0.096, 0.071, 0.038, -0.024, 9.781, -0.105, -0.254, 0.016, -0.004, -0.043, 9.645, 0.112, -0.014, 0.072, 0.035, -0.027, 9.695, -0.12, -0.483, 0.019, -0.004, -0.043, 9.693, 0.107, 0.003, 0.073, 0.035, -0.021, 9.421, 0.558, -1.065, -0.003, 0.005, -0.05, 9.687, 0.145, -0.044, 0.073, 0.039, -0.017, 9.112, 0.117, -1.085, 0.012, -0.005, -0.031]","[True, False, False, False]"
6,"[9.887, 0.176, 0.042, 0.072, 0.036, -0.026, 9.392, 0.395, -0.538, 0.039, -0.009, -0.041, 9.944, 0.364, 0.275, 0.017, 0.036, -0.016, 9.749, -0.64, 0.38, 0.047, -0.008, -0.045, 9.437, 0.317, 0.193, 0.02, 0.03, -0.017, 9.692, -0.083, 0.009, 0.021, -0.008, -0.041, 9.455, 0.032, -0.281, 0.064, 0.042, -0.023, 9.604, -0.066, -0.187, 0.03, -0.009, -0.052, 10.44, -0.331, -0.449, 0.055, 0.039, -0.012, 9.583, -0.009, -0.053, 0.043, -0.006, -0.046]","[True, False, False, False]"
7,"[9.826, 0.006, -0.085, 0.069, 0.044, -0.019, 9.556, 0.004, -0.256, 0.039, -0.011, -0.045, 9.716, -0.038, -0.353, 0.051, 0.037, -0.025, 9.975, 0.213, -0.313, 0.188, -0.03, -0.082, 9.431, -0.958, -1.165, 0.143, 0.036, -0.021, 9.967, 0.16, -0.536, 0.063, -0.008, -0.044, 9.794, 0.372, 0.09, 0.155, 0.043, -0.034, 9.791, 0.04, -0.431, 0.139, -0.007, -0.06, 9.334, 0.321, 0.136, 0.21, 0.049, -0.022, 9.279, 0.21, -0.343, 0.117, -0.014, -0.028]","[True, False, False, False]"
8,"[9.703, -0.045, -0.214, 0.263, 0.028, -0.033, 8.393, 0.905, -1.406, 0.287, -0.064, -0.092, 9.967, 0.419, -0.44, 0.396, 0.017, -0.038, 7.739, -1.108, 1.263, 0.127, -0.049, -0.051, 9.603, 0.397, 0.29, 0.057, 0.031, -0.025, 9.763, -0.08, -0.145, 0.058, -0.011, -0.044, 9.762, 0.308, 0.194, 0.098, 0.045, -0.021, 9.701, 0.075, -0.595, 0.109, -0.025, -0.046, 9.256, 0.348, 0.124, 0.279, 0.016, -0.032, 9.552, -0.151, 0.374, 0.192, -0.059, -0.051]","[True, False, False, False]"
9,"[10.055, 0.343, 0.738, 0.302, 0.054, -0.009, 10.434, 0.12, -0.345, 0.238, -0.03, -0.035, 11.17, 0.577, 0.324, 0.206, 0.057, -0.028, 10.545, -0.432, -0.315, 0.062, -0.01, -0.063, 9.41, 0.979, 0.095, 0.275, 0.003, -0.036, 11.905, -1.417, 2.124, 0.133, -0.008, -0.024, 9.089, -0.664, -0.502, 0.162, 0.041, -0.027, 10.29, 0.186, -0.661, 0.111, -0.0, -0.062, 9.692, -0.292, -0.272, 0.201, 0.041, -0.017, 10.391, 0.532, -0.555, 0.17, -0.023, -0.054]","[True, False, False, False]"
