,features,labels
0,"[9.714, 0.43, -0.108, 0.08, 0.048, -0.06, 9.682, 0.103, -0.336, 0.021, -0.005, -0.042, 9.762, 0.376, -0.029, 0.071, 0.043, -0.07, 9.678, 0.077, -0.455, 0.016, -0.008, -0.038, 9.617, 0.05, 0.032, 0.038, 0.023, -0.073, 9.794, 0.351, 0.092, 0.018, -0.005, -0.031, 9.61, 0.092, 0.017, 0.065, 0.031, -0.08, 9.698, 0.132, -0.319, 0.014, -0.006, -0.023, 9.572, 0.173, -0.016, 0.064, 0.028, -0.06, 9.659, 0.157, -0.379, 0.016, -0.005, -0.021]","[True, False, False, False]"
1,"[9.657, 0.111, 0.087, 0.068, 0.046, -0.02, 9.823, 0.204, -0.26, 0.017, 0.002, -0.033, 9.718, 0.091, -0.1, 0.071, 0.041, -0.021, 9.654, 0.205, -0.271, 0.01, -0.0, -0.03, 9.522, 0.092, 0.048, 0.066, 0.041, -0.022, 9.683, 0.182, -0.288, 0.016, 0.0, -0.034, 9.59, 0.163, -0.09, 0.069, 0.078, -0.018, 9.733, 0.221, -0.16, 0.015, -0.003, -0.031, 9.623, 0.164, -0.031, 0.069, 0.043, -0.019, 9.662, 0.178, -0.373, 0.014, -0.003, -0.033]","[False, False, False, False]"
2,"[9.74, 0.109, 0.002, 0.069, 0.039, -0.016, 9.644, 0.229, -0.163, 0.016, 0.001, -0.037, 9.695, 0.096, -0.074, 0.067, 0.039, -0.016, 9.776, 0.232, -0.304, 0.014, -0.003, -0.03, 9.655, 0.129, -0.032, 0.06, 0.041, -0.01, 9.789, 0.212, -0.435, 0.014, -0.004, -0.031, 9.619, 0.15, 0.027, 0.069, 0.04, -0.018, 9.832, 0.292, -0.292, 0.013, -0.002, -0.031, 9.593, 0.151, -0.047, 0.069, 0.045, -0.02, 9.709, 0.165, -0.429, 0.012, -0.004, -0.031]","[True, False, False, False]"
3,"[9.668, 0.112, 0.032, 0.072, 0.04, -0.016, 9.779, 0.23, -0.266, 0.012, -0.002, -0.031, 9.73, 0.111, 0.013, 0.067, 0.042, -0.015, 9.664, 0.205, -0.262, 0.013, -0.002, -0.032, 9.784, 0.102, -0.009, 0.068, 0.047, -0.02, 9.711, 0.261, 0.023, 0.019, -0.002, -0.032, 9.58, 0.128, -0.099, 0.064, 0.042, -0.014, 9.744, 0.165, -0.411, 0.012, -0.004, -0.034, 9.538, 0.152, 0.011, 0.066, 0.042, -0.022, 9.784, 0.179, -0.326, 0.011, -0.002, -0.035]","[False, False, False, False]"
4,"[9.562, 0.173, -0.254, 0.068, 0.045, -0.017, 9.761, 0.181, -0.232, 0.013, -0.002, -0.037, 9.601, 0.13, -0.036, 0.071, 0.041, -0.021, 9.756, 0.208, -0.139, 0.02, -0.001, -0.035, 9.689, 0.141, -0.115, 0.071, 0.041, -0.017, 9.771, 0.227, -0.269, 0.012, 0.002, -0.031, 9.638, 0.086, 0.068, 0.07, 0.039, -0.019, 9.753, 0.243, -0.382, 0.017, -0.001, -0.034, 9.681, 0.078, 0.022, 0.069, 0.038, -0.016, 9.8, 0.232, -0.263, 0.014, 0.0, -0.032]","[False, False, False, False]"
5,"[9.524, 0.131, -0.206, 0.069, 0.042, -0.019, 9.726, 0.158, -0.177, 0.019, -0.004, -0.034, 9.59, 0.131, -0.167, 0.07, 0.042, -0.02, 9.733, 0.19, -0.348, 0.018, -0.001, -0.033, 9.683, 0.232, -0.165, 0.072, 0.04, -0.016, 9.715, 0.237, -0.272, 0.015, 0.0, -0.031, 9.531, 0.12, -0.1, 0.067, 0.04, -0.014, 9.778, 0.176, -0.564, 0.018, -0.002, -0.029, 9.654, 0.143, 0.06, 0.068, 0.036, -0.014, 9.794, 0.216, -0.226, 0.016, -0.005, -0.031]","[False, False, False, False]"
6,"[9.685, 0.136, -0.032, 0.057, 0.042, -0.026, 9.738, 0.137, -0.337, 0.015, 0.001, -0.03, 9.605, 0.142, -0.087, 0.069, 0.04, -0.021, 9.72, 0.259, -0.236, 0.015, -0.003, -0.032, 9.671, 0.278, -0.124, 0.065, 0.044, -0.019, 9.751, 0.133, -0.57, 0.014, -0.002, -0.03, 9.574, 0.106, -0.036, 0.067, 0.042, -0.022, 9.732, 0.214, -0.206, 0.013, 0.0, -0.034, 9.596, 0.217, -0.104, 0.07, 0.044, -0.021, 9.796, 0.165, -0.416, 0.01, -0.001, -0.032]","[False, False, False, False]"
7,"[9.459, 0.156, -0.05, 0.067, 0.042, -0.021, 9.792, 0.237, -0.232, 0.013, -0.001, -0.03, 9.727, 0.088, -0.124, 0.069, 0.042, -0.019, 9.716, 0.201, -0.345, 0.016, -0.003, -0.031, 9.695, 0.118, -0.022, 0.065, 0.036, -0.018, 9.761, 0.206, -0.301, 0.015, -0.001, -0.03, 9.601, 0.139, -0.074, 0.072, 0.041, -0.019, 9.779, 0.236, -0.418, 0.015, 0.0, -0.032, 9.643, 0.156, -0.003, 0.072, 0.041, -0.015, 9.751, 0.214, -0.24, 0.016, 0.002, -0.029]","[True, False, False, False]"
8,"[9.674, 0.149, 0.008, 0.07, 0.044, -0.014, 9.704, 0.203, -0.323, 0.013, -0.0, -0.035, 9.612, 0.139, 0.047, 0.067, 0.037, -0.016, 9.74, 0.243, -0.027, 0.014, -0.005, -0.033, 9.68, 0.185, 1.631, 0.027, 0.04, -0.021, 10.124, 0.902, 0.52, 0.004, -0.002, -0.03, 10.638, -0.806, 0.539, 0.087, 0.047, -0.028, 7.071, 1.79, -1.719, -0.05, 0.006, -0.012, 9.844, 0.869, -0.09, 0.147, 0.035, -0.039, 11.421, 0.99, -0.277, 0.277, 0.009, -0.093]","[False, False, False, False]"
9,"[9.571, -0.232, -0.099, -0.067, 0.046, -0.015, 9.628, 0.249, 0.235, -0.131, -0.003, -0.025, 9.93, 0.261, 0.252, -0.084, 0.035, -0.02, 9.863, 0.089, -0.029, -0.108, -0.004, -0.024, 9.967, -0.065, -0.139, -0.029, 0.041, -0.027, 9.595, 0.257, 0.114, -0.049, -0.002, -0.031, 9.25, -0.24, 0.142, -0.0, 0.041, -0.016, 10.215, 0.435, -0.149, -0.06, 0.004, -0.029, 10.059, -0.105, -0.169, -0.012, 0.035, -0.014, 9.354, 0.004, 0.272, -0.057, -0.001, -0.029]","[False, False, False, False]"
