,LP,LD1,LD2,RP,RD1,RD2
0,"[array([[-0.35295969, -0.93551186, -0.01539576, -0.07553915],
       [ 0.93462316, -0.3532953 ,  0.04076736,  0.16244971],
       [-0.0435776 ,  0.        ,  0.99905005,  0.08571114],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.11088817, -0.99383232,  0.00106639, -0.09639749],
       [ 0.99378637,  0.11089329,  0.00955701,  0.22965161],
       [-0.00961632, -0.        ,  0.99995376,  0.0836398 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.11088817, -0.99383232,  0.00106639, -0.09639749],
       [ 0.99378637,  0.11089329,  0.00955701,  0.22965161],
       [-0.00961632, -0.        ,  0.99995376,  0.0836398 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.21658618, -0.97623966,  0.00682332, -0.01751166],
       [ 0.97575556,  0.21669364,  0.03074017,  0.17068523],
       [-0.03148835,  0.        ,  0.99950412,  0.08586234],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.34646163, -0.93784983,  0.02005094, -0.00585596],
       [ 0.93628317, -0.34704136, -0.05418597,  0.22946938],
       [ 0.05777681, -0.        ,  0.99832952,  0.0814837 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.34646163, -0.93784983,  0.02005094, -0.00585596],
       [ 0.93628317, -0.34704136, -0.05418597,  0.22946938],
       [ 0.05777681, -0.        ,  0.99832952,  0.0814837 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
1,"[array([[-0.35285055, -0.93555346, -0.01536947, -0.07554407],
       [ 0.9346672 , -0.35318512,  0.04071226,  0.16244597],
       [-0.04351677,  0.        ,  0.9990527 ,  0.08571178],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.11101425, -0.99381822,  0.0010896 , -0.09640244],
       [ 0.99377035,  0.1110196 ,  0.00975385,  0.22965269],
       [-0.00981452, -0.        ,  0.99995184,  0.0836511 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.11101425, -0.99381822,  0.0010896 , -0.09640244],
       [ 0.99377035,  0.1110196 ,  0.00975385,  0.22965269],
       [-0.00981452, -0.        ,  0.99995184,  0.0836511 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.21640355, -0.9762802 ,  0.00681785, -0.01750393],
       [ 0.97579604,  0.21651092,  0.03074273,  0.1706817 ],
       [-0.03148965,  0.        ,  0.99950408,  0.08586137],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.34608721, -0.93798745,  0.02007975, -0.00586775],
       [ 0.93641267, -0.34666922, -0.05433003,  0.22947138],
       [ 0.05792192, -0.        ,  0.99832112,  0.08148108],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.34608721, -0.93798745,  0.02007975, -0.00586775],
       [ 0.93641267, -0.34666922, -0.05433003,  0.22947138],
       [ 0.05792192, -0.        ,  0.99832112,  0.08148108],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
2,"[array([[-0.35296065, -0.93551186, -0.01537359, -0.07553413],
       [ 0.93462572, -0.3532953 ,  0.04070864,  0.16244065],
       [-0.04351484,  0.        ,  0.99905278,  0.08571073],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.11137168, -0.99377824,  0.00107645, -0.09641462],
       [ 0.99373182,  0.11137688,  0.00960477,  0.22965152],
       [-0.0096649 , -0.        ,  0.99995329,  0.08364034],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.11137168, -0.99377824,  0.00107645, -0.09641462],
       [ 0.99373182,  0.11137688,  0.00960477,  0.22965152],
       [-0.0096649 , -0.        ,  0.99995329,  0.08364034],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.21642965, -0.9762742 ,  0.00684719, -0.01750246],
       [ 0.97578599,  0.21653794,  0.03087098,  0.17067717],
       [-0.03162122,  0.        ,  0.99949992,  0.08586432],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.34618602, -0.937949  ,  0.02017208, -0.00585908],
       [ 0.93636072, -0.34677323, -0.05456125,  0.2294636 ],
       [ 0.05817081, -0.        ,  0.99830664,  0.08147717],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.34618602, -0.937949  ,  0.02017208, -0.00585908],
       [ 0.93636072, -0.34677323, -0.05456125,  0.2294636 ],
       [ 0.05817081, -0.        ,  0.99830664,  0.08147717],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
3,"[array([[-0.35633893, -0.93421226, -0.01643209, -0.07532367],
       [ 0.93322056, -0.3567176 ,  0.04303422,  0.1625042 ],
       [-0.04606471,  0.        ,  0.99893846,  0.08571885],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.11138266, -0.993777  ,  0.00108782, -0.09641396],
       [ 0.99372961,  0.11138797,  0.00970524,  0.22965464],
       [-0.00976602, -0.        ,  0.99995231,  0.08364456],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.11138266, -0.993777  ,  0.00108782, -0.09641396],
       [ 0.99372961,  0.11138797,  0.00970524,  0.22965464],
       [-0.00976602, -0.        ,  0.99995231,  0.08364456],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.21462467, -0.97667324,  0.00675478, -0.01733957],
       [ 0.9761899 ,  0.21473094,  0.03072314,  0.17071208],
       [-0.03145693,  0.        ,  0.99950511,  0.08580564],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.34711655, -0.93761266,  0.01981413, -0.00583087],
       [ 0.93608884, -0.3476816 , -0.05343387,  0.22946375],
       [ 0.05698928, -0.        ,  0.99837479,  0.08150874],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.34711655, -0.93761266,  0.01981413, -0.00583087],
       [ 0.93608884, -0.3476816 , -0.05343387,  0.22946375],
       [ 0.05698928, -0.        ,  0.99837479,  0.08150874],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
4,"[array([[-0.35638304, -0.93419428, -0.016498  , -0.07531948],
       [ 0.93319488, -0.3567647 ,  0.04320029,  0.16250224],
       [-0.04624336,  0.        ,  0.9989302 ,  0.08572485],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.11190557, -0.99371792,  0.00135407, -0.09643433],
       [ 0.99364518,  0.11191377,  0.01202325,  0.2297117 ],
       [-0.01209926, -0.        ,  0.9999268 ,  0.08375876],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.11190557, -0.99371792,  0.00135407, -0.09643433],
       [ 0.99364518,  0.11191377,  0.01202325,  0.2297117 ],
       [-0.01209926, -0.        ,  0.9999268 ,  0.08375876],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.21479501, -0.97663586,  0.00674567, -0.01734005],
       [ 0.97615459,  0.21490091,  0.03065627,  0.17071538],
       [-0.03138967,  0.        ,  0.99950722,  0.08580113],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.34773758, -0.93738479,  0.01970598, -0.00579799],
       [ 0.93588326, -0.34829549, -0.05303567,  0.22946285],
       [ 0.05657833, -0.        ,  0.99839816,  0.08151681],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.34773758, -0.93738479,  0.01970598, -0.00579799],
       [ 0.93588326, -0.34829549, -0.05303567,  0.22946285],
       [ 0.05657833, -0.        ,  0.99839816,  0.08151681],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
5,"[array([[-0.32482337, -0.94565928, -0.0147748 , -0.07703983],
       [ 0.94468254, -0.32515922,  0.0429695 ,  0.15285242],
       [-0.04543867,  0.        ,  0.99896713,  0.08570683],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 1.34633619e-01, -9.90895447e-01, -4.05659356e-05,
        -9.52323786e-02],
       [ 9.90895402e-01,  1.34633625e-01, -2.98562865e-04,
         2.20611378e-01],
       [ 3.01306123e-04, -0.00000000e+00,  9.99999955e-01,
         8.30904185e-02],
       [ 0.00000000e+00,  0.00000000e+00,  0.00000000e+00,
         1.00000000e+00]])]","[array([[ 1.34633619e-01, -9.90895447e-01, -4.05659356e-05,
        -9.52323786e-02],
       [ 9.90895402e-01,  1.34633625e-01, -2.98562865e-04,
         2.20611378e-01],
       [ 3.01306123e-04, -0.00000000e+00,  9.99999955e-01,
         8.30904185e-02],
       [ 0.00000000e+00,  0.00000000e+00,  0.00000000e+00,
         1.00000000e+00]])]","[array([[ 0.24819583, -0.96867653,  0.00803846, -0.01883159],
       [ 0.96816888,  0.24832597,  0.03135662,  0.15913991],
       [-0.03237058,  0.        ,  0.99947594,  0.0858211 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.31827003, -0.94781744,  0.01860896, -0.0050925 ],
       [ 0.94620146, -0.31881359, -0.05532354,  0.21745211],
       [ 0.05836941, -0.        ,  0.99829505,  0.08142785],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.31827003, -0.94781744,  0.01860896, -0.0050925 ],
       [ 0.94620146, -0.31881359, -0.05532354,  0.21745211],
       [ 0.05836941, -0.        ,  0.99829505,  0.08142785],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
6,"[array([[-0.33332614, -0.94268332, -0.01555152, -0.10154152],
       [ 0.941659  , -0.33368872,  0.04393363,  0.11552313],
       [-0.04660487,  0.        ,  0.9989134 ,  0.08570895],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 1.24764102e-01, -9.92186427e-01, -1.12797736e-04,
        -1.20398337e-01],
       [ 9.92186022e-01,  1.24764153e-01, -8.97023543e-04,
         1.82910923e-01],
       [ 9.04087698e-04, -0.00000000e+00,  9.99999591e-01,
         8.30132500e-02],
       [ 0.00000000e+00,  0.00000000e+00,  0.00000000e+00,
         1.00000000e+00]])]","[array([[ 1.24764102e-01, -9.92186427e-01, -1.12797736e-04,
        -1.20398337e-01],
       [ 9.92186022e-01,  1.24764153e-01, -8.97023543e-04,
         1.82910923e-01],
       [ 9.04087698e-04, -0.00000000e+00,  9.99999591e-01,
         8.30132500e-02],
       [ 0.00000000e+00,  0.00000000e+00,  0.00000000e+00,
         1.00000000e+00]])]","[array([[ 0.23910192, -0.9709631 ,  0.0078056 , -0.04335218],
       [ 0.97044612,  0.2392293 ,  0.0316807 ,  0.12223217],
       [-0.03262812,  0.        ,  0.99946756,  0.08571587],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.34044128, -0.94017375,  0.01315489, -0.02962136],
       [ 0.93947265, -0.34069534, -0.03630187,  0.18064921],
       [ 0.03861187, -0.        ,  0.99925428,  0.08200114],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.34044128, -0.94017375,  0.01315489, -0.02962136],
       [ 0.93947265, -0.34069534, -0.03630187,  0.18064921],
       [ 0.03861187, -0.        ,  0.99925428,  0.08200114],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
7,"[array([[-0.3284185 , -0.9444104 , -0.01517503, -0.12711609],
       [ 0.94340384, -0.32876891,  0.04359128,  0.10549701],
       [-0.04615714,  0.        ,  0.99893419,  0.08557692],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 1.31683008e-01, -9.91291872e-01, -9.92772110e-05,
        -1.45659333e-01],
       [ 9.91291590e-01,  1.31683045e-01, -7.47345203e-04,
         1.73013501e-01],
       [ 7.53910351e-04, -0.00000000e+00,  9.99999716e-01,
         8.29230257e-02],
       [ 0.00000000e+00,  0.00000000e+00,  0.00000000e+00,
         1.00000000e+00]])]","[array([[ 1.31683008e-01, -9.91291872e-01, -9.92772110e-05,
        -1.45659333e-01],
       [ 9.91291590e-01,  1.31683045e-01, -7.47345203e-04,
         1.73013501e-01],
       [ 7.53910351e-04, -0.00000000e+00,  9.99999716e-01,
         8.29230257e-02],
       [ 0.00000000e+00,  0.00000000e+00,  0.00000000e+00,
         1.00000000e+00]])]","[array([[ 0.24679272, -0.96901758,  0.00991372, -0.06892519],
       [ 0.9682367 ,  0.24699176,  0.03889429,  0.11216955],
       [-0.04013786,  0.        ,  0.99919415,  0.08587809],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.30286414, -0.95262349,  0.02796053, -0.05600749],
       [ 0.94858963, -0.30415207, -0.08757416,  0.17047376],
       [ 0.09192945, -0.        ,  0.99576552,  0.08016864],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.30286414, -0.95262349,  0.02796053, -0.05600749],
       [ 0.94858963, -0.30415207, -0.08757416,  0.17047376],
       [ 0.09192945, -0.        ,  0.99576552,  0.08016864],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
8,"[array([[-0.31205093, -0.94996116, -0.01407178, -0.17888387],
       [ 0.94899675, -0.31236805,  0.04279453,  0.10862229],
       [-0.04504872,  0.        ,  0.99898479,  0.08530009],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.17371482, -0.98478713,  0.00417873, -0.19731667],
       [ 0.98450234,  0.17376507,  0.0236823 ,  0.17697477],
       [-0.02404814, -0.        ,  0.9997108 ,  0.08399973],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.17371482, -0.98478713,  0.00417873, -0.19731667],
       [ 0.98450234,  0.17376507,  0.0236823 ,  0.17697477],
       [-0.02404814, -0.        ,  0.9997108 ,  0.08399973],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.26298419, -0.96476085,  0.00870688, -0.1205041 ],
       [ 0.96423253,  0.26312829,  0.03192382,  0.11448545],
       [-0.03308987,  0.        ,  0.99945238,  0.08549321],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.31806933, -0.94797953,  0.01291157, -0.10537011],
       [ 0.94719944, -0.31833129, -0.03845022,  0.172326  ],
       [ 0.04056018, -0.        ,  0.9991771 ,  0.08160119],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.31806933, -0.94797953,  0.01291157, -0.10537011],
       [ 0.94719944, -0.31833129, -0.03845022,  0.172326  ],
       [ 0.04056018, -0.        ,  0.9991771 ,  0.08160119],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
9,"[array([[-0.33027938, -0.9437646 , -0.01496356, -0.20427306],
       [ 0.9427975 , -0.33061817,  0.04271416,  0.12726655],
       [-0.04525934,  0.        ,  0.99897527,  0.08517681],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.1418879 , -0.98988118,  0.00175484, -0.2233325 ],
       [ 0.98980548,  0.14189875,  0.01224171,  0.19515473],
       [-0.01236684, -0.        ,  0.99992353,  0.08331027],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.1418879 , -0.98988118,  0.00175484, -0.2233325 ],
       [ 0.98980548,  0.14189875,  0.01224171,  0.19515473],
       [-0.01236684, -0.        ,  0.99992353,  0.08331027],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.24578976, -0.9692901 ,  0.0080056 , -0.14605114],
       [ 0.96877637,  0.2459201 ,  0.03155394,  0.13423295],
       [-0.03255366,  0.        ,  0.99946999,  0.0853452 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.33913853, -0.94066405,  0.01167068, -0.13195253],
       [ 0.94010756, -0.33933928, -0.03235165,  0.19241266],
       [ 0.03439236, -0.        ,  0.99940841,  0.08191432],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.33913853, -0.94066405,  0.01167068, -0.13195253],
       [ 0.94010756, -0.33933928, -0.03235165,  0.19241266],
       [ 0.03439236, -0.        ,  0.99940841,  0.08191432],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
