,transforms
0,"[array([[-0.03288192, -0.99998138,  0.00153575, -0.04611   ],
       [ 0.99943611, -0.00589485,  0.00685449,  0.2680345 ],
       [-0.0068003 ,  0.00157616,  0.99997533,  0.096152  ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
1,"[array([[-0.03300746, -0.99998162,  0.00150235, -0.046105  ],
       [ 0.99942936, -0.0058637 ,  0.00722725,  0.268035  ],
       [-0.00717373,  0.00154474,  0.99997275,  0.0961575 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
2,"[array([[-0.03308485, -0.99998184,  0.00159789, -0.046099  ],
       [ 0.99942769, -0.00579992,  0.0071049 ,  0.268031  ],
       [-0.00704815,  0.00163911,  0.99997348,  0.096154  ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
3,"[array([[-0.0329606 , -0.99998167,  0.00147138, -0.046103  ],
       [ 0.9994318 , -0.00586296,  0.00710053,  0.268032  ],
       [-0.00704818,  0.00151302,  0.99997371,  0.096152  ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
4,"[array([[-0.03316495, -0.99998106,  0.00150306, -0.046095  ],
       [ 0.99942591, -0.0059579 ,  0.00697686,  0.2680285 ],
       [-0.00692318,  0.00154464,  0.99997453,  0.0961445 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
5,"[array([[-8.29503899e-04, -9.99603330e-01,  1.49121339e-03,
        -4.41770000e-02],
       [ 9.99966950e-01,  2.81351582e-02,  8.08889373e-03,
         2.57355500e-01],
       [-8.08766302e-03,  1.26308230e-03,  9.99966172e-01,
         9.61360000e-02],
       [ 0.00000000e+00,  0.00000000e+00,  0.00000000e+00,
         1.00000000e+00]])]"
6,"[array([[-0.01432018, -0.99985625,  0.00327702, -0.0696205 ],
       [ 0.99988082,  0.0166543 ,  0.00581707,  0.2201715 ],
       [-0.00576958,  0.00317974,  0.99997771,  0.0959905 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
7,"[array([[-0.01141938, -0.99976986,  0.00309799, -0.0946105 ],
       [ 0.99992217,  0.02124358,  0.00506021,  0.2099985 ],
       [-0.00502453,  0.00298984,  0.9999824 ,  0.0958705 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
8,"[array([[ 0.00303013, -0.99942981,  0.00344972, -0.144547  ],
       [ 0.99998536,  0.03360325,  0.00447248,  0.212567  ],
       [-0.00448294,  0.00329752,  0.99998405,  0.0956585 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
9,"[array([[-1.21103913e-02, -9.99872408e-01, -1.25524214e-04,
        -1.71986500e-01],
       [ 9.99895288e-01,  1.59720001e-02,  7.92058377e-03,
         2.31852500e-01],
       [-7.92152309e-03, -2.52023670e-04,  9.99968624e-01,
         9.55960000e-02],
       [ 0.00000000e+00,  0.00000000e+00,  0.00000000e+00,
         1.00000000e+00]])]"
10,"[array([[ 0.00710672, -0.99933535, -0.00140059, -0.1722675 ],
       [ 0.9999406 ,  0.03641392,  0.00827378,  0.277773  ],
       [-0.00826363, -0.001701  ,  0.99996479,  0.0956    ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
11,"[array([[ 4.25243795e-02, -9.97668306e-01, -9.13300869e-05,
        -1.64112500e-01],
       [ 9.99074239e-01,  6.82470815e-02,  6.51692056e-03,
         3.22317500e-01],
       [-6.50714190e-03, -5.35889324e-04,  9.99978760e-01,
         9.56265000e-02],
       [ 0.00000000e+00,  0.00000000e+00,  0.00000000e+00,
         1.00000000e+00]])]"
