,time
0,0.94
1,1.44
2,1.94
3,2.44
4,2.94
5,3.44
6,3.94
7,4.4399999999999995
8,4.9399999999999995
9,5.4399999999999995
10,5.9399999999999995
11,6.4399999999999995
12,6.9399999999999995
13,7.4399999999999995
14,7.9399999999999995
15,8.44
16,8.94
17,9.44
18,9.94
19,10.44
20,10.94
21,11.44
22,11.94
23,12.44
24,12.94
25,13.44
26,13.94
27,14.44
28,14.94
29,15.44
30,15.94
31,16.44
32,16.94
33,17.44
34,17.94
35,18.44
36,18.94
37,19.44
38,19.94
39,20.44
40,20.94
41,21.44
42,21.94
43,22.44
44,22.94
45,23.44
46,23.94
47,24.44
48,24.94
49,25.44
50,25.94
51,26.44
52,26.94
53,27.44
54,27.94
55,28.44
56,28.94
57,29.44
58,29.94
59,30.44
60,30.94
61,31.44
62,31.94
63,32.44
64,32.94
65,33.44
66,33.94
67,34.44
68,34.94
69,35.44
70,35.94
