,features,labels
0,"[9.757, 0.035, -0.059, 0.082, 0.073, 0.003, 9.766, 0.043, -0.161, 0.029, -0.005, -0.069, 9.756, 0.065, -0.129, 0.091, 0.058, -0.077, 9.734, -0.013, -0.005, 0.029, -0.008, -0.062, 9.869, 0.057, -0.277, 0.079, 0.043, -0.059, 9.72, -0.046, -0.352, 0.027, -0.009, -0.057, 9.654, 0.089, -0.102, 0.08, 0.036, -0.084, 9.723, -0.021, -0.129, 0.028, -0.012, -0.051, 9.644, 0.118, -0.103, 0.076, 0.028, -0.086, 9.829, 0.015, -0.111, 0.018, -0.01, -0.047]","[True, False, False, False]"
1,"[9.663, 0.095, -0.046, 0.066, 0.028, -0.043, 9.744, -0.007, -0.143, 0.022, -0.005, -0.041, 9.672, 0.078, -0.172, 0.066, 0.03, -0.025, 9.67, -0.033, -0.063, 0.017, -0.006, -0.046, 9.655, 0.078, -0.017, 0.069, 0.04, -0.022, 9.799, 0.005, -0.313, 0.013, -0.004, -0.045, 9.621, 0.129, 0.104, 0.072, 0.039, -0.026, 9.593, -0.017, -0.028, 0.016, -0.003, -0.048, 9.765, 0.063, -0.104, 0.072, 0.035, -0.027, 9.739, 0.044, -0.157, 0.017, -0.008, -0.048]","[True, False, False, False]"
2,"[9.669, 0.073, -0.147, 0.067, 0.041, -0.025, 9.725, -0.013, -0.089, 0.016, -0.006, -0.048, 9.662, 0.106, -0.116, 0.067, 0.036, -0.021, 9.758, 0.016, -0.182, 0.016, -0.002, -0.042, 9.668, 0.066, -0.191, 0.074, 0.037, -0.027, 9.672, -0.002, -0.054, 0.022, -0.004, -0.045, 9.672, 0.093, -0.176, 0.077, 0.038, -0.027, 9.771, -0.015, -0.256, 0.017, -0.004, -0.044, 9.624, 0.135, -0.105, 0.067, 0.04, -0.023, 9.604, 0.007, -0.191, 0.02, -0.004, -0.046]","[True, False, False, False]"
3,"[9.577, 0.075, -0.15, 0.072, 0.037, -0.025, 9.763, -0.021, -0.207, 0.018, -0.006, -0.049, 9.613, 0.075, -0.092, 0.071, 0.038, -0.023, 9.707, -0.002, -0.257, 0.016, -0.005, -0.046, 9.502, 0.085, -0.21, 0.07, 0.038, -0.026, 9.72, -0.031, -0.203, 0.016, -0.003, -0.046, 9.665, 0.095, -0.093, 0.079, 0.035, -0.026, 9.791, 0.041, -0.206, 0.018, -0.004, -0.046, 9.705, 0.06, -0.167, 0.069, 0.038, -0.024, 9.764, 0.002, -0.139, 0.019, -0.005, -0.05]","[True, True, False, False]"
4,"[9.662, 0.105, -0.152, 0.071, 0.04, -0.021, 9.772, 0.02, -0.151, 0.018, -0.008, -0.044, 9.653, 0.099, -0.208, 0.065, 0.038, -0.021, 9.687, -0.001, -0.14, 0.018, -0.001, -0.044, 9.6, 0.061, -0.182, 0.076, 0.042, -0.027, 9.792, 0.007, -0.14, 0.019, -0.005, -0.045, 9.622, 0.093, -0.243, 0.068, 0.04, -0.018, 9.742, 0.015, -0.171, 0.014, -0.004, -0.043, 9.703, 0.092, -0.08, 0.073, 0.041, -0.025, 9.781, 0.03, -0.203, 0.018, -0.005, -0.047]","[True, True, False, False]"
5,"[9.647, 0.104, -0.154, 0.07, 0.041, -0.027, 9.763, 0.013, -0.131, 0.018, -0.005, -0.047, 9.664, 0.108, -0.108, 0.073, 0.04, -0.021, 9.725, -0.014, -0.187, 0.016, -0.006, -0.044, 9.654, 0.102, -0.127, 0.07, 0.039, -0.021, 9.695, 0.004, -0.173, 0.02, -0.002, -0.046, 9.781, 0.07, -0.059, 0.075, 0.039, -0.019, 9.824, 0.001, -0.369, 0.018, -0.004, -0.046, 9.878, 0.051, -0.169, 0.073, 0.039, -0.022, 9.705, -0.054, -0.127, 0.013, -0.005, -0.047]","[True, False, False, False]"
6,"[9.65, 0.078, -0.076, 0.071, 0.039, -0.028, 9.714, 0.023, -0.175, 0.018, -0.007, -0.045, 9.598, 0.08, -0.089, 0.075, 0.038, -0.028, 9.732, 0.02, -0.167, 0.017, -0.008, -0.047, 9.604, 0.089, -0.109, 0.073, 0.038, -0.026, 9.751, 0.006, -0.272, 0.021, -0.005, -0.046, 9.527, 0.059, -0.27, 0.073, 0.039, -0.023, 9.706, 0.039, -0.176, 0.013, -0.007, -0.046, 9.791, 0.075, -0.214, 0.075, 0.038, -0.023, 9.667, 0.018, -0.239, 0.017, -0.006, -0.048]","[True, True, False, False]"
7,"[9.597, 0.089, -0.203, 0.076, 0.036, -0.025, 9.732, 0.035, -0.145, 0.016, -0.005, -0.043, 9.677, 0.052, -0.317, 0.074, 0.04, -0.018, 9.709, 0.036, -0.29, 0.016, -0.005, -0.041, 9.584, 0.112, -0.23, 0.075, 0.039, -0.023, 9.758, -0.006, -0.236, 0.021, -0.002, -0.045, 9.567, 0.114, -0.098, 0.075, 0.04, -0.025, 9.698, -0.005, -0.208, 0.019, -0.005, -0.045, 9.678, 0.089, -0.009, 0.075, 0.04, -0.023, 9.772, -0.015, -0.159, 0.016, -0.004, -0.044]","[True, True, False, False]"
8,"[9.782, 0.072, -0.038, 0.041, 0.031, -0.018, 9.638, -0.278, -0.158, 0.006, -0.004, -0.036, 9.844, 0.497, 0.061, 0.007, -0.018, -0.044, 9.647, 0.075, -0.245, 0.026, -0.006, -0.047, 9.568, 0.022, -0.182, 0.082, 0.036, -0.014, 9.786, 0.003, -0.218, 0.022, -0.005, -0.045, 9.626, 0.237, -0.118, 0.067, 0.038, -0.019, 9.711, 0.021, -0.178, 0.015, -0.005, -0.045, 9.677, 0.21, -0.026, 0.084, 0.042, -0.03, 9.718, 0.018, -0.162, 0.024, -0.006, -0.047]","[True, True, False, False]"
9,"[10.105, -0.208, -1.147, 0.131, 0.047, -0.035, 9.716, -0.113, 0.035, 0.015, -0.004, -0.046, 9.645, 0.175, 0.126, 0.072, 0.039, -0.025, 9.743, 0.031, -0.182, 0.021, -0.004, -0.045, 9.747, 0.119, -0.002, 0.08, 0.04, -0.031, 9.689, 0.045, -0.29, 0.016, 0.002, -0.044, 9.635, 0.162, -0.103, 0.074, 0.042, -0.022, 9.617, 0.023, -0.189, 0.016, -0.001, -0.042, 10.616, -0.017, -0.473, 0.073, 0.034, -0.03, 9.765, 0.048, -0.209, 0.017, -0.008, -0.043]","[True, True, False, False]"
10,"[9.421, 0.045, -0.246, 0.076, 0.041, -0.027, 9.284, -0.239, 0.096, 0.035, -0.007, -0.036, 9.522, 0.086, -0.081, 0.077, 0.036, -0.028, 10.108, 0.157, -0.053, 0.006, 0.001, -0.046, 9.736, 0.014, -0.218, 0.068, 0.036, -0.022, 9.648, -0.073, -0.191, 0.023, -0.007, -0.042, 9.639, 0.117, -0.022, 0.067, 0.039, -0.03, 9.734, 0.03, -0.166, 0.026, -0.006, -0.045, 9.769, 0.013, -0.223, 0.079, 0.037, -0.026, 9.722, 0.051, -0.124, 0.021, -0.007, -0.045]","[True, True, False, False]"
11,"[9.639, 0.071, -0.05, 0.072, 0.037, -0.028, 10.103, 0.592, -0.403, 0.042, -0.006, -0.041, 9.828, -0.078, -0.307, 0.075, 0.036, -0.015, 10.031, -0.165, -0.024, 0.023, -0.008, -0.043, 8.956, -0.581, -0.581, 0.207, 0.038, -0.031, 10.887, 0.033, -0.08, 0.029, -0.001, -0.057, 9.423, -1.326, -1.032, 0.315, 0.028, -0.053, 9.444, -0.171, 0.054, -0.075, 0.004, -0.084, 9.758, -0.124, -0.181, 0.101, 0.041, -0.026, 9.676, -0.094, -0.242, -0.064, -0.007, -0.048]","[True, True, False, False]"
12,"[9.474, 0.25, -0.199, 0.133, 0.042, -0.021, 9.428, -0.037, -0.544, -0.203, 0.002, -0.034, 10.5, -0.169, -0.397, 0.106, 0.037, -0.042, 9.699, -0.063, -0.282, -0.229, 0.001, -0.028, 9.7, -0.209, -0.193, 0.016, 0.036, -0.022, 9.713, -0.07, 0.011, -0.199, 0.003, -0.027, 9.854, -0.018, -0.268, 0.006, 0.038, -0.006, 9.662, 0.111, -0.119, -0.187, 0.004, -0.042, 9.744, 0.027, -0.065, -0.022, 0.039, -0.0, 10.01, -0.454, 0.196, -0.307, 0.004, -0.033]","[True, True, False, False]"
13,"[10.134, 2.101, 1.247, 0.071, 0.035, -0.026, 8.031, 3.227, -4.161, -0.982, -0.005, -0.013, 10.192, 0.9, 0.711, -0.023, 0.035, -0.002, 9.684, 0.313, -0.879, -0.385, 0.001, -0.041, 9.897, 0.391, 0.229, -0.125, 0.027, -0.031, 10.362, -1.903, 1.622, -0.296, -0.009, -0.027, 10.081, 1.303, -0.411, 0.138, 0.029, -0.066, 11.155, -0.083, 0.077, -0.495, 0.005, -0.012, 10.336, -0.224, -0.498, 0.16, 0.046, -0.021, 9.363, -0.882, 0.553, -0.086, -0.012, -0.04]","[True, True, False, False]"
14,"[9.653, 0.226, 0.199, 0.171, 0.0, -0.028, 9.62, 0.095, -0.334, 0.068, -0.012, -0.034, 9.24, 0.352, 0.619, 0.356, 0.042, -0.032, 10.159, 0.237, -0.494, 0.151, -0.009, -0.061, 9.376, 0.452, 0.365, 0.654, 0.036, -0.057, 10.015, 0.52, -0.774, 0.281, -0.013, -0.08, 9.207, 0.518, -0.284, 0.905, 0.023, -0.055, 9.403, 0.677, -0.573, 0.365, -0.026, -0.066, 10.064, -0.097, -0.492, 0.7, 0.034, -0.048, 9.86, -0.633, 0.601, 0.234, -0.016, -0.075]","[True, True, False, False]"
15,"[9.775, 0.443, 0.035, 0.302, 0.042, -0.022, 9.955, 0.036, -0.83, 0.05, -0.009, -0.049, 9.521, -0.161, -0.304, 0.345, 0.037, -0.031, 9.763, -0.122, -0.152, 0.098, -0.015, -0.054, 9.54, 0.064, -0.154, 0.314, 0.038, -0.03, 11.236, 0.678, -0.55, 0.06, 0.0, -0.073, 9.652, -0.427, 0.214, 0.494, 0.04, -0.038, 9.799, 0.568, -0.461, 0.09, 0.012, -0.07, 10.081, -0.479, -0.334, 0.546, 0.022, -0.04, 9.76, -1.07, 0.351, 0.011, -0.01, -0.038]","[True, True, False, False]"
