,LP,LD1,LD2,RP,RD1,RD2
0,"[array([[-0.66522766, -0.74592661, -0.03264437, -0.16503482],
       [ 0.74503009, -0.66602814,  0.03656047,  0.02236626],
       [-0.0490135 ,  0.        ,  0.99879812,  0.0846279 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.74659443, -0.66521267, -0.00942662, -0.20128216],
       [ 0.66515965,  0.74665394, -0.00839841,  0.08287787],
       [ 0.01262516, -0.        ,  0.9999203 ,  0.08162552],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.74659443, -0.66521267, -0.00942662, -0.20128216],
       [ 0.66515965,  0.74665394, -0.00839841,  0.08287787],
       [ 0.01262516, -0.        ,  0.9999203 ,  0.08162552],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.56435183, -0.82536043,  0.01694646, -0.10669855],
       [ 0.82498857,  0.56460621,  0.0247729 ,  0.03578414],
       [-0.03001465,  0.        ,  0.99954946,  0.08510133],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.74974856, -0.66117037,  0.02703403, -0.07358209],
       [ 0.66074098, -0.75023579, -0.02382464,  0.07532869],
       [ 0.03603404, -0.        ,  0.99935056,  0.08169412],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.74974856, -0.66117037,  0.02703403, -0.07358209],
       [ 0.66074098, -0.75023579, -0.02382464,  0.07532869],
       [ 0.03603404, -0.        ,  0.99935056,  0.08169412],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
1,"[array([[-0.66519703, -0.74595755, -0.03256137, -0.16503685],
       [ 0.74506546, -0.66599349,  0.03647093,  0.02236486],
       [-0.04889142,  0.        ,  0.9988041 ,  0.08462517],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.7467182 , -0.66506935, -0.009731  , -0.20128445],
       [ 0.66501288,  0.7467816 , -0.00866625,  0.08288011],
       [ 0.01303059, -0.        ,  0.9999151 ,  0.08161263],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.7467182 , -0.66506935, -0.009731  , -0.20128445],
       [ 0.66501288,  0.7467816 , -0.00866625,  0.08288011],
       [ 0.01303059, -0.        ,  0.9999151 ,  0.08161263],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.56429357, -0.82540107,  0.01690695, -0.10669761],
       [ 0.82503084,  0.56454679,  0.02471897,  0.03578166],
       [-0.02994783,  0.        ,  0.99955146,  0.08509783],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.74968254, -0.66124835,  0.02695759, -0.07358626],
       [ 0.66082125, -0.75016707, -0.02376225,  0.07532709],
       [ 0.03593544, -0.        ,  0.99935411,  0.08169825],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.74968254, -0.66124835,  0.02695759, -0.07358626],
       [ 0.66082125, -0.75016707, -0.02376225,  0.07532709],
       [ 0.03593544, -0.        ,  0.99935411,  0.08169825],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
2,"[array([[-0.66509481, -0.74604705, -0.03259897, -0.16504316],
       [ 0.74515252, -0.66589323,  0.03652293,  0.02236405],
       [-0.04895526,  0.        ,  0.99880097,  0.0846266 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.74669623, -0.66510047, -0.0092789 , -0.20128789],
       [ 0.66504913,  0.74675388, -0.00826431,  0.08288383],
       [ 0.01242565, -0.        ,  0.9999228 ,  0.08163286],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.74669623, -0.66510047, -0.0092789 , -0.20128789],
       [ 0.66504913,  0.74675388, -0.00826431,  0.08288383],
       [ 0.01242565, -0.        ,  0.9999228 ,  0.08163286],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.56444083, -0.82530101,  0.01687594, -0.10670302],
       [ 0.82493238,  0.56469306,  0.02466425,  0.03578617],
       [-0.02988516,  0.        ,  0.99955334,  0.08509343],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.74975415, -0.66116702,  0.02696094, -0.07358586],
       [ 0.66073995, -0.75023875, -0.02376001,  0.07532769],
       [ 0.03593647, -0.        ,  0.99935408,  0.08169722],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.74975415, -0.66116702,  0.02696094, -0.07358586],
       [ 0.66073995, -0.75023875, -0.02376001,  0.07532769],
       [ 0.03593647, -0.        ,  0.99935408,  0.08169722],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
3,"[array([[-0.66715901, -0.74409747, -0.03489719, -0.16493275],
       [ 0.74308161, -0.66807107,  0.03886849,  0.02241166],
       [-0.05223575,  0.        ,  0.99863478,  0.08468108],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.74671489, -0.66508162, -0.00912723, -0.2012894 ],
       [ 0.66503195,  0.74677067, -0.0081288 ,  0.08288645],
       [ 0.01222226, -0.        ,  0.99992531,  0.08164133],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.74671489, -0.66508162, -0.00912723, -0.2012894 ],
       [ 0.66503195,  0.74677067, -0.0081288 ,  0.08288645],
       [ 0.01222226, -0.        ,  0.99992531,  0.08164133],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.55961315, -0.82865522,  0.01279221, -0.10660465],
       [ 0.82843881,  0.55975934,  0.0189373 ,  0.03570583],
       [-0.02285305,  0.        ,  0.99973884,  0.08489691],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.74984904, -0.6610608 ,  0.0269265 , -0.07358039],
       [ 0.660635  , -0.75033234, -0.02372289,  0.07533374],
       [ 0.0358861 , -0.        ,  0.99935589,  0.08169782],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.74984904, -0.6610608 ,  0.0269265 , -0.07358039],
       [ 0.660635  , -0.75033234, -0.02372289,  0.07533374],
       [ 0.0358861 , -0.        ,  0.99935589,  0.08169782],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
4,"[array([[-0.66721801, -0.74417563, -0.03198043, -0.16493931],
       [ 0.74332228, -0.667984  ,  0.03562819,  0.02240626],
       [-0.04787605,  0.        ,  0.99885328,  0.08458542],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.74671669, -0.66507856, -0.00920302, -0.20129044],
       [ 0.66502805,  0.7467734 , -0.00819624,  0.08288459],
       [ 0.01232372, -0.        ,  0.99992406,  0.08163511],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.74671669, -0.66507856, -0.00920302, -0.20129044],
       [ 0.66502805,  0.7467734 , -0.00819624,  0.08288459],
       [ 0.01232372, -0.        ,  0.99992406,  0.08163511],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.56773452, -0.82298883,  0.01915481, -0.10676028],
       [ 0.82252082,  0.56805756,  0.02775105,  0.03590404],
       [-0.03371983,  0.        ,  0.99943132,  0.08513332],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.74982575, -0.66108567,  0.02696428, -0.07358347],
       [ 0.66065864, -0.75031042, -0.02375777,  0.07533429],
       [ 0.0359375 , -0.        ,  0.99935404,  0.08169619],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.74982575, -0.66108567,  0.02696428, -0.07358347],
       [ 0.66065864, -0.75031042, -0.02375777,  0.07533429],
       [ 0.0359375 , -0.        ,  0.99935404,  0.08169619],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
5,"[array([[-0.66749128, -0.74392235, -0.03217031, -0.16492431],
       [ 0.74305985, -0.66826607,  0.03581241,  0.02240993],
       [-0.04813998,  0.        ,  0.9988406 ,  0.08459334],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.74662673, -0.6651785 , -0.00927843, -0.20128503],
       [ 0.66512715,  0.74668438, -0.00826562,  0.08288104],
       [ 0.01242617, -0.        ,  0.99992279,  0.08163285],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.74662673, -0.6651785 , -0.00927843, -0.20128503],
       [ 0.66512715,  0.74668438, -0.00826562,  0.08288104],
       [ 0.01242617, -0.        ,  0.99992279,  0.08163285],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.5819653 , -0.81312095,  0.01227628, -0.10722047],
       [ 0.8129401 ,  0.58209477,  0.01714858,  0.03649623],
       [-0.02108983,  0.        ,  0.99977758,  0.08504641],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.74982864, -0.66108232,  0.0269663 , -0.07358633],
       [ 0.66065522, -0.75031338, -0.02375933,  0.07533335],
       [ 0.03594005, -0.        ,  0.99935395,  0.08169611],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.74982864, -0.66108232,  0.0269663 , -0.07358633],
       [ 0.66065522, -0.75031338, -0.02375933,  0.07533335],
       [ 0.03594005, -0.        ,  0.99935395,  0.08169611],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
6,"[array([[-0.66517757, -0.74597082, -0.03265475, -0.16505044],
       [ 0.74507355, -0.66597863,  0.03657699,  0.02236385],
       [-0.04903273,  0.        ,  0.99879717,  0.08463133],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.74648179, -0.66534066, -0.00931364, -0.20129715],
       [ 0.66528888,  0.74653989, -0.00830062,  0.08287524],
       [ 0.01247574, -0.        ,  0.99992217,  0.08163227],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.74648179, -0.66534066, -0.00931364, -0.20129715],
       [ 0.66528888,  0.74653989, -0.00830062,  0.08287524],
       [ 0.01247574, -0.        ,  0.99992217,  0.08163227],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.57807087, -0.81597317,  0.00467457, -0.10714155],
       [ 0.81594649,  0.57808977,  0.00659816,  0.03618735],
       [-0.00808624,  0.        ,  0.99996731,  0.08416013],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.74997009, -0.66092632,  0.02685627, -0.07359769],
       [ 0.66050296, -0.75045079, -0.02365247,  0.07534031],
       [ 0.03578685, -0.        ,  0.99935945,  0.08169798],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.74997009, -0.66092632,  0.02685627, -0.07359769],
       [ 0.66050296, -0.75045079, -0.02365247,  0.07534031],
       [ 0.03578685, -0.        ,  0.99935945,  0.08169798],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
7,"[array([[-0.66537595, -0.74579174, -0.03270355, -0.16505896],
       [ 0.74489254, -0.66617916,  0.03661183,  0.02235362],
       [-0.04909123,  0.        ,  0.9987943 ,  0.08463664],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.74596345, -0.66592078, -0.00938331, -0.20132228],
       [ 0.6658681 ,  0.74602247, -0.00837581,  0.0828485 ],
       [ 0.01257779, -0.        ,  0.9999209 ,  0.08162903],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.74596345, -0.66592078, -0.00938331, -0.20132228],
       [ 0.6658681 ,  0.74602247, -0.00837581,  0.0828485 ],
       [ 0.01257779, -0.        ,  0.9999209 ,  0.08162903],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.57163589, -0.82039184,  0.01377066, -0.10696562],
       [ 0.8201539 ,  0.57180174,  0.01975744,  0.03595429],
       [-0.02408293,  0.        ,  0.99970996,  0.08477046],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.75024569, -0.66061885,  0.02672348, -0.0736127 ],
       [ 0.66020016, -0.75072148, -0.02351609,  0.07536321],
       [ 0.03559706, -0.        ,  0.99936622,  0.08170001],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.75024569, -0.66061885,  0.02672348, -0.0736127 ],
       [ 0.66020016, -0.75072148, -0.02351609,  0.07536321],
       [ 0.03559706, -0.        ,  0.99936622,  0.08170001],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
8,"[array([[-0.67988623, -0.73268247, -0.03051398, -0.16458281],
       [ 0.73194566, -0.68057064,  0.03285046,  0.02248593],
       [-0.04483588,  0.        ,  0.99899437,  0.08450532],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.74318524, -0.66902307, -0.00915565, -0.20149589],
       [ 0.66897231,  0.74324164, -0.00824139,  0.08273127],
       [ 0.01231854, -0.        ,  0.99992412,  0.08162227],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.74318524, -0.66902307, -0.00915565, -0.20149589],
       [ 0.66897231,  0.74324164, -0.00824139,  0.08273127],
       [ 0.01231854, -0.        ,  0.99992412,  0.08162227],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.55489709, -0.83191488,  0.00261595, -0.10670694],
       [ 0.83190564,  0.55490326,  0.00392184,  0.03555508],
       [-0.00471424,  0.        ,  0.99998889,  0.0843226 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.75291317, -0.65765855,  0.02463707, -0.07344817],
       [ 0.65730674, -0.75331615, -0.02150861,  0.07551655],
       [ 0.03270482, -0.        ,  0.99946505,  0.08179899],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.75291317, -0.65765855,  0.02463707, -0.07344817],
       [ 0.65730674, -0.75331615, -0.02150861,  0.07551655],
       [ 0.03270482, -0.        ,  0.99946505,  0.08179899],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
9,"[array([[-0.67302738, -0.73879493, -0.03487411, -0.16487798],
       [ 0.7378051 , -0.67393031,  0.03823069,  0.02237821],
       [-0.05174736,  0.        ,  0.99866021,  0.08466414],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.73167955, -0.68148548, -0.01491909, -0.20162609],
       [ 0.68134386,  0.73183163, -0.01389273,  0.08234051],
       [ 0.02038595, -0.        ,  0.99979218,  0.08116973],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.73167955, -0.68148548, -0.01491909, -0.20162609],
       [ 0.68134386,  0.73183163, -0.01389273,  0.08234051],
       [ 0.02038595, -0.        ,  0.99979218,  0.08116973],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.57078763, -0.82097516,  0.01418688, -0.1069568 ],
       [ 0.82072169,  0.57096391,  0.02039897,  0.03595914],
       [-0.02484725,  0.        ,  0.99969126,  0.08477658],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.74994137, -0.66102247,  0.0252435 , -0.07355892],
       [ 0.66064831, -0.7503661 , -0.02223784,  0.07546985],
       [ 0.03364157, -0.        ,  0.99943396,  0.0817272 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.74994137, -0.66102247,  0.0252435 , -0.07355892],
       [ 0.66064831, -0.7503661 , -0.02223784,  0.07546985],
       [ 0.03364157, -0.        ,  0.99943396,  0.0817272 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
