,transforms
0,"[array([[-0.76195801, -0.63554688, -0.00530322, -0.1360255 ],
       [ 0.64742605, -0.77198366,  0.01863509,  0.081565  ],
       [-0.01610869,  0.01101761,  0.99981229,  0.095824  ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
1,"[array([[-0.76327393, -0.6355706 , -0.00219538, -0.136017  ],
       [ 0.64595403, -0.77195646,  0.01675796,  0.081566  ],
       [-0.01250234,  0.01154275,  0.99985717,  0.0958135 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
2,"[array([[-0.76189451, -0.63544814, -0.00524206, -0.1360255 ],
       [ 0.64750278, -0.77206495,  0.01858132,  0.08156   ],
       [-0.01602834,  0.01101698,  0.99981361,  0.095821  ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
3,"[array([[-0.76197621, -0.63554402, -0.00550687, -0.136024  ],
       [ 0.64739935, -0.7719869 ,  0.01872217,  0.0815595 ],
       [-0.01631993,  0.0109555 ,  0.99980956,  0.095821  ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
4,"[array([[-0.76338686, -0.63560107, -0.0023384 , -0.136018  ],
       [ 0.64581645, -0.7719309 ,  0.01691755,  0.081569  ],
       [-0.01271259,  0.01157458,  0.99985415,  0.095816  ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
5,"[array([[-7.61740450e-01, -6.36646055e-01, -1.56372314e-04,
        -1.36010000e-01],
       [ 6.47805092e-01, -7.71067925e-01,  1.52548368e-02,
         8.15665000e-02],
       [-1.00024401e-02,  1.16643190e-02,  9.99883626e-01,
         9.57690000e-02],
       [ 0.00000000e+00,  0.00000000e+00,  0.00000000e+00,
         1.00000000e+00]])]"
6,"[array([[-0.76138322, -0.63732271,  0.00251322, -0.1360005 ],
       [ 0.64825456, -0.77048385,  0.01505944,  0.081557  ],
       [-0.00784974,  0.01320632,  0.99988344,  0.0957485 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
7,"[array([[-7.56394936e-01, -6.43147419e-01, -1.34026667e-04,
        -1.36109000e-01],
       [ 6.54112478e-01, -7.65739755e-01,  2.73239673e-03,
         8.09325000e-02],
       [-1.88867895e-03,  2.00611340e-03,  9.99996258e-01,
         9.57870000e-02],
       [ 0.00000000e+00,  0.00000000e+00,  0.00000000e+00,
         1.00000000e+00]])]"
8,"[array([[-7.60427670e-01, -6.38179261e-01, -5.61102286e-04,
        -1.36076500e-01],
       [ 6.49337939e-01, -7.69772960e-01, -1.68067702e-02,
         7.98995000e-02],
       [ 1.04880789e-02, -1.32973614e-02,  9.99858599e-01,
         9.58930000e-02],
       [ 0.00000000e+00,  0.00000000e+00,  0.00000000e+00,
         1.00000000e+00]])]"
9,"[array([[-7.56929499e-01, -6.42909179e-01,  5.50317505e-04,
        -1.35809000e-01],
       [ 6.53463712e-01, -7.65895033e-01,  1.06612989e-02,
         8.20470000e-02],
       [-6.55059369e-03,  8.51972555e-03,  9.99943015e-01,
         9.54005000e-02],
       [ 0.00000000e+00,  0.00000000e+00,  0.00000000e+00,
         1.00000000e+00]])]"
