,features,labels
0,"[9.579, 0.107, -0.019, 0.068, 0.044, -0.017, 9.733, 0.166, -0.307, 0.017, -0.002, -0.037, 9.626, 0.116, -0.007, 0.066, 0.044, -0.022, 9.779, 0.179, -0.237, 0.016, 0.001, -0.033, 9.611, 0.1, -0.036, 0.068, 0.045, -0.024, 9.765, 0.18, -0.219, 0.018, -0.002, -0.036, 9.669, 0.084, -0.047, 0.07, 0.041, -0.022, 9.714, 0.171, -0.271, 0.016, 0.001, -0.035, 9.611, 0.103, 0.109, 0.068, 0.044, -0.019, 9.705, 0.175, -0.246, 0.016, -0.002, -0.039]","[False, False, False, False]"
1,"[9.622, 0.109, 0.088, 0.071, 0.041, -0.022, 9.697, 0.166, -0.326, 0.02, -0.002, -0.037, 9.578, 0.144, 0.036, 0.07, 0.041, -0.024, 9.767, 0.182, -0.234, 0.014, -0.001, -0.035, 9.629, 0.117, 0.071, 0.069, 0.044, -0.023, 9.696, 0.158, -0.253, 0.015, -0.005, -0.032, 9.604, 0.083, 0.008, 0.067, 0.041, -0.019, 9.763, 0.194, -0.312, 0.018, -0.0, -0.036, 9.598, 0.087, 0.041, 0.073, 0.044, -0.022, 9.678, 0.166, -0.255, 0.014, -0.001, -0.033]","[False, False, False, False]"
2,"[9.693, 0.092, -0.048, 0.071, 0.042, -0.018, 9.732, 0.157, -0.258, 0.016, 0.0, -0.035, 9.547, 0.1, -0.053, 0.069, 0.044, -0.019, 9.765, 0.197, -0.26, 0.019, -0.004, -0.036, 9.625, 0.115, 0.068, 0.071, 0.04, -0.021, 9.724, 0.193, -0.197, 0.016, -0.003, -0.036, 9.611, 0.105, 0.007, 0.07, 0.04, -0.019, 9.735, 0.142, -0.276, 0.015, 0.003, -0.036, 9.542, 0.105, 0.072, 0.066, 0.044, -0.018, 9.71, 0.16, -0.428, 0.021, -0.002, -0.035]","[False, False, False, False]"
3,"[9.614, 0.115, 0.005, 0.071, 0.041, -0.019, 9.639, 0.164, -0.237, 0.012, -0.006, -0.035, 9.647, 0.133, -0.003, 0.07, 0.043, -0.018, 9.747, 0.197, -0.26, 0.013, -0.002, -0.035, 9.578, 0.129, 0.075, 0.072, 0.042, -0.017, 9.733, 0.16, -0.279, 0.014, -0.002, -0.034, 9.659, 0.12, 0.044, 0.069, 0.047, -0.025, 9.73, 0.169, -0.332, 0.018, -0.003, -0.034, 9.675, 0.085, -0.042, 0.07, 0.041, -0.024, 9.694, 0.16, -0.275, 0.014, -0.004, -0.035]","[False, False, False, False]"
4,"[9.605, 0.101, 0.016, 0.073, 0.045, -0.02, 9.716, 0.148, -0.22, 0.019, -0.003, -0.037, 9.666, 0.069, -0.017, 0.066, 0.044, -0.021, 9.747, 0.152, -0.27, 0.016, -0.002, -0.033, 9.687, 0.117, -0.029, 0.073, 0.04, -0.018, 9.773, 0.163, -0.339, 0.021, -0.0, -0.037, 9.638, 0.1, -0.011, 0.069, 0.036, -0.017, 9.728, 0.176, -0.288, 0.021, -0.002, -0.037, 9.595, 0.087, -0.036, 0.068, 0.039, -0.022, 9.75, 0.193, -0.333, 0.015, -0.003, -0.036]","[False, False, False, False]"
5,"[9.672, 0.086, -0.005, 0.066, 0.043, -0.026, 9.759, 0.166, -0.222, 0.016, -0.039, -0.036, 9.689, 0.076, 0.048, 0.067, 0.044, -0.024, 9.778, 0.152, -0.282, 0.015, -0.002, -0.035, 9.507, 0.102, 0.051, 0.067, 0.043, -0.02, 9.705, 0.17, -0.281, 0.016, -0.039, -0.035, 9.582, 0.094, 0.017, 0.071, 0.044, -0.027, 9.805, 0.207, -0.379, 0.013, 0.0, -0.035, 9.659, 0.108, 0.086, 0.07, 0.044, -0.022, 9.823, 0.15, -0.282, 0.014, -0.003, -0.03]","[True, True, False, False]"
6,"[9.774, 0.112, 0.015, 0.064, 0.045, -0.028, 9.706, 0.222, -0.364, 0.031, 0.005, -0.027, 9.636, 0.208, 0.179, 0.041, 0.046, -0.026, 9.85, 0.226, -0.277, 0.03, -0.013, 0.002, 9.82, -0.06, -0.044, 0.071, 0.046, -0.02, 9.775, 0.191, -0.3, 0.018, -0.002, -0.027, 9.614, 0.13, 0.077, 0.062, 0.045, -0.027, 9.855, 0.217, -0.294, 0.013, -0.012, -0.005, 9.624, 0.099, -0.064, 0.06, 0.048, -0.023, 9.68, 0.211, -0.123, 0.013, -0.029, 0.009]","[True, True, True, True]"
7,"[9.512, 0.211, 0.122, 0.075, 0.035, -0.028, 9.791, 0.089, -0.09, 0.013, -0.002, -0.038, 9.619, 0.084, -0.033, 0.038, 0.045, -0.025, 9.668, 0.319, -0.382, 0.004, 0.0, -0.031, 9.495, 0.243, 0.033, 0.066, 0.046, -0.016, 9.742, 0.24, -0.206, 0.016, -0.002, -0.027, 9.792, 0.032, 0.028, 0.069, 0.045, -0.025, 9.692, 0.289, -0.361, 0.016, 0.001, -0.031, 9.629, 0.013, -0.125, 0.075, 0.041, -0.022, 9.752, 0.226, -0.257, 0.022, -0.004, -0.034]","[True, True, False, False]"
8,"[9.433, 0.051, -0.12, 0.051, 0.039, -0.007, 9.701, 0.31, -0.318, 0.025, 0.001, -0.036, 9.601, 0.04, -0.032, 0.066, 0.042, -0.025, 9.735, 0.239, -0.266, 0.01, 0.001, -0.039, 9.592, 0.071, 0.089, 0.075, 0.043, -0.033, 9.75, 0.276, -0.407, 0.016, 0.001, -0.031, 9.69, 0.13, 0.043, 0.082, 0.042, -0.017, 9.737, 0.197, -0.245, 0.027, 0.005, -0.025, 9.592, 0.261, 0.311, 0.067, 0.039, -0.009, 9.714, 0.222, -0.197, 0.034, -0.007, -0.032]","[True, False, False, False]"
9,"[9.547, 0.124, 0.12, 0.065, 0.046, -0.014, 9.83, 0.257, -0.276, 0.026, 0.001, -0.037, 9.706, 0.1, 0.154, 0.06, 0.047, -0.019, 10.251, 0.296, -0.381, 0.029, 0.001, -0.034, 9.759, -0.282, -0.418, 0.071, 0.04, -0.024, 9.717, 0.3, -0.272, -0.018, 0.003, -0.034, 9.601, 0.233, 0.213, 0.054, 0.048, -0.016, 9.77, 0.227, -0.303, 0.001, -0.005, -0.041, 9.593, 0.264, 0.225, 0.071, 0.045, -0.014, 9.887, 0.276, -0.268, 0.01, -0.001, -0.038]","[True, True, True, False]"
