,LP,LD1,LD2,RP,RD1,RD2
0,"[array([[-0.4628916 , -0.88636235, -0.00965147, -0.1436096 ],
       [ 0.88616975, -0.4629922 ,  0.01847699,  0.19611126],
       [-0.02084587,  0.        ,  0.9997827 ,  0.08494195],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.5197662 , -0.85427982,  0.00700586, -0.16814982],
       [ 0.85420223,  0.51981341,  0.01151368,  0.26359653],
       [-0.01347765, -0.        ,  0.99990917,  0.08352959],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.5197662 , -0.85427982,  0.00700586, -0.16814982],
       [ 0.85420223,  0.51981341,  0.01151368,  0.26359653],
       [-0.01347765, -0.        ,  0.99990917,  0.08352959],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.41174627, -0.91119483,  0.01374733, -0.08603797],
       [ 0.91068738,  0.41197571,  0.03040592,  0.19730989],
       [-0.03336928,  0.        ,  0.99944309,  0.08571947],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.52072029, -0.85325827,  0.02829677, -0.0628484 ],
       [ 0.85200121, -0.52148857, -0.0462991 ,  0.24741089],
       [ 0.05426153, -0.        ,  0.99852676,  0.08182248],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.52072029, -0.85325827,  0.02829677, -0.0628484 ],
       [ 0.85200121, -0.52148857, -0.0462991 ,  0.24741089],
       [ 0.05426153, -0.        ,  0.99852676,  0.08182248],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
1,"[array([[-0.46294144, -0.88633534, -0.00974109, -0.14365218],
       [ 0.88613919, -0.46304391,  0.0186459 ,  0.19609536],
       [-0.02103707,  0.        ,  0.9997787 ,  0.08494323],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.51986738, -0.85421694,  0.00716425, -0.16818776],
       [ 0.85413584,  0.51991674,  0.01177078,  0.26357911],
       [-0.01377962, -0.        ,  0.99990506,  0.08353019],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.51986738, -0.85421694,  0.00716425, -0.16818776],
       [ 0.85413584,  0.51991674,  0.01177078,  0.26357911],
       [-0.01377962, -0.        ,  0.99990506,  0.08353019],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.41361781, -0.91032924,  0.0148654 , -0.08613921],
       [ 0.90974188,  0.41388485,  0.03269607,  0.19737501],
       [-0.03591675,  0.        ,  0.99935479,  0.08579754],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.52100474, -0.8530907 ,  0.02811245, -0.06287705],
       [ 0.85185153, -0.52176264, -0.04596432,  0.24743589],
       [ 0.05387976, -0.        ,  0.99854743,  0.08183462],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.52100474, -0.8530907 ,  0.02811245, -0.06287705],
       [ 0.85185153, -0.52176264, -0.04596432,  0.24743589],
       [ 0.05387976, -0.        ,  0.99854743,  0.08183462],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
2,"[array([[-0.46312198, -0.88624191, -0.00965977, -0.14365207],
       [ 0.88604919, -0.46322271,  0.01848116,  0.19609534],
       [-0.0208534 ,  0.        ,  0.99978254,  0.08493812],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.51997598, -0.85415017,  0.00724336, -0.16819691],
       [ 0.85406731,  0.52002643,  0.01189731,  0.26358378],
       [-0.01392882, -0.        ,  0.99990299,  0.08353394],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.51997598, -0.85415017,  0.00724336, -0.16819691],
       [ 0.85406731,  0.52002643,  0.01189731,  0.26358378],
       [-0.01392882, -0.        ,  0.99990299,  0.08353394],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.41179672, -0.91117082,  0.01382767, -0.08608689],
       [ 0.91065756,  0.41202881,  0.03057886,  0.19733903],
       [-0.03355996,  0.        ,  0.99943671,  0.08572574],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.52222563, -0.85239812,  0.02641665, -0.0627977 ],
       [ 0.85130964, -0.52289335, -0.04306328,  0.24753257],
       [ 0.05052014, -0.        ,  0.99872304,  0.08204846],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.52222563, -0.85239812,  0.02641665, -0.0627977 ],
       [ 0.85130964, -0.52289335, -0.04306328,  0.24753257],
       [ 0.05052014, -0.        ,  0.99872304,  0.08204846],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
3,"[array([[-0.46294429, -0.88633186, -0.00992033, -0.14365707],
       [ 0.88612843, -0.46305057,  0.01898864,  0.19609652],
       [-0.02142385,  0.        ,  0.99977048,  0.08495489],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.51988241, -0.85420823,  0.00711187, -0.1681912 ],
       [ 0.85412832,  0.51993105,  0.01168427,  0.26358141],
       [-0.01367848, -0.        ,  0.99990645,  0.08352298],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.51988241, -0.85420823,  0.00711187, -0.1681912 ],
       [ 0.85412832,  0.51993105,  0.01168427,  0.26358141],
       [-0.01367848, -0.        ,  0.99990645,  0.08352298],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.40738074, -0.91318725,  0.01140046, -0.08582987],
       [ 0.91282988,  0.40754023,  0.02554533,  0.19725353],
       [-0.02797382,  0.        ,  0.99960866,  0.08544561],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.52254067, -0.85216966,  0.02753418, -0.06265754],
       [ 0.85098907, -0.52326559, -0.04484108,  0.24752765],
       [ 0.0526199 , -0.        ,  0.99861461,  0.08186969],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.52254067, -0.85216966,  0.02753418, -0.06265754],
       [ 0.85098907, -0.52326559, -0.04484108,  0.24752765],
       [ 0.0526199 , -0.        ,  0.99861461,  0.08186969],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
4,"[array([[-0.46332801, -0.88613604, -0.00949045, -0.14365125],
       [ 0.88595021, -0.4634252 ,  0.01814712,  0.19609325],
       [-0.02047893,  0.        ,  0.99979028,  0.08493573],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.51957745, -0.85439433,  0.0070431 , -0.16801934],
       [ 0.85431584,  0.51962518,  0.01158063,  0.26353707],
       [-0.01355419, -0.        ,  0.99990814,  0.08331102],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.51957745, -0.85439433,  0.0070431 , -0.16801934],
       [ 0.85431584,  0.51962518,  0.01158063,  0.26353707],
       [-0.01355419, -0.        ,  0.99990814,  0.08331102],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.40741464, -0.9131715 ,  0.01145098, -0.08583448],
       [ 0.91281102,  0.40757553,  0.02565588,  0.19725227],
       [-0.02809535,  0.        ,  0.99960525,  0.08545034],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.52232877, -0.85229883,  0.02755665, -0.06267805],
       [ 0.85111518, -0.52305517, -0.04490253,  0.24752953],
       [ 0.05268402, -0.        ,  0.99861123,  0.08186865],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.52232877, -0.85229883,  0.02755665, -0.06267805],
       [ 0.85111518, -0.52305517, -0.04490253,  0.24752953],
       [ 0.05268402, -0.        ,  0.99861123,  0.08186865],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
5,"[array([[-0.4632688 , -0.88616548, -0.00963144, -0.14366691],
       [ 0.88597403, -0.46336891,  0.01841956,  0.19607936],
       [-0.02078568,  0.        ,  0.99978395,  0.0849616 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.5169407 , -0.85601876,  0.00205022, -0.1679388 ],
       [ 0.85601202,  0.51694476,  0.003395  ,  0.26347607],
       [-0.00396604, -0.        ,  0.99999214,  0.08300712],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.5169407 , -0.85601876,  0.00205022, -0.1679388 ],
       [ 0.85601202,  0.51694476,  0.003395  ,  0.26347607],
       [-0.00396604, -0.        ,  0.99999214,  0.08300712],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.40755167, -0.91311065,  0.01142717, -0.08583701],
       [ 0.91275193,  0.40771184,  0.02559228,  0.1972578 ],
       [-0.02802758,  0.        ,  0.99960715,  0.08544682],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.52258062, -0.8521457 ,  0.02751739, -0.06266394],
       [ 0.85096676, -0.5233046 , -0.04480914,  0.24753582],
       [ 0.05258389, -0.        ,  0.99861651,  0.08186883],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.52258062, -0.8521457 ,  0.02751739, -0.06266394],
       [ 0.85096676, -0.5233046 , -0.04480914,  0.24753582],
       [ 0.05258389, -0.        ,  0.99861651,  0.08186883],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
6,"[array([[-0.45573069, -0.88996336, -0.01657558, -0.14397397],
       [ 0.88937529, -0.45603203,  0.03234785,  0.19602563],
       [-0.03634739,  0.        ,  0.99933922,  0.08533518],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.51763484, -0.85558201,  0.00579589, -0.16808291],
       [ 0.85552839,  0.51766729,  0.00957925,  0.2634547 ],
       [-0.01119618, -0.        ,  0.99993732,  0.08325204],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.51763484, -0.85558201,  0.00579589, -0.16808291],
       [ 0.85552839,  0.51766729,  0.00957925,  0.2634547 ],
       [-0.01119618, -0.        ,  0.99993732,  0.08325204],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.40403244, -0.91470803,  0.00818573, -0.08590236],
       [ 0.91452036,  0.40411535,  0.01852827,  0.19701627],
       [-0.02025594,  0.        ,  0.99979483,  0.08546073],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.5259241 , -0.84979347,  0.03542454, -0.06290127],
       [ 0.84787228, -0.52711579, -0.05710993,  0.24742582],
       [ 0.06720448, -0.        ,  0.99773922,  0.0821249 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.5259241 , -0.84979347,  0.03542454, -0.06290127],
       [ 0.84787228, -0.52711579, -0.05710993,  0.24742582],
       [ 0.06720448, -0.        ,  0.99773922,  0.0821249 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
7,"[array([[-0.42448768, -0.9047389 , -0.03546437, -0.14527988],
       [ 0.90159781, -0.42596657,  0.07532514,  0.19570984],
       [-0.08325622,  0.        ,  0.99652817,  0.08696094],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.51658555, -0.85622327,  0.00459094, -0.16833443],
       [ 0.85618946,  0.51660595,  0.00760903,  0.2633519 ],
       [-0.00888674, -0.        ,  0.99996051,  0.0833176 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.51658555, -0.85622327,  0.00459094, -0.16833443],
       [ 0.85618946,  0.51660595,  0.00760903,  0.2633519 ],
       [-0.00888674, -0.        ,  0.99996051,  0.0833176 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.40181517, -0.91567782,  0.0088708 , -0.0861153 ],
       [ 0.91545476,  0.40191308,  0.02021034,  0.19701079],
       [-0.02207145,  0.        ,  0.9997564 ,  0.0855644 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.53359418, -0.84539956,  0.02401748, -0.06313795],
       [ 0.84454448, -0.53413443, -0.03801359,  0.24771914],
       [ 0.04496523, -0.        ,  0.99898855,  0.08305711],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.53359418, -0.84539956,  0.02401748, -0.06313795],
       [ 0.84454448, -0.53413443, -0.03801359,  0.24771914],
       [ 0.04496523, -0.        ,  0.99898855,  0.08305711],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
8,"[array([[-0.45743694, -0.88910659, -0.01552154, -0.143506  ],
       [ 0.88859519, -0.4577002 ,  0.03015141,  0.19599313],
       [-0.03391203,  0.        ,  0.99942482,  0.08503663],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.52067569, -0.85375047,  0.00263946, -0.16777436],
       [ 0.8537395 ,  0.52068238,  0.00432786,  0.26358015],
       [-0.00506924, -0.        ,  0.99998715,  0.0831412 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.52067569, -0.85375047,  0.00263946, -0.16777436],
       [ 0.8537395 ,  0.52068238,  0.00432786,  0.26358015],
       [-0.00506924, -0.        ,  0.99998715,  0.0831412 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.39973057, -0.91658744,  0.0091074 , -0.08606868],
       [ 0.91634963,  0.39983431,  0.02087798,  0.1969843 ],
       [-0.02277794,  0.        ,  0.99974055,  0.08553923],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.53600506, -0.84387904,  0.0238065 , -0.06321438],
       [ 0.84304792, -0.53653347, -0.03744371,  0.24774674],
       [ 0.04437094, -0.        ,  0.99901512,  0.083004  ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.53600506, -0.84387904,  0.0238065 , -0.06321438],
       [ 0.84304792, -0.53653347, -0.03744371,  0.24774674],
       [ 0.04437094, -0.        ,  0.99901512,  0.083004  ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
9,"[array([[-0.45728729, -0.88918524, -0.01542543, -0.14351725],
       [ 0.88867978, -0.45754739,  0.02997736,  0.19599997],
       [-0.03371329,  0.        ,  0.99943155,  0.08502918],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.5219555 , -0.85295531,  0.0054501 , -0.16784248],
       [ 0.85290881,  0.52198395,  0.00890581,  0.26362043],
       [-0.01044112, -0.        ,  0.99994549,  0.08330603],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.5219555 , -0.85295531,  0.0054501 , -0.16784248],
       [ 0.85290881,  0.52198395,  0.00890581,  0.26362043],
       [-0.01044112, -0.        ,  0.99994549,  0.08330603],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.39848005, -0.917136  ,  0.00867237, -0.08607154],
       [ 0.91691887,  0.39857441,  0.01995548,  0.19696437],
       [-0.02175848,  0.        ,  0.99976326,  0.08551539],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.53687945, -0.84332652,  0.02368182, -0.06331097],
       [ 0.84250729, -0.5374015 , -0.0371631 ,  0.247756  ],
       [ 0.04406727, -0.        ,  0.99902857,  0.08301066],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.53687945, -0.84332652,  0.02368182, -0.06331097],
       [ 0.84250729, -0.5374015 , -0.0371631 ,  0.247756  ],
       [ 0.04406727, -0.        ,  0.99902857,  0.08301066],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
