,transforms
0,"[array([[-0.54819466,  0.82310356, -0.00477987, -0.1141995 ],
       [-0.83628941, -0.5678901 , -0.00898045,  0.260092  ],
       [-0.01013108, -0.00116565,  0.99994825,  0.0966995 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
1,"[array([[-5.47830010e-01,  8.23048730e-01, -5.85390189e-03,
        -1.14279500e-01],
       [-8.36522743e-01, -5.67970733e-01, -8.81572880e-03,
         2.60105500e-01],
       [-1.05820933e-02, -1.89040018e-04,  9.99944006e-01,
         9.66770000e-02],
       [ 0.00000000e+00,  0.00000000e+00,  0.00000000e+00,
         1.00000000e+00]])]"
2,"[array([[-5.47974106e-01,  8.23008073e-01, -5.83412064e-03,
        -1.14278500e-01],
       [-8.36429395e-01, -5.68029654e-01, -8.73030019e-03,
         2.60103500e-01],
       [-1.04998056e-02, -1.57549690e-04,  9.99944871e-01,
         9.66745000e-02],
       [ 0.00000000e+00,  0.00000000e+00,  0.00000000e+00,
         1.00000000e+00]])]"
3,"[array([[-5.47553236e-01,  8.22938810e-01, -5.95598255e-03,
        -1.14292000e-01],
       [-8.36692442e-01, -5.68129630e-01, -9.79185696e-03,
         2.60095500e-01],
       [-1.14547426e-02, -6.61678345e-04,  9.99934321e-01,
         9.66865000e-02],
       [ 0.00000000e+00,  0.00000000e+00,  0.00000000e+00,
         1.00000000e+00]])]"
4,"[array([[-5.49953727e-01,  8.23378325e-01, -4.97411502e-03,
        -1.14204500e-01],
       [-8.35151553e-01, -5.67492827e-01, -6.93929453e-03,
         2.60111000e-01],
       [-8.53120665e-03,  1.57584368e-04,  9.99963552e-01,
         9.66225000e-02],
       [ 0.00000000e+00,  0.00000000e+00,  0.00000000e+00,
         1.00000000e+00]])]"
5,"[array([[-5.48257056e-01,  8.23395045e-01, -5.72050093e-03,
        -1.14206500e-01],
       [-8.36251363e-01, -5.67468576e-01, -8.07832782e-03,
         2.60125500e-01],
       [-9.89230231e-03,  1.26041107e-04,  9.99951007e-01,
         9.66190000e-02],
       [ 0.00000000e+00,  0.00000000e+00,  0.00000000e+00,
         1.00000000e+00]])]"
6,"[array([[-5.49351582e-01,  8.23210204e-01,  3.62548341e-04,
        -1.14215500e-01],
       [-8.35542962e-01, -5.67708350e-01,  1.05190553e-02,
         2.60484500e-01],
       [ 8.98878701e-03,  5.67361629e-03,  9.99944607e-01,
         1.00103000e-01],
       [ 0.00000000e+00,  0.00000000e+00,  0.00000000e+00,
         1.00000000e+00]])]"
7,"[array([[-0.55559002,  0.818593  , -0.00203882, -0.1143645 ],
       [-0.83137607, -0.57427922,  0.0152615 ,  0.2602665 ],
       [ 0.01155667,  0.01043456,  0.99988146,  0.1073355 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
8,"[array([[-0.5695189 ,  0.80840519, -0.00447794, -0.1141345 ],
       [-0.82178708, -0.58834687,  0.02466695,  0.2606245 ],
       [ 0.01772628,  0.01813841,  0.9996857 ,  0.1096175 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
9,"[array([[-0.57287255,  0.80603343, -0.01666806, -0.114599  ],
       [-0.8193713 , -0.59079878,  0.03745568,  0.2611075 ],
       [ 0.02115922,  0.03559371,  0.99915927,  0.110801  ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
10,"[array([[-0.57885956,  0.80147402,  0.00857383, -0.1126935 ],
       [-0.8144535 , -0.59773672,  0.04277415,  0.2614415 ],
       [ 0.03983852,  0.01871379,  0.99904798,  0.1155025 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
11,"[array([[-0.57420374,  0.80626435,  0.01545798, -0.112395  ],
       [-0.81851129, -0.5915273 ,  0.0113233 ,  0.2596825 ],
       [ 0.01814761, -0.00576623,  0.9998164 ,  0.1182545 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
12,"[array([[-0.57481206,  0.80408023,  0.05108068, -0.1102165 ],
       [-0.81721317, -0.59365521,  0.01524233,  0.260254  ],
       [ 0.04187757, -0.03206987,  0.99857821,  0.1224845 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
