,LP,LD1,LD2,RP,RD1,RD2
0,"[array([[-0.28888233, -0.95731143, -0.01009111, -0.11592145],
       [ 0.9567279 , -0.28905852,  0.03341998,  0.07770525],
       [-0.03491025,  0.        ,  0.99939045,  0.08525099],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.39304747, -0.91950935,  0.00402943, -0.1302857 ],
       [ 0.91946104,  0.39306812,  0.00942611,  0.14734895],
       [-0.01025124, -0.        ,  0.99994745,  0.08315799],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.39304747, -0.91950935,  0.00402943, -0.1302857 ],
       [ 0.91946104,  0.39306812,  0.00942611,  0.14734895],
       [-0.01025124, -0.        ,  0.99994745,  0.08315799],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.52043985, -0.85370134,  0.01834084, -0.05659745],
       [ 0.85317171,  0.52076292,  0.03006666,  0.08667872],
       [-0.03521917,  0.        ,  0.99937961,  0.08563691],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.48949341, -0.8717778 ,  0.01999182, -0.02727405],
       [ 0.87105162, -0.48990149, -0.03557536,  0.13261041],
       [ 0.04080783, -0.        ,  0.99916701,  0.08192131],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.48949341, -0.8717778 ,  0.01999182, -0.02727405],
       [ 0.87105162, -0.48990149, -0.03557536,  0.13261041],
       [ 0.04080783, -0.        ,  0.99916701,  0.08192131],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
1,"[array([[-0.2887571 , -0.95734921, -0.01009107, -0.11591969],
       [ 0.95676516, -0.28893337,  0.03343567,  0.07770484],
       [-0.03492526,  0.        ,  0.99938993,  0.08525333],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.39314969, -0.91946547,  0.00406983, -0.13028875],
       [ 0.91941621,  0.39317076,  0.00951767,  0.14734583],
       [-0.01035131, -0.        ,  0.99994642,  0.08316417],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.39314969, -0.91946547,  0.00406983, -0.13028875],
       [ 0.91941621,  0.39317076,  0.00951767,  0.14734583],
       [-0.01035131, -0.        ,  0.99994642,  0.08316417],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.52902213, -0.84856136,  0.00890024, -0.05675008],
       [ 0.84844129,  0.52909699,  0.01427412,  0.08685565],
       [-0.01682156,  0.        ,  0.99985851,  0.0852278 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.4896812 , -0.87167202,  0.02000512, -0.02726863],
       [ 0.87094553, -0.49008967, -0.03558104,  0.1326072 ],
       [ 0.0408193 , -0.        ,  0.99916654,  0.08192095],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.4896812 , -0.87167202,  0.02000512, -0.02726863],
       [ 0.87094553, -0.49008967, -0.03558104,  0.1326072 ],
       [ 0.0408193 , -0.        ,  0.99916654,  0.08192095],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
2,"[array([[-0.28883125, -0.95732511, -0.01025429, -0.11592075],
       [ 0.95672235, -0.28901322,  0.03396623,  0.07770489],
       [-0.03548035,  0.        ,  0.99937037,  0.08527176],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.39312508, -0.91947582,  0.00410917, -0.13028702],
       [ 0.9194256 ,  0.39314656,  0.00961036,  0.14734943],
       [-0.010452  , -0.        ,  0.99994538,  0.08316837],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.39312508, -0.91947582,  0.00410917, -0.13028702],
       [ 0.9194256 ,  0.39314656,  0.00961036,  0.14734943],
       [-0.010452  , -0.        ,  0.99994538,  0.08316837],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.52130545, -0.8532032 ,  0.01687987, -0.05665142],
       [ 0.85275627,  0.52157866,  0.02761224,  0.08665327],
       [-0.03236303,  0.        ,  0.99947618,  0.08553493],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.48961565, -0.87170552,  0.02014949, -0.02727317],
       [ 0.87096828, -0.49003009, -0.03584356,  0.13261029],
       [ 0.04111889, -0.        ,  0.99915426,  0.08190442],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.48961565, -0.87170552,  0.02014949, -0.02727317],
       [ 0.87096828, -0.49003009, -0.03584356,  0.13261029],
       [ 0.04111889, -0.        ,  0.99915426,  0.08190442],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
3,"[array([[-0.28877559, -0.957344  , -0.01005628, -0.11592021],
       [ 0.95676404, -0.28895063,  0.03331821,  0.07770467],
       [-0.03480276,  0.        ,  0.9993942 ,  0.08524958],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.39293807, -0.91955585,  0.00408769, -0.13028143],
       [ 0.9195061 ,  0.39295933,  0.00956552,  0.14734302],
       [-0.01040233, -0.        ,  0.99994589,  0.08316479],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.39293807, -0.91955585,  0.00408769, -0.13028143],
       [ 0.9195061 ,  0.39295933,  0.00956552,  0.14734302],
       [-0.01040233, -0.        ,  0.99994589,  0.08316479],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.52059542, -0.85360658,  0.01833606, -0.0566071 ],
       [ 0.85307761,  0.52091823,  0.03004652,  0.08667921],
       [-0.03519949,  0.        ,  0.99938031,  0.08563547],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.48943814, -0.87180596,  0.02011647, -0.0272832 ],
       [ 0.87107052, -0.48985137, -0.035802  ,  0.1326065 ],
       [ 0.04106647, -0.        ,  0.99915642,  0.08190709],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.48943814, -0.87180596,  0.02011647, -0.0272832 ],
       [ 0.87107052, -0.48985137, -0.035802  ,  0.1326065 ],
       [ 0.04106647, -0.        ,  0.99915642,  0.08190709],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
4,"[array([[-0.28876195, -0.95734758, -0.01010727, -0.11591956],
       [ 0.95676167, -0.28893878,  0.03348865,  0.07770086],
       [-0.03498066,  0.        ,  0.99938799,  0.08525257],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.39307646, -0.91949652,  0.00412886, -0.13028857],
       [ 0.9194458 ,  0.39309814,  0.00965782,  0.14734657],
       [-0.01050338, -0.        ,  0.99994484,  0.08316901],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.39307646, -0.91949652,  0.00412886, -0.13028857],
       [ 0.9194458 ,  0.39309814,  0.00965782,  0.14734657],
       [-0.01050338, -0.        ,  0.99994484,  0.08316901],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.52939977, -0.84833957,  0.00747401, -0.05679257],
       [ 0.84825504,  0.52945252,  0.01197557,  0.08682698],
       [-0.01411648,  0.        ,  0.99990036,  0.08512421],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.48947063, -0.87178718,  0.02013961, -0.02727991],
       [ 0.87105017, -0.48988479, -0.03583997,  0.13260469],
       [ 0.04111092, -0.        ,  0.99915459,  0.08190767],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.48947063, -0.87178718,  0.02013961, -0.02727991],
       [ 0.87105017, -0.48988479, -0.03583997,  0.13260469],
       [ 0.04111092, -0.        ,  0.99915459,  0.08190767],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
5,"[array([[-0.28873376, -0.95735605, -0.01010967, -0.11591929],
       [ 0.95676975, -0.2889107 ,  0.03350015,  0.077704  ],
       [-0.03499236,  0.        ,  0.99938758,  0.08525583],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.39298568, -0.91953515,  0.00416626, -0.13028185],
       [ 0.91948348,  0.39300776,  0.00974796,  0.14734296],
       [-0.01060096, -0.        ,  0.99994381,  0.08317511],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.39298568, -0.91953515,  0.00416626, -0.13028185],
       [ 0.91948348,  0.39300776,  0.00974796,  0.14734296],
       [-0.01060096, -0.        ,  0.99994381,  0.08317511],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.52924639, -0.84843531,  0.00746878, -0.05678698],
       [ 0.84835084,  0.52929909,  0.01197202,  0.08682047],
       [-0.01411071,  0.        ,  0.99990044,  0.08512608],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.48948939, -0.8717778 ,  0.02008989, -0.02727918],
       [ 0.87104447, -0.48990149, -0.03574988,  0.13260864],
       [ 0.04100802, -0.        ,  0.99915882,  0.08191294],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.48948939, -0.8717778 ,  0.02008989, -0.02727918],
       [ 0.87104447, -0.48990149, -0.03574988,  0.13260864],
       [ 0.04100802, -0.        ,  0.99915882,  0.08191294],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
6,"[array([[-0.28845999, -0.95743713, -0.01024565, -0.11593134],
       [ 0.95683377, -0.28864189,  0.03398524,  0.07770862],
       [-0.03549605,  0.        ,  0.99936982,  0.08527511],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.3928465 , -0.91959462,  0.00416596, -0.13027469],
       [ 0.91954292,  0.39286859,  0.00975134,  0.14734344],
       [-0.01060395, -0.        ,  0.99994378,  0.08317521],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.3928465 , -0.91959462,  0.00416596, -0.13027469],
       [ 0.91954292,  0.39286859,  0.00975134,  0.14734344],
       [-0.01060395, -0.        ,  0.99994378,  0.08317521],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.52933266, -0.84837847,  0.00780446, -0.05678941],
       [ 0.84828627,  0.52939019,  0.01250709,  0.08682573],
       [-0.01474235,  0.        ,  0.99989133,  0.08515023],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.48959366, -0.87172023,  0.02004718, -0.02727307],
       [ 0.87099038, -0.49000392, -0.03566406,  0.13260895],
       [ 0.04091228, -0.        ,  0.99916274,  0.08191699],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.48959366, -0.87172023,  0.02004718, -0.02727307],
       [ 0.87099038, -0.49000392, -0.03566406,  0.13260895],
       [ 0.04091228, -0.        ,  0.99916274,  0.08191699],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
7,"[array([[-0.28893403, -0.95729579, -0.01009472, -0.11590512],
       [ 0.95671206, -0.28911032,  0.03342542,  0.07770002],
       [-0.0349165 ,  0.        ,  0.99939023,  0.08525213],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.39312508, -0.91947582,  0.00410917, -0.13028102],
       [ 0.9194256 ,  0.39314656,  0.00961036,  0.14734743],
       [-0.010452  , -0.        ,  0.99994538,  0.08316737],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.39312508, -0.91947582,  0.00410917, -0.13028102],
       [ 0.9194256 ,  0.39314656,  0.00961036,  0.14734743],
       [-0.010452  , -0.        ,  0.99994538,  0.08316737],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.52870692, -0.84875714,  0.00896212, -0.05673775],
       [ 0.84863522,  0.52878287,  0.01438523,  0.08684952],
       [-0.01694858,  0.        ,  0.99985636,  0.08523065],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.48961504, -0.87170818,  0.02004893, -0.02726723],
       [ 0.87097827, -0.49002535, -0.03566513,  0.13260804],
       [ 0.04091407, -0.        ,  0.99916267,  0.08191693],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.48961504, -0.87170818,  0.02004893, -0.02726723],
       [ 0.87097827, -0.49002535, -0.03566513,  0.13260804],
       [ 0.04091407, -0.        ,  0.99916267,  0.08191693],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
8,"[array([[-0.2888817 , -0.95731143, -0.0101091 , -0.11591247],
       [ 0.95672582, -0.28905852,  0.03347959,  0.0777003 ],
       [-0.03497251,  0.        ,  0.99938827,  0.08525638],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.39281736, -0.91960743,  0.00408622, -0.13027383],
       [ 0.91955768,  0.39283861,  0.00956556,  0.14734184],
       [-0.01040178, -0.        ,  0.9999459 ,  0.08316478],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.39281736, -0.91960743,  0.00408622, -0.13027383],
       [ 0.91955768,  0.39283861,  0.00956556,  0.14734184],
       [-0.01040178, -0.        ,  0.9999459 ,  0.08316478],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.52525158, -0.85077709,  0.01700365, -0.05678428],
       [ 0.85033164,  0.52552673,  0.02752727,  0.08677962],
       [-0.03235545,  0.        ,  0.99947643,  0.08553576],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.48969492, -0.87166264,  0.02007804, -0.02726706],
       [ 0.87093089, -0.49010636, -0.03570914,  0.13261244],
       [ 0.0409667 , -0.        ,  0.99916051,  0.08191726],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.48969492, -0.87166264,  0.02007804, -0.02726706],
       [ 0.87093089, -0.49010636, -0.03570914,  0.13261244],
       [ 0.0409667 , -0.        ,  0.99916051,  0.08191726],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
9,"[array([[-0.28843792, -0.95744423, -0.01020361, -0.11593692],
       [ 0.95684571, -0.28861834,  0.0338488 ,  0.07770262],
       [-0.03535329,  0.        ,  0.99937488,  0.08527091],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.39271552, -0.91965128,  0.00400658, -0.13027378],
       [ 0.91960342,  0.39273595,  0.00938201,  0.14733892],
       [-0.0102017 , -0.        ,  0.99994796,  0.08315641],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.39271552, -0.91965128,  0.00400658, -0.13027378],
       [ 0.91960342,  0.39273595,  0.00938201,  0.14733892],
       [-0.0102017 , -0.        ,  0.99994796,  0.08315641],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.52546405, -0.85064576,  0.01700918, -0.05679488],
       [ 0.85020046,  0.52573927,  0.02752083,  0.08678745],
       [-0.03235287,  0.        ,  0.99947651,  0.0855357 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.48971301, -0.87165593,  0.01992773, -0.0272674 ],
       [ 0.87093514, -0.4901183 , -0.03544067,  0.13261014],
       [ 0.04065901, -0.        ,  0.99917308,  0.08192904],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.48971301, -0.87165593,  0.01992773, -0.0272674 ],
       [ 0.87093514, -0.4901183 , -0.03544067,  0.13261014],
       [ 0.04065901, -0.        ,  0.99917308,  0.08192904],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
