,transforms
0,"[array([[ 1.24120423e-01, -9.91788779e-01,  4.99423863e-04,
        -6.73790000e-02],
       [ 9.92219653e-01,  1.27874700e-01, -9.84795720e-03,
         1.60326500e-01],
       [ 9.70982004e-03,  1.75471287e-03,  9.99951383e-01,
         1.04444000e-01],
       [ 0.00000000e+00,  0.00000000e+00,  0.00000000e+00,
         1.00000000e+00]])]"
1,"[array([[ 1.24201328e-01, -9.91798244e-01,  6.70534590e-04,
        -6.73810000e-02],
       [ 9.92205822e-01,  1.27798067e-01, -1.02441396e-02,
         1.60326000e-01],
       [ 1.00815450e-02,  1.97432032e-03,  9.99947303e-01,
         1.04441500e-01],
       [ 0.00000000e+00,  0.00000000e+00,  0.00000000e+00,
         1.00000000e+00]])]"
2,"[array([[ 1.23998072e-01, -9.91787861e-01,  6.85386552e-04,
        -6.73775000e-02],
       [ 9.92232492e-01,  1.27878622e-01, -1.01209480e-02,
         1.60327500e-01],
       [ 9.95785919e-03,  1.97411252e-03,  9.99948547e-01,
         1.04443500e-01],
       [ 0.00000000e+00,  0.00000000e+00,  0.00000000e+00,
         1.00000000e+00]])]"
3,"[array([[ 1.24059353e-01, -9.91829492e-01,  4.96980626e-04,
        -6.73810000e-02],
       [ 9.92226869e-01,  1.27558535e-01, -9.89089390e-03,
         1.60327500e-01],
       [ 9.75283386e-03,  1.75467402e-03,  9.99950960e-01,
         1.04443000e-01],
       [ 0.00000000e+00,  0.00000000e+00,  0.00000000e+00,
         1.00000000e+00]])]"
4,"[array([[ 1.24430585e-01, -9.91817643e-01,  6.77693029e-04,
        -6.73815000e-02],
       [ 9.92179976e-01,  1.27647905e-01, -9.95579714e-03,
         1.60328500e-01],
       [ 9.79410448e-03,  1.94308130e-03,  9.99950210e-01,
         1.04443000e-01],
       [ 0.00000000e+00,  0.00000000e+00,  0.00000000e+00,
         1.00000000e+00]])]"
5,"[array([[ 1.24094904e-01, -9.91808469e-01,  5.83519046e-04,
        -6.73820000e-02],
       [ 9.92222021e-01,  1.27720565e-01, -9.94296580e-03,
         1.60330000e-01],
       [ 9.79370367e-03,  1.84875204e-03,  9.99950397e-01,
         1.04443500e-01],
       [ 0.00000000e+00,  0.00000000e+00,  0.00000000e+00,
         1.00000000e+00]])]"
6,"[array([[ 1.24354055e-01, -9.91784567e-01,  5.35408349e-04,
        -6.73820000e-02],
       [ 9.92188367e-01,  1.27906485e-01, -1.00599350e-02,
         1.60330500e-01],
       [ 9.91527349e-03,  1.81783292e-03,  9.99949254e-01,
         1.04444000e-01],
       [ 0.00000000e+00,  0.00000000e+00,  0.00000000e+00,
         1.00000000e+00]])]"
7,"[array([[ 1.24206681e-01, -9.91805401e-01,  5.67465610e-04,
        -6.73800000e-02],
       [ 9.92206780e-01,  1.27744385e-01, -1.00684453e-02,
         1.60334000e-01],
       [ 9.92000113e-03,  1.84909684e-03,  9.99949151e-01,
         1.04444500e-01],
       [ 0.00000000e+00,  0.00000000e+00,  0.00000000e+00,
         1.00000000e+00]])]"
8,"[array([[ 1.24349412e-01, -9.91795522e-01,  5.41889577e-04,
        -6.73810000e-02],
       [ 9.92191770e-01,  1.27821950e-01, -9.77214320e-03,
         1.60333000e-01],
       [ 9.62891759e-03,  1.78662363e-03,  9.99952105e-01,
         1.04447500e-01],
       [ 0.00000000e+00,  0.00000000e+00,  0.00000000e+00,
         1.00000000e+00]])]"
9,"[array([[ 1.24237338e-01, -9.91811296e-01,  5.84099860e-04,
        -6.73810000e-02],
       [ 9.92204182e-01,  1.27698604e-01, -9.94476794e-03,
         1.60329000e-01],
       [ 9.79515938e-03,  1.84934159e-03,  9.99950379e-01,
         1.04444500e-01],
       [ 0.00000000e+00,  0.00000000e+00,  0.00000000e+00,
         1.00000000e+00]])]"
10,"[array([[ 1.24257496e-01, -9.91819745e-01,  6.30812968e-04,
        -6.73825000e-02],
       [ 9.92200443e-01,  1.27632044e-01, -1.00739090e-02,
         1.60329500e-01],
       [ 9.91745893e-03,  1.91150373e-03,  9.99949058e-01,
         1.04443500e-01],
       [ 0.00000000e+00,  0.00000000e+00,  0.00000000e+00,
         1.00000000e+00]])]"
11,"[array([[ 1.24430433e-01, -9.91805002e-01,  5.05484686e-04,
        -6.74525000e-02],
       [ 9.92178764e-01,  1.27748371e-01, -1.00591379e-02,
         1.60321000e-01],
       [ 9.91806836e-03,  1.78647133e-03,  9.99949278e-01,
         1.04444500e-01],
       [ 0.00000000e+00,  0.00000000e+00,  0.00000000e+00,
         1.00000000e+00]])]"
12,"[array([[ 1.23758991e-01, -9.91852298e-01,  5.08209487e-04,
        -6.75930000e-02],
       [ 9.92262715e-01,  1.27380652e-01, -1.00607957e-02,
         1.60333000e-01],
       [ 9.92056036e-03,  1.78571008e-03,  9.99949260e-01,
         1.04445500e-01],
       [ 0.00000000e+00,  0.00000000e+00,  0.00000000e+00,
         1.00000000e+00]])]"
13,"[array([[ 1.24125186e-01, -9.91826727e-01,  8.38261741e-04,
        -6.75630000e-02],
       [ 9.92216147e-01,  1.27574300e-01, -1.01855722e-02,
         1.60345500e-01],
       [ 1.00027622e-02,  2.13093894e-03,  9.99947774e-01,
         1.04441000e-01],
       [ 0.00000000e+00,  0.00000000e+00,  0.00000000e+00,
         1.00000000e+00]])]"
14,"[array([[ 1.24308665e-01, -9.91846475e-01,  9.02313856e-04,
        -6.75460000e-02],
       [ 9.92195632e-01,  1.27420151e-01, -9.94548101e-03,
         1.60352000e-01],
       [ 9.75618388e-03,  2.16231933e-03,  9.99950135e-01,
         1.04438500e-01],
       [ 0.00000000e+00,  0.00000000e+00,  0.00000000e+00,
         1.00000000e+00]])]"
15,"[array([[ 0.12385021, -0.99196162,  0.00112048, -0.067912  ],
       [ 0.99224998,  0.12651613, -0.01027318,  0.160397  ],
       [ 0.01005533,  0.00241132,  0.9999466 ,  0.1044405 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
16,"[array([[ 0.12494513, -0.99182955,  0.0012196 , -0.0678305 ],
       [ 0.99211397,  0.12754555, -0.01016141,  0.160403  ],
       [ 0.00992941,  0.00250581,  0.99994763,  0.104443  ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
17,"[array([[ 0.1248437 , -0.99184845,  0.00102934, -0.067845  ],
       [ 0.99212877,  0.12740257, -0.00993051,  0.160394  ],
       [ 0.00972432,  0.00228623,  0.99995016,  0.1044445 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
18,"[array([[ 0.12493019, -0.99182535,  0.00117214, -0.067843  ],
       [ 0.99211706,  0.12757945, -0.01003239,  0.160395  ],
       [ 0.00980737,  0.00244261,  0.99994899,  0.104442  ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
19,"[array([[ 0.12483331, -0.9917584 ,  0.00150164, -0.0676665 ],
       [ 0.99213333,  0.12809312, -0.00964919,  0.1603855 ],
       [ 0.00938627,  0.00272539,  0.99995232,  0.1044435 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
20,"[array([[ 0.125245  , -0.99163334,  0.00190401, -0.0673615 ],
       [ 0.99208419,  0.12904925, -0.00940318,  0.1603525 ],
       [ 0.0090907 ,  0.00310169,  0.99995398,  0.1044465 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
21,"[array([[ 0.12758311, -0.99150289,  0.0010083 , -0.066239  ],
       [ 0.99177577,  0.13006347, -0.01038043,  0.1601915 ],
       [ 0.01016697,  0.00234998,  0.99994561,  0.1044415 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
22,"[array([[ 0.13494117, -0.99110092, -0.00309243, -0.0631645 ],
       [ 0.99084307,  0.13308899, -0.00419249,  0.1598335 ],
       [ 0.00457146, -0.00250697,  0.99998643,  0.104538  ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
23,"[array([[ 0.15181229, -0.98872444, -0.00246226, -0.060098  ],
       [ 0.98840112,  0.14973456, -0.00370134,  0.159143  ],
       [ 0.00403225, -0.0018803 ,  0.99999012,  0.10456   ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
24,"[array([[ 0.18591593, -0.9822921 , -0.00223356, -0.0556515 ],
       [ 0.98255012,  0.18735195, -0.00520096,  0.1575185 ],
       [ 0.00552555, -0.00121962,  0.99998398,  0.1045635 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
25,"[array([[ 0.23832248, -0.97158744, -0.00260983, -0.050867  ],
       [ 0.9711745 ,  0.23667595, -0.00424172,  0.1551425 ],
       [ 0.00474149, -0.00153178,  0.9999876 ,  0.1046525 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
26,"[array([[ 0.31140605, -0.95046991, -0.0036612 , -0.0459855 ],
       [ 0.95026228,  0.31080932, -0.00435519,  0.151776  ],
       [ 0.00527877, -0.00212626,  0.99998381,  0.104693  ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
27,"[array([[ 0.37791049, -0.92569591, -0.00436345, -0.042386  ],
       [ 0.92582252,  0.37826184, -0.00472859,  0.1482195 ],
       [ 0.00602695, -0.00225063,  0.9999793 ,  0.104728  ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
28,"[array([[ 0.39918517, -0.91775346, -0.00621124, -0.0416155 ],
       [ 0.91681082,  0.39714422, -0.00868849,  0.1476265 ],
       [ 0.01044573, -0.00224993,  0.99994296,  0.10473   ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
29,"[array([[ 0.39929661, -0.91780654, -0.00818095, -0.04192   ],
       [ 0.91675838,  0.39700512, -0.00819908,  0.1477025 ],
       [ 0.01078392, -0.00425374,  0.99993292,  0.104769  ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
30,"[array([[ 0.39400928, -0.91852497, -0.00616262, -0.044993  ],
       [ 0.91907804,  0.39534661, -0.00522223,  0.1490005 ],
       [ 0.007228  , -0.00359605,  0.99996737,  0.1047315 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
31,"[array([[ 0.38812919, -0.92491888, -0.00711187, -0.05073   ],
       [ 0.92160288,  0.38006886,  0.0051287 ,  0.1509325 ],
       [-0.00196638, -0.00852749,  0.99996156,  0.104759  ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
32,"[array([[ 0.35635143, -0.93769111, -0.00931671, -0.057724  ],
       [ 0.93434984,  0.34730464,  0.00570361,  0.15271   ],
       [-0.00200926, -0.01071773,  0.99994033,  0.1047045 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
33,"[array([[ 0.25596574, -0.96560677, -0.00119636, -0.0673115 ],
       [ 0.96662325,  0.26000115, -0.01106363,  0.1553165 ],
       [ 0.01100127,  0.00172145,  0.99993808,  0.1044405 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
34,"[array([[ 0.20183828, -0.97799892,  0.00181255, -0.071112  ],
       [ 0.9793584 ,  0.20856831, -0.01148438,  0.1566015 ],
       [ 0.01088222,  0.00416823,  0.99993241,  0.1044785 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
35,"[array([[ 0.17780889, -0.982806  ,  0.00485938, -0.0726595 ],
       [ 0.98402745,  0.18452492, -0.00961816,  0.1567655 ],
       [ 0.00860099,  0.006551  ,  0.99994194,  0.1044755 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
36,"[array([[ 0.18029556, -0.98218308,  0.00511702, -0.0711635 ],
       [ 0.98358075,  0.18780673, -0.00896951,  0.1565195 ],
       [ 0.00790008,  0.00671074,  0.99994668,  0.104494  ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
37,"[array([[ 0.18055695, -0.98219832,  0.00468132, -0.070885  ],
       [ 0.98352869,  0.1877391 , -0.00939659,  0.156446  ],
       [ 0.00839704,  0.00636244,  0.99994489,  0.1044905 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
38,"[array([[ 0.18073834, -0.98216164,  0.00475525, -0.0706875 ],
       [ 0.9834961 ,  0.18792885, -0.00932412,  0.156427  ],
       [ 0.00831123,  0.00642304,  0.99994522,  0.1044875 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
39,"[array([[ 0.18437498, -0.9823754 ,  0.0022895 , -0.068825  ],
       [ 0.98282324,  0.18687885, -0.00859107,  0.1562065 ],
       [ 0.0080217 ,  0.00385479,  0.99996048,  0.1044585 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
40,"[array([[ 0.22069891, -0.97590031, -0.00377538, -0.060957  ],
       [ 0.97533203,  0.21819776, -0.00366358,  0.155751  ],
       [ 0.0044065 , -0.00288505,  0.99998616,  0.104563  ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
