,features,labels
0,"[9.535, 0.199, -0.001, 0.086, 0.057, -0.04, 9.792, -0.081, -0.352, -2.406, -1.27, 5.003, 9.591, 0.207, -0.109, 0.078, 0.041, -0.069, 9.769, -0.056, -0.374, -2.406, -1.27, 5.003, 9.646, 0.21, -0.004, 0.069, 0.028, -0.086, 9.76, -0.112, -0.403, -2.409, -1.271, 5.003, 9.539, 0.224, -0.043, 0.068, 0.029, -0.087, 9.796, -0.047, -0.315, -2.407, -1.272, 5.003, 9.613, 0.223, 0.07, 0.069, 0.023, -0.082, 9.774, -0.066, -0.313, -2.406, -1.272, 5.003]","[False, False, False, False]"
1,"[9.624, 0.199, -0.008, 0.065, 0.027, -0.035, 9.796, 0.003, -0.328, -2.406, -1.27, 5.003, 9.638, 0.163, -0.029, 0.067, 0.032, -0.025, 9.776, -0.118, -0.346, -2.405, -1.273, 5.003, 9.596, 0.193, -0.121, 0.07, 0.039, -0.031, 9.708, -0.041, -0.317, -2.408, -1.272, 5.003, 9.679, 0.189, -0.013, 0.068, 0.036, -0.027, 9.78, -0.054, -0.33, -2.408, -1.272, 5.003, 9.654, 0.218, 0.025, 0.067, 0.033, -0.028, 9.84, -0.059, -0.373, -2.408, -1.274, 5.003]","[False, False, False, False]"
2,"[9.65, 0.185, 0.078, 0.07, 0.034, -0.029, 9.708, -0.01, -0.324, -2.41, -1.274, 5.003, 9.587, 0.182, -0.037, 0.069, 0.035, -0.029, 9.781, -0.072, -0.386, -2.407, -1.271, 5.003, 9.581, 0.23, -0.063, 0.067, 0.034, -0.031, 9.799, -0.06, -0.354, -2.406, -1.273, 5.003, 9.608, 0.2, 0.031, 0.069, 0.034, -0.033, 9.796, -0.064, -0.328, -2.407, -1.27, 5.003, 9.63, 0.212, 0.048, 0.069, 0.035, -0.027, 9.759, -0.051, -0.322, -2.408, -1.273, 5.003]","[False, False, False, False]"
3,"[9.636, 0.2, -0.005, 0.064, 0.031, -0.027, 9.846, -0.069, -0.278, -2.408, -1.273, 5.003, 9.639, 0.172, -0.053, 0.07, 0.036, -0.035, 9.786, -0.06, -0.293, -2.407, -1.274, 5.003, 9.754, 0.215, 0.001, 0.068, 0.037, -0.028, 9.726, -0.078, -0.328, -2.408, -1.271, 5.003, 9.607, 0.198, 0.016, 0.069, 0.03, -0.026, 9.8, -0.066, -0.359, -2.409, -1.269, 5.003, 9.709, 0.215, -0.13, 0.07, 0.035, -0.027, 9.8, -0.062, -0.267, -2.408, -1.272, 5.003]","[False, False, False, False]"
4,"[9.632, 0.175, 0.012, 0.068, 0.036, -0.027, 9.794, -0.068, -0.344, -2.407, -1.271, 5.003, 9.706, 0.242, -0.008, 0.069, 0.033, -0.03, 9.765, -0.035, -0.398, -2.406, -1.27, 5.003, 9.607, 0.208, -0.01, 0.066, 0.03, -0.029, 9.748, -0.069, -0.377, -2.407, -1.271, 5.003, 9.66, 0.193, 0.013, 0.07, 0.032, -0.026, 9.811, -0.098, -0.321, -2.408, -1.273, 5.003, 9.631, 0.194, -0.038, 0.065, 0.035, -0.03, 9.801, -0.051, -0.371, -2.406, -1.273, 5.003]","[False, False, False, False]"
5,"[9.671, 0.216, -0.025, 0.065, 0.034, -0.03, 9.848, -0.058, -0.336, -2.41, -1.273, 5.003, 9.645, 0.199, -0.098, 0.067, 0.034, -0.029, 9.748, -0.108, -0.366, -2.406, -1.27, 5.003, 9.695, 0.228, 0.005, 0.067, 0.033, -0.027, 9.734, -0.065, -0.413, -2.405, -1.27, 5.003, 9.72, 0.221, -0.081, 0.067, 0.036, -0.024, 9.745, -0.05, -0.276, -2.407, -1.272, 5.003, 9.642, 0.23, 0.051, 0.064, 0.035, -0.032, 9.74, -0.062, -0.343, -2.408, -1.27, 5.003]","[False, False, False, False]"
6,"[9.71, 0.203, -0.042, 0.071, 0.031, -0.028, 9.81, -0.058, -0.285, -2.407, -1.274, 5.003, 9.75, 0.239, -0.049, 0.064, 0.033, -0.031, 9.798, -0.041, -0.364, -2.405, -1.273, 5.003, 9.648, 0.182, -0.051, 0.069, 0.034, -0.033, 9.727, -0.038, -0.37, -2.406, -1.271, 5.003, 9.755, 0.182, -0.053, 0.065, 0.032, -0.027, 9.74, -0.072, -0.364, -2.408, -1.271, 5.003, 9.623, 0.231, -0.064, 0.066, 0.034, -0.025, 9.617, -0.026, -0.307, -2.409, -1.271, 5.003]","[False, False, False, False]"
7,"[9.64, 0.181, -0.134, 0.065, 0.035, -0.025, 9.78, -0.068, -0.401, -2.407, -1.271, 5.003, 9.676, 0.182, -0.023, 0.061, 0.033, -0.03, 9.865, -0.06, -0.389, -2.406, -1.272, 5.003, 9.604, 0.192, -0.045, 0.065, 0.034, -0.028, 9.784, -0.103, -0.313, -2.408, -1.269, 5.003, 9.611, 0.181, -0.076, 0.063, 0.032, -0.029, 9.739, -0.075, -0.513, -2.407, -1.27, 5.003, 9.745, 0.177, 0.005, 0.068, 0.038, -0.028, 9.782, -0.089, -0.34, -2.406, -1.271, 5.003]","[False, False, False, False]"
8,"[9.712, 0.197, -0.058, 0.065, 0.033, -0.032, 9.788, -0.059, -0.384, -2.41, -1.272, 5.003, 9.629, 0.23, 0.004, 0.072, 0.036, -0.023, 9.775, -0.032, -0.311, -2.409, -1.273, 5.003, 9.555, 0.158, 0.029, 0.064, 0.032, -0.029, 9.72, -0.087, -0.351, -2.406, -1.273, 5.003, 9.668, 0.214, -0.026, 0.069, 0.032, -0.026, 9.762, -0.108, -0.377, -2.408, -1.27, 5.003, 9.623, 0.169, -0.007, 0.071, 0.035, -0.032, 9.757, -0.066, -0.389, -2.407, -1.272, 5.003]","[False, False, False, False]"
9,"[9.653, 0.138, 0.103, 0.064, 0.032, -0.033, 10.029, -0.165, -0.271, -2.408, -1.273, 5.003, 9.541, 0.152, 0.005, 0.07, 0.035, -0.03, 9.609, -0.001, -0.425, -2.409, -1.272, 5.003, 9.6, 0.224, 0.004, 0.065, 0.031, -0.029, 9.308, -0.121, 0.255, -2.405, -1.272, 5.003, 9.189, 0.017, 0.086, 0.067, 0.035, -0.03, 2.603, 0.044, 11.036, 0.665, 0.022, -4.298, 9.817, 0.362, 0.176, 0.064, 0.035, -0.023, 2.603, 0.044, 11.036, 0.665, 0.022, -4.298]","[False, False, False, False]"
