,transforms
0,"[array([[ 0.68989336,  0.71168606, -0.00851374,  0.0173195 ],
       [-0.72389567,  0.7024609 , -0.00160322,  0.3593185 ],
       [ 0.00471319,  0.00718558,  0.99996247,  0.1053355 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
1,"[array([[ 0.68970242,  0.71175002, -0.00825088,  0.017322  ],
       [-0.72407814,  0.70239893, -0.00146738,  0.35932   ],
       [ 0.00462831,  0.00690349,  0.99996488,  0.105334  ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
2,"[array([[ 0.68980997,  0.71171731, -0.00841188,  0.017322  ],
       [-0.72397647,  0.70242859, -0.00179637,  0.359316  ],
       [ 0.00450224,  0.00724897,  0.99996301,  0.1053385 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
3,"[array([[ 0.6896776 ,  0.71176488, -0.00825374,  0.0173245 ],
       [-0.72410257,  0.70238262, -0.0016428 ,  0.359315  ],
       [ 0.00450302,  0.00702885,  0.99996459,  0.105337  ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
4,"[array([[ 0.68999912,  0.71160822, -0.00825169,  0.017326  ],
       [-0.7237962 ,  0.70254135, -0.00164459,  0.3593095 ],
       [ 0.00450347,  0.00702761,  0.9999646 ,  0.105332  ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
5,"[array([[ 0.68985147,  0.71170227, -0.00843911,  0.017325  ],
       [-0.72393587,  0.70244512, -0.00159003,  0.3593115 ],
       [ 0.00467083,  0.0071233 ,  0.99996313,  0.1053295 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
6,"[array([[ 0.71215207,  0.68943854, -0.00833766,  0.0168455 ],
       [-0.70200913,  0.72431067, -0.00168379,  0.359261  ],
       [ 0.00475582,  0.00696815,  0.99996382,  0.105324  ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
7,"[array([[ 0.76240679,  0.63404552, -0.00872352,  0.016303  ],
       [-0.64707308,  0.77326682, -0.00149368,  0.3586495 ],
       [ 0.00568458,  0.00668639,  0.99996083,  0.1053285 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
8,"[array([[ 0.8272742 ,  0.54794134, -0.00963234,  0.0166205 ],
       [-0.56175069,  0.83649343, -0.00115803,  0.3584625 ],
       [ 0.00731841,  0.00624694,  0.99995294,  0.1053225 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
9,"[array([[ 0.88113129,  0.45693494, -0.0076328 ,  0.016549  ],
       [-0.47283397,  0.88948661, -0.00158962,  0.358668  ],
       [ 0.00597406,  0.00490179,  0.99996961,  0.105323  ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
10,"[array([[ 0.93581178,  0.33445832, -0.00816564,  0.016529  ],
       [-0.35242837,  0.9424014 , -0.00150641,  0.3592745 ],
       [ 0.00711084,  0.00415086,  0.99996553,  0.105316  ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
11,"[array([[ 0.96922275,  0.2259867 , -0.00883988,  0.0165395 ],
       [-0.24604676,  0.9741251 , -0.00124432,  0.359077  ],
       [ 0.00826198,  0.00320995,  0.99996015,  0.105303  ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
12,"[array([[ 0.98494469,  0.15160206, -0.00858615,  0.017222  ],
       [-0.17267827,  0.98843659, -0.001869  ,  0.3583165 ],
       [ 0.00813447,  0.00314919,  0.99996139,  0.105317  ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
13,"[array([[ 0.98861033,  0.12920003, -0.01128741,  0.0179535 ],
       [-0.15010027,  0.99161414, -0.0015127 ,  0.357954  ],
       [ 0.0109325 ,  0.00295854,  0.99993515,  0.105313  ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
14,"[array([[ 0.98861846,  0.12923511, -0.0111606 ,  0.017955  ],
       [-0.15005288,  0.99161037, -0.00124327,  0.3579545 ],
       [ 0.0108477 ,  0.00267535,  0.99993695,  0.1053145 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
15,"[array([[ 0.98530685,  0.14967402, -0.00902155,  0.0190355 ],
       [-0.17057925,  0.98872987, -0.00197695,  0.3578625 ],
       [ 0.00855213,  0.0033051 ,  0.99995735,  0.1053275 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
16,"[array([[ 0.9677054 ,  0.23254055, -0.00913245,  0.020445  ],
       [-0.25194298,  0.97257961, -0.00163408,  0.357964  ],
       [ 0.00842619,  0.0037131 ,  0.99995696,  0.10533   ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
17,"[array([[ 0.93547684,  0.33504759, -0.01154011,  0.0206715 ],
       [-0.35324697,  0.94218188, -0.00230135,  0.356427  ],
       [ 0.00998325,  0.00603519,  0.99993076,  0.105316  ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
18,"[array([[ 0.87560004,  0.46822511, -0.00655575,  0.021111  ],
       [-0.48299391,  0.8836074 ,  0.0014449 ,  0.358636  ],
       [ 0.00643824,  0.00179288,  0.99997747,  0.1053045 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
19,"[array([[ 7.85381167e-01,  6.04401485e-01, -9.87979451e-03,
         2.15665000e-02],
       [-6.18966496e-01,  7.96655369e-01, -3.49841885e-04,
         3.60124000e-01],
       [ 7.54323275e-03,  6.25037133e-03,  9.99951132e-01,
         1.05367500e-01],
       [ 0.00000000e+00,  0.00000000e+00,  0.00000000e+00,
         1.00000000e+00]])]"
20,"[array([[ 0.66330693,  0.73644815, -0.007575  ,  0.0215465 ],
       [-0.74833764,  0.67646126, -0.00159056,  0.361347  ],
       [ 0.00383439,  0.00665475,  0.99997004,  0.105363  ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
21,"[array([[ 5.29601045e-01,  8.39946542e-01, -6.55192623e-03,
         2.00250000e-02],
       [-8.48239277e-01,  5.42641994e-01,  1.37206362e-04,
         3.61377000e-01],
       [ 3.58636782e-03,  5.42893043e-03,  9.99978526e-01,
         1.05300500e-01],
       [ 0.00000000e+00,  0.00000000e+00,  0.00000000e+00,
         1.00000000e+00]])]"
22,"[array([[ 4.09531764e-01,  9.04517362e-01, -1.03536188e-02,
         1.79370000e-02],
       [-9.12286501e-01,  4.26332824e-01, -1.18775830e-04,
         3.61737500e-01],
       [ 4.13199968e-03,  9.41617075e-03,  9.99946393e-01,
         1.05339000e-01],
       [ 0.00000000e+00,  0.00000000e+00,  0.00000000e+00,
         1.00000000e+00]])]"
23,"[array([[ 0.3050724 ,  0.94563969, -0.01387047,  0.0162955 ],
       [-0.95230577,  0.32498412,  0.0025644 ,  0.362579  ],
       [ 0.00667425,  0.0122843 ,  0.99990051,  0.1052805 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
24,"[array([[ 0.19232117,  0.97650661, -0.01333473,  0.015584  ],
       [-0.98131591,  0.21513317,  0.0031186 ,  0.3617955 ],
       [ 0.0056254 ,  0.01235169,  0.99990623,  0.1052875 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
25,"[array([[ 0.08614346,  0.99398359, -0.01139411,  0.0133955 ],
       [-0.99627699,  0.10896889,  0.00241203,  0.3603495 ],
       [ 0.00338481,  0.01106347,  0.99993218,  0.105303  ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
26,"[array([[ 0.03124773,  0.99840046, -0.01172044,  0.011912  ],
       [-0.99950391,  0.05535493,  0.00357296,  0.3596135 ],
       [ 0.00393772,  0.01150477,  0.99992493,  0.105279  ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
27,"[array([[ 0.08771548,  0.99378105, -0.01170964,  0.0085615 ],
       [-0.99613982,  0.11076927,  0.00236684,  0.3630575 ],
       [ 0.00338506,  0.01137545,  0.99992864,  0.105267  ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
28,"[array([[ 0.25807788,  0.95975895, -0.01505921,  0.003123  ],
       [-0.96609   ,  0.28051351,  0.0043802 ,  0.3700265 ],
       [ 0.00811911,  0.01322614,  0.99987701,  0.1051965 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
29,"[array([[ 0.42236472,  0.89779727, -0.01314748, -0.001098  ],
       [-0.90637619,  0.44029796,  0.00435406,  0.3752455 ],
       [ 0.00950036,  0.00988764,  0.99990409,  0.1051825 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
30,"[array([[ 0.56929356,  0.8122167 , -0.0088291 , -0.0120275 ],
       [-0.82211163,  0.58332069,  0.00131632,  0.3785355 ],
       [ 0.00610875,  0.00640356,  0.99996016,  0.105052  ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
31,"[array([[ 6.69393558e-01,  7.29378851e-01, -1.17041670e-02,
        -2.25860000e-02],
       [-7.42864096e-01,  6.84059442e-01,  3.22215383e-04,
         3.79082000e-01],
       [ 8.07460974e-03,  8.31692752e-03,  9.99931452e-01,
         1.05013500e-01],
       [ 0.00000000e+00,  0.00000000e+00,  0.00000000e+00,
         1.00000000e+00]])]"
