,features,labels
0,"[9.587, 0.112, 0.162, 0.081, 0.049, -0.068, 9.718, -0.044, -0.056, 0.023, -0.013, -0.061, 9.567, 0.052, 0.082, 0.071, 0.035, -0.075, 9.669, -0.112, -0.102, 0.018, -0.013, -0.052, 9.699, 0.205, 0.056, 0.071, 0.029, -0.08, 9.658, -0.029, -0.223, 0.01, -0.012, -0.046, 9.65, 0.204, 0.102, 0.072, 0.029, -0.084, 9.69, -0.165, -0.005, 0.011, -0.007, -0.038, 9.662, 0.13, 0.096, 0.068, 0.025, -0.073, 9.705, -0.041, -0.014, 0.013, -0.007, -0.034]","[True, False, False, False]"
1,"[9.66, 0.187, 0.142, 0.066, 0.03, -0.026, 9.757, -0.052, -0.053, 0.012, -0.008, -0.049, 9.667, 0.171, 0.084, 0.071, 0.038, -0.028, 9.631, -0.04, -0.021, 0.014, -0.007, -0.046, 9.678, 0.262, 0.014, 0.072, 0.04, -0.027, 9.574, -0.08, -0.01, 0.017, -0.006, -0.046, 9.631, 0.187, 0.178, 0.07, 0.039, -0.029, 9.651, -0.111, 0.151, 0.014, -0.005, -0.045, 9.644, 0.195, 0.147, 0.07, 0.038, -0.026, 9.73, -0.069, -0.048, 0.014, -0.006, -0.044]","[True, False, False, False]"
2,"[9.589, 0.145, 0.286, 0.077, 0.039, -0.028, 9.659, -0.084, -0.045, 0.019, -0.005, -0.046, 9.683, 0.176, 0.12, 0.071, 0.041, -0.025, 9.619, -0.095, -0.066, 0.013, -0.008, -0.05, 9.614, 0.172, 0.073, 0.072, 0.038, -0.03, 9.68, -0.054, -0.098, 0.016, -0.007, -0.046, 9.583, 0.161, 0.031, 0.069, 0.036, -0.018, 9.696, -0.105, 0.035, 0.018, -0.008, -0.045, 9.577, 0.173, 0.1, 0.071, 0.04, -0.026, 9.651, -0.068, -0.128, 0.017, -0.006, -0.046]","[True, False, False, False]"
3,"[9.671, 0.164, 0.127, 0.072, 0.036, -0.024, 9.731, -0.034, -0.022, 0.017, -0.006, -0.047, 9.629, 0.17, 0.026, 0.07, 0.033, -0.027, 9.681, -0.075, -0.032, 0.016, -0.007, -0.044, 9.485, 0.123, 0.065, 0.072, 0.037, -0.028, 9.76, -0.061, -0.01, 0.018, -0.008, -0.043, 9.611, 0.206, 0.127, 0.072, 0.04, -0.028, 9.711, -0.029, -0.022, 0.014, -0.004, -0.046, 9.655, 0.172, 0.238, 0.074, 0.035, -0.021, 9.727, -0.083, -0.01, 0.018, -0.007, -0.044]","[True, True, False, False]"
4,"[9.875, -0.057, 1.088, -0.13, 0.04, -0.029, 9.735, 0.51, -0.313, -0.131, -0.011, -0.042, 6.296, -0.211, -0.286, -0.001, 0.368, -0.147, 9.476, 0.81, -1.013, -0.147, 0.001, -0.044, 10.071, -0.019, 0.623, -0.049, 0.034, -0.025, 9.947, 0.672, -0.919, -0.077, 0.0, -0.043, 9.842, 0.575, 0.854, 0.079, 0.037, -0.029, 9.643, 0.288, -0.589, 0.129, -0.008, -0.049, 9.797, 0.435, 0.325, 0.221, 0.038, -0.026, 9.58, -0.226, -0.151, 0.188, -0.014, -0.047]","[True, False, False, False]"
5,"[9.504, 0.217, 0.301, 0.233, 0.04, -0.025, 9.687, 0.037, -0.045, 0.2, -0.01, -0.052, 9.215, 0.025, 0.098, 0.241, 0.036, -0.03, 9.674, -0.081, 0.141, 0.186, -0.005, -0.047, 9.94, 0.06, 0.081, 0.232, 0.035, -0.021, 9.68, 0.225, -0.264, 0.174, -0.013, -0.044, 9.532, -0.035, 0.557, 0.224, 0.037, -0.024, 9.564, 0.27, -0.036, 0.172, -0.009, -0.047, 9.646, 0.146, 0.098, 0.225, 0.038, -0.026, 9.517, -0.361, -0.159, 0.157, -0.006, -0.05]","[True, True, False, False]"
6,"[9.105, 0.322, -0.244, 0.143, 0.039, -0.03, 9.873, -0.433, -0.057, 0.067, -0.007, -0.052, 9.51, 0.389, -0.27, 0.114, 0.036, -0.028, 9.591, -0.511, 0.398, 0.058, -0.007, -0.048, 9.395, -0.072, -0.354, 0.067, 0.0, -0.022, 9.79, -0.206, 0.137, -0.032, -0.004, -0.047, 9.532, 0.179, -0.069, -0.007, 0.076, -0.028, 9.548, 0.007, 0.129, -0.052, -0.004, -0.045, 9.591, 0.187, 0.169, 0.027, 0.041, -0.023, 9.712, 0.591, -0.352, 0.024, -0.003, -0.05]","[True, False, False, False]"
7,"[9.86, -0.113, -0.038, 0.249, 0.035, -0.026, 9.644, -0.186, 0.15, 0.171, -0.006, -0.05, 9.746, 0.048, -0.023, 0.197, 0.039, -0.033, 9.666, -0.103, -0.092, 0.136, -0.006, -0.048, 9.605, 0.02, 0.106, 0.175, 0.039, -0.029, 9.476, -0.075, -0.068, 0.104, -0.007, -0.046, 9.505, 0.251, 0.473, 0.156, 0.036, -0.026, 9.73, 0.318, -0.413, 0.139, -0.009, -0.047, 9.454, 0.288, 0.15, 0.199, 0.029, -0.027, 9.779, -0.026, -0.224, 0.188, -0.009, -0.049]","[True, False, False, False]"
8,"[9.625, 0.26, -0.109, 0.218, 0.038, -0.025, 10.098, -0.017, 0.212, 0.161, -0.005, -0.051, 9.536, 0.308, 0.372, 0.213, 0.037, -0.031, 9.9, -0.029, -0.319, 0.164, -0.002, -0.05, 9.545, 0.3, 0.074, 0.21, 0.039, -0.027, 9.397, -0.045, 0.03, 0.178, -0.007, -0.053, 9.696, 0.19, -0.032, 0.236, 0.036, -0.018, 9.62, -0.231, 0.069, 0.187, -0.01, -0.051, 9.62, -0.024, -0.051, 0.222, 0.038, -0.024, 9.802, -0.206, 0.148, 0.154, -0.006, -0.05]","[True, False, False, False]"
9,"[9.497, 0.52, -0.341, 0.219, 0.038, -0.027, 9.687, -0.607, -0.097, 0.176, -0.007, -0.052, 9.754, 0.605, -0.453, 0.241, 0.04, -0.028, 9.578, -1.263, 0.282, 0.158, -0.006, -0.05, 9.809, 0.656, -0.781, 0.159, 0.041, -0.026, 9.729, -1.021, -0.327, 0.049, -0.004, -0.057, 9.55, 0.477, 0.453, 0.075, 0.035, -0.027, 9.558, 0.048, -0.246, 0.023, -0.009, -0.044, 9.789, 0.065, -0.039, 0.08, 0.042, -0.023, 9.839, -0.313, 0.406, 0.053, -0.012, -0.056]","[True, False, False, False]"
10,"[9.753, -0.175, -0.702, -0.353, 0.04, -0.029, 9.692, -0.405, 0.542, -0.422, -0.004, -0.039, 9.666, 0.066, -0.709, -0.38, 0.039, -0.014, 9.806, -0.109, 0.047, -0.449, 0.002, -0.039, 9.629, 0.567, -0.111, -0.36, 0.043, -0.028, 9.675, 0.071, -0.311, -0.316, -0.002, -0.045, 5.286, 0.556, 3.967, -0.282, 0.273, -0.113, 9.811, -0.327, 0.828, -0.223, -0.009, -0.044, 10.384, -0.056, -0.328, -0.153, 0.033, -0.021, 9.537, -0.388, 0.8, -0.221, -0.006, -0.039]","[True, False, False, False]"
11,"[9.501, 0.406, 0.103, -0.439, 0.037, -0.021, 9.653, -0.137, -0.609, -0.434, 0.004, -0.04, 9.678, 0.572, 0.077, -0.343, 0.033, -0.021, 9.695, -0.669, -0.605, -0.449, 0.001, -0.039, 9.491, 0.631, 0.462, -0.39, 0.033, -0.024, 9.688, -0.321, -0.429, -0.465, -0.0, -0.042, 9.665, 0.577, 0.054, -0.381, 0.031, -0.024, 9.763, -0.73, -0.045, -0.46, -0.004, -0.001, 9.403, 0.624, -0.407, -0.44, 0.041, -0.026, 9.641, -0.836, -0.125, -0.547, 0.002, -0.0]","[True, False, False, False]"
12,"[9.647, 0.756, -0.11, -0.614, 0.038, -0.027, 9.61, -0.453, -0.196, -0.654, -0.003, -0.038, 9.849, 1.006, -0.145, -0.586, 0.025, -0.016, 9.506, -0.118, -0.656, -0.611, -0.038, -0.035, 9.505, 0.674, 0.211, -0.513, 0.036, -0.014, 9.432, 0.081, -0.762, -0.497, -0.005, -0.037, 9.59, 0.479, 0.477, -0.382, 0.031, -0.026, 9.776, 0.002, -0.261, -0.398, -0.003, -0.044, 9.998, 0.601, 0.234, -0.282, 0.039, -0.016, 9.679, -0.233, -0.372, -0.33, -0.0, -0.048]","[True, False, False, False]"
13,"[9.845, 0.281, -0.009, -0.301, 0.04, -0.031, 10.056, 0.208, -0.258, -0.355, -0.001, -0.044, 9.545, 0.032, 0.194, -0.264, 0.04, -0.033, 9.733, -0.083, 0.284, -0.313, -0.005, -0.046, 9.58, 0.047, -0.27, -0.274, 0.039, -0.026, 9.75, -0.191, -0.098, -0.343, -0.005, -0.039, 9.753, 0.109, -0.108, -0.288, 0.039, -0.032, 9.749, -0.118, 0.116, -0.356, -0.001, -0.042, 9.562, 0.019, -0.328, -0.299, 0.035, -0.023, 9.575, -0.249, 0.099, -0.388, 0.003, -0.043]","[True, False, False, False]"
