,LP,LD1,LD2,RP,RD1,RD2
0,"[array([[-0.54001407, -0.8408571 , -0.03666252, -0.11439243],
       [ 0.8389259 , -0.54125718,  0.05695619,  0.26994926],
       [-0.06773587,  0.        ,  0.99770329,  0.08560728],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.4940427 , -0.86935859,  0.01172401, -0.14548367],
       [ 0.8691139 ,  0.49418179,  0.02062473,  0.335039  ],
       [-0.02372408, -0.        ,  0.99971854,  0.08248043],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.4940427 , -0.86935859,  0.01172401, -0.14548367],
       [ 0.8691139 ,  0.49418179,  0.02062473,  0.335039  ],
       [-0.02372408, -0.        ,  0.99971854,  0.08248043],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.46271688, -0.88648262, -0.00645389, -0.05646539],
       [ 0.8863964 ,  0.46276189, -0.0123633 ,  0.28047973],
       [ 0.01394646,  0.        ,  0.99990274,  0.0858116 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.59831768, -0.80125228,  0.00327658, -0.02969472],
       [ 0.80124027, -0.59832665, -0.00438786,  0.32759557],
       [ 0.00547625, -0.        ,  0.99998501,  0.08544786],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.59831768, -0.80125228,  0.00327658, -0.02969472],
       [ 0.80124027, -0.59832665, -0.00438786,  0.32759557],
       [ 0.00547625, -0.        ,  0.99998501,  0.08544786],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
1,"[array([[-0.54000131, -0.84085907, -0.03680512, -0.11439374],
       [ 0.83891276, -0.54125413,  0.05717817,  0.26995359],
       [-0.0679997 ,  0.        ,  0.99768534,  0.08561519],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.49391652, -0.86942961,  0.01177357, -0.14547898],
       [ 0.86918271,  0.49405683,  0.02071886,  0.33503925],
       [-0.02383041, -0.        ,  0.99971602,  0.08248481],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.49391652, -0.86942961,  0.01177357, -0.14547898],
       [ 0.86918271,  0.49405683,  0.02071886,  0.33503925],
       [-0.02383041, -0.        ,  0.99971602,  0.08248481],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.46257228, -0.88655872, -0.00636587, -0.05646283],
       [ 0.88647478,  0.46261609, -0.01219957,  0.28047868],
       [ 0.01376059,  0.        ,  0.99990532,  0.08581476],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.59818773, -0.80134829,  0.00351584, -0.02969917],
       [ 0.80133445, -0.59819806, -0.00470984,  0.32759334],
       [ 0.00587739, -0.        ,  0.99998273,  0.0854311 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.59818773, -0.80134829,  0.00351584, -0.02969917],
       [ 0.80133445, -0.59819806, -0.00470984,  0.32759334],
       [ 0.00587739, -0.        ,  0.99998273,  0.0854311 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
2,"[array([[-0.5399173 , -0.84090588, -0.03696766, -0.11439716],
       [ 0.83894169, -0.54118139,  0.0574416 ,  0.26995477],
       [-0.06830919,  0.        ,  0.9976642 ,  0.08562213],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.49385999, -0.86946342,  0.01164809, -0.14547633],
       [ 0.86922168,  0.49399734,  0.0205013 ,  0.33503974],
       [-0.02357926, -0.        ,  0.99972197,  0.08247082],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.49385999, -0.86946342,  0.01164809, -0.14547633],
       [ 0.86922168,  0.49399734,  0.0205013 ,  0.33503974],
       [-0.02357926, -0.        ,  0.99972197,  0.08247082],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.46243882, -0.88662686, -0.00656842, -0.05646044],
       [ 0.88653744,  0.46248546, -0.01259226,  0.28047712],
       [ 0.01420243,  0.        ,  0.99989914,  0.08580387],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.59828501, -0.80127605,  0.00342594, -0.02969608],
       [ 0.80126291, -0.59829482, -0.00458825,  0.32759629],
       [ 0.00572618, -0.        ,  0.99998361,  0.08543891],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.59828501, -0.80127605,  0.00342594, -0.02969608],
       [ 0.80126291, -0.59829482, -0.00458825,  0.32759629],
       [ 0.00572618, -0.        ,  0.99998361,  0.08543891],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
3,"[array([[-0.54008747, -0.8408021 , -0.0368423 , -0.11439016],
       [ 0.83885263, -0.54134262,  0.05722269,  0.26995393],
       [-0.06805727,  0.        ,  0.99768142,  0.08561648],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.49397951, -0.8693958 ,  0.01162656, -0.14548083],
       [ 0.8691551 ,  0.49411632,  0.02045688,  0.33504539],
       [-0.02353   , -0.        ,  0.99972313,  0.08247425],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.49397951, -0.8693958 ,  0.01162656, -0.14548083],
       [ 0.8691551 ,  0.49411632,  0.02045688,  0.33504539],
       [-0.02353   , -0.        ,  0.99972313,  0.08247425],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.46264589, -0.88652009, -0.00639562, -0.05646613],
       [ 0.88643539,  0.4626901 , -0.01225409,  0.28048122],
       [ 0.01382268,  0.        ,  0.99990446,  0.08581237],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.59838168, -0.80120411,  0.00336692, -0.02969602],
       [ 0.80119143, -0.59839116, -0.00450808,  0.32760023],
       [ 0.00562663, -0.        ,  0.99998417,  0.08544207],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.59838168, -0.80120411,  0.00336692, -0.02969602],
       [ 0.80119143, -0.59839116, -0.00450808,  0.32760023],
       [ 0.00562663, -0.        ,  0.99998417,  0.08544207],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
4,"[array([[-0.54009564, -0.84080015, -0.03676696, -0.11438896],
       [ 0.83885868, -0.54134565,  0.05710522,  0.26995376],
       [-0.06791771,  0.        ,  0.99769093,  0.08561136],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.49373358, -0.86953394,  0.01174246, -0.14547063],
       [ 0.86928812,  0.4938732 ,  0.02067426,  0.33503407],
       [-0.02377626, -0.        ,  0.9997173 ,  0.08248209],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.49373358, -0.86953394,  0.01174246, -0.14547063],
       [ 0.86928812,  0.4938732 ,  0.02067426,  0.33503407],
       [-0.02377626, -0.        ,  0.9997173 ,  0.08248209],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.46261542, -0.88653601, -0.00639302, -0.05646459],
       [ 0.88645137,  0.46265959, -0.01225013,  0.28047859],
       [ 0.01381797,  0.        ,  0.99990453,  0.08581548],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.59801036, -0.80148092,  0.00345572, -0.02971063],
       [ 0.80146754, -0.59802034, -0.00463144,  0.32759455],
       [ 0.00577861, -0.        ,  0.9999833 ,  0.08543724],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.59801036, -0.80148092,  0.00345572, -0.02971063],
       [ 0.80146754, -0.59802034, -0.00463144,  0.32759455],
       [ 0.00577861, -0.        ,  0.9999833 ,  0.08543724],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
5,"[array([[-0.54011245, -0.84078181, -0.03693902, -0.11439137],
       [ 0.83882235, -0.54137413,  0.05736819,  0.26995525],
       [-0.06823196,  0.        ,  0.99766948,  0.0856224 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.4938566 , -0.86946635,  0.01157236, -0.14547624],
       [ 0.86922774,  0.49399217,  0.0203683 ,  0.33503952],
       [-0.02342621, -0.        ,  0.99972557,  0.08246595],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.4938566 , -0.86946635,  0.01157236, -0.14547624],
       [ 0.86922774,  0.49399217,  0.0203683 ,  0.33503952],
       [-0.02342621, -0.        ,  0.99972557,  0.08246595],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.46273998, -0.88647013, -0.0065126 , -0.0564678 ],
       [ 0.88638235,  0.46278581, -0.01247493,  0.28048426],
       [ 0.01407259,  0.        ,  0.99990098,  0.08580577],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.59813121, -0.80139034,  0.00354552, -0.02970654],
       [ 0.80137627, -0.59814172, -0.00475029,  0.32759379],
       [ 0.00592756, -0.        ,  0.99998243,  0.0854265 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.59813121, -0.80139034,  0.00354552, -0.02970654],
       [ 0.80137627, -0.59814172, -0.00475029,  0.32759379],
       [ 0.00592756, -0.        ,  0.99998243,  0.0854265 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
6,"[array([[-0.54006058, -0.84073018, -0.03882435, -0.11439195],
       [ 0.83856611, -0.5414543 ,  0.06028358,  0.26995808],
       [-0.07170384,  0.        ,  0.99742597,  0.08569717],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.4937683 , -0.86951583,  0.01162252, -0.14547265],
       [ 0.86927505,  0.49390507,  0.02046135,  0.33503763],
       [-0.02353189, -0.        ,  0.99972309,  0.08247231],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.4937683 , -0.86951583,  0.01162252, -0.14547265],
       [ 0.86927505,  0.49390507,  0.02046135,  0.33503763],
       [-0.02353189, -0.        ,  0.99972309,  0.08247231],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.46260099, -0.88654394, -0.00633805, -0.05646634],
       [ 0.88646074,  0.46264441, -0.01214531,  0.28048325],
       [ 0.01369962,  0.        ,  0.99990616,  0.08581713],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.59821181, -0.80133031,  0.00351613, -0.02970416],
       [ 0.80131647, -0.59822214, -0.00470992,  0.32759458],
       [ 0.00587763, -0.        ,  0.99998273,  0.08542909],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.59821181, -0.80133031,  0.00351613, -0.02970416],
       [ 0.80131647, -0.59822214, -0.00470992,  0.32759458],
       [ 0.00587763, -0.        ,  0.99998273,  0.08542909],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
7,"[array([[-0.54000818, -0.84085907, -0.03670419, -0.11439459],
       [ 0.83892344, -0.54125413,  0.05702138,  0.26995235],
       [-0.06781324,  0.        ,  0.99769803,  0.08560802],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.49394826, -0.86941395,  0.01159793, -0.14548192],
       [ 0.86917438,  0.4940844 ,  0.02040825,  0.33503963],
       [-0.02347358, -0.        ,  0.99972446,  0.08247046],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.49394826, -0.86941395,  0.01159793, -0.14548192],
       [ 0.86917438,  0.4940844 ,  0.02040825,  0.33503963],
       [-0.02347358, -0.        ,  0.99972446,  0.08247046],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.46240974, -0.88664049, -0.00677379, -0.05646291],
       [ 0.88654537,  0.46245935, -0.01298691,  0.28047671],
       [ 0.01464733,  0.        ,  0.99989272,  0.0857939 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.59820345, -0.80133642,  0.00354638, -0.02970651],
       [ 0.80132234, -0.59821396, -0.00475055,  0.32759551],
       [ 0.00592828, -0.        ,  0.99998243,  0.08542548],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.59820345, -0.80133642,  0.00354638, -0.02970651],
       [ 0.80132234, -0.59821396, -0.00475055,  0.32759551],
       [ 0.00592828, -0.        ,  0.99998243,  0.08542548],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
8,"[array([[-0.54003189, -0.84084073, -0.03677534, -0.11439285],
       [ 0.83889783, -0.54128261,  0.05712765,  0.2699526 ],
       [-0.06794111,  0.        ,  0.99768933,  0.08561288],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.49372743, -0.86953739,  0.01174575, -0.14547245],
       [ 0.86929143,  0.49386712,  0.02068039,  0.33503593],
       [-0.02378321, -0.        ,  0.99971714,  0.08248431],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.49372743, -0.86953739,  0.01174575, -0.14547245],
       [ 0.86929143,  0.49386712,  0.02068039,  0.33503593],
       [-0.02378321, -0.        ,  0.99971714,  0.08248431],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.46270034, -0.88649166, -0.00639801, -0.0564701 ],
       [ 0.88640692,  0.46274457, -0.01225682,  0.28048234],
       [ 0.01382621,  0.        ,  0.99990441,  0.08581229],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.598051  , -0.80145073,  0.00342556, -0.02971493],
       [ 0.80143758, -0.59806081, -0.00459054,  0.32759295],
       [ 0.00572778, -0.        ,  0.9999836 ,  0.08543586],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.598051  , -0.80145073,  0.00342556, -0.02971493],
       [ 0.80143758, -0.59806081, -0.00459054,  0.32759295],
       [ 0.00572778, -0.        ,  0.9999836 ,  0.08543586],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
9,"[array([[-0.54001955, -0.84084892, -0.03676938, -0.11439122],
       [ 0.83890653, -0.54126989,  0.0571203 ,  0.26995255],
       [-0.0679317 ,  0.        ,  0.99768997,  0.08560867],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.49386688, -0.86946048,  0.0115752 , -0.14547654],
       [ 0.86922176,  0.49400251,  0.02037273,  0.33503976],
       [-0.02343146, -0.        ,  0.99972545,  0.08246612],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.49386688, -0.86946048,  0.0115752 , -0.14547654],
       [ 0.86922176,  0.49400251,  0.02037273,  0.33503976],
       [-0.02343146, -0.        ,  0.99972545,  0.08246612],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.46247306, -0.88660984, -0.0064542 , -0.05646506],
       [ 0.88652351,  0.46251809, -0.01237218,  0.28047472],
       [ 0.01395448,  0.        ,  0.99990263,  0.08580842],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.59805048, -0.80145073,  0.00351571, -0.02971294],
       [ 0.80143688, -0.59806081, -0.00471134,  0.32759297],
       [ 0.00587851, -0.        ,  0.99998272,  0.08542906],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.59805048, -0.80145073,  0.00351571, -0.02971294],
       [ 0.80143688, -0.59806081, -0.00471134,  0.32759297],
       [ 0.00587851, -0.        ,  0.99998272,  0.08542906],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
