,features,labels
0,"[9.739, 0.118, -0.053, 0.085, 0.071, 0.065, 9.687, -0.169, 0.196, 0.02, 0.009, -0.064, 9.791, 0.147, 0.02, 0.08, 0.073, 0.038, 9.727, -0.146, 0.303, 0.027, 0.003, -0.075, 9.642, 0.112, 0.093, 0.082, 0.066, 0.002, 9.725, -0.104, 0.34, 0.025, -0.008, -0.07, 9.784, 0.086, 0.053, 0.083, 0.057, -0.037, 9.767, -0.124, 0.328, 0.024, -0.013, -0.066, 9.647, 0.152, -0.137, 0.082, 0.037, -0.071, 9.692, -0.121, 0.377, 0.022, -0.013, -0.06]","[True, False, False, False]"
1,"[9.784, 0.086, 0.053, 0.083, 0.057, -0.037, 9.767, -0.124, 0.328, 0.024, -0.013, -0.066, 9.647, 0.152, -0.137, 0.082, 0.037, -0.071, 9.692, -0.121, 0.377, 0.022, -0.013, -0.06, 9.652, 0.106, 0.035, 0.075, 0.031, -0.08, 9.747, -0.169, 0.297, 0.016, -0.009, -0.052, 9.602, 0.099, 0.007, 0.074, 0.027, -0.08, 9.9, -0.12, 0.299, 0.015, -0.013, -0.048, 9.67, 0.106, 0.003, 0.064, 0.021, -0.075, 9.763, -0.144, 0.289, 0.011, -0.012, -0.039]","[True, False, False, False]"
2,"[9.67, 0.106, 0.003, 0.064, 0.021, -0.075, 9.763, -0.144, 0.289, 0.011, -0.012, -0.039, 9.635, 0.121, -0.052, 0.068, 0.022, -0.067, 9.703, -0.142, 0.313, 0.01, -0.007, -0.033, 9.637, 0.105, -0.039, 0.062, 0.023, -0.06, 9.671, -0.156, 0.294, 0.016, -0.005, -0.048, 9.649, 0.279, 0.033, 0.065, 0.027, -0.044, 9.741, -0.131, 0.343, 0.01, -0.004, -0.044, 9.634, 0.144, 0.018, 0.065, 0.027, -0.032, 9.763, -0.157, 0.304, 0.016, -0.007, -0.044]","[True, False, False, False]"
3,"[9.634, 0.144, 0.018, 0.065, 0.027, -0.032, 9.763, -0.157, 0.304, 0.016, -0.007, -0.044, 9.699, 0.135, -0.072, 0.068, 0.033, -0.023, 9.707, -0.139, 0.382, 0.014, -0.005, -0.045, 9.706, 0.133, 0.013, 0.066, 0.037, -0.027, 9.765, -0.105, 0.329, 0.01, -0.007, -0.05, 9.648, 0.128, 0.028, 0.071, 0.035, -0.03, 9.804, -0.13, 0.21, 0.014, -0.006, -0.046, 9.69, 0.145, 0.036, 0.069, 0.034, -0.031, 9.776, -0.157, 0.264, 0.017, -0.005, -0.046]","[True, False, False, False]"
4,"[9.69, 0.145, 0.036, 0.069, 0.034, -0.031, 9.776, -0.157, 0.264, 0.017, -0.005, -0.046, 9.614, 0.13, -0.083, 0.069, 0.036, -0.028, 9.745, -0.2, 0.275, 0.014, -0.004, -0.045, 9.634, 0.138, -0.043, 0.07, 0.034, -0.026, 9.758, -0.148, 0.367, 0.015, -0.006, -0.045, 9.608, 0.157, -0.054, 0.068, 0.035, -0.023, 9.722, -0.164, 0.33, 0.012, -0.007, -0.047, 9.659, 0.111, -0.033, 0.068, 0.03, -0.025, 9.74, -0.157, 0.245, 0.013, -0.004, -0.044]","[True, False, False, False]"
5,"[9.659, 0.111, -0.033, 0.068, 0.03, -0.025, 9.74, -0.157, 0.245, 0.013, -0.004, -0.044, 9.612, 0.107, -0.004, 0.07, 0.034, -0.028, 9.722, -0.173, 0.294, 0.013, -0.003, -0.046, 9.688, 0.112, 0.028, 0.068, 0.035, -0.022, 9.723, -0.153, 0.373, 0.013, -0.006, -0.045, 9.86, 0.135, 0.005, 0.069, 0.035, -0.023, 9.587, -0.165, 0.362, 0.008, -0.008, -0.044, 9.79, 0.138, 0.052, 0.073, 0.033, -0.027, 9.735, -0.167, 0.313, 0.013, -0.007, -0.047]","[True, False, False, False]"
6,"[9.86, 0.135, 0.005, 0.069, 0.035, -0.023, 9.587, -0.165, 0.362, 0.008, -0.008, -0.044, 9.79, 0.138, 0.052, 0.073, 0.033, -0.027, 9.735, -0.167, 0.313, 0.013, -0.007, -0.047, 9.62, 0.124, -0.011, 0.07, 0.037, -0.025, 9.691, -0.131, 0.301, 0.014, -0.008, -0.046, 9.608, 0.081, -0.045, 0.073, 0.032, -0.029, 9.833, -0.184, 0.261, 0.015, -0.006, -0.04, 9.538, 0.135, 0.067, 0.071, 0.037, -0.024, 9.68, -0.129, 0.299, 0.015, -0.007, -0.05]","[True, False, False, False]"
7,"[9.538, 0.135, 0.067, 0.071, 0.037, -0.024, 9.68, -0.129, 0.299, 0.015, -0.007, -0.05, 9.611, 0.139, -0.023, 0.07, 0.036, -0.02, 9.714, -0.176, 0.296, 0.017, -0.007, -0.048, 9.657, 0.129, 0.112, 0.073, 0.035, -0.026, 9.675, -0.174, 0.383, 0.015, -0.007, -0.046, 9.602, 0.159, 0.041, 0.059, 0.035, -0.031, 9.732, -0.144, 0.351, 0.013, -0.008, -0.044, 9.595, 0.06, -0.003, 0.067, 0.034, -0.03, 9.723, -0.078, 0.269, 0.008, -0.004, -0.044]","[True, True, False, False]"
8,"[9.595, 0.06, -0.003, 0.067, 0.034, -0.03, 9.723, -0.078, 0.269, 0.008, -0.004, -0.044, 9.671, 0.095, -0.086, 0.072, 0.037, -0.026, 9.771, -0.114, 0.252, 0.011, -0.008, -0.044, 9.739, 0.11, 0.068, 0.072, 0.037, -0.025, 9.751, -0.121, 0.433, 0.012, -0.005, -0.048, 9.694, 0.051, -0.064, 0.061, 0.038, -0.029, 9.772, -0.154, 0.382, 0.003, -0.008, -0.039, 8.989, -0.06, -0.507, 0.041, 0.04, -0.022, 9.908, -0.425, 0.002, -0.101, -0.032, -0.027]","[True, True, False, False]"
9,"[8.989, -0.06, -0.507, 0.041, 0.04, -0.022, 9.908, -0.425, 0.002, -0.101, -0.032, -0.027, 9.82, 0.385, 0.454, -0.004, 0.038, -0.029, 9.684, 0.277, -0.185, 0.022, -0.01, -0.048, 9.656, -0.074, -0.175, 0.072, 0.038, -0.018, 9.757, 0.023, 0.062, 0.01, -0.005, -0.054, 9.576, 0.113, 0.027, 0.111, 0.026, 0.0, 9.454, 0.153, -0.048, 0.046, -0.009, -0.078, 9.464, 0.278, 0.306, 0.174, 0.024, 0.031, 10.121, -0.642, 0.846, 0.03, 0.003, -0.082]","[True, False, False, False]"
