,transforms
0,"[array([[ 0.1159241 ,  0.99189413, -0.00255223, -0.0524315 ],
       [-0.99317845,  0.12699838, -0.01295984,  0.3415555 ],
       [-0.01257667,  0.00417779,  0.99991276,  0.1050275 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
1,"[array([[ 0.11593939,  0.99189694, -0.00247093, -0.0524285 ],
       [-0.993165  ,  0.12697537, -0.01384643,  0.341551  ],
       [-0.01346664,  0.00420948,  0.99990108,  0.105025  ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
2,"[array([[ 0.11596572,  0.99189375, -0.00253178, -0.052431  ],
       [-0.99317465,  0.12700236, -0.01287289,  0.3415525 ],
       [-0.0124925 ,  0.0041465 ,  0.99991394,  0.105027  ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
3,"[array([[ 0.11575339,  0.99188915, -0.0025628 , -0.0524305 ],
       [-0.99319942,  0.1270372 , -0.01287542,  0.341554  ],
       [-0.01249228,  0.00417803,  0.99991382,  0.1050265 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
4,"[array([[ 0.11577218,  0.99188302, -0.00245095, -0.052427  ],
       [-0.99319237,  0.12708717, -0.01324568,  0.341554  ],
       [-0.01287292,  0.00411478,  0.99990927,  0.1050255 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
5,"[array([[ 0.11612392,  0.99183467, -0.00241018, -0.052437  ],
       [-0.99315399,  0.12746596, -0.01303222,  0.341564  ],
       [-0.01266424,  0.00405202,  0.99991217,  0.1050175 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
6,"[array([[ 0.11619279,  0.99183659, -0.00257334, -0.0524405 ],
       [-0.99314967,  0.1274469 , -0.01275342,  0.3415595 ],
       [-0.0123681 ,  0.00417807,  0.99991536,  0.1050205 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
7,"[array([[ 0.11538371,  0.99192302, -0.00276205, -0.052413  ],
       [-0.99323373,  0.12676282, -0.01357557,  0.3415215 ],
       [-0.01316628,  0.00446105,  0.99990403,  0.105034  ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
8,"[array([[ 0.12142403,  0.99116204, -0.00250975, -0.0523555 ],
       [-0.9925351 ,  0.13259483, -0.01180582,  0.341726  ],
       [-0.01141377,  0.00405325,  0.99992716,  0.1049585 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
9,"[array([[ 1.24376260e-01,  9.90776329e-01, -6.15754220e-03,
        -5.25515000e-02],
       [-9.92234952e-01,  1.35361575e-01, -1.36510430e-03,
         3.42335500e-01],
       [-5.88663841e-04,  6.28565475e-03,  9.99980110e-01,
         1.04735000e-01],
       [ 0.00000000e+00,  0.00000000e+00,  0.00000000e+00,
         1.00000000e+00]])]"
