,LP,LD1,LD2,RP,RD1,RD2
0,"[array([[-0.52755567, -0.84925951, -0.02105468, -0.01424208],
       [ 0.84858397, -0.52797565,  0.03386688,  0.099687  ],
       [-0.03987813,  0.        ,  0.99920455,  0.08567827],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.38548707, -0.92269745,  0.00539791, -0.04408363],
       [ 0.922607  ,  0.38552486,  0.01291911,  0.16420196],
       [-0.01400146, -0.        ,  0.99990197,  0.08338325],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.38548707, -0.92269745,  0.00539791, -0.04408363],
       [ 0.922607  ,  0.38552486,  0.01291911,  0.16420196],
       [-0.01400146, -0.        ,  0.99990197,  0.08338325],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.4181435 , -0.9083459 ,  0.0079841 ,  0.04411802],
       [ 0.90818036,  0.41821972,  0.01734095,  0.10801446],
       [-0.01909069,  0.        ,  0.99981776,  0.08599163],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.49827193, -0.86663899,  0.02572823,  0.06769976],
       [ 0.86548599, -0.49893573, -0.04468931,  0.15825618],
       [ 0.05156623, -0.        ,  0.99866958,  0.08282919],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.49827193, -0.86663899,  0.02572823,  0.06769976],
       [ 0.86548599, -0.49893573, -0.04468931,  0.15825618],
       [ 0.05156623, -0.        ,  0.99866958,  0.08282919],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
1,"[array([[-0.52853001, -0.84861835, -0.02242601, -0.01412396],
       [ 0.84785546, -0.52900558,  0.03597528,  0.0997186 ],
       [-0.04239277,  0.        ,  0.99910102,  0.0857096 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.38531125, -0.922771  ,  0.00537732, -0.04407237],
       [ 0.92268115,  0.38534877,  0.01287675,  0.16419681],
       [-0.01395444, -0.        ,  0.99990263,  0.08337675],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.38531125, -0.922771  ,  0.00537732, -0.04407237],
       [ 0.92268115,  0.38534877,  0.01287675,  0.16419681],
       [-0.01395444, -0.        ,  0.99990263,  0.08337675],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.41801018, -0.9084075 ,  0.00795596,  0.04412246],
       [ 0.90824301,  0.41808588,  0.01728653,  0.10801087],
       [-0.01902949,  0.        ,  0.99981892,  0.08598626],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.49830463, -0.86661717,  0.02582988,  0.0677011 ],
       [ 0.86545524, -0.49897363, -0.04486132,  0.15825664],
       [ 0.05176602, -0.        ,  0.99865924,  0.08281984],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.49830463, -0.86661717,  0.02582988,  0.0677011 ],
       [ 0.86545524, -0.49897363, -0.04486132,  0.15825664],
       [ 0.05176602, -0.        ,  0.99865924,  0.08281984],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
2,"[array([[-0.53573821, -0.84410823, -0.02158396, -0.0136932 ],
       [ 0.84342401, -0.53617283,  0.03398009,  0.09967534],
       [-0.04025561,  0.        ,  0.99918941,  0.08557373],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.38552372, -0.92268269,  0.00530319, -0.04408173],
       [ 0.9225954 ,  0.38556019,  0.01269105,  0.16420149],
       [-0.01375452, -0.        ,  0.9999054 ,  0.08337039],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.38552372, -0.92268269,  0.00530319, -0.04408173],
       [ 0.9225954 ,  0.38556019,  0.01269105,  0.16420149],
       [-0.01375452, -0.        ,  0.9999054 ,  0.08337039],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.41287066, -0.91073996,  0.0095151 ,  0.04420688],
       [ 0.9104982 ,  0.41298029,  0.02098353,  0.10800004],
       [-0.02304008,  0.        ,  0.99973454,  0.0860941 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.49497821, -0.86853241,  0.02545636,  0.06756899],
       [ 0.86738606, -0.49563238, -0.04460902,  0.15824018],
       [ 0.05136138, -0.        ,  0.99868013,  0.08282871],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.49497821, -0.86853241,  0.02545636,  0.06756899],
       [ 0.86738606, -0.49563238, -0.04460902,  0.15824018],
       [ 0.05136138, -0.        ,  0.99868013,  0.08282871],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
3,"[array([[-0.53571913, -0.84411859, -0.02165231, -0.01369374],
       [ 0.84342998, -0.53615651,  0.03408914,  0.09967639],
       [-0.04038431,  0.        ,  0.99918422,  0.08557461],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.38689592, -0.92210629,  0.00561583, -0.04412677],
       [ 0.92200917,  0.38693668,  0.01338305,  0.16422432],
       [-0.01451357, -0.        ,  0.99989467,  0.08339153],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.38689592, -0.92210629,  0.00561583, -0.04412677],
       [ 0.92200917,  0.38693668,  0.01338305,  0.16422432],
       [-0.01451357, -0.        ,  0.99989467,  0.08339153],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.41945539, -0.90775855,  0.00562023,  0.04401984],
       [ 0.90767708,  0.41949304,  0.01216186,  0.10803503],
       [-0.01339768,  0.        ,  0.99991025,  0.08582211],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.52156878, -0.85310404,  0.01339797,  0.06888271],
       [ 0.85282271, -0.52174084, -0.02190717,  0.1583833 ],
       [ 0.02567937, -0.        ,  0.99967023,  0.0837134 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.52156878, -0.85310404,  0.01339797,  0.06888271],
       [ 0.85282271, -0.52174084, -0.02190717,  0.1583833 ],
       [ 0.02567937, -0.        ,  0.99967023,  0.0837134 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
4,"[array([[-0.52965642, -0.84792452, -0.02209274, -0.01414984],
       [ 0.84718785, -0.53011698,  0.03533744,  0.09958491],
       [-0.04167522,  0.        ,  0.99913121,  0.08583352],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.38639627, -0.92231616,  0.00555162, -0.04414382],
       [ 0.92222098,  0.38643615,  0.01325018,  0.16420434],
       [-0.01436621, -0.        ,  0.9998968 ,  0.08338385],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.38639627, -0.92231616,  0.00555162, -0.04414382],
       [ 0.92222098,  0.38643615,  0.01325018,  0.16420434],
       [-0.01436621, -0.        ,  0.9998968 ,  0.08338385],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.4142818 , -0.91012442,  0.00664355,  0.04419273],
       [ 0.91000741,  0.41433506,  0.01459316,  0.10793306],
       [-0.01603425,  0.        ,  0.99987144,  0.08592317],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.51677988, -0.85597422,  0.01570625,  0.06861795],
       [ 0.85557916, -0.5170185 , -0.02600322,  0.15830158],
       [ 0.03037851, -0.        ,  0.99953847,  0.08359196],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.51677988, -0.85597422,  0.01570625,  0.06861795],
       [ 0.85557916, -0.5170185 , -0.02600322,  0.15830158],
       [ 0.03037851, -0.        ,  0.99953847,  0.08359196],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
5,"[array([[-0.53249493, -0.8462663 , -0.01680743, -0.01422139],
       [ 0.84584507, -0.53276012,  0.02669787,  0.09922292],
       [-0.03154784,  0.        ,  0.99950224,  0.08602567],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 4.08650766e-01, -9.12690654e-01, -5.67874310e-04,
        -4.44542023e-02],
       [ 9.12689772e-01,  4.08651160e-01, -1.26830320e-03,
         1.63785395e-01],
       [ 1.38963097e-03, -0.00000000e+00,  9.99999034e-01,
         8.44298097e-02],
       [ 0.00000000e+00,  0.00000000e+00,  0.00000000e+00,
         1.00000000e+00]])]","[array([[ 4.08650766e-01, -9.12690654e-01, -5.67874310e-04,
        -4.44542023e-02],
       [ 9.12689772e-01,  4.08651160e-01, -1.26830320e-03,
         1.63785395e-01],
       [ 1.38963097e-03, -0.00000000e+00,  9.99999034e-01,
         8.44298097e-02],
       [ 0.00000000e+00,  0.00000000e+00,  0.00000000e+00,
         1.00000000e+00]])]","[array([[ 0.42153757, -0.9067767 ,  0.00787957,  0.04441192],
       [ 0.90661833,  0.4216112 ,  0.01694691,  0.10763955],
       [-0.01868918,  0.        ,  0.99982534,  0.08636564],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.51824225, -0.85472872,  0.02939011,  0.06934258],
       [ 0.85335756, -0.51907496, -0.04839488,  0.15739895],
       [ 0.05662017, -0.        ,  0.99839579,  0.08416748],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.51824225, -0.85472872,  0.02939011,  0.06934258],
       [ 0.85335756, -0.51907496, -0.04839488,  0.15739895],
       [ 0.05662017, -0.        ,  0.99839579,  0.08416748],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
6,"[array([[-0.54139903, -0.8406333 , -0.01492469, -0.01359287],
       [ 0.84031407, -0.54160471,  0.02316485,  0.09933221],
       [-0.02755643,  0.        ,  0.99962025,  0.08565726],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 4.27311404e-01, -9.04104437e-01,  3.61616579e-04,
        -4.44829726e-02],
       [ 9.04104114e-01,  4.27311557e-01,  7.65107213e-04,
         1.63965391e-01],
       [-8.46259769e-04, -0.00000000e+00,  9.99999642e-01,
         8.45449111e-02],
       [ 0.00000000e+00,  0.00000000e+00,  0.00000000e+00,
         1.00000000e+00]])]","[array([[ 4.27311404e-01, -9.04104437e-01,  3.61616579e-04,
        -4.44829726e-02],
       [ 9.04104114e-01,  4.27311557e-01,  7.65107213e-04,
         1.63965391e-01],
       [-8.46259769e-04, -0.00000000e+00,  9.99999642e-01,
         8.45449111e-02],
       [ 0.00000000e+00,  0.00000000e+00,  0.00000000e+00,
         1.00000000e+00]])]","[array([[ 4.35666817e-01, -9.00107719e-01,  7.21062495e-04,
         4.40656073e-02],
       [ 9.00106486e-01,  4.35667413e-01,  1.48974630e-03,
         1.07815163e-01],
       [-1.65507557e-03,  0.00000000e+00,  9.99998630e-01,
         8.59990737e-02],
       [ 0.00000000e+00,  0.00000000e+00,  0.00000000e+00,
         1.00000000e+00]])]","[array([[-0.51212001, -0.85825552,  0.03362368,  0.0687684 ],
       [ 0.85641165, -0.51322262, -0.05622845,  0.1572003 ],
       [ 0.06551481, -0.        ,  0.9978516 ,  0.08384863],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.51212001, -0.85825552,  0.03362368,  0.0687684 ],
       [ 0.85641165, -0.51322262, -0.05622845,  0.1572003 ],
       [ 0.06551481, -0.        ,  0.9978516 ,  0.08384863],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
7,"[array([[-0.53388351, -0.84546072, -0.01282796, -0.01386413],
       [ 0.84521678, -0.5340376 ,  0.02030856,  0.09927247],
       [-0.0240207 ,  0.        ,  0.99971146,  0.08563806],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.43687746, -0.89951935, -0.00174126, -0.04420254],
       [ 0.8995122 ,  0.43688093, -0.00358517,  0.16415048],
       [ 0.00398565, -0.        ,  0.99999206,  0.08442726],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.43687746, -0.89951935, -0.00174126, -0.04420254],
       [ 0.8995122 ,  0.43688093, -0.00358517,  0.16415048],
       [ 0.00398565, -0.        ,  0.99999206,  0.08442726],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.42404439, -0.90563713,  0.00278263,  0.04395988],
       [ 0.90561763,  0.42405352,  0.00594278,  0.10774564],
       [-0.00656198,  0.        ,  0.99997847,  0.08609899],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.52831758, -0.84817251,  0.03852178,  0.06788813],
       [ 0.84592682, -0.52972011, -0.06167996,  0.15745288],
       [ 0.072721  , -0.        ,  0.99735232,  0.08336947],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.52831758, -0.84817251,  0.03852178,  0.06788813],
       [ 0.84592682, -0.52972011, -0.06167996,  0.15745288],
       [ 0.072721  , -0.        ,  0.99735232,  0.08336947],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
8,"[array([[-0.51687035, -0.85594832, -0.01405411, -0.01394052],
       [ 0.85563208, -0.51706139,  0.0232653 ,  0.09952927],
       [-0.02718073,  0.        ,  0.99963054,  0.08562785],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 4.64638474e-01, -8.85500159e-01, -7.46456410e-04,
        -4.29532542e-02],
       [ 8.85499016e-01,  4.64639073e-01, -1.42258219e-03,
         1.65328007e-01],
       [ 1.60652957e-03, -0.00000000e+00,  9.99998710e-01,
         8.41439124e-02],
       [ 0.00000000e+00,  0.00000000e+00,  0.00000000e+00,
         1.00000000e+00]])]","[array([[ 4.64638474e-01, -8.85500159e-01, -7.46456410e-04,
        -4.29532542e-02],
       [ 8.85499016e-01,  4.64639073e-01, -1.42258219e-03,
         1.65328007e-01],
       [ 1.60652957e-03, -0.00000000e+00,  9.99998710e-01,
         8.41439124e-02],
       [ 0.00000000e+00,  0.00000000e+00,  0.00000000e+00,
         1.00000000e+00]])]","[array([[ 0.40105862, -0.91598582,  0.01104377,  0.04332891],
       [ 0.91563873,  0.40121065,  0.02521353,  0.10778044],
       [-0.02752611,  0.        ,  0.99962108,  0.08664458],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.57524013, -0.81737247,  0.0316393 ,  0.06601876],
       [ 0.8161389 , -0.57610958, -0.04488919,  0.15802028],
       [ 0.05491889, -0.        ,  0.99849082,  0.08379458],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.57524013, -0.81737247,  0.0316393 ,  0.06601876],
       [ 0.8161389 , -0.57610958, -0.04488919,  0.15802028],
       [ 0.05491889, -0.        ,  0.99849082,  0.08379458],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
9,"[array([[-0.46400957, -0.88557005, -0.02146625, -0.01441454],
       [ 0.88462391, -0.46450585,  0.04092494,  0.10049467],
       [-0.0462131 ,  0.        ,  0.9989316 ,  0.08573017],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.51476605, -0.85726735,  0.01042097, -0.03950826],
       [ 0.85709174,  0.51487152,  0.01735105,  0.1676324 ],
       [-0.02023995, -0.        ,  0.99979515,  0.08325163],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.51476605, -0.85726735,  0.01042097, -0.03950826],
       [ 0.85709174,  0.51487152,  0.01735105,  0.1676324 ],
       [-0.02023995, -0.        ,  0.99979515,  0.08325163],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[ 0.35754917, -0.93371873,  0.0181085 ,  0.04284914],
       [ 0.93252352,  0.35800744,  0.04722874,  0.10759679],
       [-0.05058134,  0.        ,  0.99871994,  0.08686602],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.62069033, -0.78367423,  0.02445839,  0.06301843],
       [ 0.78306651, -0.62117204, -0.03085685,  0.15879737],
       [ 0.03937459, -0.        ,  0.99922452,  0.08298489],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]","[array([[-0.62069033, -0.78367423,  0.02445839,  0.06301843],
       [ 0.78306651, -0.62117204, -0.03085685,  0.15879737],
       [ 0.03937459, -0.        ,  0.99922452,  0.08298489],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
