,transforms
0,"[array([[ 0.22292128, -0.96758986, -0.01466028,  0.0247525 ],
       [ 0.97397652,  0.25248804, -0.03863953,  0.167405  ],
       [ 0.04093706, -0.0044329 ,  0.99914567,  0.106299  ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
1,"[array([[ 0.22313997, -0.96758135, -0.01453482,  0.0247575 ],
       [ 0.97396734,  0.25251841, -0.03765673,  0.167404  ],
       [ 0.03995228, -0.00455832,  0.99918502,  0.106302  ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
2,"[array([[ 0.22314827, -0.96755675, -0.01468523,  0.024755  ],
       [ 0.9739314 ,  0.2526138 , -0.03846465,  0.1674075 ],
       [ 0.04077349, -0.00449591,  0.99915205,  0.106301  ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
3,"[array([[ 0.22308595, -0.9675942 , -0.01486415,  0.024752  ],
       [ 0.97394026,  0.25246746, -0.03855642,  0.167407  ],
       [ 0.04090257, -0.0046522 ,  0.99914586,  0.1063005 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
4,"[array([[ 0.22296207, -0.96761584, -0.01474645,  0.0247495 ],
       [ 0.97397244,  0.25238623, -0.03849094,  0.167403  ],
       [ 0.0408117 , -0.00455819,  0.99915013,  0.106301  ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
5,"[array([[ 2.14277602e-01, -9.69897483e-01, -9.17976004e-03,
         2.49225000e-02],
       [ 9.75991590e-01,  2.43513357e-01, -3.79728185e-02,
         1.67309500e-01],
       [ 3.90579850e-02,  3.43724743e-04,  9.99236607e-01,
         1.08260500e-01],
       [ 0.00000000e+00,  0.00000000e+00,  0.00000000e+00,
         1.00000000e+00]])]"
6,"[array([[ 0.19202646, -0.97551291,  0.00829392,  0.0251355 ],
       [ 0.98040476,  0.21993768,  0.04316913,  0.173141  ],
       [-0.04395837, -0.00140505,  0.99903335,  0.1175905 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
7,"[array([[ 0.16580604, -0.98146274,  0.01583676,  0.024233  ],
       [ 0.98440033,  0.19159718,  0.05701914,  0.1749205 ],
       [-0.05885864,  0.00462659,  0.99824747,  0.12353   ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
8,"[array([[ 0.13031968, -0.98673807,  0.0337437 ,  0.0236945 ],
       [ 0.98647415,  0.16132707,  0.09581017,  0.177016  ],
       [-0.099426  ,  0.01793217,  0.99482751,  0.12749   ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
9,"[array([[ 0.11812827, -0.98903647,  0.01555966,  0.0236915 ],
       [ 0.99054656,  0.14757588,  0.06837354,  0.1752355 ],
       [-0.06973687,  0.00531186,  0.99753845,  0.129236  ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
