,features,labels
0,"[9.68, 0.096, 0.096, 0.068, 0.038, -0.016, 9.717, 0.232, -0.207, 0.017, -0.004, -0.035, 9.829, 0.084, -0.025, 0.07, 0.043, -0.018, 9.722, 0.296, -0.055, 0.016, -0.008, -0.036, 9.716, 0.089, 0.076, 0.066, 0.043, -0.02, 9.77, 0.231, -0.183, 0.012, -0.005, -0.036, 9.788, 0.056, 0.112, 0.066, 0.04, -0.016, 9.78, 0.217, -0.249, 0.01, -0.005, -0.036, 9.58, 0.084, -0.017, 0.068, 0.04, -0.018, 9.69, 0.176, -0.342, 0.016, -0.004, -0.033]","[False, False, False, False]"
1,"[9.598, 0.062, 0.039, 0.067, 0.043, -0.016, 9.659, 0.259, -0.059, 0.013, -0.005, -0.033, 9.657, 0.139, 0.095, 0.068, 0.041, -0.015, 9.695, 0.181, -0.063, 0.015, -0.006, -0.036, 9.687, 0.05, 0.152, 0.068, 0.044, -0.015, 9.701, 0.255, -0.309, 0.018, -0.005, -0.035, 9.739, 0.043, 0.135, 0.069, 0.043, -0.012, 9.664, 0.211, -0.275, 0.016, -0.004, -0.033, 9.727, 0.069, -0.009, 0.069, 0.041, -0.019, 9.776, 0.234, -0.193, 0.019, -0.006, -0.038]","[False, False, False, False]"
2,"[9.597, 0.101, -0.144, 0.066, 0.038, -0.015, 9.644, 0.237, -0.223, 0.02, -0.007, -0.034, 9.534, 0.062, 0.058, 0.07, 0.042, -0.016, 9.687, 0.267, -0.167, 0.015, -0.005, -0.035, 9.607, 0.092, -0.099, 0.063, 0.042, -0.014, 9.662, 0.22, -0.159, 0.015, -0.002, -0.035, 9.577, 0.1, -0.035, 0.067, 0.046, -0.016, 9.672, 0.172, -0.191, 0.018, -0.006, -0.033, 9.721, 0.059, 0.019, 0.068, 0.041, -0.021, 9.748, 0.209, -0.269, 0.013, -0.003, -0.032]","[False, False, False, False]"
3,"[9.605, 0.03, 0.07, 0.069, 0.043, -0.016, 9.697, 0.215, -0.22, 0.014, -0.005, -0.034, 9.556, 0.098, 0.071, 0.064, 0.039, -0.015, 9.603, 0.233, -0.183, 0.015, -0.006, -0.033, 9.531, 0.002, 0.104, 0.072, 0.036, -0.017, 9.689, 0.242, -0.214, 0.016, -0.004, -0.035, 9.584, 0.066, 0.098, 0.071, 0.04, -0.017, 9.747, 0.214, -0.206, 0.014, -0.006, -0.033, 9.653, 0.054, 0.143, 0.068, 0.042, -0.017, 9.737, 0.219, -0.165, 0.017, -0.007, -0.035]","[False, False, False, False]"
4,"[9.621, 0.195, 0.176, 0.064, 0.042, -0.02, 9.65, 0.265, -0.215, 0.021, -0.006, -0.033, 9.535, -0.002, -0.078, 0.072, 0.041, -0.012, 9.658, 0.264, -0.102, 0.016, -0.006, -0.037, 9.504, 0.06, 0.02, 0.066, 0.039, -0.02, 9.741, 0.236, -0.173, 0.012, -0.005, -0.034, 9.662, 0.068, 0.044, 0.069, 0.04, -0.019, 9.738, 0.207, -0.128, 0.016, -0.004, -0.035, 9.713, 0.092, 0.056, 0.069, 0.044, -0.017, 9.724, 0.179, -0.166, 0.015, -0.005, -0.034]","[False, False, False, False]"
5,"[9.609, 0.166, -0.046, 0.102, 0.033, -0.025, 9.896, 0.321, -0.279, 0.057, -0.003, -0.035, 9.596, 0.031, 0.133, 0.124, 0.02, -0.049, 9.376, 0.017, 0.079, 0.039, -0.001, -0.021, 9.34, -0.095, -0.183, 0.093, 0.031, -0.035, 10.138, 0.23, -0.443, 0.045, -0.004, -0.022, 9.714, -0.071, -0.093, 0.084, 0.037, -0.028, 9.915, 0.19, 0.072, 0.01, 0.005, -0.024, 9.796, 0.124, 0.04, 0.076, 0.037, -0.044, 9.943, 0.376, -0.373, 0.032, 0.007, -0.013]","[True, True, True, False]"
6,"[9.768, -0.284, -0.203, 0.016, 0.049, -0.01, 9.504, 0.522, -0.48, -0.004, -0.001, -0.013, 9.77, -0.129, -0.008, 0.041, 0.054, -0.012, 9.896, 0.313, -0.17, -0.005, -0.006, 0.003, 9.192, -0.123, 0.069, 0.056, 0.051, -0.034, 9.623, 0.355, -0.256, 0.035, -0.023, -0.003, 9.517, -0.116, -0.053, 0.076, 0.04, -0.011, 9.598, 0.24, -0.214, 0.054, -0.008, -0.033, 9.815, -0.125, 0.106, 0.054, 0.051, -0.026, 9.733, 0.272, -0.2, -0.004, 0.0, -0.012]","[True, True, False, False]"
7,"[9.37, 0.36, 0.807, 0.016, -0.027, 0.083, 9.881, 0.307, -0.239, 0.11, -0.031, -0.127, 10.772, -0.438, -0.291, 0.104, 0.026, 0.064, 9.622, 0.188, 0.042, -0.02, -0.002, -0.078, 9.549, -0.069, -0.005, -0.016, -0.013, 0.052, 7.86, 0.562, -1.046, 0.026, -0.036, -0.007, 9.708, -0.498, -0.624, 0.014, 0.052, -0.033, 9.729, 0.389, -0.403, -0.069, -0.001, -0.027, 9.528, 0.185, 0.644, 0.052, 0.056, -0.038, 9.793, 0.322, -0.136, 0.056, -0.006, -0.028]","[True, True, False, False]"
8,"[9.688, 0.536, 0.147, -0.084, 0.004, 0.02, 10.673, 0.394, -0.322, 0.478, 0.06, 0.037, 9.309, -0.603, -0.811, 0.095, 0.037, -0.007, 9.042, -0.553, 1.009, 0.084, 0.025, -0.001, 9.072, 0.194, 0.559, -0.082, 0.087, -0.079, 9.44, -0.252, 0.263, 0.09, 0.002, -0.019, 9.616, -0.424, -0.26, -0.082, 0.079, -0.081, 10.06, 0.467, -0.353, -0.034, 0.002, -0.021, 9.686, 0.034, 0.407, 0.009, 0.053, -0.052, 9.604, 0.224, 0.006, -0.019, 0.007, 0.004]","[True, True, True, True]"
9,"[9.684, -0.194, 0.057, 0.122, 0.036, -0.011, 9.75, 0.294, -0.092, 0.06, -0.011, -0.04, 9.991, 0.011, 0.467, 0.208, 0.02, -0.057, 10.044, 0.174, -0.074, 0.143, -0.016, -0.056, 9.663, -0.328, 0.072, 0.292, 0.014, -0.066, 9.488, 0.221, -0.078, 0.13, -0.039, -0.012, 9.022, 0.238, 0.072, 0.283, -0.037, -0.034, 11.211, 0.114, 0.571, 0.141, 0.017, -0.023, 10.773, -0.008, 0.366, 0.152, 0.049, -0.041, 9.829, 0.265, 0.126, 0.025, -0.002, -0.025]","[True, True, True, True]"
